Date,adjclose,low,high,volume,open
2020-05-29,18.54,18.15,18.54,131078681.97,18.4
2020-05-28,18.4,18.18,19.07,205779329.47,18.84
2020-05-27,18.84,18.26,19.2,362025293.99,17.91
2020-05-22,17.91,17.38,17.93,242445860.47,17.47
2020-05-21,17.47,17.22,17.58,107653362.45,17.39
2020-05-20,17.39,17.3,17.53,116405385.97,17.17
2020-05-18,17.17,17.01,17.22,183260227.27,16.94
2020-05-15,16.94,16.94,17.13,27845286.09,16.99
2020-05-14,16.99,16.85,17.36,55510533.87,17.3
2020-05-13,17.3,17.09,17.46,47127557.07,17.13
2020-05-12,17.13,16.8,17.18,53795984.38,17.0
2020-05-11,17.0,16.99,17.18,27895641.66,17.04
2020-05-08,17.04,16.9,17.5,66885377.09,17.41
2020-05-07,17.41,17.36,17.8,54726135.18,17.95
2020-05-06,17.95,17.67,18.25,68308830.67,18.2
2020-05-05,18.2,18.01,18.33,37273083.51,18.19
2020-05-04,18.19,18.05,18.42,59177242.48,18.38
2020-04-30,18.38,18.21,18.59,133996908.16,18.35
2020-05-18,17.11,17.01,17.22,122230800.77,16.94
2020-04-29,18.35,18.2,18.46,50843911.58,18.2
2020-04-28,18.2,18.19,18.54,57358672.68,18.36
2020-04-27,18.36,18.15,18.4,36197385.28,18.05
2020-04-24,18.05,18.0,18.2,22762428.25,18.16
2020-04-22,18.16,17.96,18.38,37591708.75,18.29
2020-04-21,18.29,18.29,18.68,22358269.0,18.7
2020-04-20,18.7,18.45,18.72,33916589.15,18.41
2020-04-17,18.41,18.37,18.65,30067572.65,18.41
2020-04-17,18.41,18.37,18.65,30067572.65,18.38
2020-04-16,18.38,18.06,18.55,53133649.42,18.38
2020-04-16,18.38,18.06,18.55,53133649.42,17.9
2020-04-15,17.9,17.7,18.74,44120681.56,17.9
2020-04-15,17.9,17.7,18.74,44120681.56,18.73
2020-04-14,18.73,18.59,18.74,21781371.8,18.73
2020-04-14,18.73,18.59,18.74,21781371.8,18.53
