Date,adjclose,low,high,volume,open
2020-05-29,17.52,17.32,17.75,7561925.97,17.6
2020-05-28,17.6,17.16,18.08,29179440.18,17.63
2020-05-27,17.63,17.0,17.8,26828041.46,16.85
2020-05-22,16.85,16.62,16.94,15307611.41,16.7
2020-05-21,16.7,16.48,16.88,15021649.09,16.48
2020-05-20,16.48,16.3,16.67,19603975.09,16.24
2020-05-18,16.24,15.81,16.3,18472556.95,15.77
2020-05-15,15.77,15.57,15.99,8403657.86,15.4
2020-05-14,15.4,15.36,15.91,11958715.51,15.93
2020-05-13,15.93,15.91,16.25,12553714.34,16.1
2020-05-12,16.1,16.0,16.31,12587221.76,16.0
2020-05-11,16.0,15.1,16.11,12089086.79,15.9
2020-05-08,15.9,15.85,16.54,20883223.12,16.17
2020-05-07,16.17,16.1,16.53,12866708.62,16.09
2020-05-06,16.09,16.04,16.45,9548768.91,16.07
2020-05-05,16.07,15.9,16.26,11263268.47,16.06
2020-05-04,16.06,16.01,16.48,10435395.84,16.6
2020-04-30,16.6,15.95,17.0,19718016.43,16.72
2020-05-18,16.24,15.81,16.3,17064340.14,15.77
2020-04-29,16.72,16.15,17.08,32865848.53,16.23
2020-04-28,16.23,15.85,16.73,19562902.34,16.25
2020-04-27,16.25,15.1,16.41,34788766.61,15.0
2020-04-24,15.0,14.99,15.3,15211292.4,15.05
2020-04-22,15.05,15.03,15.5,16887162.32,15.32
2020-04-21,15.32,15.2,15.53,9214093.91,15.64
2020-04-20,15.64,15.45,15.89,16188607.52,15.76
2020-04-17,15.76,15.5,16.36,13004109.09,15.76
2020-04-17,15.76,15.5,16.36,13004109.09,15.99
2020-04-16,15.99,15.59,16.1,22856982.25,15.8
2020-04-15,15.8,14.06,16.2,58398516.84,15.06
2020-04-14,15.06,14.9,15.22,16766816.57,14.81
2020-04-13,14.81,14.16,15.01,19055936.9,14.46
2020-04-10,14.46,14.13,14.58,9964122.73,14.3
2020-04-09,14.3,13.9,14.35,17042009.46,13.89
2020-04-08,13.89,13.64,14.04,7216737.45,13.93
2020-04-07,13.93,13.86,14.46,14473643.64,14.07
2020-04-06,14.07,13.81,14.15,9197899.46,13.72
2020-04-03,13.72,13.61,13.98,6565142.87,13.85
2020-04-02,13.85,13.44,13.88,5013883.18,13.63
2020-04-01,13.63,13.59,13.94,9493157.78,13.97
2020-03-31,13.97,13.84,14.23,8586613.7,13.86
2020-03-30,13.86,13.71,14.0,14125711.52,13.98
2020-03-27,13.98,13.72,14.28,13632777.53,14.16
2020-03-26,14.16,13.85,14.26,12604214.19,13.93
2020-03-25,13.93,13.82,14.4,17383140.09,13.9
2020-03-24,13.9,13.28,14.12,19807770.52,13.0
2020-03-23,13.0,11.55,13.21,19905860.79,12.01
2020-03-20,12.01,12.01,12.8,9611073.58,11.9
2020-03-19,11.9,11.42,12.16,7881057.71,11.68
2020-03-18,11.68,11.0,12.0,8894948.49,11.45
2020-03-17,11.45,10.66,12.1,8598319.58,11.45
2020-03-17,11.45,10.66,12.1,8598319.58,11.84
