Date,adjclose,low,high,volume,open
2020-05-29,7.99,7.89,8.03,5246714.16,7.92
2020-05-28,7.92,7.78,8.21,7490073.07,8.07
2020-05-27,8.07,7.91,8.09,9382892.34,7.87
2020-05-22,7.87,7.8,7.95,3803484.14,7.95
2020-05-21,7.95,7.9,8.07,6655899.11,7.94
2020-05-20,7.94,7.75,8.07,13591637.72,7.73
2020-05-18,7.73,7.62,7.83,13733131.51,7.58
2020-05-15,7.58,7.57,7.76,8195840.63,7.66
2020-05-14,7.66,7.56,7.73,5656224.32,7.73
2020-05-13,7.73,7.64,7.88,11029511.24,7.67
2020-05-12,7.67,7.64,7.74,4684906.73,7.65
2020-05-11,7.65,7.63,7.72,4894808.43,7.65
2020-05-08,7.65,7.65,7.88,11170369.6,7.72
2020-05-07,7.72,7.51,7.75,6670421.83,7.7
2020-05-06,7.7,7.62,7.95,10592567.63,8.06
2020-05-05,8.06,7.94,8.71,11398374.22,8.64
2020-05-04,8.64,8.14,9.07,26196887.18,8.39
2020-04-30,8.39,8.07,8.7,21650110.61,8.01
2020-05-18,7.78,7.62,7.83,12681616.09,7.58
2020-04-29,8.01,7.8,8.06,7069353.75,7.7
2020-04-28,7.7,7.41,7.89,11454233.25,7.42
2020-04-27,7.42,7.35,7.48,8362650.59,7.28
2020-04-24,7.28,7.1,7.32,6254609.95,7.26
2020-04-22,7.26,7.24,7.36,4927702.16,7.24
2020-04-21,7.24,7.08,7.42,6611921.46,7.2
2020-04-20,7.2,7.03,7.28,11453143.67,7.01
2020-04-17,7.01,6.99,7.15,13738075.58,7.01
2020-04-17,7.01,6.99,7.15,13738075.58,7.02
2020-04-16,7.02,6.97,7.32,8296817.66,7.02
2020-04-16,7.02,6.97,7.32,8296817.66,7.1
2020-04-15,7.1,6.99,7.39,3793693.87,7.1
2020-04-15,7.1,6.99,7.39,3793693.87,7.35
2020-04-14,7.35,7.33,7.58,5921119.95,7.35
2020-04-14,7.35,7.33,7.58,5921119.95,7.47
2020-04-13,7.47,7.42,7.55,2051777.5,7.47
2020-04-10,7.47,7.47,7.6,1055755.12,7.47
2020-04-10,7.47,7.47,7.6,1055755.12,7.54
2020-04-09,7.54,7.43,7.61,2627781.38,7.54
2020-04-09,7.54,7.43,7.61,2627781.38,7.44
2020-04-08,7.44,7.25,7.54,1322185.84,7.44
2020-04-08,7.44,7.25,7.54,1322185.84,7.5
2020-04-07,7.5,7.37,7.71,3896389.92,7.5
2020-04-07,7.5,7.37,7.71,3896389.92,7.55
2020-04-06,7.55,6.9,7.59,11072422.42,7.55
2020-04-06,7.55,6.9,7.59,11072422.42,6.91
2020-04-03,6.91,6.8,7.17,2406709.37,6.91
2020-04-03,6.91,6.8,7.17,2406709.37,6.8
2020-04-02,6.8,6.65,7.02,3342114.47,6.8
2020-04-02,6.8,6.65,7.02,3342114.47,6.93
2020-04-01,6.93,6.84,7.17,3178829.0,6.93
2020-04-01,6.93,6.84,7.17,3178829.0,7.04
2020-03-31,7.04,6.92,7.11,1250507.46,7.04
2020-03-31,7.04,6.92,7.11,1250507.46,6.89
2020-03-30,6.89,6.76,6.97,1504041.27,6.89
2020-03-30,6.89,6.76,6.97,1504041.27,6.9
2020-03-27,6.9,6.9,7.42,1990515.78,6.9
2020-03-27,6.9,6.9,7.42,1990515.78,7.14
2020-03-26,7.14,6.96,7.14,1552162.24,7.14
2020-03-26,7.14,6.96,7.14,1552162.24,6.79
2020-03-25,6.79,6.59,6.93,1878859.96,6.79
2020-03-25,6.79,6.59,6.93,1878859.96,6.66
2020-03-24,6.66,6.37,6.74,1748327.67,6.66
2020-03-24,6.66,6.37,6.74,1748327.67,6.18
2020-03-23,6.18,6.11,6.65,954331.19,6.18
2020-03-23,6.18,6.11,6.65,954331.19,6.39
2020-03-20,6.39,6.37,6.66,657930.76,6.39
2020-03-19,6.39,6.3,6.62,923636.41,6.39
2020-03-19,6.39,6.3,6.62,923636.41,6.4
2020-03-18,6.4,5.99,6.9,1241396.78,6.4
2020-03-18,6.4,5.99,6.9,1241396.78,6.28
2020-03-17,6.28,5.92,6.63,1661213.34,6.41
2020-03-16,6.41,6.4,6.99,562880.33,7.07
2020-03-13,7.07,6.9,7.47,1069923.99,6.92
2020-03-12,6.92,6.92,7.45,1217159.44,7.5
2020-03-11,7.5,7.2,7.92,1001012.32,7.63
2020-03-10,7.63,7.63,8.59,2403634.55,7.74
2020-03-09,7.74,7.67,8.68,1600095.85,8.77
2020-03-06,8.77,8.77,9.31,1525714.71,9.17
2020-03-05,9.17,9.14,9.45,1044548.0,9.24
2020-03-04,9.24,9.2,9.66,1188639.33,9.35
2020-03-03,9.35,9.09,9.4,940611.85,9.09
2020-03-02,9.09,8.81,9.46,532538.32,8.76
2020-02-28,8.76,7.24,8.84,1007105.49,9.0
2020-02-27,9.0,8.98,9.41,1049334.16,9.42
2020-02-26,9.42,9.35,9.48,898712.95,9.45
2020-02-25,9.45,9.38,9.61,1227945.93,9.43
2020-02-24,9.43,9.32,9.66,1208785.89,9.68
2020-02-21,9.68,8.98,9.85,2586380.75,9.23
2020-02-20,9.23,9.03,9.78,2262893.18,9.8
2020-02-19,9.8,9.79,10.14,729163.04,10.1
2020-02-18,10.1,9.89,10.2,1910465.11,10.19
2020-02-17,10.19,10.12,10.25,1635389.14,10.2
2020-02-14,10.2,10.06,10.29,1497822.65,10.13
2020-02-13,10.13,9.94,10.24,1241063.28,10.18
2020-02-12,10.18,9.88,10.28,2356360.55,10.18
2020-02-11,10.18,9.64,10.42,1780842.76,10.04
2020-02-10,10.04,9.56,10.66,3823107.42,10.45
2020-02-07,10.45,10.33,10.75,1640430.02,10.65
2020-02-06,10.65,10.56,10.78,1942348.56,10.55
2020-02-05,10.55,10.44,10.87,5432520.42,10.52
2020-02-04,10.52,10.28,10.6,3703125.97,10.26
2020-02-03,10.26,10.14,10.65,4047302.78,10.25
2020-01-31,10.25,9.98,10.28,3718598.09,10.07
2020-01-30,10.07,9.74,10.33,5022710.43,10.25
2020-01-29,10.25,10.02,10.43,8005798.16,10.07
2020-01-28,10.07,9.61,10.38,12853740.14,9.65
2020-01-27,9.65,9.57,9.87,5278188.31,9.66
2020-01-24,9.66,9.57,9.81,4020314.24,9.68
2020-01-23,9.68,9.62,9.8,3762982.83,9.69
2020-01-22,9.69,9.64,9.95,4347313.06,9.81
2020-01-21,9.81,9.61,9.99,5044961.47,9.68
2020-01-20,9.68,9.64,9.82,5125782.42,9.54
2020-01-17,9.54,9.41,9.68,5469865.45,9.45
2020-01-16,9.45,9.4,9.74,8066772.37,9.46
2020-01-15,9.46,9.31,9.56,2479030.26,9.53
