Date,adjclose,low,high,volume,open
2020-05-29,4.65,4.51,4.73,42591088.51,4.52
2020-05-28,4.52,4.49,4.74,29335280.0,4.62
2020-05-27,4.62,4.59,4.85,61907682.0,4.55
2020-05-22,4.55,4.52,4.74,51478776.85,4.69
2020-05-21,4.69,4.67,4.86,86911688.21,5.1
2020-05-20,5.1,4.78,5.1,92861205.98,4.81
2020-05-18,4.81,4.69,4.86,61512733.78,4.67
2020-05-15,4.67,4.57,4.9,68128033.92,4.68
2020-05-14,4.68,4.42,5.23,183741031.64,4.8
2020-05-13,4.8,4.45,4.8,66822817.07,4.37
2020-05-12,4.37,3.96,4.37,73578764.18,3.98
2020-05-11,3.98,3.97,4.06,21533987.54,4.02
2020-05-08,4.02,4.0,4.2,49966886.43,4.08
2020-05-07,4.08,3.91,4.11,60736558.2,3.94
2020-05-06,3.94,3.83,3.94,31158422.46,3.84
2020-05-05,3.84,3.78,4.02,43193135.19,3.95
2020-05-04,3.95,3.73,3.98,81837445.51,3.81
2020-04-30,3.81,3.75,3.96,23877239.66,3.92
2020-05-18,4.78,4.69,4.86,56906348.77,4.67
2020-04-29,3.92,3.83,3.94,31426000.11,3.85
2020-04-28,3.85,3.84,4.05,38626501.88,3.99
2020-04-27,3.99,3.76,4.03,56060959.68,3.71
2020-04-24,3.71,3.61,3.74,36954451.65,3.65
2020-04-22,3.65,3.63,3.75,37874600.05,3.64
2020-04-21,3.64,3.48,3.7,68593235.73,3.57
2020-04-20,3.57,3.41,3.61,62195549.44,3.38
2020-04-17,3.38,3.24,3.39,41839925.93,3.38
2020-04-17,3.38,3.24,3.39,41839925.93,3.23
2020-04-16,3.23,3.17,3.34,29303310.42,3.32
2020-04-15,3.32,3.29,3.54,21274845.35,3.52
2020-04-14,3.52,3.51,3.56,19666061.97,3.49
2020-04-13,3.49,3.45,3.64,49980007.96,3.51
2020-04-10,3.51,3.47,3.54,16245746.1,3.54
2020-04-09,3.54,3.49,3.59,18460438.28,3.53
2020-04-08,3.53,3.44,3.57,19902861.46,3.5
2020-04-07,3.5,3.48,3.6,28627488.89,3.49
2020-04-06,3.49,3.39,3.53,26799374.22,3.34
2020-04-03,3.34,3.34,3.45,14504574.91,3.4
2020-04-02,3.4,3.33,3.52,28968885.77,3.37
2020-04-01,3.37,3.17,3.43,23558708.93,3.32
2020-03-31,3.32,3.25,3.35,18250074.41,3.22
2020-03-30,3.22,3.18,3.34,16452566.06,3.23
2020-03-27,3.23,3.23,3.52,18563323.83,3.54
2020-03-26,3.54,3.34,3.58,22919096.56,3.38
2020-03-25,3.38,3.32,3.54,18215347.24,3.36
2020-03-24,3.36,3.14,3.36,23822987.08,3.06
2020-03-23,3.06,2.96,3.24,14305702.54,3.24
2020-03-20,3.24,3.18,3.35,11519875.21,3.23
2020-03-19,3.23,3.15,3.33,13604194.57,3.22
2020-03-18,3.22,2.95,3.35,19220244.55,3.1
2020-03-17,3.1,2.85,3.18,8966617.13,3.15
2020-03-16,3.15,3.07,3.3,10437124.57,3.41
2020-03-13,3.41,3.05,3.47,26791041.73,3.2
2020-03-12,3.2,3.06,3.38,15400458.5,3.45
2020-03-11,3.45,3.24,3.56,30402609.03,3.49
2020-03-10,3.49,3.49,3.89,33869773.85,3.74
2020-03-09,3.74,3.45,3.91,37272283.22,3.99
2020-03-06,3.99,3.95,4.24,56929307.22,4.14
2020-03-05,4.14,3.82,4.38,204348096.18,3.8
2020-03-04,3.8,3.77,3.96,19842924.13,3.94
2020-03-03,3.94,3.83,4.09,40646861.49,3.78
2020-03-02,3.78,3.66,3.88,26402326.34,3.55
2020-02-28,3.55,3.15,3.94,47805912.73,3.51
2020-02-27,3.51,3.51,3.76,11475486.49,3.78
2020-02-26,3.78,3.72,3.83,12682964.07,3.81
2020-02-25,3.81,3.72,3.87,15786759.65,3.76
