Date,adjclose,low,high,volume,open
2020-05-29,11.69,11.5,11.9,26810927.69,11.99
2020-05-28,11.99,11.87,12.49,37544439.51,12.5
2020-05-27,12.5,12.49,13.08,51666656.93,12.9
2020-05-22,12.9,11.74,13.1,58480231.33,12.37
2020-05-21,12.37,12.12,12.97,71327728.93,13.25
2020-05-20,13.25,12.11,13.75,1087310535.42,12.78
2020-05-18,12.78,12.78,14.06,782533571.1,14.2
2020-05-15,14.2,14.2,15.4,413877752.49,15.77
2020-05-14,15.77,15.77,19.27,407976899.9,17.52
2020-05-13,17.52,16.9,17.52,167735679.56,15.93
2020-05-12,15.93,15.22,15.93,327562486.73,14.49
2020-05-11,14.49,13.69,14.49,336955663.53,13.18
2020-05-08,13.18,12.39,13.18,282373638.26,11.99
2020-05-07,11.99,10.6,11.99,138250045.04,10.9
2020-05-06,10.9,10.89,11.91,120036729.45,11.05
2020-05-05,11.05,10.19,11.21,61147402.35,10.19
2020-05-04,10.19,9.4,10.5,76950127.2,9.59
2020-04-30,9.59,9.4,10.35,34548114.8,10.16
2020-05-18,12.78,12.78,14.06,773425629.15,14.2
2020-04-29,10.16,9.69,10.36,46898953.65,10.19
2020-04-28,10.19,9.96,10.66,71055769.25,9.95
2020-04-27,9.95,9.09,9.95,67004990.95,9.06
2020-04-24,9.06,8.53,9.06,68384252.2,8.24
2020-04-22,8.24,8.06,8.55,18465713.6,8.34
2020-04-21,8.34,8.12,8.36,8277322.7,8.18
2020-04-20,8.18,8.0,8.22,9010384.97,8.06
2020-04-17,8.06,7.92,8.08,7344274.7,8.06
2020-04-17,8.06,7.92,8.08,7344274.7,7.96
2020-04-16,7.96,7.63,7.97,7496320.8,7.75
2020-04-15,7.75,7.54,7.93,8785985.88,7.94
2020-04-14,7.94,7.82,8.04,12437661.74,7.98
2020-04-13,7.98,7.74,8.0,6522946.06,7.99
2020-04-10,7.99,7.96,8.13,9418719.96,8.1
2020-04-09,8.1,8.03,8.25,8471760.88,8.19
2020-04-08,8.19,8.12,8.31,4203941.25,8.22
2020-04-07,8.22,8.18,8.41,9938692.65,8.19
2020-04-06,8.19,8.17,8.38,9919483.6,8.21
2020-04-03,8.21,8.09,8.28,5007596.9,8.2
2020-04-02,8.2,7.93,8.32,6645286.37,8.16
2020-04-01,8.16,7.95,8.23,9870762.7,8.07
2020-03-31,8.07,7.97,8.17,6766543.6,7.94
2020-03-30,7.94,7.69,8.09,8863732.36,7.84
2020-03-27,7.84,7.62,7.97,14318213.78,7.93
2020-03-26,7.93,7.71,7.97,10899835.4,7.75
2020-03-25,7.75,7.49,7.84,11694200.52,7.55
2020-03-24,7.55,7.14,7.57,11606462.96,7.11
2020-03-23,7.11,6.88,7.12,8417499.76,7.22
2020-03-20,7.22,7.05,7.28,9031212.16,6.99
2020-03-19,6.99,6.67,7.03,9541599.54,6.81
2020-03-18,6.81,6.51,7.15,11375570.84,6.91
2020-03-17,6.91,6.35,7.05,12966909.68,7.06
2020-03-16,7.06,7.06,7.83,9836148.26,7.84
2020-03-13,7.84,7.25,7.99,16524084.28,7.64
2020-03-12,7.64,6.96,8.17,37601120.13,7.51
2020-03-11,7.51,7.18,7.68,14968572.0,7.62
2020-03-10,7.62,7.59,8.41,12986149.46,8.06
2020-03-09,8.06,7.55,8.41,14428112.59,8.33
2020-03-06,8.33,8.15,8.52,12212682.1,8.48
2020-03-05,8.48,8.04,8.71,14666380.15,8.15
2020-03-04,8.15,8.09,8.21,7955148.49,8.21
2020-03-03,8.21,8.16,8.32,11861365.9,8.13
2020-03-02,8.13,8.07,8.48,12266304.48,7.95
2020-02-28,7.95,6.86,8.25,20131782.73,7.92
2020-02-27,7.92,7.78,8.42,24435308.12,8.32
2020-02-26,8.32,7.83,8.42,39524244.81,7.83
2020-02-25,7.83,7.5,7.83,8705594.96,7.47
2020-02-24,7.47,7.29,7.57,3644795.64,7.49
2020-02-21,7.49,7.12,7.53,5408670.74,7.32
2020-02-20,7.32,7.23,7.54,8831181.62,7.54
2020-02-19,7.54,7.45,7.74,7514842.54,7.68
2020-02-18,7.68,7.6,7.91,7353641.34,7.86
2020-02-17,7.86,7.72,8.06,11260335.72,7.78
2020-02-14,7.78,7.73,7.9,5047230.02,7.82
2020-02-13,7.82,7.67,7.87,5702159.54,7.67
2020-02-12,7.67,7.49,7.71,4818741.88,7.58
2020-02-11,7.58,7.43,7.68,4613372.12,7.58
2020-02-10,7.58,7.32,7.8,5889259.18,7.75
2020-02-07,7.75,7.69,7.87,5097542.76,7.81
2020-02-06,7.81,7.79,8.01,9605922.82,7.88
2020-02-05,7.88,7.45,7.97,20465603.44,7.66
2020-02-04,7.66,7.36,7.67,10341288.34,7.43
2020-02-03,7.43,7.17,7.44,12332895.64,7.15
2020-01-31,7.15,7.12,7.26,5511841.68,7.15
2020-01-30,7.15,7.1,7.25,5489141.42,7.25
2020-01-29,7.25,7.22,7.44,5059166.56,7.28
2020-01-28,7.28,7.21,7.36,7135460.92,7.24
2020-01-27,7.24,7.2,7.36,8060716.48,7.34
2020-01-24,7.34,7.19,7.35,7064854.7,7.25
2020-01-23,7.25,7.19,7.36,10400794.26,7.38
2020-01-22,7.38,7.06,7.46,24571864.66,7.06
2020-01-21,7.06,7.0,7.12,9278755.52,7.02
2020-01-20,7.02,7.0,7.12,10123686.08,7.01
2020-01-17,7.01,6.98,7.3,16787442.4,7.24
2020-01-16,7.24,7.05,7.97,76043175.5,6.65
2020-01-15,6.65,6.47,6.98,13232499.78,6.76
2020-01-14,6.76,6.23,6.88,27120071.84,6.23
2020-01-13,6.23,6.18,6.28,3995925.28,6.19
2020-01-10,6.19,6.12,6.23,4026032.76,6.12
2020-01-09,6.12,5.91,6.15,7371222.78,5.89
2020-01-08,5.89,5.83,5.99,3285896.84,6.02
2020-01-07,6.02,5.89,6.28,5984151.2,6.03
2020-01-06,6.03,5.86,6.28,9075095.7,6.12
2020-01-03,6.12,5.88,6.23,4334989.4,6.18
2020-01-02,6.18,6.17,6.28,5792507.02,6.2
2019-12-31,6.2,6.12,6.23,2091724.52,6.17
2019-12-30,6.17,6.12,6.22,2638590.46,6.15
2019-12-27,6.15,6.11,6.23,1740767.84,6.21
2019-12-26,6.21,6.04,6.21,3207319.62,6.16
2019-12-25,6.16,6.1,6.21,1968420.32,6.21
2019-12-24,6.21,6.07,6.23,3909588.76,6.06
2019-12-23,6.06,5.81,6.1,5360518.24,5.84
2019-12-20,5.84,5.8,5.89,2287031.3,5.82
2019-12-19,5.82,5.76,5.86,1178113.64,5.81
2019-12-18,5.81,5.74,5.82,1475534.54,5.87
2019-12-17,5.87,5.81,5.89,2118237.82,5.81
2019-12-16,5.81,5.72,5.81,2069860.46,5.73
2019-12-13,5.73,5.63,5.87,4047582.74,5.82
2019-12-12,5.82,5.68,5.83,2755273.18,5.77
2019-12-11,5.77,5.67,5.89,3207574.0,5.81
2019-12-10,5.81,5.38,5.99,4119969.06,5.89
2019-12-09,5.89,5.84,6.03,12886611.42,5.78
2019-12-06,5.78,5.48,5.83,15472590.32,5.63
2019-12-05,5.63,5.32,5.67,4907332.06,5.31
2019-12-04,5.31,5.2,5.31,3286300.08,5.21
2019-12-03,5.21,5.21,5.34,1529451.38,5.22
2019-12-02,5.22,5.11,5.23,3177051.54,5.21
2019-11-29,5.21,5.18,5.33,1965208.28,5.3
2019-11-28,5.3,5.23,5.37,1214559.78,5.37
2019-11-27,5.37,5.18,5.47,2962357.14,5.43
2019-11-26,5.43,5.36,5.45,936710.64,5.45
2019-11-25,5.45,5.41,5.55,661751.34,5.51
2019-11-22,5.51,5.49,5.56,1482639.36,5.53
