Date,adjclose,low,high,volume,open
2020-05-29,15.77,15.77,16.68,523306438.56,16.62
2020-05-28,16.62,16.27,16.79,224120264.47,16.37
2020-05-27,16.37,15.69,16.44,201522829.43,15.52
2020-05-22,15.52,15.4,15.6,79040409.23,15.62
2020-05-21,15.62,15.33,15.73,139894059.21,15.35
2020-05-20,15.35,15.21,15.41,114853654.81,15.2
2020-05-18,15.2,14.89,15.23,122091403.1,14.84
2020-05-15,14.84,14.84,15.16,103315021.25,15.01
2020-05-14,15.01,15.01,15.25,91760852.8,15.24
2020-05-13,15.24,15.1,15.33,90621340.14,15.25
2020-05-12,15.25,15.12,15.37,76807297.34,15.12
2020-05-11,15.12,15.12,15.52,61106858.61,15.4
2020-05-08,15.4,15.29,16.04,111958775.15,15.86
2020-05-07,15.86,15.68,16.1,71818773.86,15.8
2020-05-06,15.8,15.72,16.12,90436274.94,15.92
2020-05-05,15.92,15.82,16.45,91194729.57,16.22
2020-05-04,16.22,16.11,16.66,121183442.53,16.4
2020-04-30,16.4,16.1,16.75,138758191.08,16.33
2020-05-18,15.2,14.89,15.23,121936040.67,14.84
2020-05-15,14.84,14.84,15.16,103315021.25,15.01
2020-05-14,15.01,15.01,15.25,91760852.80,15.24
2020-05-13,15.24,15.1,15.33,90621340.14,15.25
2020-05-12,15.25,15.12,15.37,76807297.34,15.12
2020-05-11,15.12,15.12,15.52,61106858.61,15.4
2020-05-08,15.4,15.29,16.04,111958775.15,15.86
2020-05-07,15.86,15.68,16.1,71818773.86,15.8
2020-05-06,15.8,15.72,16.12,90436274.94,15.92
2020-05-05,15.92,15.82,16.45,91194729.57,16.22
2020-05-04,16.22,16.11,16.66,121183442.53,16.4
2020-04-30,16.4,16.1,16.75,138758191.08,16.33
2020-04-29,16.33,16.16,16.41,106535167.77,16.09
2020-04-28,16.09,15.65,16.41,196831594.72,15.75
2020-04-27,15.75,15.4,15.91,133070308.30,15.26
2020-04-24,15.26,15.24,15.39,49908936.91,15.34
2020-04-22,15.34,15.24,15.45,61159800.79,15.31
2020-04-21,15.31,15.18,15.5,65701495.79,15.48
2020-04-20,15.48,15.35,15.84,132337101.60,15.41
2020-04-17,15.41,15.34,15.63,76492545.69,15.41
2020-04-17,15.41,15.34,15.63,76492545.69,15.2
2020-04-16,15.2,15.01,15.5,81373043.50,15.3
2020-04-15,15.3,15.06,16.12,141658464.67,16.0
2020-04-14,16.0,15.23,16.04,174698105.25,15.07
2020-04-13,15.07,14.8,15.28,87472189.52,15.2
2020-04-10,15.2,15.03,15.32,68919224.68,15.19
2020-04-09,15.19,14.94,15.2,133992860.82,14.77
2020-04-08,14.77,14.53,14.85,111732562.39,14.6
2020-04-07,14.6,14.36,15.26,281594476.97,14.2
2020-04-06,14.2,14.0,14.31,126668644.41,13.8
2020-04-03,13.8,13.39,14.35,286093177.78,13.35
2020-04-02,13.35,13.1,13.4,63377282.85,13.23
2020-04-01,13.23,13.15,13.51,83264635.31,13.54
2020-03-31,13.54,13.33,13.87,92844255.74,13.36
2020-03-30,13.36,13.36,13.9,110985145.58,13.4
2020-03-27,13.4,13.36,14.2,139309456.22,13.71
2020-03-26,13.71,13.05,13.93,92431195.91,13.15
2020-03-25,13.15,12.97,13.5,66047842.00,13.05
2020-03-24,13.05,12.69,13.18,46044881.50,12.42
2020-03-23,12.42,12.28,12.98,33136240.26,13.27
2020-03-20,13.27,12.86,13.6,31373131.54,13.1
2020-03-19,13.1,13.02,13.7,37473661.28,13.69
2020-03-18,13.69,13.67,14.5,40464701.61,14.2
2020-03-17,14.2,12.84,14.69,44210547.43,13.98
2020-03-16,13.98,13.75,15.0,42092523.97,15.25
2020-03-13,15.25,15.09,16.24,43070224.33,15.17
2020-03-12,15.17,15.04,16.0,27967909.03,16.55
2020-03-11,16.55,16.0,17.02,36770579.22,16.92
2020-03-10,16.92,16.87,17.56,30712567.94,16.96
2020-03-09,16.96,16.11,17.46,36408068.75,17.94
2020-03-06,17.94,17.9,18.81,36961856.19,18.81
2020-03-05,18.81,18.8,19.37,40357590.85,19.08
2020-03-04,19.08,18.69,19.15,40655736.97,18.9
2020-03-03,18.9,18.39,18.9,36527650.31,18.24
2020-03-02,18.24,18.15,18.81,44680313.73,18.58
2020-02-28,18.58,17.55,18.58,49068471.20,18.86
2020-02-27,18.86,18.85,19.44,59960665.54,19.34
2020-02-26,19.34,19.0,19.5,56798370.60,19.17
2020-02-25,19.17,19.1,19.49,50326889.45,19.34
2020-02-24,19.34,19.09,19.7,42512226.05,19.81
2020-02-21,19.81,19.36,20.02,58469517.65,19.61
2020-02-20,19.61,19.61,20.24,98687070.41,19.98
2020-02-19,19.98,19.81,20.24,63588368.99,20.14
2020-02-18,20.14,20.04,20.5,46499097.96,20.54
2020-02-17,20.54,20.44,20.78,36973104.84,20.52
2020-02-14,20.52,20.52,20.88,41073014.10,20.74
2020-02-13,20.74,20.06,20.78,91164508.54,20.24
2020-02-12,20.24,20.2,20.72,98744599.84,20.7
2020-02-11,20.7,20.34,21.0,99624588.02,20.9
2020-02-10,20.9,20.16,21.4,114961753.38,21.5
2020-02-07,21.5,21.48,21.88,39017604.14,21.68
2020-02-06,21.68,21.46,21.8,66775311.08,21.42
2020-02-05,21.42,21.34,22.08,114490170.48,21.72
2020-02-04,21.72,21.3,21.72,93730746.50,21.12
2020-02-03,21.12,20.84,21.5,75407560.02,20.9
2020-01-31,20.9,20.9,21.36,61508287.54,21.28
2020-01-30,21.28,20.92,21.36,43561469.00,21.26
2020-01-29,21.26,21.12,21.52,42544820.16,21.34
2020-01-28,21.34,21.24,21.74,72571614.38,21.64
2020-01-27,21.64,21.6,21.88,46362591.62,21.94
2020-01-24,21.94,21.52,22.06,61463993.94,21.92
2020-01-23,21.92,21.72,22.2,56261069.64,22.18
2020-01-22,22.18,21.98,22.32,61790050.10,22.14
2020-01-21,22.14,21.84,22.32,76106594.06,22.1
2020-01-20,22.1,21.96,22.4,81628395.56,22.02
2020-01-17,22.02,21.68,22.14,83739897.18,21.7
2020-01-16,21.7,21.6,22.2,100147616.50,21.58
2020-01-15,21.58,21.58,22.0,56533352.16,21.98
2020-01-14,21.98,21.64,22.02,69827441.58,21.82
2020-01-13,21.82,21.64,22.18,114469548.02,21.46
2020-01-10,21.46,21.34,21.86,99820099.60,21.48
2020-01-09,21.48,21.04,21.6,104430248.64,20.82
2020-01-08,20.82,20.3,21.0,62112841.94,21.02
2020-01-07,21.02,21.02,21.64,77446581.30,21.38
2020-01-06,21.38,21.02,21.56,92259522.08,21.18
2020-01-03,21.18,20.4,21.34,95944668.50,21.1
2020-01-02,21.1,20.86,21.28,63241627.28,20.84
2019-12-31,20.84,20.56,20.94,46017570.50,20.8
2019-12-30,20.8,20.28,20.84,84225995.42,20.18
2019-12-27,20.18,20.02,20.22,35242779.62,20.04
2019-12-26,20.04,19.96,20.32,38628069.63,20.06
2019-12-25,20.06,20.04,20.24,18137740.62,20.1
2019-12-24,20.1,19.97,20.26,29849085.26,20.04
2019-12-23,20.04,19.63,20.1,45530657.87,19.74
2019-12-20,19.74,19.34,19.74,52223648.27,19.32
2019-12-19,19.32,19.32,19.67,36518864.26,19.6
2019-12-18,19.6,19.47,19.89,37022603.20,19.91
2019-12-17,19.91,19.89,20.16,42205792.69,19.97
2019-12-16,19.97,19.67,20.2,65532309.70,20.18
2019-12-13,20.18,19.89,20.34,79824784.43,19.75
2019-12-12,19.75,19.38,19.75,60382537.78,19.35
2019-12-11,19.35,19.08,19.44,44503321.92,19.2
2019-12-10,19.2,19.07,19.97,99456093.31,19.88
2019-12-09,19.88,19.77,20.14,42379562.01,20.12
2019-12-06,20.12,20.04,20.54,33961022.26,20.42
2019-12-05,20.42,20.18,20.54,38560464.36,20.22
2019-12-04,20.22,20.02,20.54,36190646.38,20.4
2019-12-03,20.4,20.2,20.66,67214668.82,20.42
2019-12-02,20.42,20.12,20.48,45002380.04,20.12
2019-11-29,20.12,19.99,20.26,31133826.61,20.06
2019-11-28,20.06,19.93,20.28,39724712.88,19.93
2019-11-27,19.93,19.91,20.36,37195399.53,20.18
2019-11-26,20.18,19.76,20.28,55117827.96,20.08
2019-11-25,20.08,20.04,20.68,40794963.02,20.46
2019-11-22,20.46,20.22,20.88,51377377.02,20.66
2019-11-21,20.66,20.38,20.74,43967016.54,20.54
2019-11-20,20.54,19.98,20.74,69694749.21,20.1
2019-11-19,20.1,19.88,20.44,44192795.01,20.18
2019-11-18,20.18,19.82,20.7,89218557.29,19.74
2019-11-15,19.74,18.88,19.74,75068586.43,18.71
2019-11-14,18.71,18.5,18.87,33831618.74,18.74
2019-11-13,18.74,18.45,18.79,32943785.98,18.64
2019-11-12,18.64,18.47,18.85,31491288.21,18.45
2019-11-11,18.45,18.3,18.62,22811289.59,18.46
2019-11-08,18.46,18.43,18.68,21920435.11,18.55
2019-11-07,18.55,18.33,18.62,29967883.55,18.36
2019-11-06,18.36,18.08,18.44,45180371.54,18.2
2019-11-05,18.2,17.89,18.25,40325390.66,17.95
2019-11-04,17.95,17.7,18.02,32175241.51,17.66
2019-11-01,17.66,17.55,17.83,26056642.45,17.72
2019-10-31,17.72,17.7,18.34,60963330.06,18.29
2019-10-30,18.29,17.88,18.46,40257727.47,18.1
2019-10-28,18.1,18.1,18.49,12202252.23,18.38
2019-10-25,18.38,18.33,18.56,18707688.35,18.54
2019-10-24,18.54,18.36,18.89,34628338.03,18.63
2019-10-23,18.63,18.16,18.77,40621124.90,18.11
2019-10-22,18.11,17.95,18.25,26534327.03,18.06
2019-10-21,18.06,17.79,18.21,24898887.01,18.1
2019-10-18,18.1,17.53,18.17,42493696.89,17.13
2019-10-17,17.13,17.0,17.57,44651770.41,17.2
2019-10-16,17.2,17.08,17.95,50893775.35,17.98
2019-10-15,17.98,17.57,18.09,27213863.17,17.51
2019-10-14,17.51,17.09,17.88,73327665.25,17.95
2019-10-11,17.95,17.85,18.15,21512816.59,17.97
2019-10-10,17.97,17.5,18.33,49711513.15,18.02
2019-10-09,18.02,17.97,18.47,31643029.39,18.31
2019-10-08,18.31,17.87,18.53,50782723.24,18.65
2019-10-07,18.65,18.59,19.0,32705844.58,18.81
2019-10-04,18.81,18.66,18.92,26827403.42,18.8
2019-10-03,18.8,18.6,19.11,34116338.69,18.74
2019-10-02,18.74,18.65,19.05,35519446.36,18.93
2019-10-01,18.93,18.67,19.15,34044023.45,19.04
2019-09-30,19.04,18.93,19.17,47781079.63,18.92
2019-09-27,18.92,18.42,18.93,57576204.19,18.37
2019-09-26,18.37,18.34,18.68,50122655.69,18.42
2019-09-25,18.42,18.1,18.48,42169948.33,18.51
2019-09-24,18.51,18.44,18.68,37669733.60,18.4
2019-09-23,18.4,18.35,18.94,54759241.61,18.52
2019-09-20,18.52,18.16,18.62,84208517.54,18.15
2019-09-19,18.15,18.09,18.77,70130191.85,18.51
2019-09-18,18.51,18.25,18.75,40253521.42,18.65
2019-09-17,18.65,17.99,18.65,89790831.98,18.01
2019-09-16,18.01,17.87,18.19,37203071.78,18.05
2019-09-13,18.05,18.05,18.32,25389271.81,18.06
2019-09-12,18.06,17.97,18.42,43510603.06,18.21
2019-09-11,18.21,18.19,18.49,50591488.25,18.25
2019-09-10,18.25,17.98,18.28,46911109.24,18.1
2019-09-09,18.1,17.92,18.2,50917028.05,17.93
2019-09-06,17.93,17.28,18.1,99434377.35,17.3
2019-09-05,17.3,17.25,17.53,39083628.25,17.38
2019-09-04,17.38,17.34,17.67,34465084.60,17.55
2019-09-03,17.55,17.16,17.67,52841286.47,17.21
2019-09-02,17.21,17.12,17.38,34342892.83,17.09
2019-08-29,17.09,16.68,17.47,52844193.99,16.76
2019-08-28,16.76,16.41,16.91,43533310.18,16.43
2019-08-27,16.43,16.43,16.96,53912602.66,16.88
2019-08-26,16.88,16.83,17.01,27284283.39,17.1
2019-08-23,17.1,16.96,17.23,27525144.09,17.19
2019-08-22,17.19,16.9,17.52,49003767.63,17.44
2019-08-21,17.44,17.2,17.71,51261421.90,17.57
2019-08-20,17.57,17.09,17.57,43794691.84,17.14
2019-08-19,17.14,16.78,17.34,50714070.09,16.7
2019-08-16,16.7,16.58,17.12,48046065.66,16.65
2019-08-15,16.65,16.17,16.77,58676593.57,16.79
2019-08-09,16.79,16.79,17.27,36702417.85,17.19
2019-08-08,17.19,16.34,17.19,70817507.54,16.52
2019-08-07,16.52,16.49,17.14,74438509.70,16.81
2019-08-06,16.81,16.73,17.13,65864378.96,16.75
2019-08-05,16.75,16.67,17.22,58101512.05,17.19
2019-08-02,17.19,17.19,17.78,69846314.63,17.69
2019-08-01,17.69,17.28,17.85,113046216.49,17.45
2019-07-31,17.45,17.19,18.37,219608455.14,18.3
2019-07-30,18.3,18.25,19.94,260863241.09,20.9
2019-07-29,20.9,20.5,21.1,18868306.46,21.0
2019-07-26,21.0,20.56,21.1,36354569.66,20.88
2019-07-25,20.88,20.36,21.08,22735144.62,20.82
2019-07-24,20.82,20.26,20.9,19866725.22,20.32
2019-07-23,20.32,20.12,20.48,19771003.44,20.12
2019-07-22,20.12,20.04,20.52,15868753.62,20.12
2019-07-19,20.12,20.1,20.54,17516996.60,20.12
2019-07-18,20.12,19.75,20.3,34816300.18,20.16
2019-07-17,20.16,20.12,20.56,28229177.72,20.14
