Date,adjclose,low,high,volume,open
2020-05-29,13.62,13.29,14.08,64089253.72,13.49
2020-05-28,13.49,13.49,15.29,295335729.02,13.9
2020-05-27,13.9,12.75,13.9,137479488.93,12.64
2020-05-22,12.64,12.6,12.84,15152947.67,12.77
2020-05-21,12.77,12.64,13.1,53022147.84,12.84
2020-05-20,12.84,12.62,13.19,71842653.21,12.62
2020-05-18,12.62,12.6,12.8,23701719.94,12.52
2020-05-15,12.52,12.48,12.85,36371139.69,12.37
2020-05-14,12.37,12.35,12.87,36238870.9,12.76
2020-05-13,12.76,12.76,13.13,40140224.15,12.89
2020-05-12,12.89,12.5,13.23,68655767.32,12.7
2020-05-11,12.7,12.36,13.25,82232012.14,12.7
2020-05-08,12.7,12.7,13.97,145479686.5,12.95
2020-05-07,12.95,11.62,12.95,102650928.15,11.78
2020-05-06,11.78,11.76,12.24,35449248.34,12.05
2020-05-05,12.05,11.87,12.73,35214239.14,12.46
2020-05-04,12.46,12.45,13.43,41319584.2,12.9
2020-04-30,12.9,12.54,13.9,102850504.61,13.09
2020-04-29,13.09,13.08,13.95,77326541.39,13.75
2020-04-28,13.75,13.5,14.4,105404222.28,13.89
2020-04-27,13.89,13.72,14.42,96898561.58,13.97
2020-04-24,13.97,13.35,14.79,148289445.35,14.18
2020-04-22,14.18,14.0,14.79,279413294.57,13.45
2020-04-21,13.45,12.86,13.45,81509101.86,12.23
2020-04-20,12.23,11.12,12.23,81399329.43,11.12
2020-04-17,11.12,11.06,11.9,37340481.5,11.12
2020-04-17,11.12,11.06,11.9,37340481.5,11.61
2020-04-16,11.61,11.54,12.3,87810495.17,11.93
2020-04-15,11.93,10.35,12.35,223380758.9,11.38
2020-04-14,11.38,10.56,11.38,81727413.78,10.35
2020-04-13,10.35,9.65,10.35,67876871.44,9.57
2020-04-10,9.57,9.47,9.7,28876018.31,9.58
2020-04-09,9.58,9.36,9.84,50115608.77,9.31
2020-04-08,9.31,9.18,9.47,20702354.23,9.31
2020-04-07,9.31,9.2,9.75,55633326.01,9.44
2020-04-06,9.44,9.24,9.6,38844251.79,9.25
2020-04-03,9.25,9.16,9.55,24552031.45,9.25
2020-04-02,9.25,9.13,9.45,17615956.56,9.23
2020-04-01,9.23,9.15,9.59,18122075.75,9.55
2020-03-31,9.55,9.32,9.65,29755121.01,9.51
2020-03-30,9.51,9.12,9.74,35073803.63,9.16
2020-03-27,9.16,9.12,9.75,24363641.97,9.6
