Date,adjclose,low,high,volume,open
2020-05-29,11.13,10.76,11.5,27747640.7,10.9
2020-05-28,10.9,10.86,11.38,10651795.74,11.2
2020-05-27,11.2,11.0,11.5,23851730.59,11.24
2020-05-22,11.24,10.4,11.61,50950402.16,11.02
2020-05-21,11.02,10.27,11.28,69175236.74,10.26
2020-05-20,10.26,9.36,10.26,27204946.7,9.33
2020-05-18,9.33,9.26,9.74,28147267.0,9.53
2020-05-15,9.53,8.69,9.53,37237913.15,8.67
2020-05-14,8.67,8.57,8.93,10088984.75,8.87
2020-05-13,8.87,8.74,8.99,9177310.38,8.76
2020-05-12,8.76,8.59,8.81,8054755.47,8.7
2020-05-11,8.7,8.65,8.94,10717573.73,8.7
2020-05-08,8.7,8.51,8.91,11044153.03,8.61
2020-05-07,8.61,8.43,8.85,6888503.14,8.86
2020-05-06,8.86,8.53,9.06,16960026.52,8.61
2020-05-05,8.61,8.53,9.02,13881746.45,8.89
2020-05-04,8.89,8.86,9.94,54579378.87,9.46
2020-04-30,9.46,9.0,9.46,53587771.79,8.6
2020-05-18,9.33,9.26,9.74,28147267.00,9.53
2020-05-15,9.53,8.69,9.53,37237913.15,8.67
2020-05-14,8.67,8.57,8.93,10088984.75,8.87
2020-05-13,8.87,8.74,8.99,9177310.38,8.76
2020-05-12,8.76,8.59,8.81,8054755.47,8.7
2020-05-11,8.7,8.65,8.94,10717573.73,8.7
2020-05-08,8.7,8.51,8.91,11044153.03,8.61
2020-05-07,8.61,8.43,8.85,6888503.14,8.86
2020-05-06,8.86,8.53,9.06,16960026.52,8.61
2020-05-05,8.61,8.53,9.02,13881746.45,8.89
2020-05-04,8.89,8.86,9.94,54579378.87,9.46
2020-04-30,9.46,9.0,9.46,53587771.79,8.6
2020-04-29,8.6,8.46,8.65,7938979.28,8.42
2020-04-28,8.42,8.1,8.52,16025446.30,8.07
2020-04-27,8.07,7.96,8.15,9567926.44,7.96
2020-04-24,7.96,7.94,8.17,5722964.18,8.0
2020-04-22,8.0,7.9,8.15,11603346.89,7.83
2020-04-21,7.83,7.63,8.1,17679700.15,7.66
2020-04-20,7.66,7.32,7.66,6711929.30,7.32
2020-04-17,7.32,7.26,7.36,2625205.00,7.32
2020-04-17,7.32,7.26,7.36,2625205.00,7.21
2020-04-16,7.21,7.1,7.25,2164816.92,7.19
2020-04-15,7.19,7.07,7.46,3759770.78,7.43
2020-04-14,7.43,7.36,7.53,4554646.39,7.35
2020-04-13,7.35,7.05,7.47,4215307.95,7.45
2020-04-10,7.45,7.4,7.53,3045649.07,7.49
2020-04-09,7.49,7.4,7.68,11553598.94,7.53
2020-04-08,7.53,7.08,7.68,18799378.71,7.16
2020-04-07,7.16,7.03,7.36,5690200.17,7.18
2020-04-06,7.18,7.05,7.2,3086290.46,7.02
2020-04-03,7.02,7.0,7.11,974394.63,7.08
2020-04-02,7.08,6.99,7.28,2653272.03,7.19
2020-04-01,7.19,7.04,7.27,2555313.78,7.2
2020-03-31,7.2,7.07,7.22,3006558.38,7.04
2020-03-30,7.04,6.96,7.24,1898984.12,7.24
2020-03-27,7.24,7.08,7.7,6262632.32,7.2
2020-03-26,7.2,6.6,7.27,6507611.27,6.7
2020-03-25,6.7,6.51,6.9,3083753.64,6.66
2020-03-24,6.66,6.41,6.73,5755515.24,6.28
2020-03-23,6.28,6.11,6.41,988799.96,6.41
2020-03-20,6.41,6.34,6.61,1273465.81,6.29
2020-03-19,6.29,6.11,6.41,1792298.17,6.45
2020-03-18,6.45,6.09,6.79,1464220.79,6.53
2020-03-17,6.53,6.01,6.66,4269032.99,6.67
2020-03-16,6.67,6.66,7.14,2556370.57,7.4
2020-03-13,7.4,6.84,7.53,4520787.73,7.08
2020-03-12,7.08,6.7,7.3,5699470.19,7.15
2020-03-11,7.15,6.9,7.41,3430985.12,7.3
2020-03-10,7.3,7.26,7.95,3630017.51,7.68
2020-03-09,7.68,7.63,8.11,3256278.23,8.36
2020-03-06,8.36,8.36,8.85,2874611.13,8.86
2020-03-05,8.86,8.79,8.95,2607397.81,8.83
2020-03-04,8.83,8.78,9.01,5089639.24,8.94
2020-03-03,8.94,8.87,9.08,4394238.59,8.85
2020-03-02,8.85,8.68,9.09,2448848.66,8.74
2020-02-28,8.74,7.73,8.74,4147345.04,8.8
2020-02-27,8.8,8.74,9.27,6424830.24,9.31
2020-02-26,9.31,9.24,9.59,8049437.13,9.34
2020-02-25,9.34,9.15,9.49,8078375.42,9.2
2020-02-24,9.2,9.03,9.27,5787636.29,9.41
2020-02-21,9.41,8.94,9.42,8568769.31,9.1
2020-02-20,9.1,8.98,9.68,10532272.22,9.59
2020-02-19,9.59,9.39,9.97,13597805.72,9.65
2020-02-18,9.65,9.58,9.94,4727758.80,9.85
2020-02-17,9.85,9.74,9.97,6980221.08,9.69
2020-02-14,9.69,9.69,10.07,8889396.95,9.85
2020-02-13,9.85,9.69,10.08,10135550.44,9.81
2020-02-12,9.81,9.79,10.11,11040664.20,9.9
2020-02-11,9.9,9.77,10.21,14752196.32,9.92
2020-02-10,9.92,9.53,10.4,35129945.06,9.53
2020-02-07,9.53,9.47,9.66,6258508.54,9.57
2020-02-06,9.57,9.51,9.71,7034821.47,9.52
2020-02-05,9.52,9.52,9.73,7059909.33,9.49
2020-02-04,9.49,9.47,9.76,9021499.34,9.67
2020-02-03,9.67,9.44,9.75,8753038.84,9.43
2020-01-31,9.43,9.31,9.65,10361041.48,9.39
2020-01-30,9.39,8.87,9.85,28277829.08,8.99
2020-01-29,8.99,8.97,9.14,3000509.96,8.99
2020-01-28,8.99,8.95,9.21,5037354.93,9.03
2020-01-27,9.03,8.88,9.14,6397303.92,9.12
2020-01-24,9.12,9.09,9.45,3752821.56,9.31
2020-01-23,9.31,9.2,9.51,9380241.77,9.18
2020-01-22,9.18,9.06,9.22,5060112.49,9.04
2020-01-21,9.04,8.76,9.2,5897457.11,8.85
2020-01-20,8.85,8.81,9.07,4011652.23,8.94
2020-01-17,8.94,8.94,9.14,3155053.39,8.96
2020-01-16,8.96,8.96,9.39,4946458.82,9.27
2020-01-15,9.27,9.22,9.51,3443908.09,9.41
2020-01-14,9.41,9.14,9.45,8083478.28,9.12
2020-01-13,9.12,9.07,9.25,4003934.88,9.04
2020-01-10,9.04,8.94,9.26,3137357.85,9.07
2020-01-09,9.07,8.81,9.12,5119570.60,8.57
2020-01-08,8.57,8.34,8.71,4953120.48,8.77
2020-01-07,8.77,8.6,8.94,3958094.04,8.61
2020-01-06,8.61,8.53,9.07,6374902.73,9.2
2020-01-03,9.2,8.77,9.44,7025478.52,9.4
2020-01-02,9.4,9.34,9.64,8485629.18,9.38
2019-12-31,9.38,9.25,9.57,5245036.93,9.33
2019-12-30,9.33,8.9,9.6,8839430.57,9.06
2019-12-27,9.06,8.86,9.67,23535605.17,8.86
2019-12-26,8.86,8.38,9.03,10107929.31,8.48
2019-12-25,8.48,8.45,8.59,1576333.89,8.53
2019-12-24,8.53,8.49,8.59,1376723.77,8.5
2019-12-23,8.5,8.47,8.67,2639875.56,8.59
2019-12-20,8.59,8.53,8.9,8900928.76,8.66
2019-12-19,8.66,8.6,8.8,3505505.24,8.59
2019-12-18,8.59,8.35,9.02,21802002.76,8.48
2019-12-17,8.48,8.39,8.6,3106387.27,8.48
2019-12-16,8.48,8.26,8.58,6142197.04,8.36
2019-12-13,8.36,7.83,8.38,10821757.41,7.89
2019-12-12,7.89,7.65,7.89,2911466.28,7.62
2019-12-11,7.62,7.55,7.68,1443998.61,7.63
2019-12-10,7.63,7.63,8.04,4713728.14,7.84
2019-12-09,7.84,7.65,7.93,4411866.79,7.65
2019-12-06,7.65,7.62,7.83,2131114.55,7.79
2019-12-05,7.79,7.79,8.0,4446636.16,7.88
2019-12-04,7.88,7.81,7.92,6588976.39,7.81
2019-12-03,7.81,7.73,7.91,2524126.86,7.85
2019-12-02,7.85,7.72,7.94,3211184.57,7.81
2019-11-29,7.81,7.38,7.98,9587556.33,7.38
2019-11-28,7.38,7.37,7.51,1658713.51,7.46
2019-11-27,7.46,7.36,7.72,3989696.49,7.51
2019-11-26,7.51,7.11,7.51,2702161.64,7.25
2019-11-25,7.25,7.0,7.45,3342412.61,7.36
2019-11-22,7.36,7.28,7.4,3873998.66,7.32
2019-11-21,7.32,7.17,7.34,4812068.37,7.25
2019-11-20,7.25,6.95,7.3,6095787.17,7.05
2019-11-19,7.05,6.77,7.11,5024226.85,6.77
2019-11-18,6.77,6.61,7.15,8887249.31,6.47
2019-11-15,6.47,6.4,6.5,1136539.29,6.43
2019-11-14,6.43,6.29,6.48,1662667.97,6.43
2019-11-13,6.43,6.38,6.52,1242949.72,6.49
2019-11-12,6.49,6.45,6.58,1301136.74,6.53
2019-11-11,6.53,6.45,6.57,1857062.16,6.45
2019-11-08,6.45,6.42,6.54,1950613.10,6.47
2019-11-07,6.47,6.41,6.51,2399293.50,6.41
2019-11-06,6.41,6.21,6.45,4656413.98,6.23
2019-11-05,6.23,6.09,6.26,2897845.18,6.19
2019-11-04,6.19,5.85,6.21,11490640.15,5.85
2019-11-01,5.85,5.71,5.85,1340988.57,5.78
2019-10-31,5.78,5.76,5.91,1986472.12,5.87
2019-10-30,5.87,5.78,5.91,1120172.22,5.93
2019-10-28,5.93,5.9,5.97,747969.73,5.93
2019-10-25,5.93,5.74,5.93,2338520.37,5.74
2019-10-24,5.74,5.74,5.89,1888873.46,5.77
2019-10-23,5.77,5.68,5.78,1997234.17,5.65
