Date,adjclose,low,high,volume,open
2020-05-29,4.05,4.03,4.12,3059277.53,4.11
2020-05-28,4.11,4.08,4.18,5312099.29,4.16
2020-05-27,4.16,4.14,4.25,11879492.95,4.12
2020-05-22,4.12,4.04,4.17,6080245.52,4.13
2020-05-21,4.13,4.08,4.29,6799265.27,4.23
2020-05-20,4.23,4.14,4.39,20634319.58,4.2
2020-05-18,4.2,4.16,4.38,25126495.42,4.11
2020-05-15,4.11,3.94,4.26,31518170.36,3.9
2020-05-14,3.9,3.86,4.07,14896051.17,3.93
2020-05-13,3.93,3.88,4.0,8698029.64,3.92
2020-05-12,3.92,3.88,3.96,4520702.86,3.92
2020-05-11,3.92,3.82,4.0,8285514.69,3.85
2020-05-08,3.85,3.75,4.13,21667725.23,3.81
2020-05-07,3.81,3.74,3.93,8373784.99,3.69
2020-05-06,3.69,3.61,3.79,5431686.26,3.79
2020-05-05,3.79,3.71,4.11,10712845.7,4.0
2020-05-04,4.0,3.75,4.19,31425754.83,3.92
2020-04-30,3.92,3.72,4.11,31808471.78,3.85
2020-04-29,3.85,3.79,3.94,6001105.44,3.77
2020-04-28,3.77,3.65,3.82,10385493.52,3.61
2020-04-27,3.61,3.56,3.65,4614742.09,3.51
2020-04-24,3.51,3.47,3.58,4338673.43,3.48
2020-04-22,3.48,3.44,3.57,4991255.47,3.45
2020-04-21,3.45,3.4,3.53,3501642.27,3.49
2020-04-20,3.49,3.36,3.49,3561137.17,3.33
2020-04-17,3.33,3.32,3.4,3358895.43,3.33
2020-04-17,3.33,3.32,3.4,3358895.43,3.29
2020-04-16,3.29,3.16,3.36,1474773.26,3.31
2020-04-15,3.31,3.28,3.43,2958654.85,3.41
2020-04-14,3.41,3.39,3.49,3898607.41,3.43
2020-04-13,3.43,3.37,3.49,2265547.6,3.46
2020-04-10,3.46,3.43,3.55,2313250.4,3.54
2020-04-09,3.54,3.48,3.65,6633260.37,3.56
2020-04-08,3.56,3.27,3.66,11655519.18,3.33
2020-04-07,3.33,3.29,3.44,6391486.46,3.26
2020-04-06,3.26,3.17,3.29,3961123.79,3.12
2020-04-03,3.12,3.09,3.28,3677033.5,3.13
2020-04-02,3.13,3.09,3.28,2336836.99,3.22
2020-04-01,3.22,3.01,3.3,6296723.96,3.13
2020-03-31,3.13,2.86,3.13,4580331.98,2.85
2020-03-30,2.85,2.84,2.91,1148160.79,2.92
2020-03-27,2.92,2.78,2.92,2154828.01,2.91
2020-03-26,2.91,2.79,2.95,2971771.44,2.86
2020-03-25,2.86,2.7,2.96,2698505.27,2.78
2020-03-24,2.78,2.56,2.78,2836355.7,2.53
2020-03-23,2.53,2.5,2.63,1959990.02,2.67
2020-03-20,2.67,2.64,2.79,1321434.02,2.67
2020-03-19,2.67,2.59,2.72,1587277.65,2.71
2020-03-18,2.71,2.57,2.84,2313750.66,2.65
2020-03-17,2.65,2.49,2.77,1279009.51,2.72
2020-03-16,2.72,2.69,2.95,1041550.56,2.96
2020-03-13,2.96,2.57,3.0,1722624.3,2.73
2020-03-12,2.73,2.66,2.96,1582930.41,3.0
2020-03-11,3.0,2.92,3.14,1219700.11,3.06
2020-03-10,3.06,3.0,3.39,2048930.7,3.2
2020-03-09,3.2,3.17,3.41,2111541.6,3.51
2020-03-06,3.51,3.48,3.66,1295887.55,3.64
2020-03-05,3.64,3.61,3.77,1863223.9,3.62
2020-03-04,3.62,3.58,3.72,2388436.81,3.66
2020-03-03,3.66,3.58,3.67,2189252.17,3.55
2020-03-02,3.55,3.43,3.58,2959961.33,3.39
2020-02-28,3.39,3.04,3.48,1776672.32,3.66
2020-02-27,3.66,3.66,3.87,3798229.64,3.88
2020-02-26,3.88,3.87,3.93,1764214.33,3.91
2020-02-25,3.91,3.87,4.0,3572044.39,3.93
2020-02-24,3.93,3.86,3.96,2105165.52,3.95
2020-02-21,3.95,3.85,4.22,5972210.39,3.9
2020-02-20,3.9,3.84,4.26,4112242.35,4.22
2020-02-19,4.22,4.21,4.38,3881385.73,4.35
