Date,adjclose,low,high,volume,open
2020-05-29,40.52,40.4,42.1,53640751.08,41.6
2020-05-28,41.6,40.2,43.38,110718901.98,42.34
2020-05-27,42.34,40.46,42.85,130333465.84,39.56
2020-05-22,39.56,37.86,40.31,153078022.44,38.13
2020-05-21,38.13,36.9,38.13,89379375.92,36.84
2020-05-20,36.84,36.1,37.04,60421207.42,35.98
2020-05-18,35.98,35.47,36.24,46206044.12,35.45
2020-05-15,35.45,35.39,36.2,30644245.56,35.59
2020-05-14,35.59,35.37,36.43,48193997.7,35.81
2020-05-13,35.81,34.73,35.86,48738107.62,34.92
2020-05-12,34.92,34.53,35.12,32333280.26,34.63
2020-05-11,34.63,34.53,35.77,43997693.82,35.51
2020-05-08,35.51,35.45,37.49,54700030.64,36.98
2020-05-07,36.98,36.02,37.08,56755759.44,36.16
2020-05-06,36.16,35.43,36.35,64946667.1,34.96
2020-05-05,34.96,34.4,35.3,19930601.08,34.83
2020-05-04,34.83,34.51,35.94,36766143.78,36.02
2020-04-30,36.02,35.49,36.82,41283991.86,36.63
2020-05-18,36.78,36.26,37.04,46206044.12,36.24
2020-05-15,36.24,36.18,37.0,30644245.56,36.38
2020-05-14,36.38,36.16,37.24,48193997.7,36.6
2020-05-13,36.6,35.5,36.66,48738107.62,35.7
2020-05-12,35.7,35.3,35.9,32333280.26,35.4
2020-05-11,35.4,35.3,36.56,43997693.82,36.3
2020-05-08,36.3,36.24,38.32,54700030.64,37.8
2020-05-07,37.8,36.82,37.9,56755759.44,36.96
2020-05-06,36.96,36.22,37.16,64946667.1,35.74
2020-05-05,35.74,35.16,36.08,19930601.08,35.6
2020-05-04,35.6,35.28,36.74,36766143.78,36.82
2020-04-30,36.82,36.28,37.64,41283991.86,37.44
2020-04-29,37.44,37.36,37.78,26925894.84,37.48
2020-04-28,37.48,37.4,38.52,36505347.74,38.14
2020-04-27,38.14,38.04,38.46,33550519.94,37.94
2020-04-24,37.94,37.0,38.32,45544923.36,37.06
2020-04-22,37.06,36.8,38.02,42566393.38,37.7
2020-04-21,37.7,37.62,39.34,36192567.62,38.6
2020-04-20,38.6,37.82,38.98,41656110.26,37.66
2020-04-17,37.66,36.96,37.7,36144363.7,37.66
2020-04-17,37.66,36.96,37.7,36144363.7,36.86
2020-04-16,36.86,36.3,37.3,30196412.58,36.28
2020-04-15,36.28,34.5,37.32,41629178.54,37.24
2020-04-14,37.24,36.5,38.06,72704640.32,36.46
2020-04-13,36.46,35.68,36.84,20288718.86,36.28
