Date,adjclose,low,high,volume,open
2020-05-29,7.94,7.83,8.08,15045145.38,7.97
2020-05-28,7.97,7.88,8.11,15923400.78,8.02
2020-05-27,8.02,7.81,8.07,20855841.79,7.73
2020-05-22,7.73,7.64,7.87,12006871.71,7.73
2020-05-21,7.73,7.7,7.89,12956903.31,7.85
2020-05-20,7.85,7.77,7.97,21558770.8,7.78
2020-05-18,7.78,7.55,7.9,27014920.57,7.52
2020-05-15,7.52,7.48,7.56,8963887.63,7.48
2020-05-14,7.48,7.46,7.59,10586470.49,7.57
2020-05-13,7.57,7.54,7.67,14572770.59,7.59
2020-05-12,7.59,7.49,7.62,11187344.45,7.5
2020-05-11,7.5,7.48,7.61,6717236.46,7.55
2020-05-08,7.55,7.53,7.71,11270302.27,7.56
2020-05-07,7.56,7.46,7.68,8855442.15,7.45
2020-05-06,7.45,7.36,7.59,12307753.19,7.6
2020-05-05,7.6,7.48,8.07,19848446.33,7.92
2020-05-04,7.92,7.61,8.25,65132231.7,7.77
2020-04-30,7.77,7.5,8.09,48784173.94,7.7
2020-04-29,7.7,7.6,7.75,10574246.61,7.58
2020-04-28,7.58,7.38,7.66,11930583.04,7.37
2020-04-27,7.37,7.3,7.41,9218655.24,7.24
2020-04-24,7.24,7.18,7.33,9019086.57,7.22
2020-04-22,7.22,7.19,7.33,6417270.28,7.19
2020-04-21,7.19,7.1,7.27,9767512.34,7.27
2020-04-20,7.27,7.1,7.38,14587561.65,7.06
2020-04-17,7.06,7.0,7.14,13635779.25,7.06
2020-04-17,7.06,7.0,7.14,13635779.25,6.95
2020-04-16,6.95,6.83,7.02,8554873.14,6.92
2020-04-15,6.92,6.84,7.26,18259027.62,7.14
2020-04-14,7.14,6.93,7.15,13448987.84,6.92
2020-04-13,6.92,6.86,7.04,10100955.92,6.93
2020-04-10,6.93,6.82,6.99,6640061.98,6.91
2020-04-09,6.91,6.72,7.03,11931966.64,6.71
2020-04-08,6.71,6.57,6.81,8304347.73,6.7
2020-04-07,6.7,6.67,7.16,12748716.39,6.81
2020-04-06,6.81,6.41,6.85,15813437.96,6.38
2020-04-03,6.38,6.26,6.48,11326723.97,6.23
2020-04-02,6.23,6.18,6.36,7441590.88,6.29
2020-04-01,6.29,6.18,6.38,7954825.35,6.32
2020-03-31,6.32,6.21,6.37,9673089.28,6.17
2020-03-30,6.17,6.05,6.27,7587725.78,6.17
2020-03-27,6.17,6.16,6.6,11112040.02,6.52
2020-03-26,6.52,6.15,6.64,11973780.9,6.17
2020-03-25,6.17,6.1,6.41,10570313.06,6.26
2020-03-24,6.26,6.07,6.31,16836324.45,6.0
2020-03-23,6.0,5.7,6.21,15125132.09,6.06
2020-03-20,6.06,5.84,6.06,8282387.72,5.8
2020-03-19,5.8,5.69,5.98,3773035.48,5.87
2020-03-18,5.87,5.56,6.18,7084143.41,5.81
2020-03-17,5.81,5.49,6.07,7537953.86,6.1
2020-03-16,6.1,6.1,6.4,5651927.2,6.77
2020-03-13,6.77,6.56,7.21,25555547.44,6.89
2020-03-12,6.89,6.86,7.66,7484895.24,7.73
2020-03-11,7.73,7.48,8.03,8485070.84,8.08
2020-03-10,8.08,7.83,8.6,19066186.87,8.27
2020-03-09,8.27,7.8,8.74,14987730.31,9.0
