Date,adjclose,low,high,volume,open
2020-05-29,88.05,87.75,90.65,11903582.35,89.6
2020-05-28,89.6,88.75,97.9,56140304.4,92.6
2020-05-27,92.6,88.7,95.6,95006130.3,86.95
2020-05-22,86.95,86.55,88.1,12065333.55,87.85
2020-05-21,87.85,87.5,89.5,11102569.4,87.95
2020-05-20,87.95,87.3,90.5,17452256.4,89.0
2020-05-18,89.0,86.8,91.8,43979256.25,86.6
2020-05-15,86.6,84.8,87.0,5273029.85,84.5
2020-05-14,84.5,84.0,88.0,10378763.55,86.1
2020-05-13,86.1,85.45,87.3,8417607.15,86.1
2020-05-12,86.1,85.0,88.1,12849856.95,88.1
2020-05-11,88.1,87.5,90.7,7976114.75,89.15
2020-05-08,89.15,87.9,92.5,22946656.8,89.35
2020-05-07,89.35,86.2,90.05,11966145.5,87.6
2020-05-06,87.6,86.6,89.15,6139464.25,88.15
2020-05-05,88.15,87.95,91.2,7006803.75,89.7
2020-05-04,89.7,86.95,90.4,19529854.4,90.8
2020-04-30,90.8,87.25,92.85,13923170.2,89.75
2020-04-29,89.75,85.45,91.75,32789365.3,89.0
2020-04-28,89.0,88.0,95.45,44880232.4,91.9
2020-04-27,91.9,85.0,91.9,42561936.9,83.55
2020-04-24,83.55,82.35,85.7,18286107.05,81.05
2020-04-22,81.05,76.7,82.25,26670025.45,76.7
2020-04-21,76.7,76.5,78.0,10174339.75,78.0
2020-04-20,78.0,76.65,80.1,23133856.25,78.85
2020-04-17,78.85,74.45,80.9,48824026.85,78.85
2020-04-17,78.85,74.45,80.9,48824026.85,77.55
2020-04-16,77.55,77.55,87.05,33767605.25,86.15
2020-04-15,86.15,86.15,98.75,73198666.6,95.7
2020-04-14,95.7,90.0,95.7,63812915.4,87.0
2020-04-13,87.0,75.3,87.0,34152350.1,79.1
2020-04-10,79.1,71.0,79.8,29235595.0,72.95
2020-04-09,72.95,70.25,73.45,21916311.75,68.95
2020-04-08,68.95,65.25,71.0,22496527.55,66.15
2020-04-07,66.15,63.0,68.85,25087909.25,62.6
2020-04-06,62.6,57.25,62.6,20416761.45,56.95
2020-04-03,56.95,56.15,58.5,7043327.9,56.7
2020-04-02,56.7,56.0,59.45,6657345.95,57.95
2020-04-01,57.95,55.3,60.5,11552724.15,58.0
2020-03-31,58.0,55.0,59.35,20082368.75,54.8
2020-03-30,54.8,54.0,57.9,14954291.7,59.95
2020-03-27,59.95,59.05,64.7,26538341.0,58.85
2020-03-26,58.85,53.25,58.85,15239869.9,53.5
2020-03-25,53.5,50.9,54.3,15157170.5,50.55
2020-03-24,50.55,48.1,51.25,10884306.64,47.02
2020-03-23,47.02,46.2,50.75,6914036.11,51.0
2020-03-20,51.0,49.8,54.2,9521103.41,49.8
2020-03-19,49.8,49.26,53.5,6284222.68,53.4
2020-03-18,53.4,52.0,57.55,6532504.6,55.3
2020-03-17,55.3,55.3,61.8,5920378.6,61.4
2020-03-16,61.4,61.4,73.95,12850130.85,68.2
2020-03-13,68.2,61.25,68.2,4213030.45,62.0
2020-03-12,62.0,61.45,69.5,4293400.05,70.5
2020-03-11,70.5,68.5,74.3,5395125.6,74.65
2020-03-10,74.65,73.9,84.6,11368048.9,77.7
2020-03-09,77.7,75.1,84.0,8048129.35,84.3
2020-03-06,84.3,84.25,89.5,6546046.45,89.75
2020-03-05,89.75,88.15,94.35,18617983.85,91.15
2020-03-04,91.15,87.5,98.4,40671485.05,87.5
2020-03-03,87.5,83.5,87.5,4972656.15,82.25
2020-03-02,82.25,80.5,85.0,1766281.15,80.0
2020-02-28,80.0,68.25,82.0,3510884.9,85.0
2020-02-27,85.0,85.0,89.5,2877576.5,88.85
2020-02-26,88.85,87.75,92.9,6205468.3,90.95
2020-02-25,90.95,87.55,91.05,6494871.8,88.7
2020-02-24,88.7,85.0,88.9,8214083.4,89.55
2020-02-21,89.55,86.05,89.8,11912425.85,89.85
2020-02-20,89.85,88.65,93.5,6206239.65,93.3
2020-02-19,93.3,93.05,95.7,3393760.15,94.95
2020-02-18,94.95,94.5,97.3,5272488.5,96.7
2020-02-17,96.7,96.7,98.25,5166068.3,97.15
2020-02-14,97.15,96.5,98.65,5729236.4,98.1
2020-02-13,98.1,98.1,98.9,4792974.4,98.15
2020-02-12,98.15,97.8,99.5,3948672.35,98.2
2020-02-11,98.2,97.05,98.8,3235290.35,98.1
2020-02-10,98.1,96.65,101.1,3962137.75,100.6
2020-02-07,100.6,100.6,103.3,4164430.3,101.0
2020-02-06,101.0,101.0,102.4,3356976.4,101.3
2020-02-05,101.3,101.2,103.5,3959262.9,102.8
2020-02-04,102.8,100.5,102.9,3036980.4,100.4
2020-02-03,100.4,100.0,100.9,1693166.7,100.2
2020-01-31,100.2,99.85,101.9,2570674.0,100.1
2020-01-30,100.1,100.0,101.9,2373532.4,102.4
2020-01-29,102.4,101.6,103.7,4427858.1,102.4
2020-01-28,102.4,99.95,103.7,5322562.2,102.2
2020-01-27,102.2,99.15,103.2,6947799.6,101.8
2020-01-24,101.8,101.4,104.0,2787566.8,102.6
2020-01-23,102.6,101.5,104.5,8275068.5,103.6
2020-01-22,103.6,103.3,106.7,3556626.0,105.2
2020-01-21,105.2,102.4,105.7,5487922.5,104.3
2020-01-20,104.3,103.5,106.9,8399687.4,105.4
2020-01-17,105.4,102.0,106.0,6984369.1,102.7
2020-01-16,102.7,102.6,107.5,11080391.1,106.0
2020-01-15,106.0,102.9,109.7,22839553.5,103.1
2020-01-14,103.1,102.0,103.5,5666400.2,102.7
2020-01-13,102.7,102.4,104.0,7886251.2,102.0
2020-01-10,102.0,101.0,104.6,8117844.1,100.6
2020-01-09,100.6,99.35,101.5,7348767.2,98.4
2020-01-08,98.4,95.3,98.75,6068444.25,97.75
2020-01-07,97.75,97.5,99.3,5466797.15,97.0
2020-01-06,97.0,96.55,99.5,5855006.15,100.4
2020-01-03,100.4,99.9,105.3,6920260.55,105.3
2020-01-02,105.3,102.5,106.7,6442729.1,102.1
2019-12-31,102.1,102.1,105.3,4424226.3,104.8
2019-12-30,104.8,104.0,107.8,3449550.9,106.4
2019-12-27,106.4,106.0,109.6,5858920.3,107.3
2019-12-26,107.3,106.4,113.5,4282772.5,113.5
2019-12-25,113.5,112.7,114.0,815245.9,113.4
2019-12-24,113.4,112.6,115.4,3161173.6,113.2
2019-12-23,113.2,112.5,115.7,3597052.0,112.5
2019-12-20,112.5,112.3,114.5,1615459.7,113.8
2019-12-19,113.8,112.8,114.9,1077578.3,114.5
2019-12-18,114.5,113.1,118.2,3763158.8,116.6
2019-12-17,116.6,114.7,116.7,4413787.4,114.2
2019-12-16,114.2,112.6,115.9,5722061.5,112.6
2019-12-13,112.6,112.2,120.0,21363897.4,116.5
2019-12-12,116.5,114.9,117.7,4933454.9,116.5
2019-12-11,116.5,116.4,119.0,4979314.9,116.3
2019-12-10,116.3,116.0,119.0,5614334.4,116.1
2019-12-09,116.1,112.9,119.0,7048386.0,113.5
2019-12-06,113.5,110.6,114.9,5164051.3,112.2
2019-12-05,112.2,110.5,114.9,9240989.7,111.0
2019-12-04,111.0,101.1,113.7,21236461.3,100.7
2019-12-03,100.7,97.0,102.1,12216741.15,97.35
2019-12-02,97.35,97.0,98.0,6131554.9,96.9
2019-11-29,96.9,96.85,99.4,7458628.75,98.1
2019-11-28,98.1,97.25,100.0,10701397.05,97.1
2019-11-27,97.1,96.65,97.75,3903265.2,96.8
2019-11-26,96.8,96.75,97.65,2322719.15,97.3
2019-11-25,97.3,96.6,98.15,8251946.6,97.4
2019-11-22,97.4,97.05,98.1,2960496.1,97.4
2019-11-21,97.4,97.4,98.7,2369899.95,97.45
2019-11-20,97.45,97.4,100.0,5027783.35,99.1
2019-11-19,99.1,98.9,99.95,2257021.4,99.2
2019-11-18,99.2,98.9,100.8,9103204.65,99.05
2019-11-15,99.05,98.9,100.5,5920013.75,98.55
2019-11-14,98.55,98.5,102.7,6025639.6,101.5
2019-11-13,101.5,99.95,103.8,8723063.45,100.1
2019-11-12,100.1,97.65,102.0,18655139.5,97.35
2019-11-11,97.35,97.25,98.85,1962079.1,97.4
2019-11-08,97.4,97.05,98.15,1690232.5,97.8
2019-11-07,97.8,97.1,99.1,5880771.4,98.25
2019-11-06,98.25,97.2,98.6,4131026.0,97.05
2019-11-05,97.05,95.6,98.15,8084023.4,96.0
2019-11-04,96.0,95.75,97.55,3459537.7,96.8
2019-11-01,96.8,96.7,98.25,4729462.45,97.75
2019-10-31,97.75,97.3,99.3,2149486.75,98.45
2019-10-30,98.45,98.3,100.5,4346949.5,99.4
2019-10-28,99.4,98.6,99.6,1402086.3,98.85
2019-10-25,98.85,98.85,103.0,5036256.75,102.9
2019-10-24,102.9,101.7,104.5,3597413.5,101.8
2019-10-23,101.8,101.2,102.7,4370814.0,101.4
2019-10-22,101.4,101.0,102.6,3513873.1,101.0
2019-10-21,101.0,99.35,102.1,5353142.65,101.5
2019-10-18,101.5,101.5,106.3,11170436.1,103.8
2019-10-17,103.8,98.1,107.7,17930523.7,97.85
2019-10-16,97.85,96.8,97.95,7294809.2,98.55
2019-10-15,98.55,97.1,98.55,2931425.6,97.0
2019-10-14,97.0,96.55,98.55,7258347.5,97.55
2019-10-11,97.55,97.55,99.45,1220349.7,98.2
2019-10-10,98.2,96.9,100.7,7751030.4,98.85
2019-10-09,98.85,98.1,99.9,4990947.15,98.9
2019-10-08,98.9,97.85,101.5,4044222.9,101.6
2019-10-07,101.6,101.4,108.0,7073403.4,104.4
2019-10-04,104.4,99.0,104.9,8203912.75,99.1
2019-10-03,99.1,98.2,101.0,3506589.4,100.2
2019-10-02,100.2,99.15,100.4,4545846.25,99.7
2019-10-01,99.7,99.0,101.0,5844324.2,99.25
2019-09-30,99.25,97.8,99.9,6558899.2,98.15
2019-09-27,98.15,97.55,99.4,5720366.35,97.55
2019-09-26,97.55,97.5,99.3,1836532.0,98.5
2019-09-25,98.5,97.7,100.7,5231608.5,97.65
2019-09-24,97.65,97.6,98.4,2299688.05,97.65
2019-09-23,97.65,97.2,99.35,3988457.0,98.55
2019-09-20,98.55,96.55,99.75,6046184.95,97.05
2019-09-19,97.05,97.05,100.2,2643260.4,99.5
2019-09-18,99.5,98.0,101.3,5202169.85,99.35
2019-09-17,99.35,96.65,100.3,4703765.95,97.25
2019-09-16,97.25,95.55,97.75,3681525.25,97.1
2019-09-13,97.1,96.65,98.3,3195067.3,96.85
2019-09-12,96.85,96.7,99.2,6436359.1,99.5
2019-09-11,99.5,96.95,99.5,5358922.8,98.45
2019-09-10,98.45,97.8,102.4,7088736.5,102.4
2019-09-09,102.4,101.5,104.5,8178292.0,101.7
2019-09-06,101.7,99.75,102.5,7040122.65,100.9
2019-09-05,100.9,98.8,102.4,12176828.4,99.0
2019-09-04,99.0,96.5,99.85,9713242.9,97.65
2019-09-03,97.65,97.65,100.1,15208495.6,97.45
2019-09-02,97.45,94.5,99.45,13667977.95,94.5
2019-08-29,94.5,93.4,95.2,4182976.3,94.0
2019-08-28,94.0,93.3,94.9,3072758.0,94.0
2019-08-27,94.0,92.0,94.45,8764238.7,92.0
2019-08-26,92.0,90.5,93.5,12872849.85,90.85
2019-08-23,90.85,89.6,92.2,8083596.8,89.6
2019-08-22,89.6,88.15,90.5,5864652.1,88.25
2019-08-21,88.25,87.7,90.65,6167102.65,89.45
2019-08-20,89.45,88.4,91.4,5231213.4,91.05
2019-08-19,91.05,90.4,92.5,2579784.65,91.05
2019-08-16,91.05,90.35,93.45,6408178.7,92.5
2019-08-15,92.5,87.0,94.6,4552690.9,94.75
2019-08-09,94.75,93.8,97.5,9304982.0,94.15
2019-08-08,94.15,91.2,94.9,9675215.35,91.1
2019-08-07,91.1,90.3,92.3,4326628.95,90.8
2019-08-06,90.8,90.65,92.1,2353308.1,91.65
2019-08-05,91.65,91.25,93.95,2641186.5,93.6
2019-08-02,93.6,92.55,95.45,3717319.8,94.45
2019-08-01,94.45,90.7,95.35,18045282.1,90.6
2019-07-31,90.6,90.4,92.8,3221097.1,92.05
2019-07-30,92.05,90.05,94.3,7223566.45,91.65
2019-07-29,91.65,91.6,93.35,3481370.7,92.75
2019-07-26,92.75,92.2,94.6,5248161.5,93.8
2019-07-25,93.8,93.7,98.0,13165036.0,93.95
2019-07-24,93.95,91.2,94.1,8113365.45,91.2
2019-07-23,91.2,91.0,92.25,3863005.4,91.9
2019-07-22,91.9,91.2,93.0,2503914.5,92.6
2019-07-19,92.6,91.0,94.75,6792592.8,94.1
2019-07-18,94.1,93.6,95.35,8460554.0,94.0
2019-07-17,94.0,91.85,95.45,8488111.5,91.8
2019-07-16,91.8,91.6,94.25,5204003.85,93.0
2019-07-12,93.0,91.65,95.7,4491369.3,94.3
2019-07-11,94.3,93.75,97.05,5899829.7,94.2
2019-07-10,94.2,91.2,94.75,6936676.25,94.4
2019-07-09,94.4,94.4,97.6,9273758.8,96.3
2019-07-08,96.3,95.6,97.9,7999785.55,97.7
2019-07-05,97.7,96.35,98.6,8211349.4,97.45
2019-07-04,97.45,96.8,99.9,5664353.0,98.3
2019-07-03,98.3,98.1,102.5,10721942.75,100.9
2019-07-02,100.9,98.5,102.2,16549008.5,99.05
2019-07-01,99.05,99.05,102.2,8909565.2,100.0
2019-06-28,100.0,99.8,103.7,12647163.55,100.5
2019-06-27,100.5,100.2,104.6,11651526.6,103.0
2019-06-26,103.0,94.9,105.2,28253259.3,97.0
2019-06-25,97.0,96.4,103.3,14551835.35,101.0
2019-06-24,101.0,99.85,107.6,14738692.05,103.0
2019-06-21,103.0,100.4,109.6,31235219.7,102.6
2019-06-20,102.6,102.6,116.5,38622193.4,112.0
2019-06-19,112.0,98.05,117.8,87375313.2,99.0
2019-06-18,99.0,92.95,100.7,34600807.85,92.9
2019-06-17,92.9,90.65,95.8,21775824.2,91.4
