Date,adjclose,low,high,volume,open
2020-05-29,18.78,18.4,19.15,16100253.71,18.89
2020-05-28,18.89,17.7,18.91,22042463.21,18.61
2020-05-27,18.61,17.8,19.0,26302626.61,17.75
2020-05-22,17.75,17.04,17.95,16255540.58,17.4
2020-05-21,17.4,17.3,17.97,17891487.59,17.91
2020-05-20,17.91,17.17,18.5,26242304.35,18.05
2020-05-18,18.05,17.9,18.83,32499092.31,18.9
2020-05-15,18.9,18.61,19.7,30072630.13,19.58
2020-05-14,19.58,17.25,20.84,87804359.26,19.16
2020-05-13,19.16,18.21,19.16,68226778.77,17.42
2020-05-12,17.42,17.42,17.42,6162655.98,15.84
2020-05-11,15.84,15.84,15.84,10402381.44,14.4
2020-05-08,14.4,13.65,14.69,25569405.66,14.32
2020-05-07,14.32,13.5,15.11,28239202.38,14.65
2020-05-06,14.65,14.43,15.48,55558612.5,16.03
2020-05-05,16.03,13.13,16.03,66622798.7,14.58
2020-05-04,14.58,14.58,14.58,2803588.2,16.2
2020-04-30,16.2,16.2,16.2,17348968.8,18.0
2020-04-29,18.0,18.0,19.07,69370877.4,17.34
2020-04-28,17.34,16.48,17.34,213239950.16,15.77
2020-04-27,15.77,15.77,15.77,5353631.14,14.34
2020-04-24,14.34,13.28,14.34,89577615.86,13.04
2020-04-22,13.04,11.63,13.04,206921958.7,11.86
2020-04-21,11.86,10.98,11.86,212681312.29,10.78
2020-04-20,10.78,10.66,11.07,48333375.39,10.78
2020-04-17,10.78,10.74,11.56,120901300.81,10.78
2020-04-17,10.78,10.74,11.56,120901300.81,10.96
2020-04-16,10.96,10.03,10.96,149432284.91,9.97
2020-04-15,9.97,9.7,10.18,39582349.05,10.12
2020-04-14,10.12,10.09,10.26,52696286.61,10.06
2020-04-13,10.06,9.96,10.27,48183681.04,10.05
2020-04-10,10.05,9.93,10.25,37875318.18,10.08
2020-04-09,10.08,9.76,10.48,136193925.59,9.75
2020-04-08,9.75,9.63,10.07,25920020.55,9.94
2020-04-07,9.94,9.9,10.43,67843534.33,10.06
2020-04-06,10.06,9.89,10.27,38766120.79,9.95
2020-04-03,9.95,9.88,10.38,37564255.18,10.17
2020-04-02,10.17,9.58,10.4,86747466.48,9.79
2020-04-01,9.79,9.76,10.63,56861618.07,10.36
2020-03-31,10.36,9.44,10.83,160813473.24,10.17
2020-03-30,10.17,9.99,11.61,106093433.06,11.09
2020-03-27,11.09,10.82,12.43,293186759.79,11.86
2020-03-26,11.86,10.63,12.05,225648091.45,11.05
2020-03-25,11.05,10.1,11.2,227749069.8,10.21
2020-03-24,10.21,9.71,10.21,86429510.79,9.29
2020-03-23,9.29,8.04,9.29,59422851.75,8.44
2020-03-20,8.44,7.86,8.44,62188737.88,7.68
2020-03-19,7.68,7.34,7.83,44666218.68,7.36
2020-03-18,7.36,6.95,7.92,62839745.1,7.71
2020-03-17,7.71,7.71,8.49,17528892.34,8.56
2020-03-16,8.56,8.56,10.05,70656310.79,9.5
2020-03-13,9.5,9.5,11.17,118886754.27,10.56
2020-03-12,10.56,8.74,11.84,323093162.45,9.87
2020-03-11,9.87,8.3,9.87,158686414.12,8.23
2020-03-10,8.23,8.19,9.78,50858988.03,8.97
2020-03-09,8.97,8.54,11.03,181712786.76,9.56
2020-03-06,9.56,9.16,9.69,8910185.08,9.61
2020-03-05,9.61,9.54,9.84,7646882.58,9.73
2020-03-04,9.73,9.62,9.99,6443819.19,9.84
2020-03-03,9.84,9.74,9.99,9463967.1,9.74
2020-03-02,9.74,9.41,9.89,6922978.47,9.28
2020-02-28,9.28,8.05,9.59,6665453.18,9.88
2020-02-27,9.88,9.76,10.37,6754275.37,10.38
2020-02-26,10.38,10.23,10.56,10043596.43,10.54
2020-02-25,10.54,10.43,10.72,8322043.62,10.54
2020-02-24,10.54,10.38,10.74,10394369.6,10.66
2020-02-21,10.66,10.17,10.77,10785427.3,10.55
2020-02-20,10.55,10.22,10.93,14096634.89,10.91
2020-02-19,10.91,10.75,11.11,8118731.1,10.86
2020-02-18,10.86,10.71,11.4,17566698.4,11.26
2020-02-17,11.26,11.16,11.38,12021256.97,11.21
2020-02-14,11.21,11.04,11.32,11702269.25,11.2
2020-02-13,11.2,10.99,11.23,10151305.36,11.02
2020-02-12,11.02,10.96,11.37,16922281.76,11.19
2020-02-11,11.19,10.81,11.26,14989408.42,11.0
2020-02-10,11.0,10.55,11.32,16295745.34,11.3
2020-02-07,11.3,11.2,11.52,9701922.52,11.38
2020-02-06,11.38,11.29,11.72,16188103.83,11.52
2020-02-05,11.52,11.04,11.62,25518757.3,11.02
2020-02-04,11.02,10.96,11.18,12990497.13,11.07
2020-02-03,11.07,10.99,11.3,20443246.62,11.14
2020-01-31,11.14,10.76,11.36,23074071.95,10.85
2020-01-30,10.85,10.58,11.25,37742345.98,10.76
2020-01-29,10.76,10.51,10.87,13991994.23,10.59
2020-01-28,10.59,10.56,10.97,16819528.28,10.71
2020-01-27,10.71,10.48,11.0,23318485.06,10.52
2020-01-24,10.52,10.16,10.64,22693729.3,10.19
2020-01-23,10.19,9.67,10.43,29648614.55,9.67
2020-01-22,9.67,9.48,9.72,13038275.66,9.55
2020-01-21,9.55,9.37,9.65,16367885.54,9.37
2020-01-20,9.37,9.18,9.38,9797319.25,9.14
2020-01-17,9.14,9.06,9.28,7136559.75,9.21
2020-01-16,9.21,9.07,9.38,12058582.45,9.12
2020-01-15,9.12,9.05,9.23,8963139.85,9.12
2020-01-14,9.12,8.99,9.24,9435338.67,9.14
2020-01-13,9.14,8.81,9.28,18743716.86,8.76
2020-01-10,8.76,8.71,8.92,5205617.59,8.87
2020-01-09,8.87,8.67,8.94,8233166.8,8.48
2020-01-08,8.48,8.25,8.56,7422359.33,8.52
2020-01-07,8.52,8.38,8.67,7374287.31,8.32
2020-01-06,8.32,8.25,8.7,8511617.26,8.72
2020-01-03,8.72,8.48,9.02,11036048.01,8.97
2020-01-02,8.97,8.93,9.07,5990598.57,8.93
2019-12-31,8.93,8.87,9.01,4299721.46,8.93
2019-12-30,8.93,8.9,9.16,10403838.1,8.88
2019-12-27,8.88,8.71,8.94,6679364.23,8.82
2019-12-26,8.82,8.76,9.02,5729539.89,8.87
2019-12-25,8.87,8.54,9.02,11046703.08,8.57
2019-12-24,8.57,8.55,8.76,8190175.17,8.6
2019-12-23,8.6,8.2,8.78,15030954.25,8.28
2019-12-20,8.28,8.08,8.4,7885784.03,8.13
2019-12-19,8.13,8.0,8.18,8547288.62,8.05
2019-12-18,8.05,8.0,8.43,6860150.06,8.39
2019-12-17,8.39,8.29,8.64,7064473.36,8.5
2019-12-16,8.5,8.43,8.61,3269344.53,8.55
2019-12-13,8.55,8.51,8.75,8940679.03,8.63
2019-12-12,8.63,8.46,8.66,6134580.42,8.45
2019-12-11,8.45,7.95,8.55,5034521.73,8.47
2019-12-10,8.47,8.41,8.67,5845590.66,8.65
2019-12-09,8.65,8.56,8.73,6006933.67,8.68
2019-12-06,8.68,8.5,8.75,8245403.01,8.54
2019-12-05,8.54,8.48,8.76,8392587.02,8.59
2019-12-04,8.59,8.49,8.67,7147467.95,8.55
2019-12-03,8.55,8.33,8.79,15702583.13,8.41
2019-12-02,8.41,8.18,8.46,10006063.9,8.16
2019-11-29,8.16,7.98,8.4,23268999.36,7.99
2019-11-28,7.99,7.77,8.12,12607946.78,7.83
2019-11-27,7.83,7.79,7.96,5075059.27,7.94
2019-11-26,7.94,7.77,7.97,4272940.17,7.8
2019-11-25,7.8,7.76,7.99,4963571.65,7.92
2019-11-22,7.92,7.87,8.01,4227402.13,7.92
2019-11-21,7.92,7.88,8.01,4428259.38,7.93
2019-11-20,7.93,7.89,8.05,5684941.96,7.9
2019-11-19,7.9,7.9,8.06,8186436.83,7.94
2019-11-18,7.94,7.85,8.1,9354842.52,8.0
2019-11-15,8.0,7.69,8.0,11540450.75,7.67
2019-11-14,7.67,7.64,7.83,5311776.5,7.79
2019-11-13,7.79,7.79,7.93,7354573.19,7.83
2019-11-12,7.83,7.75,7.96,9185449.0,7.87
2019-11-11,7.87,7.57,8.02,26048688.17,7.52
2019-11-08,7.52,7.45,7.66,5354488.08,7.51
2019-11-07,7.51,7.39,7.7,10914072.96,7.39
2019-11-06,7.39,7.28,7.46,3853726.28,7.33
2019-11-05,7.33,7.31,7.56,3340329.61,7.52
2019-11-04,7.52,7.27,7.57,7361752.87,7.38
2019-11-01,7.38,6.92,7.41,7863775.21,6.98
2019-10-31,6.98,6.82,7.11,3716493.51,6.9
2019-10-30,6.9,6.86,7.14,7025381.11,7.14
2019-10-28,7.14,7.09,7.22,2837904.63,7.09
2019-10-25,7.09,7.05,7.24,5450816.93,7.14
2019-10-24,7.14,7.14,7.47,8241367.81,7.35
2019-10-23,7.35,7.11,7.37,6366906.03,7.08
2019-10-22,7.08,6.89,7.15,4957871.28,6.91
2019-10-21,6.91,6.9,7.13,3078229.37,7.05
2019-10-18,7.05,6.82,7.14,7767718.2,6.78
2019-10-17,6.78,6.5,6.82,3927708.21,6.52
2019-10-16,6.52,6.43,6.59,3105154.64,6.62
2019-10-15,6.62,6.36,6.72,4494622.67,6.34
2019-10-14,6.34,6.22,6.46,3088954.52,6.46
2019-10-11,6.46,6.44,6.58,3444934.77,6.42
2019-10-10,6.42,6.24,6.5,4378575.22,6.38
2019-10-09,6.38,6.36,6.65,3865030.45,6.52
2019-10-08,6.52,6.34,6.69,9345658.72,6.72
2019-10-07,6.72,6.72,6.87,4386036.72,6.8
2019-10-04,6.8,6.7,6.91,4068233.99,6.67
2019-10-03,6.67,6.65,6.89,4201234.21,6.82
2019-10-02,6.82,6.79,6.94,3592728.08,6.91
2019-10-01,6.91,6.79,7.14,3803288.4,6.95
2019-09-30,6.95,6.75,6.97,3922229.56,6.8
2019-09-27,6.8,6.77,6.98,4283781.98,6.95
2019-09-26,6.95,6.89,7.09,2456309.38,7.02
2019-09-25,7.02,6.95,7.13,1502990.82,7.11
2019-09-24,7.11,7.09,7.2,2387357.26,7.15
2019-09-23,7.15,6.95,7.15,4107804.25,6.91
2019-09-20,6.91,6.82,7.06,3483860.88,6.91
2019-09-19,6.91,6.85,7.33,16735535.19,7.03
2019-09-18,7.03,6.88,7.09,7160478.64,6.88
2019-09-17,6.88,6.81,6.95,5296997.35,6.82
2019-09-16,6.82,6.8,6.92,4990851.18,6.84
2019-09-13,6.84,6.83,6.99,5497167.28,6.92
2019-09-12,6.92,6.6,6.95,9847389.65,6.63
2019-09-11,6.63,6.41,6.76,9186823.9,6.43
2019-09-10,6.43,6.37,6.46,1996700.09,6.43
2019-09-09,6.43,6.35,6.48,3033121.13,6.38
2019-09-06,6.38,6.28,6.51,2804522.19,6.48
2019-09-05,6.48,6.45,6.56,7248950.59,6.49
2019-09-04,6.49,6.37,6.5,7823579.56,6.45
2019-09-03,6.45,6.24,6.45,8801565.9,6.24
2019-09-02,6.24,6.14,6.31,7391216.59,6.16
2019-08-29,6.16,6.11,6.23,3255280.21,6.14
2019-08-28,6.14,6.09,6.23,3944923.02,6.17
2019-08-27,6.17,6.15,6.28,4073305.28,6.22
2019-08-26,6.22,6.08,6.33,10749411.89,6.21
2019-08-23,6.21,5.82,6.24,16351438.89,5.8
2019-08-22,5.8,5.63,5.83,5459207.4,5.76
2019-08-21,5.76,5.73,6.05,15181804.12,5.92
2019-08-20,5.92,5.69,6.17,56030908.72,5.55
2019-08-19,5.55,5.31,5.57,5778492.83,5.38
2019-08-16,5.38,5.26,5.6,7122807.94,5.55
2019-08-15,5.55,5.25,5.55,7397832.41,5.23
2019-08-09,5.23,5.2,5.27,2395292.05,5.24
2019-08-08,5.24,5.16,5.31,2459749.13,5.17
2019-08-07,5.17,5.15,5.37,3725364.58,5.27
2019-08-06,5.27,5.23,5.31,874779.49,5.23
2019-08-05,5.23,5.21,5.34,1820118.23,5.29
2019-08-02,5.29,5.26,5.54,3578623.24,5.57
2019-08-01,5.57,5.48,5.66,1919594.42,5.64
2019-07-31,5.64,5.57,5.7,1407185.03,5.64
2019-07-30,5.64,5.47,5.66,2815062.9,5.55
2019-07-29,5.55,5.49,5.74,4272409.12,5.69
2019-07-26,5.69,5.62,5.86,3284845.77,5.84
2019-07-25,5.84,5.76,5.96,2324008.59,5.82
2019-07-24,5.82,5.72,5.87,6739029.6,5.82
2019-07-23,5.82,5.81,5.94,4446337.96,5.8
2019-07-22,5.8,5.62,5.81,4058886.58,5.66
2019-07-19,5.66,5.65,5.86,3033038.35,5.8
2019-07-18,5.8,5.59,5.8,3928728.81,5.59
2019-07-17,5.59,5.35,5.62,3992277.28,5.37
2019-07-16,5.37,5.29,5.46,724225.71,5.4
2019-07-12,5.4,5.37,5.54,707004.0,5.51
2019-07-11,5.51,5.47,5.59,1145237.74,5.44
2019-07-10,5.44,5.35,5.47,632485.59,5.38
2019-07-09,5.38,5.38,5.66,1538026.76,5.54
2019-07-08,5.54,5.34,5.58,1934132.49,5.42
2019-07-05,5.42,5.42,5.62,1178721.61,5.55
2019-07-04,5.55,5.51,5.61,656057.55,5.57
2019-07-03,5.57,5.47,5.65,1363371.15,5.6
2019-07-02,5.6,5.59,5.86,4098494.14,5.75
2019-07-01,5.75,5.56,5.75,5163089.17,5.5
2019-06-28,5.5,5.37,5.59,3998827.02,5.4
2019-06-27,5.4,5.25,5.4,1256644.71,5.29
2019-06-26,5.29,5.27,5.43,1464351.86,5.41
2019-06-25,5.41,5.19,5.42,2328798.6,5.26
2019-06-24,5.26,5.19,5.31,958927.82,5.21
2019-06-21,5.21,5.19,5.32,1011356.58,5.31
2019-06-20,5.31,5.29,5.42,1469759.96,5.37
2019-06-19,5.37,5.32,5.52,2448452.94,5.48
2019-06-18,5.48,5.35,5.52,2828414.87,5.36
2019-06-17,5.36,5.29,5.42,3752553.44,5.35
2019-06-14,5.35,5.14,5.4,3660869.16,5.16
2019-06-13,5.16,5.11,5.31,3069204.94,5.34
2019-06-12,5.34,5.29,5.44,2895599.44,5.41
