Date,adjclose,low,high,volume,open
2020-05-29,570.0,553.2,575.0,38952353.2,553.2
2020-05-28,553.2,552.0,562.9,11188721.8,559.8
2020-05-27,559.8,551.9,560.8,22160495.6,552.0
2020-05-22,552.0,548.4,555.0,13110526.4,554.1
2020-05-21,554.1,552.5,571.0,12041017.7,553.5
2020-05-20,553.5,547.5,558.0,12858279.5,555.0
2020-05-18,555.0,541.0,568.5,23808482.3,562.2
2020-05-15,562.2,557.0,572.0,16483064.2,554.5
2020-05-14,554.5,551.0,587.0,36204126.9,580.5
2020-05-13,580.5,549.0,593.0,81991876.5,552.1
2020-05-12,552.1,490.7,559.0,48200505.9,510.3
2020-05-11,510.3,510.0,529.5,10951118.2,526.7
2020-05-08,526.7,524.6,536.0,7035264.6,532.2
2020-05-07,532.2,527.1,536.3,8657020.7,536.5
2020-05-06,536.5,535.6,542.1,7079944.2,539.0
2020-05-05,539.0,535.9,545.0,7564280.7,538.5
2020-05-04,538.5,525.0,549.9,11660165.3,550.9
2020-04-30,550.9,544.0,562.0,17926271.8,558.7
2020-04-29,558.7,551.0,564.0,15765129.7,561.0
2020-04-28,561.0,560.0,568.1,14531675.7,564.5
2020-04-27,564.5,561.0,569.0,25232294.8,560.5
2020-04-24,560.5,560.2,568.0,21639910.7,561.11
2020-04-22,561.11,551.52,567.41,24792148.3,555.1
2020-04-21,555.1,548.71,558.5,13756950.8,558.5
2020-04-20,558.5,550.55,562.57,22478609.3,550.45
2020-04-17,550.45,529.13,564.02,37534259.1,550.45
2020-04-17,550.45,529.13,564.02,37534259.1,535.53
2020-04-16,535.53,523.32,540.76,17544970.1,535.53
2020-04-16,535.53,523.32,540.76,17544970.1,536.98
2020-04-15,536.98,528.16,557.24,19614663.1,536.98
2020-04-15,536.98,528.16,557.24,19614663.1,555.2
2020-04-14,555.2,553.84,564.12,19296043.2,555.2
2020-04-14,555.2,553.84,564.12,19296043.2,553.75
2020-04-13,553.75,539.4,570.71,26871191.6,553.75
2020-04-13,553.75,539.4,570.71,26871191.6,549.48
2020-04-10,549.48,541.15,557.33,22454923.5,549.48
2020-04-10,549.48,541.15,557.33,22454923.5,553.65
2020-04-09,553.65,548.51,581.37,63481142.1,553.65
2020-04-09,553.65,548.51,581.37,63481142.1,554.33
2020-04-08,554.33,514.11,558.2,61421892.2,554.33
2020-04-08,554.33,514.11,558.2,61421892.2,516.73
2020-04-07,516.73,480.0,524.96,39362519.4,516.73
2020-04-07,516.73,480.0,524.96,39362519.4,477.28
2020-04-06,477.28,467.59,477.87,15654488.0,477.28
2020-04-06,477.28,467.59,477.87,15654488.0,468.08
2020-04-03,468.08,462.26,470.4,6148592.0,468.08
2020-04-03,468.08,462.26,470.4,6148592.0,467.3
2020-04-02,467.3,461.58,477.77,9623713.8,467.3
2020-04-02,467.3,461.58,477.77,9623713.8,473.7
2020-04-01,473.7,470.99,479.71,12697933.8,473.7
2020-04-01,473.7,470.99,479.71,12697933.8,481.55
2020-03-31,481.55,470.6,485.52,17594373.3,481.55
2020-03-31,481.55,470.6,485.52,17594373.3,470.02
2020-03-30,470.02,447.34,489.2,27183040.3,470.02
2020-03-30,470.02,447.34,489.2,27183040.3,449.66
2020-03-27,449.66,425.92,453.64,25630048.1,449.66
2020-03-27,449.66,425.92,453.64,25630048.1,444.82
2020-03-26,444.82,415.75,448.11,21443299.6,444.82
2020-03-26,444.82,415.75,448.11,21443299.6,424.47
2020-03-25,424.47,410.61,452.48,23542122.2,424.47
2020-03-25,424.47,410.61,452.48,23542122.2,418.17
2020-03-24,418.17,387.64,418.17,17577029.0,418.17
2020-03-24,418.17,387.64,418.17,17577029.0,380.57
2020-03-23,380.57,375.43,394.43,13262725.1,380.57
2020-03-23,380.57,375.43,394.43,13262725.1,401.02
2020-03-20,401.02,394.04,408.67,12922704.9,401.02
2020-03-20,401.02,394.04,408.67,12922704.9,392.49
2020-03-19,392.49,392.49,417.3,14324969.4,392.49
2020-03-19,392.49,392.49,417.3,14324969.4,419.62
2020-03-18,419.62,416.33,454.51,17245314.6,419.62
2020-03-18,419.62,416.33,454.51,17245314.6,435.23
2020-03-17,435.23,409.06,460.32,14205255.6,435.23
2020-03-17,435.23,409.06,460.32,14205255.6,454.51
2020-03-16,454.51,452.67,484.55,15335976.8,454.51
2020-03-16,454.51,452.67,484.55,15335976.8,502.87
2020-03-13,502.87,471.47,517.99,14125418.6,502.87
2020-03-13,502.87,471.47,517.99,14125418.6,481.65
2020-03-12,481.65,476.51,502.0,12784498.1,481.65
2020-03-12,481.65,476.51,502.0,12784498.1,502.97
2020-03-11,502.97,485.52,532.91,14554413.7,502.97
2020-03-11,502.97,485.52,532.91,14554413.7,524.67
2020-03-10,524.67,520.22,590.28,17255059.2,524.67
2020-03-10,524.67,520.22,590.28,17255059.2,562.08
2020-03-09,562.08,542.7,595.03,17270784.6,562.08
2020-03-09,562.08,542.7,595.03,17270784.6,602.78
2020-03-06,602.78,592.9,628.17,14646301.9,602.78
2020-03-06,602.78,592.9,628.17,14646301.9,620.42
2020-03-05,620.42,620.42,649.3,7900341.1,620.42
2020-03-05,620.42,620.42,649.3,7900341.1,634.76
2020-03-04,634.76,634.76,652.01,5980657.0,634.76
2020-03-04,634.76,634.76,652.01,5980657.0,642.52
2020-03-03,642.52,635.54,648.82,10558474.1,642.52
2020-03-03,642.52,635.54,648.82,10558474.1,630.02
2020-03-02,630.02,630.02,670.81,14940810.0,630.02
2020-03-02,630.02,630.02,670.81,14940810.0,646.88
2020-02-28,646.88,532.04,651.92,15290330.0,646.88
2020-02-28,646.88,532.04,651.92,15290330.0,658.02
2020-02-27,658.02,655.79,696.79,31971819.6,658.02
2020-02-27,658.02,655.79,696.79,31971819.6,678.08
2020-02-26,678.08,668.68,679.44,8963316.5,678.08
2020-02-26,678.08,668.68,679.44,8963316.5,674.59
2020-02-25,674.59,674.5,689.03,12634904.9,674.59
2020-02-25,674.59,674.5,689.03,12634904.9,680.8
2020-02-24,680.8,674.5,692.52,17058710.0,680.8
2020-02-24,680.8,674.5,692.52,17058710.0,680.41
2020-02-21,680.41,652.69,685.93,19434295.1,680.41
2020-02-21,680.41,652.69,685.93,19434295.1,658.6
2020-02-20,658.6,654.15,680.31,21451692.6,658.6
2020-02-20,658.6,654.15,680.31,21451692.6,681.28
2020-02-19,681.28,665.58,681.77,20030901.2,681.28
2020-02-19,681.28,665.58,681.77,20030901.2,664.32
2020-02-18,664.32,653.27,675.18,25686537.8,664.32
2020-02-18,664.32,653.27,675.18,25686537.8,673.72
2020-02-17,673.72,671.59,684.19,13392997.7,673.72
2020-02-17,673.72,671.59,684.19,13392997.7,682.15
2020-02-14,682.15,670.62,683.22,18348064.3,682.15
2020-02-14,682.15,670.62,683.22,18348064.3,678.37
2020-02-13,678.37,678.08,696.69,30600452.3,678.37
2020-02-13,678.37,678.08,696.69,30600452.3,693.88
