Date,adjclose,low,high,volume,open
2020-05-29,5.49,5.49,5.67,24630228.26,5.68
2020-05-28,5.68,5.61,5.73,8317657.17,5.68
2020-05-27,5.68,5.55,5.71,20215021.75,5.48
2020-05-22,5.48,5.45,5.52,7591633.06,5.45
2020-05-21,5.45,5.45,5.57,13667236.96,5.46
2020-05-20,5.46,5.45,5.57,9992252.12,5.54
2020-05-18,5.54,5.51,5.6,8874659.52,5.53
2020-05-15,5.53,5.49,5.58,6462556.55,5.53
2020-05-14,5.53,5.51,5.63,5744019.93,5.63
2020-05-13,5.63,5.55,5.63,12135605.33,5.61
2020-05-12,5.61,5.58,5.67,13481041.29,5.58
2020-05-11,5.58,5.55,5.68,11598580.69,5.54
2020-05-08,5.54,5.5,5.61,10178143.99,5.5
2020-05-07,5.5,5.36,5.54,12518163.6,5.38
2020-05-06,5.38,5.38,5.5,7316369.41,5.47
2020-05-05,5.47,5.44,5.54,3601995.53,5.5
2020-05-04,5.5,5.37,5.57,8681814.17,5.4
2020-04-30,5.4,5.4,5.64,9674109.74,5.59
2020-05-18,6.2,6.17,6.27,8874659.52,6.19
2020-05-15,6.19,6.15,6.25,6462556.55,6.19
2020-05-14,6.19,6.17,6.3,5744019.93,6.3
2020-05-13,6.3,6.22,6.3,12135605.33,6.28
2020-05-12,6.28,6.25,6.35,13481041.29,6.25
2020-05-11,6.25,6.22,6.36,11598580.69,6.21
2020-05-08,6.21,6.16,6.28,10178143.99,6.16
2020-05-07,6.16,6.0,6.21,12518163.6,6.02
2020-05-06,6.02,6.02,6.16,7316369.41,6.13
2020-05-05,6.13,6.09,6.21,3601995.53,6.16
2020-05-04,6.16,6.01,6.24,8681814.17,6.05
2020-04-30,6.05,6.05,6.32,9674109.74,6.26
2020-04-29,6.26,6.18,6.35,6150658.7,6.19
2020-04-28,6.19,6.19,6.35,7297813.92,6.32
2020-04-27,6.32,6.27,6.39,13249415.95,6.3
2020-04-24,6.3,6.3,6.42,7887698.74,6.39
2020-04-22,6.39,6.28,6.46,14883061.49,6.37
2020-04-21,6.37,6.23,6.56,16497057.38,6.43
2020-04-20,6.43,6.4,6.64,12843433.04,6.48
2020-04-17,6.48,6.11,6.6,31295734.39,6.48
2020-04-17,6.48,6.11,6.6,31295734.39,6.05
2020-04-16,6.05,5.96,6.09,9446837.54,6.05
