Date,adjclose,low,high,volume,open
2020-05-29,7.82,7.76,7.93,1762494987.74,7.78
2020-05-28,7.78,7.64,7.86,2225889239.59,7.64
2020-05-27,7.64,7.57,7.77,1989464645.73,7.54
2020-05-22,7.54,7.51,7.6,500967893.6,7.6
2020-05-21,7.6,7.58,7.74,967277402.66,7.71
2020-05-20,7.71,7.68,7.8,696962294.88,7.75
2020-05-18,7.75,7.74,7.85,836067681.72,7.7
2020-05-15,7.7,7.68,7.81,500923551.04,7.69
2020-05-14,7.69,7.67,7.85,839631584.05,7.9
2020-05-13,7.9,7.88,8.02,659069792.66,7.91
2020-05-12,7.91,7.72,7.96,978119699.61,7.76
2020-05-11,7.76,7.73,7.95,784521382.77,7.86
2020-05-08,7.86,7.86,8.13,933860473.84,8.02
2020-05-07,8.02,7.96,8.17,1180299564.27,8.07
2020-05-06,8.07,8.05,8.16,694508265.92,8.14
2020-05-05,8.14,8.13,8.28,792784212.89,8.17
2020-05-04,8.17,8.08,8.23,664356622.62,8.34
2020-04-30,8.34,8.23,8.54,1572591850.5,8.41
2020-04-29,8.41,8.31,8.45,792046440.1,8.31
2020-04-28,8.31,8.31,8.49,965151051.84,8.36
2020-04-27,8.36,8.23,8.4,1219314054.11,8.12
2020-04-24,8.12,7.97,8.24,888485504.68,8.07
2020-04-22,8.07,8.07,8.31,1081946171.7,8.18
2020-04-21,8.18,8.17,8.35,668724758.3,8.39
2020-04-20,8.39,8.34,8.51,853628263.6,8.39
2020-04-17,8.39,8.35,8.59,1031990148.55,8.25
2020-04-16,8.25,8.12,8.37,954707107.83,8.21
2020-04-15,8.21,8.21,8.6,1043836306.99,8.58
2020-04-14,8.58,8.49,8.69,1141913196.17,8.46
2020-04-13,8.46,8.36,8.67,1146660456.44,8.63
2020-04-10,8.63,8.36,8.94,1839858568.28,8.49
2020-04-09,8.49,7.93,8.49,1976562286.18,7.87
2020-04-08,7.87,7.74,7.88,703132731.09,7.81
2020-04-07,7.81,7.81,8.06,1167552613.68,7.76
2020-04-06,7.76,7.59,7.79,698450069.81,7.54
2020-04-03,7.54,7.47,7.6,552972163.78,7.6
2020-04-02,7.6,7.56,7.98,652218900.47,7.84
2020-04-01,7.84,7.79,8.19,714081653.16,8.13
2020-03-31,8.13,8.11,8.34,800765940.45,8.04
2020-03-30,8.04,7.82,8.16,589563595.39,7.88
2020-03-27,7.88,7.77,8.15,975622112.21,7.94
2020-03-26,7.94,7.45,7.97,994331066.54,7.5
2020-03-25,7.5,7.45,7.93,1294671714.87,7.58
2020-03-24,7.58,7.21,7.6,1050995962.21,6.91
2020-03-23,6.91,6.76,7.33,1534925260.69,7.46
2020-03-20,7.46,7.41,7.85,926810685.01,7.58
2020-03-19,7.58,7.56,8.19,1041053481.71,8.0
2020-03-18,8.0,8.0,8.52,709657865.55,8.0
2020-03-18,8.0,8.0,8.52,709657865.55,8.39
2020-03-17,8.39,7.88,8.39,857224520.56,8.39
2020-03-17,8.39,7.88,8.39,857224520.56,8.19
2020-03-16,8.19,8.11,8.57,699537505.3,8.19
2020-03-16,8.19,8.11,8.57,699537505.3,9.01
2020-03-13,9.01,8.66,9.38,724084614.76,9.01
2020-03-13,9.01,8.66,9.38,724084614.76,8.74
2020-03-12,8.74,8.67,9.4,486370904.01,8.74
2020-03-12,8.74,8.67,9.4,486370904.01,9.58
2020-03-11,9.58,9.33,9.62,566682026.84,9.58
2020-03-11,9.58,9.33,9.62,566682026.84,9.35
2020-03-10,9.35,9.27,9.66,780188619.81,9.35
2020-03-10,9.35,9.27,9.66,780188619.81,9.18
2020-03-09,9.18,9.18,9.72,535886330.76,9.18
2020-03-09,9.18,9.18,9.72,535886330.76,10.03
2020-03-06,10.03,9.89,10.27,412642608.36,10.03
2020-03-06,10.03,9.89,10.27,412642608.36,10.3
2020-03-05,10.3,10.28,10.62,657536561.98,10.3
2020-03-05,10.3,10.28,10.62,657536561.98,10.36
2020-03-04,10.36,10.08,10.62,655580981.93,10.36
2020-03-04,10.36,10.08,10.62,655580981.93,10.19
2020-03-03,10.19,9.7,10.19,660204564.34,10.19
2020-03-03,10.19,9.7,10.19,660204564.34,9.57
2020-03-02,9.57,9.49,9.91,507050743.99,9.57
2020-03-02,9.57,9.49,9.91,507050743.99,9.5
2020-02-28,9.5,8.79,9.96,641951297.93,9.5
2020-02-28,9.5,8.79,9.96,641951297.93,10.19
2020-02-27,10.19,10.15,10.54,579478358.83,10.19
2020-02-27,10.19,10.15,10.54,579478358.83,10.63
2020-02-26,10.63,10.49,10.69,705588418.03,10.63
2020-02-26,10.63,10.49,10.69,705588418.03,10.66
2020-02-25,10.66,10.63,10.87,414483595.45,10.66
2020-02-25,10.66,10.63,10.87,414483595.45,10.74
2020-02-24,10.74,10.62,10.81,420708645.79,10.74
2020-02-24,10.74,10.62,10.81,420708645.79,11.09
2020-02-21,11.09,10.86,11.35,496860488.23,11.09
2020-02-21,11.09,10.86,11.35,496860488.23,11.03
2020-02-20,11.03,10.87,11.41,688787938.64,11.03
2020-02-20,11.03,10.87,11.41,688787938.64,11.44
2020-02-19,11.44,11.34,11.67,368057405.11,11.44
2020-02-19,11.44,11.34,11.67,368057405.11,11.62
2020-02-18,11.62,11.54,11.69,211132446.15,11.62
2020-02-18,11.62,11.54,11.69,211132446.15,11.73
2020-02-17,11.73,11.58,11.76,306269353.68,11.73
2020-02-17,11.73,11.58,11.76,306269353.68,11.52
2020-02-14,11.52,11.52,11.78,309147243.0,11.68
2020-02-13,11.68,11.6,11.75,320559645.48,11.71
2020-02-12,11.71,11.71,12.06,634799158.77,11.92
2020-02-11,11.92,11.47,11.97,970086793.55,11.78
2020-02-10,11.78,11.65,12.01,659785823.05,11.97
2020-02-07,11.97,11.97,12.3,446111902.52,12.27
2020-02-06,12.27,12.21,12.62,568201011.16,12.38
2020-02-05,12.38,12.26,12.53,515452668.82,12.27
2020-02-04,12.27,11.92,12.31,555092224.54,11.83
2020-02-03,11.83,11.75,11.96,321385400.71,11.9
2020-01-31,11.9,11.9,12.17,358404816.5,12.1
2020-01-30,12.1,11.74,12.18,515799936.16,11.85
2020-01-29,11.85,11.68,11.88,409427027.55,11.79
2020-01-28,11.79,11.68,11.89,421537301.98,11.77
2020-01-27,11.77,11.64,11.89,358005535.2,11.97
2020-01-24,11.97,11.66,12.28,666512604.69,12.06
2020-01-23,12.06,12.04,12.32,675346684.89,12.17
2020-01-22,12.17,12.17,12.61,421861926.05,12.48
2020-01-21,12.48,12.1,12.52,359474153.13,12.23
2020-01-20,12.23,12.21,12.37,278332926.4,12.2
2020-01-17,12.2,12.09,12.35,227064222.41,12.2
2020-01-16,12.2,12.17,12.41,495567270.07,12.13
2020-01-15,12.13,12.01,12.26,309395288.16,12.18
2020-01-14,12.18,12.03,12.31,447980595.75,12.2
2020-01-13,12.2,12.05,12.35,423525129.09,11.97
2020-01-10,11.97,11.85,12.04,407619646.12,11.92
2020-01-09,11.92,11.35,12.0,643725722.39,11.1
2020-01-08,11.1,10.4,11.1,543065989.24,10.63
2020-01-07,10.63,10.57,10.78,252208760.99,10.55
2020-01-06,10.55,10.55,10.82,415681125.83,10.9
2020-01-03,10.9,10.87,11.14,508122207.71,11.27
2020-01-02,11.27,11.12,11.27,204975632.62,11.14
2019-12-31,11.14,11.06,11.26,258755527.69,11.21
2019-12-30,11.21,11.07,11.38,268919048.85,11.06
2019-12-27,11.06,10.96,11.09,130995881.66,11.03
2019-12-26,11.03,10.95,11.11,101736991.99,11.0
2019-12-25,11.0,10.95,11.03,66112588.69,11.0
2019-12-24,11.0,10.99,11.06,127732657.51,10.89
2019-12-23,10.89,10.76,10.89,166098944.81,10.84
2019-12-20,10.84,10.77,10.96,274530036.54,10.75
2019-12-19,10.75,10.74,10.82,173774693.69,10.76
2019-12-18,10.76,10.69,10.81,336391358.33,10.88
2019-12-17,10.88,10.88,11.04,327228576.6,10.92
2019-12-16,10.92,10.84,11.07,374196735.01,10.98
2019-12-13,10.98,10.67,11.14,828493159.17,10.58
2019-12-12,10.58,10.4,10.59,584011586.37,10.33
2019-12-11,10.33,10.27,10.38,212213981.11,10.34
2019-12-10,10.34,10.27,10.41,239498053.38,10.32
2019-12-09,10.32,10.19,10.36,266392738.7,10.36
2019-12-06,10.36,10.31,10.54,450587939.27,10.32
2019-12-05,10.32,10.21,10.41,379902169.34,10.2
2019-12-04,10.2,9.95,10.21,419675153.61,9.9
2019-12-03,9.9,9.88,10.28,568624817.78,10.14
2019-12-02,10.14,10.09,10.19,305171994.02,10.1
2019-11-29,10.1,10.01,10.19,435878796.58,10.09
2019-11-28,10.09,10.03,10.1,191584384.9,10.03
2019-11-27,10.03,9.95,10.11,344371766.69,10.01
2019-11-26,10.01,9.82,10.04,504758560.37,9.93
2019-11-25,9.93,9.85,10.25,579960765.08,10.12
2019-11-22,10.12,10.11,10.33,338161792.73,10.21
2019-11-21,10.21,10.14,10.25,244378271.24,10.17
2019-11-20,10.17,10.11,10.34,421479511.09,10.25
2019-11-19,10.25,10.12,10.26,382992415.8,10.14
2019-11-18,10.14,9.98,10.21,651233093.01,9.95
2019-11-15,9.95,9.78,9.96,547653643.49,9.74
2019-11-14,9.74,9.72,9.95,503897765.52,9.95
2019-11-13,9.95,9.82,9.95,394971516.04,9.82
2019-11-12,9.82,9.8,9.9,364151857.85,9.77
2019-11-11,9.77,9.7,9.9,384496653.5,9.79
2019-11-08,9.79,9.74,9.84,456182686.5,9.77
2019-11-07,9.77,9.59,9.78,525631292.27,9.49
2019-11-06,9.49,9.42,9.58,376475183.15,9.46
2019-11-05,9.46,9.42,9.55,237446486.06,9.47
2019-11-04,9.47,9.37,9.52,331483217.42,9.28
2019-11-01,9.28,9.18,9.32,322029375.02,9.2
2019-10-31,9.2,9.17,9.35,324787528.9,9.23
2019-10-30,9.23,9.19,9.38,598283474.09,9.47
2019-10-28,9.47,9.45,9.55,154814665.51,9.53
2019-10-25,9.53,9.48,9.72,466958575.91,9.7
2019-10-24,9.7,9.65,9.86,689229178.74,9.6
2019-10-23,9.6,9.44,9.75,564703657.83,9.32
2019-10-22,9.32,9.1,9.35,538668845.16,9.12
2019-10-21,9.12,9.08,9.27,291684720.79,9.27
2019-10-18,9.27,9.15,9.37,290928586.46,8.71
2019-10-17,8.71,8.47,8.71,127165988.91,8.62
2019-10-16,8.62,8.24,8.62,272802712.96,8.61
2019-10-15,8.61,8.48,8.7,1348560533.1,8.35
2019-10-14,8.35,8.35,9.21,1993291741.99,9.28
2019-10-11,9.28,9.26,9.44,1212970293.29,9.31
2019-10-10,9.31,9.13,9.48,1585142978.15,9.37
2019-10-09,9.37,9.37,9.7,1392946332.69,9.63
2019-10-08,9.63,9.47,9.81,1953033309.48,9.79
2019-10-07,9.79,9.78,10.23,1541525158.52,9.99
2019-10-04,9.99,9.87,10.04,1080186691.48,9.84
2019-10-03,9.84,9.76,10.1,977854113.15,9.93
2019-10-02,9.93,9.91,10.11,1016434409.53,10.02
2019-10-01,10.02,9.95,10.28,947408960.92,10.21
2019-09-30,10.21,10.15,10.4,1106130127.31,10.33
2019-09-27,10.33,9.66,10.36,1967321590.95,9.62
2019-09-26,9.62,9.59,9.83,918912174.4,9.78
2019-09-25,9.78,9.6,9.78,865124652.39,9.69
2019-09-24,9.69,9.47,9.71,933299558.92,9.33
2019-09-23,9.33,9.25,9.37,671877202.12,9.27
2019-09-20,9.27,9.23,9.38,971511218.25,9.29
2019-09-19,9.29,9.23,9.51,1318884837.91,9.47
2019-09-18,9.47,9.33,9.55,920952612.34,9.45
2019-09-17,9.45,9.28,9.54,1338361566.4,9.47
2019-09-16,9.47,9.44,9.58,1087076370.65,9.64
2019-09-13,9.64,9.59,9.74,1030289901.87,9.66
2019-09-12,9.66,9.56,9.8,1623431710.66,9.58
2019-09-11,9.58,9.5,9.72,877710911.36,9.48
2019-09-10,9.48,9.4,9.56,817543663.41,9.46
2019-09-09,9.46,9.25,9.54,1392209133.81,9.16
2019-09-06,9.16,9.15,9.38,1064561922.24,9.41
2019-09-05,9.41,9.37,9.56,776326035.99,9.44
2019-09-04,9.44,9.37,9.48,842643203.19,9.37
2019-09-03,9.37,9.14,9.41,1041248732.37,9.23
2019-09-02,9.23,8.92,9.3,756630602.68,8.9
2019-08-29,8.9,8.8,8.99,701351247.42,8.81
2019-08-28,8.81,8.76,8.94,1035899754.58,8.88
2019-08-27,8.88,8.83,9.02,1099258651.84,9.0
2019-08-26,9.0,8.83,9.01,966311810.29,9.05
2019-08-23,9.05,8.71,9.06,1024850728.0,8.74
2019-08-22,8.74,8.63,8.92,878966367.88,8.84
2019-08-21,8.84,8.76,8.95,807843085.65,8.89
2019-08-20,8.89,8.72,9.04,1120472561.31,8.76
2019-08-19,8.76,8.74,9.05,747797598.07,8.93
2019-08-16,8.93,8.92,9.38,1308659593.88,9.28
2019-08-15,9.28,9.22,9.69,1102702282.1,9.77
2019-08-09,9.77,9.58,9.84,768505770.8,9.69
2019-08-08,9.69,9.53,9.92,1085953774.31,9.81
2019-08-07,9.81,9.77,9.97,989337273.41,9.76
2019-08-06,9.76,9.64,9.79,923536324.88,9.59
2019-08-05,9.59,9.53,9.71,836751229.97,9.6
2019-08-02,9.6,9.56,9.71,839150133.93,9.7
2019-08-01,9.7,9.59,9.82,1045704651.57,9.85
2019-07-31,9.85,9.76,9.9,853557565.01,9.75
2019-07-30,9.75,9.66,9.91,710653366.61,9.85
2019-07-29,9.85,9.78,9.93,882390285.97,9.84
2019-07-26,9.84,9.65,9.95,1120188249.87,9.67
2019-07-25,9.67,9.63,10.06,2229455771.46,9.9
2019-07-24,9.9,9.6,9.9,1316915034.22,9.83
2019-07-23,9.83,9.57,9.89,1194982742.47,9.55
2019-07-22,9.55,9.5,9.68,726198549.38,9.6
2019-07-19,9.6,9.58,9.92,1383275675.64,9.71
2019-07-18,9.71,9.47,9.78,1527239520.22,9.53
2019-07-17,9.53,8.98,9.53,2046802542.56,9.1
2019-07-16,9.1,9.07,9.42,1453436804.26,9.26
2019-07-12,9.26,9.22,9.79,1613908901.73,9.63
