Date,adjclose,low,high,volume,open
2020-05-29,5.08,4.98,5.17,31628418.53,5.06
2020-05-28,5.06,5.03,5.22,19662349.68,5.16
2020-05-27,5.16,5.12,5.25,21770315.81,5.06
2020-05-22,5.06,5.0,5.16,26989802.05,5.09
2020-05-21,5.09,5.09,5.26,50311096.74,5.12
2020-05-20,5.12,4.97,5.28,77830056.26,5.0
2020-05-18,5.0,4.93,5.04,33996640.15,4.92
2020-05-15,4.92,4.72,5.13,122314279.81,4.7
2020-05-14,4.7,4.64,4.78,21807528.75,4.72
2020-05-13,4.72,4.69,4.82,27548492.18,4.73
2020-05-12,4.73,4.56,4.76,26719579.0,4.57
2020-05-11,4.57,4.43,4.61,22528855.52,4.4
2020-05-08,4.4,4.28,4.44,15955636.17,4.29
2020-05-07,4.29,4.26,4.43,13017294.58,4.37
2020-05-06,4.37,4.36,4.5,18915239.72,4.4
2020-05-05,4.4,4.32,4.63,22576953.58,4.52
2020-05-04,4.52,4.51,4.91,53935048.21,4.87
2020-04-30,4.87,4.51,4.87,97838998.61,4.43
2020-04-29,4.43,4.36,4.47,12081644.36,4.37
2020-04-28,4.37,4.25,4.43,18270822.66,4.28
2020-04-27,4.28,4.17,4.36,27920040.13,4.13
2020-04-24,4.13,4.04,4.15,14329433.11,4.15
2020-04-22,4.15,4.12,4.3,17364130.32,4.12
2020-04-21,4.12,4.04,4.15,9478397.37,4.16
2020-04-20,4.16,4.06,4.17,9096944.83,4.05
2020-04-17,4.05,4.0,4.08,8668458.75,4.05
2020-04-17,4.05,4.0,4.08,8668458.75,3.97
2020-04-16,3.97,3.85,4.05,10873252.88,3.97
2020-04-15,3.97,3.95,4.15,19920150.35,3.97
2020-04-15,3.97,3.95,4.15,19920150.35,4.15
2020-04-14,4.15,3.98,4.16,18864645.84,4.15
2020-04-14,4.15,3.98,4.16,18864645.84,3.96
2020-04-13,3.96,3.81,4.0,15547049.26,3.96
2020-04-13,3.96,3.81,4.0,15547049.26,3.9
2020-04-10,3.9,3.78,3.9,10644003.0,3.9
2020-04-10,3.9,3.78,3.9,10644003.0,3.83
2020-04-09,3.83,3.78,3.89,14672723.66,3.83
2020-04-09,3.83,3.78,3.89,14672723.66,3.79
2020-04-08,3.79,3.55,3.79,14923336.49,3.79
2020-04-08,3.79,3.55,3.79,14923336.49,3.63
2020-04-07,3.63,3.57,3.73,13858454.64,3.63
2020-04-07,3.63,3.57,3.73,13858454.64,3.57
2020-04-06,3.57,3.38,3.58,17339399.43,3.57
2020-04-06,3.57,3.38,3.58,17339399.43,3.35
2020-04-03,3.35,3.34,3.41,6103109.87,3.35
2020-04-03,3.35,3.34,3.41,6103109.87,3.38
2020-04-02,3.38,3.3,3.48,9651000.78,3.38
2020-04-02,3.38,3.3,3.48,9651000.78,3.39
2020-04-01,3.39,3.3,3.46,17579236.73,3.39
2020-04-01,3.39,3.3,3.46,17579236.73,3.43
2020-03-31,3.43,3.28,3.45,16887405.83,3.43
2020-03-31,3.43,3.28,3.45,16887405.83,3.26
2020-03-30,3.26,3.03,3.32,16623355.33,3.26
2020-03-30,3.26,3.03,3.32,16623355.33,3.13
2020-03-27,3.13,3.12,3.46,23296219.28,3.13
2020-03-27,3.13,3.12,3.46,23296219.28,3.34
2020-03-26,3.34,3.02,3.37,24298361.13,3.34
2020-03-26,3.34,3.02,3.37,24298361.13,3.08
2020-03-25,3.08,2.96,3.18,17661051.32,3.08
2020-03-25,3.08,2.96,3.18,17661051.32,3.01
2020-03-24,3.01,2.83,3.01,13009398.05,3.01
2020-03-24,3.01,2.83,3.01,13009398.05,2.74
2020-03-23,2.74,2.66,2.85,8194874.46,2.74
2020-03-23,2.74,2.66,2.85,8194874.46,2.86
2020-03-20,2.86,2.84,2.94,8840176.15,2.86
2020-03-20,2.86,2.84,2.94,8840176.15,2.82
2020-03-19,2.82,2.76,2.93,10813863.41,2.82
2020-03-19,2.82,2.76,2.93,10813863.41,2.9
2020-03-18,2.9,2.85,3.09,13434548.76,3.0
2020-03-17,3.0,2.86,3.2,16432528.47,3.17
2020-03-16,3.17,3.14,3.4,10918413.61,3.48
2020-03-13,3.48,3.22,3.6,23277451.2,3.28
2020-03-12,3.28,3.22,3.6,14324959.4,3.76
2020-03-11,3.76,3.53,3.85,15096215.07,3.83
2020-03-10,3.83,3.81,4.33,19791841.86,4.15
2020-03-09,4.15,3.92,4.5,16227133.87,4.56
2020-03-06,4.56,4.51,4.76,21601686.05,4.75
2020-03-05,4.75,4.65,4.85,40437842.36,4.62
2020-03-04,4.62,4.61,4.74,20945516.21,4.72
2020-03-03,4.72,4.55,4.77,29858659.27,4.5
2020-03-02,4.5,4.43,4.57,15321371.07,4.37
2020-02-28,4.37,4.0,4.5,16545698.7,4.59
2020-02-27,4.59,4.56,4.79,20816044.49,4.8
2020-02-26,4.8,4.68,4.84,26902111.16,4.75
2020-02-25,4.75,4.64,4.84,27223922.94,4.74
2020-02-24,4.74,4.46,4.74,23187225.36,4.65
2020-02-21,4.65,4.39,4.7,28377432.36,4.52
2020-02-20,4.52,4.49,4.88,37103782.4,4.85
2020-02-19,4.85,4.82,5.02,27935489.89,4.95
2020-02-18,4.95,4.95,5.12,31664615.52,5.14
2020-02-17,5.14,5.14,5.32,58026537.74,5.15
2020-02-14,5.15,5.05,5.16,43171820.79,5.08
2020-02-13,5.08,5.08,5.14,25564357.49,5.11
2020-02-12,5.11,5.06,5.2,70009216.41,5.1
2020-02-11,5.1,5.04,5.22,63696069.99,5.14
2020-02-10,5.14,4.9,5.27,92793911.36,5.06
2020-02-07,5.06,5.03,5.22,31322869.18,5.12
2020-02-06,5.12,5.02,5.2,38250477.1,5.1
2020-02-05,5.1,4.88,5.13,72005124.68,4.89
2020-02-04,4.89,4.87,4.97,29837127.41,4.89
2020-02-03,4.89,4.65,4.89,37198417.84,4.75
2020-01-31,4.75,4.74,4.87,45283185.49,4.87
2020-01-30,4.87,4.8,5.12,175585693.57,4.69
