Date,adjclose,low,high,volume,open
2020-05-29,4.1,3.93,4.1,39357975.23,3.98
2020-05-28,3.98,3.94,4.1,24422407.53,4.06
2020-05-27,4.06,4.03,4.11,35343291.62,3.99
2020-05-22,3.99,3.9,4.01,24692545.03,4.0
2020-05-21,4.0,3.97,4.1,40485463.32,4.07
2020-05-20,4.07,4.07,4.17,44170914.13,4.04
2020-05-18,4.04,3.97,4.13,65706044.72,3.89
2020-05-15,3.89,3.83,3.97,42644716.92,3.79
2020-05-14,3.79,3.78,3.95,31749849.76,3.9
2020-05-13,3.9,3.88,3.99,35762712.01,3.91
2020-05-12,3.91,3.77,3.91,28775731.47,3.77
2020-05-11,3.77,3.77,3.83,14509443.74,3.77
2020-05-08,3.77,3.77,3.93,28523751.13,3.85
2020-05-07,3.85,3.66,3.96,69594694.44,3.73
2020-05-06,3.73,3.71,3.79,15272224.29,3.75
2020-05-05,3.75,3.72,3.82,23021951.96,3.76
2020-05-04,3.76,3.71,3.83,26030516.53,3.88
2020-04-30,3.88,3.82,4.11,72899569.03,3.98
2020-04-29,3.98,3.87,4.07,36321740.14,4.01
2020-04-28,4.01,4.0,4.17,36961235.2,4.12
2020-04-27,4.12,4.07,4.22,66567218.75,4.03
2020-04-24,4.03,3.88,4.12,87551510.91,3.86
2020-04-22,3.86,3.83,3.93,49193470.11,3.82
2020-04-21,3.82,3.79,3.91,40196957.18,3.94
2020-04-20,3.94,3.74,3.95,39425267.55,3.73
2020-04-17,3.73,3.67,3.81,35124663.53,3.73
2020-04-17,3.73,3.67,3.81,35124663.53,3.63
2020-04-16,3.63,3.53,3.78,54531023.66,3.63
2020-04-16,3.63,3.53,3.78,54531023.66,3.68
2020-04-15,3.68,3.64,4.05,59972291.63,3.68
2020-04-15,3.68,3.64,4.05,59972291.63,4.04
2020-04-14,4.04,3.89,4.16,78083027.1,4.04
2020-04-14,4.04,3.89,4.16,78083027.1,3.81
2020-04-13,3.81,3.47,3.81,52246811.73,3.81
2020-04-13,3.81,3.47,3.81,52246811.73,3.47
2020-04-10,3.47,3.16,3.54,89223343.89,3.47
2020-04-10,3.47,3.16,3.54,89223343.89,3.24
2020-04-09,3.24,3.15,3.31,66871146.05,3.24
2020-04-09,3.24,3.15,3.31,66871146.05,3.03
2020-04-08,3.03,2.94,3.08,17653458.86,3.03
2020-04-08,3.03,2.94,3.08,17653458.86,3.04
2020-04-07,3.04,2.97,3.2,49514930.05,3.04
2020-04-07,3.04,2.97,3.2,49514930.05,3.03
2020-04-06,3.03,2.89,3.05,33833430.69,3.03
2020-04-06,3.03,2.89,3.05,33833430.69,2.87
