Date,adjclose,low,high,volume,open
2020-05-29,22.58,21.06,22.96,251116378.22,21.42
2020-05-28,21.42,19.91,21.96,287213455.45,19.97
2020-05-27,19.97,19.9,20.16,57417508.02,19.86
2020-05-22,19.86,19.7,20.5,137242937.9,20.4
2020-05-21,20.4,18.81,20.72,407273549.7,18.84
2020-05-20,18.84,18.55,18.99,45340083.31,18.5
2020-05-18,18.5,18.33,18.82,59258614.51,18.3
2020-05-15,18.3,18.1,18.96,81410302.73,18.57
2020-05-14,18.57,17.7,19.41,284291441.09,17.65
2020-05-13,17.65,16.25,17.65,107383755.59,16.05
2020-05-12,16.05,15.8,16.19,32230370.62,15.9
2020-05-11,15.9,15.85,16.17,22293656.43,15.92
2020-05-08,15.92,15.8,16.28,36672670.24,16.05
2020-05-07,16.05,16.05,16.55,77400929.82,15.65
2020-05-06,15.65,15.56,15.82,35621389.32,15.71
2020-05-05,15.71,15.55,15.99,43905244.36,15.75
2020-05-04,15.75,15.48,16.01,88449057.63,16.0
2020-04-30,16.0,15.78,16.44,103716894.57,16.07
2020-04-29,16.07,15.71,16.3,88502971.41,16.0
2020-04-28,16.0,15.91,16.35,75219246.09,15.91
2020-04-27,15.91,15.43,16.11,97533764.52,15.18
2020-04-24,15.18,14.92,15.39,85157685.92,14.8
2020-04-22,14.8,14.39,14.8,61818241.57,14.34
2020-04-21,14.34,14.11,14.81,67564499.88,14.31
2020-04-20,14.31,14.22,14.69,21572578.82,14.5
2020-04-17,14.5,14.45,15.09,39147947.11,14.5
2020-04-17,14.5,14.45,15.09,39147947.11,14.75
2020-04-16,14.75,14.09,15.2,111598876.51,14.75
2020-04-16,14.75,14.09,15.2,111598876.51,14.15
2020-04-15,14.15,13.85,15.0,45485079.08,14.15
2020-04-15,14.15,13.85,15.0,45485079.08,14.94
2020-04-14,14.94,14.92,15.54,54326397.4,14.94
2020-04-14,14.94,14.92,15.54,54326397.4,15.25
2020-04-13,15.25,14.95,15.55,69421461.29,15.25
2020-04-13,15.25,14.95,15.55,69421461.29,15.2
2020-04-10,15.2,14.33,15.25,95176544.73,15.2
2020-04-10,15.2,14.33,15.25,95176544.73,14.48
2020-04-09,14.48,14.15,14.48,51378443.54,14.48
2020-04-09,14.48,14.15,14.48,51378443.54,14.1
2020-04-08,14.1,13.87,14.35,44220721.94,14.1
2020-04-08,14.1,13.87,14.35,44220721.94,14.28
2020-04-07,14.28,14.11,14.94,75655700.8,14.28
2020-04-07,14.28,14.11,14.94,75655700.8,14.45
2020-04-06,14.45,14.34,14.68,47575114.95,14.45
2020-04-06,14.45,14.34,14.68,47575114.95,14.21
2020-04-03,14.21,14.17,14.77,27360347.79,14.21
2020-04-03,14.21,14.17,14.77,27360347.79,14.66
2020-04-02,14.66,14.45,15.15,100903776.62,14.66
2020-04-02,14.66,14.45,15.15,100903776.62,14.11
2020-04-01,14.11,13.79,14.52,38840952.98,14.11
2020-04-01,14.11,13.79,14.52,38840952.98,14.63
2020-03-31,14.63,14.37,14.83,64369140.06,14.63
2020-03-31,14.63,14.37,14.83,64369140.06,14.22
2020-03-30,14.22,13.82,14.49,50260699.43,14.22
2020-03-30,14.22,13.82,14.49,50260699.43,14.18
2020-03-27,14.18,14.06,15.4,113291892.99,14.18
2020-03-27,14.18,14.06,15.4,113291892.99,15.31
2020-03-26,15.31,15.16,15.7,128205194.82,15.31
2020-03-26,15.31,15.16,15.7,128205194.82,15.69
2020-03-25,15.69,14.95,15.94,171444984.6,15.69
2020-03-25,15.69,14.95,15.94,171444984.6,15.32
2020-03-24,15.32,15.0,15.86,169035838.14,15.32
2020-03-24,15.32,15.0,15.86,169035838.14,14.52
2020-03-23,14.52,12.5,14.52,155921910.56,14.52
2020-03-23,14.52,12.5,14.52,155921910.56,13.2
2020-03-20,13.2,12.21,13.2,101701471.91,13.2
2020-03-20,13.2,12.21,13.2,101701471.91,12.0
2020-03-19,12.0,11.88,12.59,61255497.3,12.0
2020-03-19,12.0,11.88,12.59,61255497.3,12.5
2020-03-18,12.5,11.83,12.92,75049617.93,12.5
2020-03-18,12.5,11.83,12.92,75049617.93,12.57
2020-03-17,12.57,12.57,14.28,74991821.85,12.57
2020-03-17,12.57,12.57,14.28,74991821.85,13.96
2020-03-16,13.96,13.9,15.11,58069709.47,13.96
2020-03-16,13.96,13.9,15.11,58069709.47,15.44
2020-03-13,15.44,14.09,15.65,95238641.09,15.44
2020-03-13,15.44,14.09,15.65,95238641.09,14.7
2020-03-12,14.7,14.7,16.08,103698825.84,14.7
2020-03-12,14.7,14.7,16.08,103698825.84,16.28
2020-03-11,16.28,13.82,16.44,159594837.87,16.28
2020-03-11,16.28,13.82,16.44,159594837.87,15.54
2020-03-10,15.54,15.5,17.95,114027609.91,15.54
2020-03-10,15.54,15.5,17.95,114027609.91,17.0
2020-03-09,17.0,16.3,18.2,115811790.93,17.0
2020-03-09,17.0,16.3,18.2,115811790.93,18.72
2020-03-06,18.72,18.64,19.78,120381503.21,18.72
2020-03-06,18.72,18.64,19.78,120381503.21,19.55
2020-03-05,19.55,18.65,19.98,198598410.52,19.55
2020-03-05,19.55,18.65,19.98,198598410.52,18.55
2020-03-04,18.55,18.38,19.25,92926944.49,18.55
2020-03-04,18.55,18.38,19.25,92926944.49,18.96
2020-03-03,18.96,18.71,19.2,129679236.11,18.96
2020-03-03,18.96,18.71,19.2,129679236.11,18.49
2020-03-02,18.49,17.82,18.79,124609137.26,18.49
2020-03-02,18.49,17.82,18.79,124609137.26,17.05
2020-02-28,17.05,15.59,17.1,92579405.11,17.05
2020-02-28,17.05,15.59,17.1,92579405.11,17.2
2020-02-27,17.2,17.2,18.2,82197619.93,17.2
2020-02-27,17.2,17.2,18.2,82197619.93,18.3
2020-02-26,18.3,18.22,18.51,77217200.26,18.3
2020-02-26,18.3,18.22,18.51,77217200.26,18.45
2020-02-25,18.45,18.14,18.8,136822323.98,18.45
2020-02-25,18.45,18.14,18.8,136822323.98,18.15
2020-02-24,18.15,17.67,18.34,109285459.31,18.15
2020-02-24,18.15,17.67,18.34,109285459.31,18.3
2020-02-21,18.3,16.75,18.5,202514497.25,18.3
2020-02-21,18.3,16.75,18.5,202514497.25,17.4
2020-02-20,17.4,16.7,18.25,315550371.26,17.4
2020-02-20,17.4,16.7,18.25,315550371.26,17.83
2020-02-19,17.83,17.8,19.16,188694569.53,17.83
2020-02-19,17.83,17.8,19.16,188694569.53,18.36
2020-02-18,18.36,17.41,19.08,346747739.7,18.36
2020-02-18,18.36,17.41,19.08,346747739.7,18.08
2020-02-17,18.08,15.71,18.38,399171772.66,18.08
2020-02-17,18.08,15.71,18.38,399171772.66,15.61
2020-02-14,15.61,14.0,16.31,338048806.25,15.61
2020-02-14,15.61,14.0,16.31,338048806.25,14.91
2020-02-13,14.91,13.14,14.91,208437829.15,14.91
2020-02-13,14.91,13.14,14.91,208437829.15,13.43
2020-02-12,13.43,12.42,13.5,185601090.67,13.43
2020-02-12,13.43,12.42,13.5,185601090.67,12.3
2020-02-11,12.3,11.55,12.37,72552841.12,12.3
2020-02-11,12.3,11.55,12.37,72552841.12,11.61
2020-02-10,11.61,11.2,11.96,89013077.36,11.61
2020-02-10,11.61,11.2,11.96,89013077.36,11.44
2020-02-07,11.44,10.88,11.95,193631139.05,11.44
2020-02-07,11.44,10.88,11.95,193631139.05,10.75
2020-02-06,10.75,10.64,10.87,25382650.18,10.75
2020-02-06,10.75,10.64,10.87,25382650.18,10.65
2020-02-05,10.65,10.47,10.75,39294907.57,10.65
2020-02-05,10.65,10.47,10.75,39294907.57,10.45
2020-02-04,10.45,10.34,10.5,21855509.85,10.45
2020-02-04,10.45,10.34,10.5,21855509.85,10.31
2020-02-03,10.31,10.22,10.53,21903485.98,10.31
2020-02-03,10.31,10.22,10.53,21903485.98,10.25
2020-01-31,10.25,10.15,10.56,37596410.69,10.25
2020-01-31,10.25,10.15,10.56,37596410.69,10.29
2020-01-30,10.29,9.94,10.85,102154410.88,10.29
2020-01-30,10.29,9.94,10.85,102154410.88,10.24
2020-01-29,10.24,9.43,10.43,169531439.72,10.24
2020-01-29,10.24,9.43,10.43,169531439.72,9.25
2020-01-28,9.25,8.99,9.38,27961625.2,9.25
2020-01-28,9.25,8.99,9.38,27961625.2,9.01
2020-01-27,9.01,8.94,9.26,11201159.18,9.01
2020-01-27,9.01,8.94,9.26,11201159.18,9.26
2020-01-24,9.26,8.99,9.33,43121259.86,9.26
2020-01-24,9.26,8.99,9.33,43121259.86,9.2
2020-01-23,9.2,9.2,9.79,84132017.23,9.2
2020-01-23,9.2,9.2,9.79,84132017.23,9.04
2020-01-22,9.04,8.46,9.05,35095053.36,9.04
2020-01-22,9.04,8.46,9.05,35095053.36,8.51
2020-01-21,8.51,8.45,8.6,11441224.27,8.51
2020-01-21,8.51,8.45,8.6,11441224.27,8.59
2020-01-20,8.59,8.46,8.67,10578242.37,8.59
2020-01-20,8.59,8.46,8.67,10578242.37,8.48
2020-01-17,8.48,8.34,8.68,14144510.95,8.48
2020-01-17,8.48,8.34,8.68,14144510.95,8.39
2020-01-16,8.39,8.34,8.62,25898342.56,8.39
2020-01-16,8.39,8.34,8.62,25898342.56,8.51
2020-01-15,8.51,8.4,8.7,18136535.68,8.51
2020-01-15,8.51,8.4,8.7,18136535.68,8.63
2020-01-14,8.63,8.61,8.85,17727474.08,8.63
2020-01-14,8.63,8.61,8.85,17727474.08,8.82
2020-01-13,8.82,8.72,8.94,19531436.82,8.82
2020-01-13,8.82,8.72,8.94,19531436.82,8.85
2020-01-10,8.85,8.7,8.99,22900332.78,8.85
2020-01-10,8.85,8.7,8.99,22900332.78,8.88
2020-01-09,8.88,8.61,8.88,24450594.8,8.88
2020-01-09,8.88,8.61,8.88,24450594.8,8.4
2020-01-08,8.4,8.17,8.6,20913475.15,8.4
2020-01-08,8.4,8.17,8.6,20913475.15,8.6
2020-01-07,8.6,8.44,8.74,18483568.46,8.6
2020-01-07,8.6,8.44,8.74,18483568.46,8.34
2020-01-06,8.34,8.3,8.65,19864316.03,8.34
2020-01-06,8.34,8.3,8.65,19864316.03,8.76
2020-01-03,8.76,8.4,9.23,43815469.06,8.76
2020-01-03,8.76,8.4,9.23,43815469.06,9.16
2020-01-02,9.16,8.97,9.24,16978071.62,9.16
2020-01-02,9.16,8.97,9.24,16978071.62,9.04
2019-12-31,9.04,8.71,9.1,37108340.47,9.04
2019-12-31,9.04,8.71,9.1,37108340.47,8.9
2019-12-30,8.9,8.71,9.66,62029748.29,8.9
2019-12-30,8.9,8.71,9.66,62029748.29,8.81
2019-12-27,8.81,8.63,8.97,19177263.07,8.81
2019-12-27,8.81,8.63,8.97,19177263.07,8.83
2019-12-26,8.83,8.82,9.0,12934909.39,8.83
2019-12-26,8.83,8.82,9.0,12934909.39,8.85
2019-12-25,8.85,8.64,8.97,20056690.72,8.85
2019-12-25,8.85,8.64,8.97,20056690.72,8.63
2019-12-24,8.63,8.34,8.68,13343119.39,8.63
2019-12-24,8.63,8.34,8.68,13343119.39,8.39
2019-12-23,8.39,8.02,8.4,16854364.27,8.39
2019-12-23,8.39,8.02,8.4,16854364.27,8.03
2019-12-20,8.03,7.91,8.1,11270134.96,8.03
2019-12-20,8.03,7.91,8.1,11270134.96,8.0
2019-12-19,8.0,7.79,8.1,16313676.64,8.0
2019-12-19,8.0,7.79,8.1,16313676.64,7.89
2019-12-18,7.89,7.41,7.89,21181715.24,7.89
2019-12-18,7.89,7.41,7.89,21181715.24,7.59
2019-12-17,7.59,7.53,7.72,20744054.16,7.59
2019-12-17,7.59,7.53,7.72,20744054.16,7.58
2019-12-16,7.58,7.45,7.86,20906793.47,7.58
2019-12-16,7.58,7.45,7.86,20906793.47,7.77
2019-12-13,7.77,7.61,7.92,21807462.91,7.77
2019-12-13,7.77,7.61,7.92,21807462.91,7.66
2019-12-12,7.66,7.53,7.7,7311034.23,7.66
2019-12-12,7.66,7.53,7.7,7311034.23,7.51
2019-12-11,7.51,7.48,7.65,8131722.84,7.51
2019-12-11,7.51,7.48,7.65,8131722.84,7.55
2019-12-10,7.55,7.37,7.7,21722730.22,7.55
2019-12-10,7.55,7.37,7.7,21722730.22,7.47
2019-12-09,7.47,7.08,7.47,16041714.67,7.47
2019-12-09,7.47,7.08,7.47,16041714.67,7.13
2019-12-06,7.13,6.95,7.19,13529693.99,7.13
2019-12-06,7.13,6.95,7.19,13529693.99,6.95
2019-12-05,6.95,6.95,7.11,8887350.1,6.95
2019-12-05,6.95,6.95,7.11,8887350.1,7.02
