Date,adjclose,low,high,volume,open
2020-05-29,5.32,5.32,5.38,202774868.32,5.34
2020-05-28,5.34,5.32,5.39,173703448.27,5.3
2020-05-27,5.3,5.3,5.37,157504257.95,5.25
2020-05-22,5.25,5.24,5.31,102517243.51,5.27
2020-05-21,5.27,5.26,5.36,138173038.76,5.28
2020-05-20,5.28,5.28,5.38,131145256.17,5.38
2020-05-18,5.38,5.34,5.47,297797241.32,5.37
2020-05-15,5.37,5.23,5.39,295253227.99,5.19
2020-05-14,5.19,5.16,5.33,163447610.84,5.32
2020-05-13,5.32,5.32,5.4,141730832.22,5.37
2020-05-12,5.37,5.33,5.44,232372490.22,5.36
2020-05-11,5.36,5.28,5.49,277282542.3,5.44
2020-05-08,5.44,5.22,5.46,688246259.27,5.19
2020-05-07,5.19,5.12,5.2,134266702.39,5.15
2020-05-06,5.15,5.14,5.2,130518952.54,5.16
2020-05-05,5.16,5.1,5.27,186644407.83,5.11
2020-05-04,5.11,5.09,5.15,87654009.42,5.2
2020-04-30,5.2,5.15,5.26,188190145.11,5.23
2020-04-29,5.23,5.18,5.24,133849620.95,5.18
2020-04-28,5.18,5.18,5.29,242050965.34,5.25
2020-04-27,5.25,5.2,5.28,280944087.21,5.15
2020-04-24,5.15,5.1,5.18,103873168.79,5.14
2020-04-22,5.14,5.13,5.22,110460482.34,5.13
2020-04-21,5.13,5.11,5.19,105328643.21,5.2
2020-04-20,5.2,5.18,5.26,152519860.54,5.18
2020-04-17,5.18,5.16,5.27,153969658.73,5.18
2020-04-17,5.18,5.16,5.27,153969658.73,5.12
2020-04-16,5.12,5.1,5.19,121117410.26,5.12
2020-04-16,5.12,5.1,5.19,121117410.26,5.14
2020-04-15,5.14,5.14,5.31,158527787.89,5.14
2020-04-15,5.14,5.14,5.31,158527787.89,5.3
2020-04-14,5.3,5.26,5.34,167082329.73,5.3
2020-04-14,5.3,5.26,5.34,167082329.73,5.27
2020-04-13,5.27,5.17,5.32,149892318.07,5.27
2020-04-13,5.27,5.17,5.32,149892318.07,5.3
2020-04-10,5.3,5.19,5.37,230807806.32,5.3
2020-04-10,5.3,5.19,5.37,230807806.32,5.25
2020-04-09,5.25,5.06,5.27,394281044.24,5.25
2020-04-09,5.25,5.06,5.27,394281044.24,5.04
2020-04-08,5.04,4.98,5.07,123356402.48,5.04
2020-04-08,5.04,4.98,5.07,123356402.48,5.03
2020-04-07,5.03,5.03,5.18,242685737.92,5.03
2020-04-07,5.03,5.03,5.18,242685737.92,5.06
2020-04-06,5.06,4.98,5.1,198198005.56,5.06
2020-04-06,5.06,4.98,5.1,198198005.56,4.94
2020-04-03,4.94,4.93,4.99,76413935.77,4.94
2020-04-03,4.94,4.93,4.99,76413935.77,4.96
2020-04-02,4.96,4.92,5.04,105505725.74,4.96
2020-04-02,4.96,4.92,5.04,105505725.74,4.97
2020-04-01,4.97,4.9,5.16,318976690.13,4.97
2020-04-01,4.97,4.9,5.16,318976690.13,5.02
2020-03-31,5.02,4.96,5.05,174508696.97,5.02
2020-03-31,5.02,4.96,5.05,174508696.97,4.94
2020-03-30,4.94,4.83,5.0,148581825.4,4.94
2020-03-30,4.94,4.83,5.0,148581825.4,4.9
2020-03-27,4.9,4.88,5.03,166715955.45,4.9
2020-03-27,4.9,4.88,5.03,166715955.45,5.03
2020-03-26,5.03,4.88,5.07,277662955.63,5.03
2020-03-26,5.03,4.88,5.07,277662955.63,4.94
2020-03-25,4.94,4.84,5.12,269052261.3,4.94
2020-03-25,4.94,4.84,5.12,269052261.3,4.97
2020-03-24,4.97,4.8,5.01,292614766.89,4.97
2020-03-24,4.97,4.8,5.01,292614766.89,4.66
2020-03-23,4.66,4.63,5.0,195332501.96,4.66
2020-03-23,4.66,4.63,5.0,195332501.96,5.03
2020-03-20,5.03,4.97,5.16,150641442.19,5.03
2020-03-20,5.03,4.97,5.16,150641442.19,4.98
2020-03-19,4.98,4.92,5.1,172760326.03,4.98
2020-03-19,4.98,4.92,5.1,172760326.03,5.04
2020-03-18,5.04,4.95,5.23,165274372.57,5.04
2020-03-18,5.04,4.95,5.23,165274372.57,5.15
2020-03-17,5.15,4.64,5.15,290452076.86,5.15
2020-03-17,5.15,4.64,5.15,290452076.86,4.95
2020-03-16,4.95,4.8,5.15,174112997.03,4.95
2020-03-16,4.95,4.8,5.15,174112997.03,5.31
2020-03-13,5.31,4.99,5.43,253387413.15,5.31
2020-03-13,5.31,4.99,5.43,253387413.15,5.09
