Date,adjclose,low,high,volume,open
2020-05-29,14.8,14.6,14.98,55529681.58,14.81
2020-05-28,14.81,14.67,15.28,111072932.64,15.2
2020-05-27,15.2,14.77,15.55,181310712.92,15.0
2020-05-22,15.0,13.76,15.07,238019654.59,13.86
2020-05-21,13.86,13.7,14.16,85492821.06,13.95
2020-05-20,13.95,13.52,14.02,146528959.87,13.52
2020-05-18,13.52,13.15,13.65,119748796.33,13.09
2020-05-15,13.09,12.95,13.12,59096023.37,12.91
2020-05-14,12.91,12.88,13.35,62762235.79,13.2
2020-05-13,13.2,13.1,13.47,78577088.93,13.35
2020-05-12,13.35,12.92,13.4,81299744.27,12.97
2020-05-11,12.97,12.65,13.12,53021871.91,12.8
2020-05-08,12.8,12.66,13.1,41859456.94,12.98
2020-05-07,12.98,12.91,13.22,47288815.69,13.15
2020-05-06,13.15,13.02,13.62,115404677.06,13.15
2020-05-05,13.15,12.65,13.6,126214814.9,13.65
2020-05-04,13.65,13.26,14.25,203050447.41,13.6
2020-04-30,13.6,12.86,13.89,156092785.0,13.75
2020-05-18,13.52,13.15,13.65,119748796.33,13.09
2020-05-15,13.09,12.95,13.12,59096023.37,12.91
2020-05-14,12.91,12.88,13.35,62762235.79,13.2
2020-05-13,13.2,13.1,13.47,78577088.93,13.35
2020-05-12,13.35,12.92,13.4,81299744.27,12.97
2020-05-11,12.97,12.65,13.12,53021871.91,12.8
2020-05-08,12.8,12.66,13.1,41859456.94,12.98
2020-05-07,12.98,12.91,13.22,47288815.69,13.15
2020-05-06,13.15,13.02,13.62,115404677.06,13.15
2020-05-05,13.15,12.65,13.6,126214814.90,13.65
2020-05-04,13.65,13.26,14.25,203050447.41,13.6
2020-04-30,13.6,12.86,13.89,156092785.00,13.75
2020-04-29,13.75,12.69,13.95,404636305.41,12.69
2020-04-28,12.69,12.4,13.05,75651168.51,12.65
2020-04-27,12.65,12.57,13.2,96226541.55,12.4
2020-04-24,12.4,12.18,12.81,70081318.32,12.62
2020-04-22,12.62,12.61,13.52,165726167.07,12.4
2020-04-21,12.4,11.4,12.49,98004123.36,11.52
2020-04-20,11.52,11.42,11.75,42522587.88,11.37
2020-04-17,11.37,11.3,11.89,49040772.93,11.37
2020-04-17,11.37,11.3,11.89,49040772.93,11.69
2020-04-16,11.69,10.92,11.97,157025462.50,11.69
2020-04-16,11.69,10.92,11.97,157025462.50,10.89
2020-04-15,10.89,9.91,11.1,58074456.69,10.89
2020-04-15,10.89,9.91,11.1,58074456.69,10.35
2020-04-14,10.35,10.25,10.45,21216793.01,10.35
2020-04-14,10.35,10.25,10.45,21216793.01,10.33
2020-04-13,10.33,10.27,10.51,16304931.89,10.33
2020-04-13,10.33,10.27,10.51,16304931.89,10.36
2020-04-10,10.36,10.29,10.53,14187840.96,10.36
2020-04-10,10.36,10.29,10.53,14187840.96,10.46
2020-04-09,10.46,10.36,10.63,28122470.28,10.46
2020-04-09,10.46,10.36,10.63,28122470.28,10.4
2020-04-08,10.4,10.13,10.47,30530510.45,10.4
2020-04-08,10.4,10.13,10.47,30530510.45,10.29
2020-04-07,10.29,10.18,10.65,72581457.76,10.29
2020-04-07,10.29,10.18,10.65,72581457.76,10.12
2020-04-06,10.12,9.86,10.28,41620728.36,10.12
2020-04-06,10.12,9.86,10.28,41620728.36,9.71
2020-04-03,9.71,9.62,9.9,13021054.06,9.71
2020-04-03,9.71,9.62,9.9,13021054.06,9.82
2020-04-02,9.82,9.58,9.93,15258769.38,9.82
2020-04-02,9.82,9.58,9.93,15258769.38,9.74
2020-04-01,9.74,9.65,10.08,27053953.76,9.74
2020-04-01,9.74,9.65,10.08,27053953.76,10.03
2020-03-31,10.03,9.75,10.2,47698967.23,10.03
2020-03-31,10.03,9.75,10.2,47698967.23,9.77
2020-03-30,9.77,8.91,9.88,42084658.53,9.77
2020-03-30,9.77,8.91,9.88,42084658.53,9.4
2020-03-27,9.4,9.35,10.2,39900304.72,9.4
2020-03-27,9.4,9.35,10.2,39900304.72,10.12
2020-03-26,10.12,9.86,10.63,80536534.46,10.12
2020-03-26,10.12,9.86,10.63,80536534.46,10.25
2020-03-25,10.25,9.46,10.25,86633501.64,10.25
2020-03-25,10.25,9.46,10.25,86633501.64,9.32
2020-03-24,9.32,8.75,9.32,19311957.82,9.32
2020-03-24,9.32,8.75,9.32,19311957.82,8.48
2020-03-23,8.48,7.7,8.58,33407489.50,8.48
2020-03-23,8.48,7.7,8.58,33407489.50,8.08
2020-03-20,8.08,7.97,8.34,16657998.23,8.08
2020-03-20,8.08,7.97,8.34,16657998.23,7.92
2020-03-19,7.92,7.85,8.08,14416529.07,7.92
2020-03-19,7.92,7.85,8.08,14416529.07,8.02
2020-03-18,8.02,7.8,8.33,13459771.15,8.02
2020-03-18,8.02,7.8,8.33,13459771.15,8.2
2020-03-17,8.2,7.36,8.3,23442914.42,8.2
2020-03-17,8.2,7.36,8.3,23442914.42,8.07
2020-03-16,8.07,7.97,8.53,18758697.66,8.07
2020-03-16,8.07,7.97,8.53,18758697.66,8.85
2020-03-13,8.85,8.19,9.33,39850361.30,8.85
2020-03-13,8.85,8.19,9.33,39850361.30,8.69
2020-03-12,8.69,8.0,8.7,25143394.18,8.69
2020-03-12,8.69,8.0,8.7,25143394.18,8.79
2020-03-11,8.79,8.5,8.91,19167424.92,8.79
2020-03-11,8.79,8.5,8.91,19167424.92,8.7
2020-03-10,8.7,8.58,9.57,31380635.32,8.7
2020-03-10,8.7,8.58,9.57,31380635.32,8.81
2020-03-09,8.81,8.44,9.45,23959557.44,8.81
2020-03-09,8.81,8.44,9.45,23959557.44,9.65
2020-03-06,9.65,9.63,10.06,16122062.32,9.65
2020-03-06,9.65,9.63,10.06,16122062.32,10.0
2020-03-05,10.0,9.97,10.24,17910445.17,10.0
2020-03-05,10.0,9.97,10.24,17910445.17,9.96
2020-03-04,9.96,9.9,10.4,17738706.30,9.96
2020-03-04,9.96,9.9,10.4,17738706.30,10.38
2020-03-03,10.38,10.05,10.39,17120015.31,10.38
2020-03-03,10.38,10.05,10.39,17120015.31,9.96
2020-03-02,9.96,9.86,10.14,15118047.06,9.96
2020-03-02,9.96,9.86,10.14,15118047.06,9.63
2020-02-28,9.63,8.15,9.98,24863223.80,9.63
2020-02-28,9.63,8.15,9.98,24863223.80,9.98
2020-02-27,9.98,9.82,10.34,22311732.86,9.98
2020-02-27,9.98,9.82,10.34,22311732.86,10.38
2020-02-26,10.38,10.32,10.62,18770919.93,10.38
2020-02-26,10.38,10.32,10.62,18770919.93,10.57
2020-02-25,10.57,10.44,10.8,26060648.88,10.57
2020-02-25,10.57,10.44,10.8,26060648.88,10.55
2020-02-24,10.55,10.05,10.63,27521441.99,10.55
2020-02-24,10.55,10.05,10.63,27521441.99,10.43
2020-02-21,10.43,9.9,10.47,26946293.57,10.43
2020-02-21,10.43,9.9,10.47,26946293.57,10.23
2020-02-20,10.23,9.81,10.55,35290888.00,10.23
2020-02-20,10.23,9.81,10.55,35290888.00,10.5
2020-02-19,10.5,10.46,11.1,33299093.93,10.5
2020-02-19,10.5,10.46,11.1,33299093.93,10.79
2020-02-18,10.79,10.76,11.03,19004982.99,10.79
2020-02-18,10.79,10.76,11.03,19004982.99,10.98
2020-02-17,10.98,10.83,11.09,30057948.90,10.98
2020-02-17,10.98,10.83,11.09,30057948.90,10.82
2020-02-14,10.82,10.78,11.14,38211539.65,10.82
2020-02-14,10.82,10.78,11.14,38211539.65,10.99
2020-02-13,10.99,10.31,11.2,105643010.32,10.99
2020-02-13,10.99,10.31,11.2,105643010.32,10.34
2020-02-12,10.34,10.2,10.45,19684333.43,10.34
2020-02-12,10.34,10.2,10.45,19684333.43,10.31
2020-02-11,10.31,9.99,10.32,20219621.66,10.31
2020-02-11,10.31,9.99,10.32,20219621.66,10.12
