Date,adjclose,low,high,volume,open
2020-05-29,1.83,1.72,1.83,60375655.93,1.67
2020-05-28,1.67,1.54,1.67,75423435.78,1.52
2020-05-27,1.52,1.49,1.54,24009539.2,1.49
2020-05-22,1.49,1.47,1.49,7920449.39,1.48
2020-05-21,1.48,1.47,1.51,23153505.47,1.47
2020-05-20,1.47,1.47,1.5,8895115.15,1.48
2020-05-18,1.48,1.46,1.49,20753299.82,1.45
2020-05-15,1.45,1.44,1.48,11273156.99,1.44
2020-05-14,1.44,1.42,1.49,26204934.23,1.48
2020-05-13,1.48,1.47,1.52,30271462.35,1.48
2020-05-12,1.48,1.44,1.51,58120576.91,1.45
2020-05-11,1.45,1.41,1.52,61502111.61,1.42
2020-05-08,1.42,1.4,1.47,45622799.34,1.39
2020-05-07,1.39,1.38,1.41,5925243.87,1.39
2020-05-06,1.39,1.38,1.43,14266938.29,1.41
2020-05-05,1.41,1.37,1.42,27571704.41,1.39
2020-05-04,1.39,1.36,1.42,17200226.12,1.41
2020-04-30,1.41,1.37,1.48,51925896.14,1.39
2020-04-29,1.39,1.34,1.39,16246511.23,1.36
2020-04-28,1.36,1.35,1.39,19473425.43,1.37
2020-04-27,1.37,1.31,1.38,25679840.67,1.3
2020-04-24,1.3,1.27,1.34,19699041.06,1.28
2020-04-22,1.28,1.27,1.31,13938123.15,1.28
2020-04-21,1.28,1.25,1.32,27335091.95,1.29
2020-04-20,1.29,1.26,1.3,17612866.41,1.27
2020-04-17,1.27,1.23,1.34,68004117.07,1.27
2020-04-17,1.27,1.23,1.34,68004117.07,1.22
2020-04-16,1.22,1.19,1.24,9634286.27,1.22
2020-04-15,1.22,1.21,1.32,21774160.27,1.22
2020-04-15,1.22,1.21,1.32,21774160.27,1.31
2020-04-14,1.31,1.3,1.35,11862722.87,1.31
2020-04-14,1.31,1.3,1.35,11862722.87,1.3
2020-04-13,1.3,1.22,1.32,19992703.83,1.3
2020-04-13,1.3,1.22,1.32,19992703.83,1.24
2020-04-10,1.24,1.23,1.28,15490840.92,1.24
2020-04-09,1.24,1.19,1.27,33352848.09,1.24
2020-04-09,1.24,1.19,1.27,33352848.09,1.22
2020-04-08,1.22,1.19,1.23,9860188.41,1.22
2020-04-07,1.22,1.21,1.27,21038506.26,1.22
2020-04-07,1.22,1.21,1.27,21038506.26,1.23
2020-04-06,1.23,1.19,1.24,13730215.24,1.23
2020-04-06,1.23,1.19,1.24,13730215.24,1.19
2020-04-03,1.19,1.18,1.21,9914886.7,1.19
2020-04-02,1.19,1.18,1.22,9047973.04,1.19
2020-04-02,1.19,1.18,1.22,9047973.04,1.2
2020-04-01,1.2,1.17,1.24,25127332.93,1.2
2020-04-01,1.2,1.17,1.24,25127332.93,1.22
2020-03-31,1.22,1.19,1.23,11701655.29,1.22
2020-03-31,1.22,1.19,1.23,11701655.29,1.19
2020-03-30,1.19,1.19,1.23,8249795.89,1.19
2020-03-27,1.19,1.16,1.24,34679996.05,1.19
2020-03-27,1.19,1.16,1.24,34679996.05,1.18
2020-03-26,1.18,1.13,1.2,11625719.9,1.18
2020-03-26,1.18,1.13,1.2,11625719.9,1.15
2020-03-25,1.15,1.12,1.2,15509493.35,1.15
2020-03-25,1.15,1.12,1.2,15509493.35,1.14
2020-03-24,1.14,1.07,1.15,12847597.65,1.14
2020-03-24,1.14,1.07,1.15,12847597.65,1.05
2020-03-23,1.05,1.01,1.09,7791141.97,1.05
2020-03-23,1.05,1.01,1.09,7791141.97,1.1
2020-03-20,1.1,1.1,1.16,7362519.1,1.1
2020-03-19,1.1,1.05,1.13,11695545.82,1.1
2020-03-19,1.1,1.05,1.13,11695545.82,1.09
2020-03-18,1.09,0.99,1.11,7498099.05,1.06
2020-03-17,1.06,0.99,1.12,13237412.5,1.1
2020-03-16,1.1,1.1,1.18,8600463.67,1.22
2020-03-13,1.22,1.15,1.27,19408746.23,1.18
2020-03-12,1.18,1.14,1.31,21673209.17,1.37
2020-03-11,1.37,1.27,1.43,24378915.31,1.38
2020-03-10,1.38,1.38,1.63,43440869.87,1.52
2020-03-09,1.52,1.47,1.59,34947562.26,1.55
2020-03-06,1.55,1.53,1.6,25334104.33,1.57
2020-03-05,1.57,1.49,1.68,67369327.15,1.48
2020-03-04,1.48,1.48,1.54,16388696.38,1.52
2020-03-03,1.52,1.45,1.54,25623530.99,1.43
2020-03-02,1.43,1.41,1.48,16407226.04,1.4
2020-02-28,1.4,1.18,1.46,13278194.67,1.47
2020-02-27,1.47,1.45,1.56,53280242.08,1.55
2020-02-26,1.55,1.52,1.59,50013376.65,1.53
2020-02-25,1.53,1.52,1.57,24937510.17,1.53
2020-02-24,1.53,1.49,1.55,27165549.12,1.53
2020-02-21,1.53,1.45,1.59,33336283.89,1.51
2020-02-20,1.51,1.49,1.58,27195711.88,1.56
2020-02-19,1.56,1.52,1.59,20441806.66,1.57
2020-02-18,1.57,1.53,1.61,27094994.92,1.6
2020-02-17,1.6,1.59,1.65,21829175.33,1.6
2020-02-14,1.6,1.59,1.63,24185781.66,1.6
2020-02-13,1.6,1.58,1.63,27126174.01,1.6
2020-02-13,1.6,1.58,1.63,27126174.01,1.59
2020-02-12,1.59,1.59,1.65,70949051.69,1.59
2020-02-12,1.59,1.59,1.65,70949051.69,1.61
2020-02-11,1.61,1.51,1.63,57136185.39,1.61
2020-02-11,1.61,1.51,1.63,57136185.39,1.52
2020-02-10,1.52,1.48,1.71,94169570.07,1.52
2020-02-10,1.52,1.48,1.71,94169570.07,1.6
2020-02-07,1.6,1.6,1.69,53351281.05,1.6
2020-02-07,1.6,1.6,1.69,53351281.05,1.61
2020-02-06,1.61,1.59,1.64,36027033.17,1.61
2020-02-05,1.61,1.6,1.68,52767556.28,1.61
2020-02-05,1.61,1.6,1.68,52767556.28,1.67
2020-02-04,1.67,1.55,1.76,255053011.97,1.67
2020-02-04,1.67,1.55,1.76,255053011.97,1.49
2020-02-03,1.49,1.48,1.52,11328942.79,1.49
2020-01-31,1.49,1.48,1.52,9527625.61,1.49
2020-01-30,1.49,1.47,1.52,13400927.21,1.49
2020-01-30,1.49,1.47,1.52,13400927.21,1.52
2020-01-29,1.52,1.51,1.57,14376358.87,1.52
2020-01-29,1.52,1.51,1.57,14376358.87,1.55
2020-01-28,1.55,1.51,1.6,25941989.28,1.55
2020-01-28,1.55,1.51,1.6,25941989.28,1.56
2020-01-27,1.56,1.47,1.62,57147048.6,1.56
2020-01-27,1.56,1.47,1.62,57147048.6,1.49
2020-01-24,1.49,1.47,1.51,19931487.31,1.49
2020-01-24,1.49,1.47,1.51,19931487.31,1.48
2020-01-23,1.48,1.47,1.51,22162968.52,1.48
2020-01-23,1.48,1.47,1.51,22162968.52,1.49
2020-01-22,1.49,1.48,1.56,47833124.9,1.49
2020-01-21,1.49,1.45,1.52,28886994.11,1.49
2020-01-21,1.49,1.45,1.52,28886994.11,1.47
2020-01-20,1.47,1.47,1.52,21259679.41,1.47
2020-01-20,1.47,1.47,1.52,21259679.41,1.48
2020-01-17,1.48,1.47,1.55,32411455.07,1.48
2020-01-16,1.48,1.43,1.63,156102249.68,1.48
2020-01-16,1.48,1.43,1.63,156102249.68,1.42
2020-01-15,1.42,1.42,1.49,31072909.45,1.42
2020-01-15,1.42,1.42,1.49,31072909.45,1.47
2020-01-14,1.47,1.41,1.54,60945716.74,1.5
2020-01-13,1.5,1.29,1.5,100075758.08,1.25
2020-01-10,1.25,1.17,1.25,13023579.23,1.18
2020-01-09,1.18,1.15,1.19,8585046.45,1.13
2020-01-08,1.13,1.08,1.14,9032468.55,1.13
2020-01-07,1.13,1.12,1.15,4480549.08,1.12
2020-01-06,1.12,1.12,1.15,6010097.15,1.17
2020-01-03,1.17,1.13,1.22,9304719.81,1.22
2020-01-02,1.22,1.21,1.23,6556733.9,1.22
2019-12-31,1.22,1.21,1.25,11911033.81,1.21
2019-12-30,1.21,1.19,1.24,13724991.84,1.19
2019-12-27,1.19,1.18,1.21,6792680.18,1.2
2019-12-26,1.2,1.19,1.22,5266346.9,1.21
2019-12-25,1.21,1.19,1.22,3903216.64,1.2
2019-12-24,1.2,1.17,1.23,17966915.42,1.17
2019-12-23,1.17,1.17,1.18,2798076.24,1.17
2019-12-20,1.17,1.15,1.19,11602083.76,1.16
2019-12-19,1.16,1.15,1.18,5530337.06,1.16
2019-12-18,1.16,1.16,1.18,4197913.38,1.18
2019-12-17,1.18,1.16,1.2,10443088.39,1.16
2019-12-16,1.16,1.16,1.18,6723873.19,1.16
2019-12-13,1.16,1.15,1.22,20428963.8,1.16
2019-12-12,1.16,1.15,1.18,11852295.99,1.16
