Date,adjclose,low,high,volume,open
2020-05-29,4.95,4.93,5.0,252559617.69,4.94
2020-05-28,4.94,4.89,5.01,269977283.46,4.87
2020-05-27,4.87,4.86,4.93,209776831.95,4.8
2020-05-22,4.8,4.79,4.84,73451831.16,4.83
2020-05-21,4.83,4.82,4.87,106448766.64,4.82
2020-05-20,4.82,4.82,4.86,110049570.63,4.83
2020-05-18,4.83,4.78,4.85,106723776.27,4.78
2020-05-15,4.78,4.75,4.87,134413390.11,4.83
2020-05-14,4.83,4.82,4.87,204727198.34,4.92
2020-05-13,4.92,4.9,5.0,210177775.0,4.93
2020-05-12,4.93,4.85,4.95,194022774.3,4.87
2020-05-11,4.87,4.84,4.91,128713316.45,4.87
2020-05-08,4.87,4.86,4.97,212691775.98,4.89
2020-05-07,4.89,4.86,4.93,138414944.83,4.88
2020-05-06,4.88,4.87,4.95,147928697.71,4.9
2020-05-05,4.9,4.88,4.97,178435883.76,4.87
2020-05-04,4.87,4.85,4.91,115839406.87,4.95
2020-04-30,4.95,4.9,5.05,292353893.54,5.01
2020-04-29,5.01,4.94,5.01,184796382.86,4.96
2020-04-28,4.96,4.96,5.09,292995902.16,4.98
2020-04-27,4.98,4.91,4.99,265934351.76,4.84
2020-04-24,4.84,4.76,4.89,175508237.1,4.79
2020-04-22,4.79,4.79,4.93,161160427.32,4.85
2020-04-21,4.85,4.84,4.94,149745364.01,4.96
2020-04-20,4.96,4.93,5.02,154486464.9,4.95
2020-04-17,4.95,4.9,5.02,209826935.57,4.95
2020-04-17,4.95,4.9,5.02,209826935.57,4.83
2020-04-16,4.83,4.78,4.87,137683140.49,4.83
2020-04-16,4.83,4.78,4.87,137683140.49,4.79
2020-04-15,4.79,4.79,5.05,225904518.98,4.79
2020-04-15,4.79,4.79,5.05,225904518.98,5.05
2020-04-14,5.05,5.02,5.09,208895131.01,5.05
2020-04-14,5.05,5.02,5.09,208895131.01,5.0
2020-04-13,5.0,4.94,5.09,229978241.22,5.0
2020-04-13,5.0,4.94,5.09,229978241.22,5.09
2020-04-10,5.09,4.95,5.2,327381119.58,5.09
2020-04-10,5.09,4.95,5.2,327381119.58,5.03
2020-04-09,5.03,4.78,5.03,384419986.82,5.03
2020-04-09,5.03,4.78,5.03,384419986.82,4.75
2020-04-08,4.75,4.67,4.75,118294248.18,4.75
2020-04-08,4.75,4.67,4.75,118294248.18,4.71
2020-04-07,4.71,4.71,4.89,266600303.29,4.71
2020-04-07,4.71,4.71,4.89,266600303.29,4.78
2020-04-06,4.78,4.61,4.78,151958646.59,4.78
