Date,adjclose,low,high,volume,open
2020-05-29,7.07,7.02,7.09,6847918.62,7.07
2020-05-28,7.07,7.05,7.18,8575505.28,7.12
2020-05-27,7.12,7.1,7.2,10457758.76,7.11
2020-05-22,7.11,7.06,7.19,6504216.07,7.14
2020-05-21,7.14,7.03,7.2,14606870.07,7.08
2020-05-20,7.08,6.96,7.08,14198402.47,6.96
2020-05-18,6.96,6.91,7.01,5560688.97,6.91
2020-05-15,6.91,6.91,7.05,6139072.89,6.96
2020-05-14,6.96,6.83,7.05,7227669.22,7.0
2020-05-13,7.0,6.97,7.11,10597250.64,7.02
2020-05-12,7.02,6.85,7.04,8015433.74,6.89
2020-05-11,6.89,6.85,6.95,4914302.75,6.9
2020-05-08,6.9,6.86,7.06,10299416.47,6.96
2020-05-07,6.96,6.95,7.35,27182430.72,6.98
2020-05-06,6.98,6.8,7.32,25005364.53,6.83
2020-05-05,6.83,6.66,6.85,7128430.54,6.64
2020-05-04,6.64,6.64,6.8,4962742.41,6.87
2020-04-30,6.87,6.78,6.98,13913062.88,6.95
2020-04-29,6.95,6.82,6.95,11188900.13,6.85
2020-04-28,6.85,6.83,7.04,9001369.98,7.0
2020-04-27,7.0,6.92,7.04,9782298.35,6.9
2020-04-24,6.9,6.72,6.9,8198777.74,6.84
2020-04-22,6.84,6.8,6.99,12549602.16,6.97
2020-04-21,6.97,6.81,6.97,8903679.58,6.95
2020-04-20,6.95,6.77,6.99,17670970.54,6.69
2020-04-17,6.69,6.63,6.74,8996316.06,6.6
2020-04-16,6.6,6.6,6.8,14807237.81,6.68
2020-04-15,6.68,6.46,6.68,13345549.68,6.6
2020-04-14,6.6,6.53,6.71,10350638.83,6.6
2020-04-13,6.6,6.4,6.68,11219886.13,6.43
2020-04-10,6.43,6.39,6.47,4024515.53,6.44
2020-04-09,6.44,6.37,6.46,5646484.71,6.37
2020-04-08,6.37,6.33,6.45,3645613.53,6.4
2020-04-07,6.4,6.38,6.57,8044266.72,6.41
2020-04-06,6.41,6.35,6.43,6503227.18,6.33
2020-04-03,6.33,6.26,6.36,2918885.45,6.27
2020-04-02,6.27,6.25,6.45,4020436.22,6.4
2020-04-01,6.4,6.23,6.46,5435655.09,6.28
2020-03-31,6.28,6.28,6.38,2876512.53,6.27
2020-03-30,6.27,6.12,6.4,4051481.52,6.29
2020-03-27,6.29,6.14,6.43,7910033.21,6.36
2020-03-26,6.36,6.28,6.46,10638425.99,6.46
2020-03-25,6.46,6.44,6.8,8447238.69,6.53
2020-03-24,6.53,6.3,6.57,12454997.32,6.29
2020-03-23,6.29,5.99,6.29,6800674.96,6.29
2020-03-20,6.29,6.04,6.29,7806341.2,5.96
2020-03-19,5.96,5.75,6.0,10569062.69,5.98
2020-03-18,5.98,5.6,5.99,5723084.38,5.85
2020-03-17,5.85,5.46,5.97,8863652.38,6.02
2020-03-16,6.02,6.0,6.48,6836658.18,6.6
2020-03-13,6.6,6.18,6.71,8213244.4,6.36
2020-03-12,6.36,6.29,6.7,8915571.19,6.73
2020-03-11,6.73,6.58,7.08,7724506.52,7.03
2020-03-10,7.03,7.0,7.32,8197566.49,7.14
2020-03-09,7.14,6.85,7.31,11516503.07,7.35
2020-03-06,7.35,7.28,7.5,11688344.92,7.2
2020-03-05,7.2,7.1,7.33,10858118.58,7.05
2020-03-04,7.05,7.05,7.3,5791134.27,7.25
2020-03-03,7.25,7.17,7.31,6465875.02,7.16
2020-03-02,7.16,7.15,7.31,4272843.61,7.1
2020-02-28,7.1,6.0,7.18,7154354.59,7.24
2020-02-27,7.24,7.13,7.37,8879945.27,7.36
2020-02-26,7.36,7.17,7.42,7539509.19,7.27
2020-02-25,7.27,7.19,7.32,3735510.21,7.23
2020-02-24,7.23,7.13,7.35,5910985.04,7.38
2020-02-21,7.38,7.02,7.38,10209478.05,7.16
2020-02-20,7.16,7.07,7.43,8764486.88,7.4
2020-02-19,7.4,7.38,7.54,4952207.16,7.51
2020-02-18,7.51,7.48,7.62,6221751.67,7.64
2020-02-17,7.64,7.6,7.67,3513117.7,7.6
2020-02-14,7.6,7.54,7.71,7273731.17,7.66
2020-02-13,7.66,7.5,7.66,8815912.54,7.66
2020-02-12,7.66,7.64,7.76,12164511.88,7.8
2020-02-11,7.8,7.63,7.83,6114612.64,7.68
2020-02-10,7.68,7.57,7.84,7101019.02,7.82
2020-02-07,7.82,7.8,7.93,4429767.84,7.89
2020-02-06,7.89,7.87,7.98,5387764.58,7.92
2020-02-05,7.92,7.85,7.95,7693535.69,7.87
2020-02-04,7.87,7.78,7.9,8440959.76,7.75
2020-02-03,7.75,7.71,7.88,5949761.12,7.77
2020-01-31,7.77,7.66,7.83,6645579.77,7.66
2020-01-30,7.66,7.64,7.81,9020159.39,7.82
2020-01-29,7.82,7.82,7.92,7322336.29,7.86
2020-01-28,7.86,7.83,7.95,6238881.77,7.9
2020-01-27,7.9,7.82,7.95,11046510.35,8.0
2020-01-24,8.0,7.93,8.12,9070950.84,8.05
2020-01-23,8.05,8.04,8.15,6158845.91,8.14
2020-01-22,8.14,8.1,8.3,8283455.96,8.23
2020-01-21,8.23,8.12,8.29,10926062.04,8.2
2020-01-20,8.2,7.9,8.2,19708671.21,7.9
2020-01-17,7.9,7.79,7.9,5335376.36,7.82
2020-01-16,7.82,7.81,7.96,13428220.88,7.85
2020-01-15,7.85,7.83,7.94,6474592.38,7.9
2020-01-14,7.9,7.85,7.95,9273664.84,7.92
2020-01-13,7.92,7.86,7.97,10024784.62,7.83
2020-01-10,7.83,7.78,7.86,6340000.16,7.79
2020-01-09,7.79,7.74,7.84,12128988.15,7.6
2020-01-08,7.6,7.4,7.66,7615377.33,7.65
2020-01-07,7.65,7.65,7.75,6909239.97,7.59
2020-01-06,7.59,7.32,7.7,8067358.86,7.8
2020-01-03,7.8,7.67,7.96,10371465.18,7.96
2020-01-02,7.96,7.92,8.01,8859129.6,8.01
2019-12-31,8.01,7.96,8.04,4432107.84,8.02
2019-12-30,8.02,7.93,8.03,8888110.9,7.93
2019-12-27,7.93,7.88,7.99,5811042.15,7.94
2019-12-26,7.94,7.9,8.05,6436381.21,7.95
2019-12-25,7.95,7.89,8.02,3915200.57,8.01
2019-12-24,8.01,7.86,8.04,8905808.1,7.86
2019-12-23,7.86,7.65,7.91,12057581.95,7.67
2019-12-20,7.67,7.64,7.79,8282971.58,7.68
2019-12-19,7.68,7.63,7.72,3148019.4,7.65
2019-12-18,7.65,7.55,7.75,8350980.81,7.62
2019-12-17,7.62,7.57,7.7,5497199.67,7.66
2019-12-16,7.66,7.6,7.72,7069894.49,7.75
2019-12-13,7.75,7.72,8.05,18128983.38,7.87
2019-12-12,7.87,7.63,7.87,11150965.53,7.71
2019-12-11,7.71,7.47,7.75,6872369.54,7.66
2019-12-10,7.66,7.6,7.77,13126505.8,7.58
2019-12-09,7.58,7.44,7.58,8616034.59,7.48
2019-12-06,7.48,7.44,7.55,5222604.16,7.47
2019-12-05,7.47,7.4,7.59,7358409.51,7.41
2019-12-04,7.41,7.34,7.48,7097475.78,7.34
2019-12-03,7.34,7.19,7.54,15804481.42,7.25
2019-12-02,7.25,7.03,7.26,10273452.85,6.99
2019-11-29,6.99,6.97,7.03,6269433.89,6.98
2019-11-28,6.98,6.8,7.02,9113761.09,6.92
2019-11-27,6.92,6.75,6.94,11900414.85,6.8
2019-11-26,6.8,6.62,6.83,13628722.22,6.67
2019-11-25,6.67,6.64,6.8,21776619.01,6.58
2019-11-22,6.58,6.51,6.61,8335344.01,6.5
2019-11-21,6.5,6.47,6.57,5706591.11,6.54
2019-11-20,6.54,6.47,6.64,9821680.37,6.58
2019-11-19,6.58,6.47,6.6,8996730.31,6.52
2019-11-18,6.52,6.44,6.58,16105368.52,6.43
2019-11-15,6.43,6.38,6.43,6328214.08,6.39
2019-11-14,6.39,6.36,6.44,7237062.95,6.44
2019-11-13,6.44,6.41,6.46,7381043.36,6.42
2019-11-12,6.42,6.4,6.46,8811527.65,6.39
2019-11-11,6.39,6.35,6.47,8881413.06,6.46
2019-11-08,6.46,6.41,6.59,13893536.75,6.53
2019-11-07,6.53,6.36,6.54,17565528.49,6.34
2019-11-06,6.34,6.32,6.39,9428225.75,6.33
2019-11-05,6.33,6.31,6.42,16445977.16,6.38
2019-11-04,6.38,6.17,6.48,50832817.44,6.15
2019-11-01,6.15,6.02,6.17,8335361.97,6.07
2019-10-31,6.07,6.06,6.15,7526976.65,6.12
2019-10-30,6.12,6.04,6.15,10849922.82,6.15
2019-10-28,6.15,6.15,6.28,5980216.3,6.29
2019-10-25,6.29,6.2,6.35,8760853.57,6.38
2019-10-24,6.38,6.36,6.5,10378343.55,6.38
2019-10-23,6.38,6.23,6.41,21793032.93,6.2
2019-10-22,6.2,6.15,6.28,15856194.67,6.13
2019-10-21,6.13,6.1,6.24,10608921.69,6.09
2019-10-18,6.09,6.09,6.26,15495481.53,6.01
2019-10-17,6.01,5.96,6.1,7870023.22,6.07
2019-10-16,6.07,5.96,6.09,7661691.19,6.03
2019-10-15,6.03,5.94,6.13,11773584.78,6.06
2019-10-14,6.06,5.94,6.32,19368933.63,6.23
2019-10-11,6.23,6.2,6.44,38539861.89,6.22
2019-10-10,6.22,5.83,6.59,75708818.3,5.88
2019-10-09,5.88,5.82,6.13,9686680.2,6.03
2019-10-08,6.03,5.92,6.1,9166495.34,6.08
2019-10-07,6.08,6.01,6.17,7254703.81,6.06
2019-10-04,6.06,6.01,6.1,2483788.34,6.04
2019-10-03,6.04,6.02,6.13,4701319.28,6.06
2019-10-02,6.06,6.01,6.1,3905417.44,6.09
2019-10-01,6.09,6.06,6.17,4306449.88,6.15
2019-09-30,6.15,6.12,6.22,6853870.47,6.18
2019-09-27,6.18,6.02,6.21,10229954.5,6.03
2019-09-26,6.03,6.03,6.14,3074311.29,6.04
2019-09-25,6.04,5.99,6.04,2571341.9,5.99
2019-09-24,5.99,5.98,6.06,5745317.23,5.87
2019-09-23,5.87,5.85,6.0,3187239.16,6.0
2019-09-20,6.0,5.93,6.08,7601635.32,6.07
2019-09-19,6.07,6.07,6.2,4850413.21,6.16
2019-09-18,6.16,6.07,6.24,10276330.66,6.1
2019-09-17,6.1,6.05,6.18,5165421.83,6.16
2019-09-16,6.16,6.11,6.25,4789365.39,6.28
2019-09-13,6.28,6.23,6.33,4735188.39,6.26
2019-09-12,6.26,6.24,6.35,7009765.59,6.31
2019-09-11,6.31,6.23,6.32,11450571.33,6.23
2019-09-10,6.23,6.12,6.25,13181451.25,6.13
2019-09-09,6.13,6.08,6.15,7389208.66,6.07
2019-09-06,6.07,6.06,6.18,5097164.94,6.14
2019-09-05,6.14,6.09,6.17,5202212.39,6.08
2019-09-04,6.08,6.08,6.13,2862191.19,6.08
2019-09-03,6.08,6.06,6.15,5063176.26,6.07
2019-09-02,6.07,6.01,6.08,5156889.43,6.05
2019-08-29,6.05,6.03,6.1,1962648.64,6.05
2019-08-28,6.05,6.01,6.14,2413679.56,6.09
2019-08-27,6.09,6.09,6.16,2842485.57,6.15
2019-08-26,6.15,6.04,6.17,3468685.26,6.13
2019-08-23,6.13,6.03,6.13,2928745.27,6.03
2019-08-22,6.03,5.98,6.07,3982621.34,6.03
2019-08-21,6.03,6.01,6.3,3414242.06,6.19
2019-08-20,6.19,5.98,6.19,2688091.62,6.01
2019-08-19,6.01,5.95,6.04,2600725.3,6.01
2019-08-16,6.01,6.0,6.22,2961369.87,6.11
2019-08-15,6.11,5.79,6.37,4262639.66,6.43
2019-08-09,6.43,6.29,6.49,4837342.03,6.47
2019-08-08,6.47,6.41,6.51,1216681.1,6.46
2019-08-07,6.46,6.38,6.71,5529268.08,6.7
2019-08-06,6.7,6.65,6.73,2497699.7,6.69
2019-08-05,6.69,6.58,6.95,4984509.4,6.91
2019-08-02,6.91,6.91,7.1,6579426.23,7.0
2019-08-01,7.0,6.97,7.01,3366194.4,6.98
2019-07-31,6.98,6.97,7.0,3822993.13,6.98
2019-07-30,6.98,6.96,7.05,6108314.96,6.97
2019-07-29,6.97,6.86,7.0,7407538.04,6.86
2019-07-26,6.86,6.85,6.9,2035837.71,6.86
2019-07-25,6.86,6.83,6.92,3142279.73,6.85
2019-07-24,6.85,6.76,6.89,5231515.7,6.77
2019-07-23,6.77,6.75,6.83,2907555.48,6.78
2019-07-22,6.78,6.76,6.9,4916551.11,6.85
2019-07-19,6.85,6.82,6.91,5686904.0,6.82
2019-07-18,6.82,6.68,6.85,4884037.87,6.7
2019-07-17,6.7,6.64,6.72,3550689.16,6.62
2019-07-16,6.62,6.62,6.7,3425234.53,6.61
2019-07-12,6.61,6.6,6.78,4093189.85,6.77
2019-07-11,6.77,6.72,6.8,3734683.47,6.74
2019-07-10,6.74,6.59,6.74,3718770.51,6.69
2019-07-09,6.69,6.62,6.73,7274937.51,6.74
2019-07-08,6.74,6.54,6.77,6084785.39,6.7
2019-07-05,6.7,6.7,6.83,4108939.9,6.82
2019-07-04,6.82,6.72,6.94,5168003.65,6.94
