Date,adjclose,low,high,volume,open
2020-05-29,446.0,442.2,453.9,7278932.1,453.0
2020-05-28,453.0,440.0,475.5,23239645.5,458.3
2020-05-27,458.3,458.0,466.0,11502665.1,454.0
2020-05-22,454.0,451.0,459.5,8396026.1,457.1
2020-05-21,457.1,454.9,466.0,10307599.2,461.2
2020-05-20,461.2,458.3,476.3,23908982.9,465.1
2020-05-18,465.1,460.2,472.3,17542070.1,459.2
2020-05-15,459.2,456.4,470.5,9730118.7,452.2
2020-05-14,452.2,449.4,475.5,16825926.1,471.5
2020-05-13,471.5,465.0,503.4,44117590.9,488.7
2020-05-12,488.7,445.0,488.7,38533830.9,444.3
2020-05-11,444.3,433.1,446.1,9484736.7,436.0
2020-05-08,436.0,436.0,447.6,9371684.4,441.93
2020-05-07,441.93,430.83,450.84,17205890.4,431.03
2020-05-06,431.03,414.58,435.78,21181347.8,431.03
2020-05-05,431.03,428.15,452.83,12876650.4,449.85
2020-05-04,449.85,445.89,473.63,19770189.6,473.63
2020-04-30,473.63,441.13,487.01,67846704.2,444.2
2020-04-29,444.2,441.83,473.93,25419444.2,465.71
2020-04-28,465.71,451.93,527.14,64685970.6,481.56
2020-04-27,481.56,455.8,481.56,13892194.0,437.86
2020-04-24,437.86,398.53,437.86,34102638.7,398.13
2020-04-22,398.13,364.64,398.13,23333433.5,361.96
2020-04-21,361.96,349.78,364.64,12265611.2,356.22
2020-04-20,356.22,352.55,359.68,11669726.3,351.86
2020-04-17,351.86,349.38,355.62,8686582.9,346.41
2020-04-16,346.41,342.74,351.56,6482519.6,345.32
2020-04-15,345.32,333.92,354.73,9709788.0,352.75
2020-04-14,352.75,347.5,355.22,13211300.9,345.71
2020-04-13,345.71,343.83,352.25,8189072.0,348.69
2020-04-10,348.69,346.8,356.71,6787415.8,350.96
2020-04-09,350.96,347.69,361.57,14915127.0,353.84
2020-04-08,353.84,327.48,356.51,34250921.6,334.91
2020-04-07,334.91,331.35,350.77,22227647.4,328.97
2020-04-06,328.97,322.82,331.94,6770271.1,320.54
2020-04-03,320.54,316.98,324.01,4123203.2,321.93
2020-04-02,321.93,315.09,332.73,6554044.3,328.97
2020-04-01,328.97,326.39,337.88,7272200.5,335.9
2020-03-31,335.9,326.19,335.9,12419236.1,323.91
2020-03-30,323.91,312.12,328.77,9387390.1,314.6
2020-03-27,314.6,310.14,336.89,14511602.5,316.18
2020-03-26,316.18,310.14,321.34,12833240.0,315.49
2020-03-25,315.49,300.53,321.14,15383088.3,302.51
2020-03-24,302.51,285.96,306.67,5441093.2,280.22
2020-03-23,280.22,272.98,283.19,3078928.7,284.38
2020-03-20,284.38,281.41,292.3,5463171.2,280.41
2020-03-19,280.41,273.78,286.16,3954858.1,285.07
2020-03-18,285.07,282.4,296.17,5117609.2,287.35
2020-03-17,287.35,258.32,288.54,9219946.9,270.41
2020-03-16,270.41,268.82,293.2,6169232.7,296.17
2020-03-13,296.17,274.47,305.29,7705002.9,279.62
2020-03-12,279.62,276.55,303.01,6128171.2,308.65
2020-03-11,308.65,301.62,322.53,4912440.7,320.05
2020-03-10,320.05,320.05,356.71,4701911.7,343.04
2020-03-09,343.04,340.86,365.63,4799075.5,372.96
2020-03-06,372.96,366.62,382.18,4109276.5,382.18
2020-03-05,382.18,381.98,390.0,3419989.7,384.46
2020-03-04,384.46,384.46,402.29,7578922.2,397.04
2020-03-03,397.04,392.38,406.25,6757738.6,386.44
2020-03-02,386.44,377.82,390.5,7897262.0,376.53
2020-02-28,376.53,356.61,381.19,7615155.5,394.66
2020-02-27,394.66,387.33,419.63,6697468.3,414.28
2020-02-26,414.28,409.23,420.13,4201211.9,418.44
2020-02-25,418.44,411.7,420.13,5743506.1,414.18
2020-02-24,414.18,409.23,422.21,4919061.3,423.59
2020-02-21,423.59,409.23,426.17,7013185.2,418.14
2020-02-20,418.14,409.23,443.91,9754770.6,442.82
2020-02-19,442.82,436.08,454.21,8481739.5,445.99
2020-02-18,445.99,445.79,462.54,13704230.3,454.31
2020-02-17,454.31,450.15,460.75,8786359.9,458.37
2020-02-14,458.37,452.83,461.54,6465318.6,458.47
2020-02-13,458.47,453.72,464.12,7235836.2,461.84
2020-02-12,461.84,456.79,475.61,7345093.0,464.22
2020-02-11,464.22,452.83,477.0,12129716.1,474.43
2020-02-10,474.43,442.92,490.38,13175851.6,486.51
2020-02-07,486.51,483.34,494.24,16770483.1,483.84
2020-02-06,483.84,458.57,485.23,18686566.5,467.09
2020-02-05,467.09,457.88,467.69,10144332.5,458.77
2020-02-04,458.77,446.38,460.75,8197149.7,444.7
2020-02-03,444.7,435.98,454.51,6193919.1,442.92
2020-01-31,442.92,442.02,459.76,5395524.7,453.32
2020-01-30,453.32,427.16,469.77,7934527.2,465.81
2020-01-29,465.81,465.71,479.58,6065682.3,475.52
2020-01-28,475.52,460.06,482.65,7616991.8,470.66
2020-01-27,470.66,469.17,494.44,9265795.7,475.61
2020-01-24,475.61,467.19,479.58,9377794.6,474.92
2020-01-23,474.92,454.51,484.83,15926651.6,456.29
2020-01-22,456.29,426.07,474.13,21440269.2,429.94
2020-01-21,429.94,414.68,430.93,8845424.9,420.13
2020-01-20,420.13,416.06,428.05,6612973.1,416.16
2020-01-17,416.16,413.59,421.22,6965622.7,417.15
2020-01-16,417.15,414.68,430.53,14102492.1,414.18
2020-01-15,414.18,408.53,420.03,8685328.4,416.16
2020-01-14,416.16,409.13,425.58,17464436.8,429.04
2020-01-13,429.04,424.19,435.88,17580212.8,423.1
2020-01-10,423.1,416.56,436.48,26659165.2,431.82
2020-01-09,431.82,376.23,438.66,69780153.7,369.1
2020-01-08,369.1,363.35,373.65,6195939.0,377.52
2020-01-07,377.52,373.06,380.69,6291077.3,371.67
2020-01-06,371.67,370.58,380.39,5834052.4,383.17
2020-01-03,383.17,372.57,395.85,6190320.2,394.36
2020-01-02,394.36,385.25,395.75,5948161.7,386.34
2019-12-31,386.34,385.05,392.38,3704430.0,386.34
2019-12-30,386.34,382.18,395.85,8027581.2,382.47
2019-12-27,382.47,378.01,399.32,24040973.2,380.49
2019-12-26,380.49,376.33,387.82,6087258.6,382.08
2019-12-25,382.08,373.56,392.88,18375294.7,376.53
2019-12-24,376.53,370.88,378.41,5802418.5,372.86
2019-12-23,372.86,370.48,376.53,4116721.5,371.48
2019-12-20,371.48,370.29,380.49,3744907.2,376.53
2019-12-19,376.53,369.0,378.41,2823703.8,376.53
2019-12-18,376.53,361.67,380.39,5712888.2,374.55
2019-12-17,374.55,371.57,392.38,7828343.9,384.75
2019-12-16,384.75,373.56,386.44,10226056.8,376.53
2019-12-13,376.53,366.12,381.68,15003475.8,365.63
2019-12-12,365.63,357.11,365.63,4104815.4,355.62
2019-12-11,355.62,349.78,359.98,3788760.9,354.73
2019-12-10,354.73,350.77,364.54,4060674.7,363.65
2019-12-09,363.65,350.96,369.49,9706227.3,355.82
2019-12-06,355.82,346.8,363.15,8499245.8,350.77
2019-12-05,350.77,349.97,356.12,5767893.9,349.18
2019-12-04,349.18,340.86,351.56,4689681.3,341.25
2019-12-03,341.25,337.88,346.31,4658926.1,341.35
2019-12-02,341.35,332.93,343.83,7348686.6,331.44
2019-11-29,331.44,329.86,334.71,4104468.4,331.35
2019-11-28,331.35,328.37,335.9,4181280.0,327.98
2019-11-27,327.98,324.31,336.89,10504698.8,325.4
2019-11-26,325.4,319.06,325.99,2445662.4,320.15
2019-11-25,320.15,319.85,325.9,2355185.9,323.02
2019-11-22,323.02,320.54,325.6,2690110.0,320.84
2019-11-21,320.84,318.56,323.02,2795477.8,321.04
2019-11-20,321.04,319.16,324.51,3124825.9,323.22
2019-11-19,323.22,321.54,325.99,2385994.1,323.42
2019-11-18,323.42,317.87,326.09,5798476.8,317.47
2019-11-15,317.47,315.49,318.36,2107766.6,315.59
2019-11-14,315.59,314.3,318.46,1695080.8,316.88
2019-11-13,316.88,315.89,322.03,3913043.8,320.05
2019-11-12,320.05,320.05,332.93,5432711.1,339.47
2019-11-11,339.47,334.32,344.52,3492263.2,339.47
2019-11-11,339.47,334.32,344.52,3492263.2,337.09
2019-11-08,337.09,329.76,337.09,2891817.6,337.09
2019-11-08,337.09,329.76,337.09,2891817.6,333.92
2019-11-07,333.92,318.56,335.11,7263896.8,333.92
2019-11-07,333.92,318.56,335.11,7263896.8,318.56
2019-11-06,318.56,316.98,319.75,940580.2,318.56
2019-11-06,318.56,316.98,319.75,940580.2,317.27
2019-11-05,317.27,316.28,319.75,786283.3,317.27
2019-11-05,317.27,316.28,319.75,786283.3,317.37
2019-11-04,317.37,314.1,318.66,683220.3,317.37
2019-11-04,317.37,314.1,318.66,683220.3,315.49
2019-11-01,315.49,311.43,317.08,1266666.4,315.49
2019-11-01,315.49,311.43,317.08,1266666.4,314.6
2019-10-31,314.6,314.6,320.05,1864242.7,314.6
2019-10-31,314.6,314.6,320.05,1864242.7,319.06
2019-10-30,319.06,317.08,320.74,1157591.9,319.06
2019-10-30,319.06,317.08,320.74,1157591.9,320.74
2019-10-28,320.74,318.07,320.74,491136.4,320.74
2019-10-28,320.74,318.07,320.74,491136.4,320.05
2019-10-25,320.05,317.27,321.44,695607.0,320.05
2019-10-25,320.05,317.27,321.44,695607.0,319.45
2019-10-24,319.45,316.09,321.04,1390026.7,319.45
2019-10-24,319.45,316.09,321.04,1390026.7,315.79
2019-10-23,315.79,312.12,318.07,1600666.9,315.79
2019-10-23,315.79,312.12,318.07,1600666.9,311.23
2019-10-22,311.23,307.96,314.1,1942643.7,311.23
2019-10-22,311.23,307.96,314.1,1942643.7,307.96
2019-10-21,307.96,306.57,312.12,1252484.3,307.96
2019-10-21,307.96,306.57,312.12,1252484.3,309.65
2019-10-18,309.65,304.89,312.12,1883266.8,309.65
2019-10-18,309.65,304.89,312.12,1883266.8,299.24
2019-10-17,299.24,294.39,304.79,1625379.3,299.24
2019-10-17,299.24,294.39,304.79,1625379.3,297.36
2019-10-16,297.36,295.77,301.92,1267284.1,297.36
2019-10-16,297.36,295.77,301.92,1267284.1,303.11
2019-10-15,303.11,301.22,306.47,707631.4,303.11
2019-10-15,303.11,301.22,306.47,707631.4,300.23
2019-10-14,300.23,298.15,313.01,1771514.9,300.23
2019-10-14,300.23,298.15,313.01,1771514.9,312.62
2019-10-11,312.62,307.17,313.61,967774.8,312.62
2019-10-11,312.62,307.17,313.61,967774.8,308.36
2019-10-10,308.36,305.78,316.09,1108508.4,308.36
2019-10-10,308.36,305.78,316.09,1108508.4,315.29
2019-10-09,315.29,312.12,322.53,1630621.9,315.29
2019-10-09,315.29,312.12,322.53,1630621.9,323.02
2019-10-08,323.02,317.08,329.96,3458621.1,323.02
2019-10-08,323.02,317.08,329.96,3458621.1,331.94
2019-10-07,331.94,331.05,335.7,2386073.7,331.94
2019-10-07,331.94,331.05,335.7,2386073.7,333.72
2019-10-04,333.72,331.25,334.22,1218581.8,333.72
2019-10-04,333.72,331.25,334.22,1218581.8,331.84
2019-10-03,331.84,329.76,337.98,2230309.5,331.84
2019-10-03,331.84,329.76,337.98,2230309.5,334.91
2019-10-02,334.91,333.13,339.37,1682962.4,334.91
2019-10-02,334.91,333.13,339.37,1682962.4,333.92
2019-10-01,333.92,331.05,338.88,1974602.7,333.92
2019-10-01,333.92,331.05,338.88,1974602.7,335.51
2019-09-30,335.51,325.99,338.88,5200456.5,335.51
2019-09-30,335.51,325.99,338.88,5200456.5,325.99
2019-09-27,325.99,324.11,326.49,1376311.5,325.99
2019-09-27,325.99,324.11,326.49,1376311.5,323.42
2019-09-26,323.42,322.13,327.88,2659243.5,323.42
2019-09-26,323.42,322.13,327.88,2659243.5,322.53
2019-09-25,322.53,319.26,323.62,1830110.0,322.53
2019-09-25,322.53,319.26,323.62,1830110.0,320.45
2019-09-24,320.45,315.79,322.03,2748936.5,320.45
2019-09-24,320.45,315.79,322.03,2748936.5,315.69
2019-09-23,315.69,314.9,318.66,2028017.5,315.69
2019-09-23,315.69,314.9,318.66,2028017.5,319.65
2019-09-20,319.65,315.49,323.72,4939426.5,319.65
2019-09-20,319.65,315.49,323.72,4939426.5,316.58
2019-09-19,316.58,315.59,324.51,9547924.6,316.58
2019-09-19,316.58,315.59,324.51,9547924.6,319.06
2019-09-18,319.06,309.74,334.42,22879981.1,319.06
2019-09-18,319.06,309.74,334.42,22879981.1,311.03
2019-09-17,311.03,308.46,311.73,2245106.8,311.03
2019-09-17,311.03,308.46,311.73,2245106.8,309.65
2019-09-16,309.65,309.15,315.59,5379396.6,309.65
2019-09-16,309.65,309.15,315.59,5379396.6,309.05
2019-09-13,309.05,308.56,309.94,826745.0,309.05
2019-09-13,309.05,308.56,309.94,826745.0,309.25
2019-09-12,309.25,308.26,309.94,1077491.1,309.25
2019-09-12,309.25,308.26,309.94,1077491.1,308.65
2019-09-11,308.65,307.96,309.45,1693312.7,308.65
2019-09-11,308.65,307.96,309.45,1693312.7,308.26
2019-09-10,308.26,308.16,311.13,1320093.7,308.26
2019-09-10,308.26,308.16,311.13,1320093.7,309.55
2019-09-09,309.55,306.28,309.74,2530222.1,309.55
2019-09-09,309.55,306.28,309.74,2530222.1,305.38
2019-09-06,305.38,304.2,307.66,1669718.3,306.97
2019-09-05,306.97,304.0,312.12,4481113.9,303.7
2019-09-04,303.7,300.73,304.29,1279601.2,301.22
2019-09-03,301.22,298.35,307.17,3532436.8,300.53
2019-09-02,300.53,297.66,300.83,1533126.3,297.56
2019-08-29,297.56,296.86,299.24,2307218.8,297.16
2019-08-28,297.16,295.48,298.94,1896521.1,297.36
2019-08-27,297.36,295.67,298.45,1208980.4,295.87
2019-08-26,295.87,292.7,296.47,1533750.7,294.78
2019-08-23,294.78,293.79,296.47,973865.1,295.87
2019-08-22,295.87,293.3,299.84,3048565.4,297.26
2019-08-21,297.26,294.78,297.36,2352701.4,295.38
2019-08-20,295.38,293.79,297.26,2285681.3,293.1
2019-08-19,293.1,293.1,298.25,3596175.4,295.97
2019-08-16,295.97,295.38,301.82,2788827.0,300.33
2019-08-15,300.33,300.23,305.19,815679.6,306.08
2019-08-09,306.08,304.2,314.9,2541051.0,307.66
2019-08-08,307.66,305.09,311.92,811504.7,303.7
2019-08-07,303.7,303.2,309.84,1081618.1,308.16
2019-08-06,308.16,308.16,311.33,753269.9,309.35
2019-08-05,309.35,308.95,313.71,1122682.0,314.1
2019-08-02,314.1,313.61,316.09,662162.5,316.09
2019-08-01,316.09,314.9,318.96,1289459.2,318.36
2019-07-31,318.36,316.68,319.95,1262612.0,316.38
2019-07-30,316.38,316.28,321.63,835785.0,320.05
2019-07-29,320.05,320.05,324.01,1287695.2,321.54
2019-07-26,321.54,310.44,321.54,2047500.0,311.43
2019-07-25,311.43,310.83,315.0,385307.0,313.81
2019-07-24,313.81,312.52,314.3,365451.2,314.1
2019-07-23,314.1,312.12,314.1,438785.6,311.53
2019-07-22,311.53,311.13,315.29,674825.3,312.12
2019-07-19,312.12,311.13,315.39,1553716.4,310.44
2019-07-18,310.44,304.2,311.03,1420236.8,305.19
2019-07-17,305.19,302.21,306.67,1374668.4,301.12
2019-07-16,301.12,301.02,304.2,735854.2,301.52
2019-07-12,301.52,301.32,306.18,1169654.2,304.49
2019-07-11,304.49,304.2,306.67,1146392.1,304.39
2019-07-10,304.39,302.21,305.19,812985.6,303.3
2019-07-09,303.3,303.3,308.85,728646.5,307.96
2019-07-08,307.96,307.56,311.03,1040845.2,308.26
2019-07-05,308.26,308.26,312.62,744909.0,311.43
2019-07-04,311.43,311.33,314.0,770556.7,312.12
2019-07-03,312.12,311.83,315.89,820546.4,315.09
2019-07-02,315.09,315.09,319.45,1867470.8,318.07
2019-07-01,318.07,315.49,323.32,3153023.6,313.61
2019-06-28,313.61,313.51,315.39,769440.9,313.71
2019-06-27,313.71,312.52,314.2,808481.4,312.82
2019-06-26,312.82,311.63,316.28,1406195.0,314.6
2019-06-25,314.6,313.11,318.07,1124855.6,313.11
2019-06-24,313.11,313.11,316.38,1156650.6,313.11
2019-06-21,313.11,313.11,315.09,1290739.5,313.61
2019-06-20,313.61,313.11,315.89,1107330.8,313.61
2019-06-19,313.61,313.31,317.08,1009078.4,316.09
2019-06-18,316.09,312.12,318.07,1639645.9,312.32
2019-06-17,312.32,311.13,313.01,1442665.3,311.33
2019-06-14,311.33,311.23,317.08,2940894.7,316.09
2019-06-13,316.09,311.23,316.48,2993705.7,313.11
2019-06-12,313.11,310.14,313.91,2844040.5,309.74
2019-06-11,309.74,308.95,313.01,3349338.7,308.16
2019-06-10,308.16,307.47,310.04,2288731.4,309.65
2019-06-07,309.65,308.65,310.04,1647779.0,308.16
2019-06-03,308.16,307.07,308.75,604380.9,308.06
2019-05-31,308.06,305.19,308.65,1427606.7,307.17
2019-05-30,307.17,304.2,310.04,5394450.8,304.1
2019-05-29,304.1,304.1,307.66,772473.6,306.18
2019-05-28,306.18,303.4,308.26,3112315.3,302.71
2019-05-27,302.71,302.31,307.37,1730362.3,304.99
2019-05-24,304.99,297.36,307.47,4950371.8,297.26
2019-05-23,297.26,293.39,298.55,1694879.6,296.27
2019-05-22,296.27,296.27,304.1,2332374.5,302.41
2019-05-21,302.41,296.66,314.3,15361515.4,298.45
2019-05-20,298.45,298.35,303.01,687403.1,300.73
2019-05-17,300.73,300.73,305.98,1140850.7,302.81
2019-05-16,302.81,292.7,310.44,6378218.5,292.6
2019-05-15,292.6,292.6,298.15,1474679.9,297.16
2019-05-14,297.16,296.37,299.74,1027436.7,297.66
