Date,adjclose,low,high,volume,open
2020-05-29,16.14,16.14,17.0,206499139.87,16.66
2020-05-28,16.66,15.76,16.69,240839487.91,15.7
2020-05-27,15.7,15.58,15.97,187334132.26,15.25
2020-05-22,15.25,15.06,15.29,118851948.43,15.15
2020-05-21,15.15,15.06,15.31,99861429.21,15.08
2020-05-20,15.08,15.08,15.33,112417421.47,15.12
2020-05-18,15.12,15.0,15.26,83759852.5,14.9
2020-05-15,14.9,14.9,15.12,59790688.92,15.06
2020-05-14,15.06,14.84,15.11,93271606.28,15.17
2020-05-13,15.17,15.15,15.28,87516749.38,15.28
2020-05-12,15.28,14.86,15.29,101522710.78,14.9
2020-05-11,14.9,14.62,15.07,82532663.52,14.97
2020-05-08,14.97,14.8,15.05,100300320.64,14.74
2020-05-07,14.74,14.46,14.82,75470458.3,14.69
2020-05-06,14.69,14.65,14.92,91199092.88,14.89
2020-05-05,14.89,14.85,15.1,75765163.83,14.92
2020-05-04,14.92,14.76,15.17,94283563.21,15.34
2020-04-30,15.34,15.1,15.55,209759158.61,15.09
2020-04-29,15.09,14.86,15.09,101975301.25,14.8
2020-04-28,14.8,14.8,15.15,166195982.0,14.91
2020-04-27,14.91,14.7,14.93,143626592.51,14.66
2020-04-24,14.66,14.57,14.85,124026030.27,14.76
2020-04-22,14.76,14.59,14.94,92507480.94,14.68
2020-04-21,14.68,14.53,14.85,65325317.39,14.9
2020-04-20,14.9,14.87,15.16,81972895.72,15.02
2020-04-17,15.02,14.76,15.19,88153095.75,15.02
2020-04-17,15.02,14.76,15.19,88153095.75,14.69
2020-04-16,14.69,14.69,15.29,94103529.68,14.69
2020-04-16,14.69,14.69,15.29,94103529.68,15.03
2020-04-15,15.03,15.03,16.19,93475008.02,15.03
2020-04-15,15.03,15.03,16.19,93475008.02,16.14
2020-04-14,16.14,15.2,16.14,111556884.74,16.14
2020-04-14,16.14,15.2,16.14,111556884.74,15.12
2020-04-13,15.12,14.84,15.41,53757077.3,15.12
2020-04-13,15.12,14.84,15.41,53757077.3,15.2
2020-04-10,15.2,15.03,15.4,42956880.73,15.2
2020-04-10,15.2,15.03,15.4,42956880.73,15.25
2020-04-09,15.25,14.75,15.27,102599172.79,15.25
2020-04-09,15.25,14.75,15.27,102599172.79,14.83
2020-04-08,14.83,14.5,14.83,69192518.65,14.83
2020-04-08,14.83,14.5,14.83,69192518.65,14.48
2020-04-07,14.48,14.26,15.08,124074693.16,14.48
2020-04-07,14.48,14.26,15.08,124074693.16,14.19
2020-04-06,14.19,13.74,14.19,78787479.12,14.19
2020-04-06,14.19,13.74,14.19,78787479.12,13.48
2020-04-03,13.48,12.98,13.57,149506384.64,13.48
2020-04-03,13.48,12.98,13.57,149506384.64,13.05
2020-04-02,13.05,12.92,13.11,76890754.86,13.05
2020-04-02,13.05,12.92,13.11,76890754.86,12.92
2020-04-01,12.92,12.9,13.28,85010895.02,12.92
2020-04-01,12.92,12.9,13.28,85010895.02,13.22
2020-03-31,13.22,13.06,13.42,75733759.55,13.22
2020-03-31,13.22,13.06,13.42,75733759.55,13.05
2020-03-30,13.05,12.98,13.28,57627765.29,13.05
2020-03-30,13.05,12.98,13.28,57627765.29,13.25
2020-03-27,13.25,13.25,14.22,69327247.11,13.25
2020-03-27,13.25,13.25,14.22,69327247.11,13.97
2020-03-26,13.97,13.26,14.35,67696601.62,13.97
2020-03-26,13.97,13.26,14.35,67696601.62,13.41
2020-03-25,13.41,13.39,13.94,53297243.31,13.41
2020-03-25,13.41,13.39,13.94,53297243.31,13.26
2020-03-24,13.26,12.95,13.48,58854305.75,13.26
2020-03-24,13.26,12.95,13.48,58854305.75,12.59
2020-03-23,12.59,12.19,13.48,48718784.69,12.59
2020-03-23,12.59,12.19,13.48,48718784.69,13.06
2020-03-20,13.06,13.06,14.01,60845968.92,13.06
2020-03-20,13.06,13.06,14.01,60845968.92,13.67
2020-03-19,13.67,13.08,13.79,43493791.6,13.67
2020-03-19,13.67,13.08,13.79,43493791.6,13.33
2020-03-18,13.33,13.02,13.59,55572125.3,13.45
2020-03-17,13.45,12.82,14.18,59506486.7,14.09
2020-03-16,14.09,13.99,14.87,55819141.89,15.54
2020-03-13,15.54,14.59,15.54,53578107.47,14.52
2020-03-12,14.52,14.19,15.51,69092729.52,15.27
2020-03-11,15.27,15.21,16.63,85053352.13,16.39
2020-03-10,16.39,16.38,17.39,105953517.44,16.83
2020-03-09,16.83,16.53,17.03,48153791.52,17.13
2020-03-06,17.13,17.06,17.64,46003914.45,17.64
2020-03-05,17.64,17.64,18.47,68014972.61,17.74
2020-03-04,17.74,17.72,18.23,49327442.05,17.92
2020-03-03,17.92,17.61,18.02,62595560.24,17.21
2020-03-02,17.21,17.14,17.97,87953692.42,16.94
2020-02-28,16.94,16.52,18.02,100091539.16,18.04
2020-02-27,18.04,18.04,18.78,77913737.63,18.91
2020-02-26,18.91,18.15,18.96,145244862.29,18.44
2020-02-25,18.44,18.44,18.86,116303037.3,18.61
2020-02-24,18.61,18.46,19.35,89450780.88,19.34
2020-02-21,19.34,19.01,19.53,81579293.98,19.23
2020-02-20,19.23,19.2,19.99,136873553.77,19.65
2020-02-19,19.65,19.41,19.65,65717029.72,19.57
2020-02-18,19.57,19.4,19.75,60867868.43,19.81
2020-02-17,19.81,19.4,19.85,68342634.16,19.64
2020-02-14,19.64,19.53,19.97,103033315.12,19.64
2020-02-14,19.64,19.53,19.97,103033315.12,19.52
2020-02-13,19.52,19.0,19.52,99453577.1,19.52
2020-02-13,19.52,19.0,19.52,99453577.1,19.16
2020-02-12,19.16,19.16,19.71,223666122.6,19.16
2020-02-12,19.16,19.16,19.71,223666122.6,19.66
2020-02-11,19.66,18.87,19.85,201121416.73,19.66
2020-02-11,19.66,18.87,19.85,201121416.73,19.03
2020-02-10,19.03,18.89,19.87,139243945.26,19.03
2020-02-10,19.03,18.89,19.87,139243945.26,19.89
2020-02-07,19.89,19.68,20.05,97442085.2,19.89
2020-02-07,19.89,19.68,20.05,97442085.2,19.71
2020-02-06,19.71,19.69,20.8,160153072.72,19.71
2020-02-06,19.71,19.69,20.8,160153072.72,19.68
2020-02-05,19.68,19.32,19.83,161698883.16,19.68
2020-02-05,19.68,19.32,19.83,161698883.16,19.4
2020-02-04,19.4,19.08,19.43,169220426.39,19.4
2020-02-04,19.4,19.08,19.43,169220426.39,19.27
2020-02-03,19.27,19.12,19.35,60366080.72,19.27
2020-02-03,19.27,19.12,19.35,60366080.72,19.24
2020-01-31,19.24,19.24,19.81,113260877.88,19.24
2020-01-31,19.24,19.24,19.81,113260877.88,19.83
2020-01-30,19.83,19.49,19.87,52680063.92,19.83
2020-01-30,19.83,19.49,19.87,52680063.92,19.89
2020-01-29,19.89,19.69,19.97,38722945.68,19.89
2020-01-29,19.89,19.69,19.97,38722945.68,19.73
2020-01-28,19.73,19.58,19.95,61998811.9,19.73
2020-01-28,19.73,19.58,19.95,61998811.9,19.85
2020-01-27,19.85,19.85,20.34,48877608.38,19.85
2020-01-27,19.85,19.85,20.34,48877608.38,20.54
2020-01-24,20.54,20.3,20.95,72695994.02,20.54
2020-01-24,20.54,20.3,20.95,72695994.02,20.74
2020-01-23,20.74,20.54,20.84,76949223.12,20.74
2020-01-23,20.74,20.54,20.84,76949223.12,20.76
2020-01-22,20.76,20.6,21.43,67939870.08,20.76
2020-01-22,20.76,20.6,21.43,67939870.08,21.07
2020-01-21,21.07,20.64,21.31,61085550.1,21.07
2020-01-21,21.07,20.64,21.31,61085550.1,21.17
2020-01-20,21.17,20.82,21.29,68498135.42,21.17
2020-01-20,21.17,20.82,21.29,68498135.42,20.82
2020-01-17,20.82,20.09,20.82,87162046.16,20.82
2020-01-17,20.82,20.09,20.82,87162046.16,20.27
2020-01-16,20.27,20.27,20.7,117836758.74,20.27
2020-01-16,20.27,20.27,20.7,117836758.74,20.54
2020-01-15,20.54,20.23,20.95,102820169.7,20.54
2020-01-15,20.54,20.23,20.95,102820169.7,20.62
2020-01-14,20.62,20.3,20.64,84319325.5,20.48
2020-01-13,20.48,20.19,20.54,93240200.12,20.23
2020-01-10,20.23,19.95,20.38,89859514.04,20.11
2020-01-09,20.11,19.77,20.27,161168127.22,19.63
2020-01-08,19.63,19.36,19.64,55266691.94,19.63
2020-01-07,19.63,19.62,19.97,57798367.1,19.77
2020-01-06,19.77,19.66,20.03,38970462.52,19.99
2020-01-03,19.99,19.66,20.13,67013304.06,20.07
2020-01-02,20.07,19.93,20.13,51347874.0,20.01
2019-12-31,20.01,19.79,20.21,54553719.82,19.85
2019-12-30,19.85,19.64,19.91,43992754.72,19.68
2019-12-27,19.68,19.6,19.77,45644711.98,19.66
2019-12-26,19.66,19.63,19.81,21557931.15,19.61
2019-12-25,19.61,19.6,19.79,14360050.83,19.73
2019-12-24,19.73,19.68,19.95,23888993.27,19.79
2019-12-23,19.79,19.36,19.79,48666011.29,19.4
2019-12-20,19.4,19.38,19.67,67649307.98,19.47
2019-12-19,19.47,19.41,19.73,53586424.8,19.65
2019-12-18,19.65,19.27,19.65,69278663.12,19.5
2019-12-17,19.5,19.49,19.99,99523689.79,19.85
2019-12-16,19.85,19.85,20.34,112722345.48,20.13
2019-12-13,20.13,19.79,20.15,108900090.88,19.95
2019-12-12,19.95,19.51,19.95,85609887.0,19.55
2019-12-11,19.55,19.27,19.55,54913515.38,19.33
2019-12-10,19.33,19.27,19.71,70824182.13,19.65
2019-12-09,19.65,19.58,19.87,56807221.82,19.83
2019-12-06,19.83,19.54,19.95,52849879.02,19.64
2019-12-05,19.64,19.52,19.79,81338569.0,19.59
2019-12-04,19.59,19.51,19.99,99107478.3,19.85
2019-12-03,19.85,19.79,20.34,111943322.12,20.38
2019-12-02,20.38,19.73,20.38,163487256.3,19.71
2019-11-29,19.71,19.57,19.95,66470125.29,19.85
2019-11-28,19.85,19.56,19.85,40317207.06,19.6
2019-11-27,19.6,19.37,19.64,86965306.97,19.36
2019-11-26,19.36,19.21,19.79,222320372.38,19.71
2019-11-25,19.71,19.71,20.3,201278788.5,20.17
2019-11-22,20.17,20.01,20.38,62569440.08,20.25
2019-11-21,20.25,20.13,20.48,68572941.14,20.28
2019-11-20,20.28,20.21,20.56,79509772.52,20.52
2019-11-19,20.52,20.44,20.82,87593414.32,20.5
2019-11-18,20.5,20.28,20.68,74025137.42,20.23
2019-11-15,20.23,19.99,20.5,74557815.82,19.85
2019-11-14,19.85,19.75,20.07,153808823.94,19.77
2019-11-13,19.77,19.48,19.91,102030401.82,19.6
2019-11-12,19.6,19.6,20.15,96644516.56,19.66
2019-11-11,19.66,19.46,19.91,69547769.62,19.66
2019-11-11,19.66,19.46,19.91,69547769.62,19.55
2019-11-08,19.55,19.48,19.81,79169791.59,19.55
2019-11-07,19.55,19.07,19.55,47715487.18,19.55
2019-11-07,19.55,19.07,19.55,47715487.18,19.04
2019-11-06,19.04,18.62,19.15,66765161.66,19.04
2019-11-06,19.04,18.62,19.15,66765161.66,18.9
2019-11-05,18.9,18.62,18.9,37025496.61,18.9
2019-11-05,18.9,18.62,18.9,37025496.61,18.82
2019-11-04,18.82,18.28,18.91,46329006.46,18.82
2019-11-04,18.82,18.28,18.91,46329006.46,18.25
2019-11-01,18.25,18.03,18.59,45168416.86,18.25
