Date,adjclose,low,high,volume,open
2020-05-29,16.92,16.84,17.3,14313653.96,17.26
2020-05-28,17.26,17.0,17.7,11682750.9,17.51
2020-05-27,17.51,17.48,17.88,15631961.17,17.4
2020-05-22,17.4,16.87,18.14,53281190.96,17.18
2020-05-21,17.18,17.0,18.1,38010331.01,18.0
2020-05-20,18.0,17.67,18.56,62744079.63,18.5
2020-05-18,18.5,17.1,18.5,72559830.03,16.82
2020-05-15,16.82,15.93,17.17,59451891.43,16.34
2020-05-14,16.34,16.12,16.95,27644111.33,16.51
2020-05-13,16.51,16.37,16.86,19373047.8,16.48
2020-05-12,16.48,16.15,16.72,20395846.62,16.16
2020-05-11,16.16,15.78,17.6,78419692.48,16.12
2020-05-08,16.12,15.95,16.67,12355352.56,16.42
2020-05-07,16.42,16.36,16.84,10968902.98,16.73
2020-05-06,16.73,16.07,16.99,27497883.37,16.22
2020-05-05,16.22,15.86,16.39,12680729.42,16.04
2020-05-04,16.04,16.01,16.6,10984220.38,16.76
2020-04-30,16.76,16.3,17.27,18257865.1,17.07
2020-04-29,17.07,16.8,17.53,29696512.8,16.97
2020-04-28,16.97,16.76,18.9,69552891.47,17.67
2020-04-27,17.67,16.3,17.67,20594865.34,16.07
2020-04-24,16.07,15.67,16.55,46666677.56,15.64
2020-04-22,15.64,15.3,16.13,34162214.53,15.25
2020-04-21,15.25,15.1,15.8,18487831.36,15.55
2020-04-20,15.55,15.38,15.84,13793320.29,15.57
2020-04-17,15.57,14.95,15.89,35537492.04,14.77
2020-04-16,14.77,14.05,15.32,17520879.05,14.68
2020-04-15,14.68,14.2,15.78,20565286.04,15.77
2020-04-14,15.77,15.44,16.3,29025673.53,15.97
2020-04-13,15.97,14.62,16.19,10852365.06,15.04
2020-04-10,15.04,14.6,15.24,6736010.27,15.23
2020-04-09,15.23,14.59,15.68,12114286.24,15.12
2020-04-08,15.12,13.08,15.12,10730972.62,13.75
2020-04-07,13.75,13.75,15.1,10106016.94,14.42
2020-04-06,14.42,13.2,14.64,13075306.32,13.31
2020-04-03,13.31,11.99,13.31,9167296.86,12.1
2020-04-02,12.1,11.8,12.34,2631475.52,12.22
