Date,adjclose,low,high,volume,open
2020-05-29,12.06,12.06,12.42,179689123.67,12.58
2020-05-28,12.58,12.34,12.74,373631656.03,12.39
2020-05-27,12.39,12.35,12.64,188872845.43,12.46
2020-05-22,12.46,12.4,12.81,274667120.69,12.46
2020-05-21,12.46,12.09,12.48,244544330.45,12.15
2020-05-20,12.15,12.12,12.41,136571575.74,12.24
2020-05-18,12.24,12.24,12.99,232314578.4,12.66
2020-05-15,12.66,12.42,12.91,420028936.69,12.33
2020-05-14,12.33,11.93,12.61,381545471.68,12.44
2020-05-13,12.44,12.14,12.56,354264359.43,12.11
2020-05-12,12.11,11.14,12.11,323403366.91,11.2
2020-05-11,11.2,11.05,11.72,216843936.82,11.45
2020-05-08,11.45,11.35,12.41,234347571.91,12.21
2020-05-07,12.21,12.11,12.78,212866263.17,12.43
2020-05-06,12.43,11.96,12.76,526383666.82,11.92
2020-05-05,11.92,11.56,12.08,232212388.4,11.58
2020-05-04,11.58,11.2,11.93,223523663.57,11.45
2020-04-30,11.45,11.21,11.91,143202288.03,11.75
2020-04-29,11.75,11.75,12.17,152180772.06,11.8
2020-04-28,11.8,11.8,12.55,243316960.94,12.4
2020-04-27,12.4,11.78,12.7,418411624.09,11.74
2020-04-24,11.74,11.43,12.01,327768503.95,11.64
2020-04-22,11.64,11.16,11.75,175063627.21,11.15
2020-04-21,11.15,10.97,11.58,171320778.63,11.4
2020-04-20,11.4,11.22,11.6,155646708.19,11.41
2020-04-17,11.41,11.39,11.81,122755497.15,11.41
2020-04-17,11.41,11.39,11.81,122755497.15,11.63
2020-04-16,11.63,11.23,11.71,243742059.19,11.63
2020-04-16,11.63,11.23,11.71,243742059.19,11.1
2020-04-15,11.1,10.72,11.7,234598645.33,11.1
2020-04-15,11.1,10.72,11.7,234598645.33,11.7
2020-04-14,11.7,11.29,12.0,296952695.47,11.7
2020-04-14,11.7,11.29,12.0,296952695.47,11.08
2020-04-13,11.08,10.81,11.18,112334378.3,11.08
2020-04-13,11.08,10.81,11.18,112334378.3,10.93
2020-04-10,10.93,10.84,11.24,101146404.98,10.93
2020-04-10,10.93,10.84,11.24,101146404.98,10.99
2020-04-09,10.99,10.47,11.1,316766865.87,10.99
2020-04-09,10.99,10.47,11.1,316766865.87,10.43
2020-04-08,10.43,9.87,10.57,263796184.95,10.43
2020-04-08,10.43,9.87,10.57,263796184.95,10.0
2020-04-07,10.0,9.84,10.38,218496206.67,10.0
2020-04-07,10.0,9.84,10.38,218496206.67,9.86
2020-04-06,9.86,9.28,10.04,162521722.91,9.86
2020-04-06,9.86,9.28,10.04,162521722.91,9.13
2020-04-03,9.13,9.04,9.32,104756801.84,9.13
2020-04-03,9.13,9.04,9.32,104756801.84,9.08
2020-04-02,9.08,8.83,9.26,160225471.3,9.08
2020-04-02,9.08,8.83,9.26,160225471.3,8.9
2020-04-01,8.9,8.76,9.07,90878585.38,8.9
2020-04-01,8.9,8.76,9.07,90878585.38,9.08
2020-03-31,9.08,8.95,9.35,156387175.38,9.08
2020-03-31,9.08,8.95,9.35,156387175.38,8.99
2020-03-30,8.99,8.64,9.05,170670644.64,8.99
2020-03-30,8.99,8.64,9.05,170670644.64,8.89
2020-03-27,8.89,8.89,10.26,376517291.31,8.89
2020-03-27,8.89,8.89,10.26,376517291.31,9.81
2020-03-26,9.81,8.88,9.94,216368280.63,9.81
2020-03-26,9.81,8.88,9.94,216368280.63,9.05
2020-03-25,9.05,8.81,9.31,182843304.52,9.05
2020-03-25,9.05,8.81,9.31,182843304.52,8.62
2020-03-24,8.62,8.2,8.62,102804451.47,8.62
2020-03-24,8.62,8.2,8.62,102804451.47,7.84
2020-03-23,7.84,7.33,8.12,143890654.15,7.84
2020-03-23,7.84,7.33,8.12,143890654.15,7.83
2020-03-20,7.83,7.71,8.11,95287602.36,7.83
2020-03-20,7.83,7.71,8.11,95287602.36,7.74
2020-03-19,7.74,7.55,7.86,111817039.87,7.74
2020-03-19,7.74,7.55,7.86,111817039.87,7.67
2020-03-18,7.67,7.58,8.5,100342660.27,7.93
2020-03-17,7.93,7.48,8.31,145165513.23,8.31
