Date,adjclose,low,high,volume,open
2020-05-29,74.1,73.4,74.8,154813264.85,74.8
2020-05-28,74.8,74.2,75.35,195592414.75,73.6
2020-05-27,73.6,73.45,74.4,152720946.5,73.6
2020-05-22,73.6,73.55,75.1,100759711.05,74.2
2020-05-21,74.2,73.5,75.3,131484832.3,74.9
2020-05-20,74.9,74.9,76.6,146695046.9,75.1
2020-05-18,75.1,75.05,77.75,180281802.25,74.9
2020-05-15,74.9,74.5,76.0,145343292.0,74.1
2020-05-14,74.1,71.8,75.8,219465773.25,73.95
2020-05-13,73.95,73.15,74.6,144761133.8,73.5
2020-05-12,73.5,70.55,73.65,133664943.65,71.1
2020-05-11,71.1,71.0,72.85,129501259.8,72.65
2020-05-08,72.65,71.95,76.35,205199340.75,75.1
2020-05-07,75.1,74.8,77.85,199392080.85,75.8
2020-05-06,75.8,74.1,78.45,400460366.6,74.2
2020-05-05,74.2,71.85,74.2,202331970.15,72.1
2020-05-04,72.1,70.3,73.9,225362551.35,71.85
2020-04-30,71.85,69.5,73.5,149213731.7,72.45
2020-04-29,72.45,72.3,73.75,132601125.25,72.6
2020-04-28,72.6,71.9,74.55,178749822.45,73.6
2020-04-27,73.6,72.0,75.5,305955184.0,71.6
2020-04-24,71.6,71.05,73.0,242464063.5,70.75
2020-04-22,70.75,69.65,71.4,189988120.6,69.65
2020-04-21,69.65,69.25,71.3,171878774.9,70.5
2020-04-20,70.5,69.05,71.2,184520145.35,70.6
2020-04-17,70.6,70.25,72.8,172615480.9,72.0
2020-04-16,72.0,71.1,72.9,264450586.0,70.1
2020-04-15,70.1,68.95,73.65,327207236.2,73.5
2020-04-14,73.5,68.3,73.85,356452416.45,67.15
2020-04-13,67.15,65.2,67.7,147975935.2,66.0
2020-04-10,66.0,66.0,67.3,127971830.15,66.05
2020-04-09,66.05,64.15,66.65,371280162.5,63.55
2020-04-08,63.55,62.8,64.9,266279929.0,63.1
2020-04-07,63.1,62.6,65.15,234794105.45,62.9
2020-04-06,62.9,60.2,64.4,249760644.7,59.55
2020-04-03,59.55,59.1,60.6,147419068.1,59.95
2020-04-02,59.95,58.3,60.6,187559785.95,59.05
2020-04-01,59.05,58.7,60.85,120015256.25,61.35
2020-03-31,61.35,60.65,63.2,151783265.1,61.8
2020-03-30,61.8,59.55,62.6,147579589.15,61.9
2020-03-27,61.9,61.7,67.3,263357481.9,65.95
2020-03-26,65.95,61.9,67.1,218338841.85,62.4
2020-03-25,62.4,60.65,65.25,278412956.3,59.55
2020-03-24,59.55,56.0,59.55,137336628.6,54.15
2020-03-23,54.15,49.24,54.7,112131947.1,51.6
2020-03-20,51.6,51.6,55.9,137362419.85,51.95
2020-03-19,51.95,50.45,52.8,60792752.2,51.4
2020-03-18,51.4,50.15,52.95,65370529.55,52.75
2020-03-17,52.75,49.42,55.3,126179061.51,54.9
2020-03-16,54.9,54.9,58.5,61728536.65,61.0
2020-03-13,61.0,57.5,63.75,149279354.8,59.5
2020-03-12,59.5,57.1,62.35,120514816.25,64.6
2020-03-11,64.6,61.0,66.0,113678489.65,65.5
2020-03-10,65.5,63.85,71.6,106518046.85,69.65
2020-03-09,69.65,68.15,74.5,123105868.2,75.0
2020-03-06,75.0,73.45,75.5,224047197.5,73.65
2020-03-05,73.65,73.05,74.35,81012788.2,73.4
2020-03-04,73.4,73.4,75.9,133731073.25,74.2
2020-03-03,74.2,73.15,74.4,108919098.45,73.15
2020-03-02,73.15,73.0,75.75,79156068.0,73.0
2020-02-28,73.0,69.3,77.25,144936388.25,79.75
2020-02-27,79.75,79.25,83.45,150952577.2,81.8
2020-02-26,81.8,80.65,84.15,168477859.4,82.4
2020-02-25,82.4,82.3,84.8,152624455.15,84.45
2020-02-24,84.45,83.0,88.1,372465304.05,82.3
2020-02-21,82.3,78.3,83.5,339469375.45,78.25
2020-02-20,78.25,77.8,82.6,205557730.0,82.0
2020-02-19,82.0,79.8,82.3,241508973.25,80.0
2020-02-18,80.0,79.1,80.85,126790867.55,80.0
2020-02-17,80.0,77.7,80.45,241076334.05,77.85
2020-02-14,77.85,76.35,78.2,117851844.2,78.0
2020-02-13,78.0,75.65,78.0,121747375.4,75.55
2020-02-12,75.55,74.85,76.25,111499928.15,76.0
2020-02-11,76.0,74.75,76.3,82400856.55,75.1
2020-02-10,75.1,74.35,78.1,118162687.2,77.7
2020-02-07,77.7,77.1,79.3,156502416.7,77.35
2020-02-06,77.35,76.45,78.4,107384014.0,77.8
2020-02-05,77.8,77.5,79.8,139376837.6,78.35
2020-02-04,78.35,78.2,78.9,76213667.7,78.55
2020-02-03,78.55,78.55,80.6,68221477.6,80.15
2020-01-31,80.15,77.35,80.3,101975762.65,78.15
2020-01-30,78.15,77.45,79.7,111545015.2,78.75
2020-01-29,78.75,77.8,80.65,88685460.0,80.5
2020-01-28,80.5,79.0,81.55,147406544.3,79.3
2020-01-27,79.3,79.3,81.0,69381797.7,80.15
2020-01-24,80.15,79.5,81.25,93223918.5,80.1
2020-01-23,80.1,78.5,80.45,126553873.25,80.2
2020-01-22,80.2,78.35,80.45,205346450.05,78.5
2020-01-21,78.5,77.9,79.15,60878569.4,78.5
2020-01-20,78.5,76.4,78.65,96995237.4,76.35
2020-01-17,76.35,75.15,76.7,74434952.85,75.9
2020-01-16,75.9,75.7,78.75,203850112.15,77.55
2020-01-15,77.55,77.15,78.7,124774001.7,76.75
2020-01-14,76.75,76.45,78.45,110895578.9,77.8
2020-01-13,77.8,77.1,79.0,136605429.1,77.6
2020-01-10,77.6,77.45,79.7,98915497.25,79.25
2020-01-09,79.25,78.4,81.0,266810983.0,79.35
2020-01-08,79.35,79.0,81.05,125108941.75,80.05
2020-01-07,80.05,78.2,80.4,147081785.75,79.85
2020-01-06,79.85,76.3,80.7,244500291.0,76.3
2020-01-03,76.3,76.1,77.85,141455184.25,76.5
2020-01-02,76.5,74.0,77.6,196706571.45,74.05
2019-12-31,74.05,73.3,74.95,83145672.25,73.75
2019-12-30,73.75,73.5,75.9,102460840.3,75.45
2019-12-27,75.45,75.3,76.25,74313436.8,75.45
2019-12-26,75.45,75.15,76.35,98503720.8,75.5
2019-12-25,75.5,75.4,76.15,46901229.6,75.5
2019-12-24,75.5,75.05,76.6,77462084.3,74.9
2019-12-23,74.9,74.65,78.65,295634096.45,75.6
2019-12-20,75.6,74.15,78.35,452108164.25,74.7
2019-12-19,74.7,73.05,74.75,74269437.0,73.7
2019-12-18,73.7,73.7,75.65,113616987.4,74.65
2019-12-17,74.65,73.5,74.8,83272300.2,73.7
2019-12-16,73.7,73.15,74.95,65784741.9,73.75
2019-12-13,73.75,73.65,76.35,94369969.55,75.65
2019-12-12,75.65,75.0,77.1,78255085.15,76.0
2019-12-11,76.0,73.45,76.1,123828695.95,73.75
2019-12-10,73.75,73.3,75.4,56694362.45,74.3
2019-12-09,74.3,73.4,74.9,57458784.1,74.75
2019-12-06,74.75,74.25,76.7,83873454.4,76.35
2019-12-05,76.35,75.85,77.55,111078357.95,75.9
2019-12-04,75.9,75.75,77.75,117333451.9,76.9
2019-12-03,76.9,76.05,79.1,139328166.1,76.45
2019-12-02,76.45,73.5,77.6,153096964.4,73.4
2019-11-29,73.4,73.1,74.6,53901232.65,73.9
