Date,adjclose,low,high,volume,open
2020-05-29,45.2,43.44,45.4,73825859.58,43.3
2020-05-28,43.3,42.1,44.18,94425129.34,41.48
2020-05-27,41.48,40.96,41.88,41809077.3,40.9
2020-05-22,40.9,40.44,41.58,24380822.46,41.58
2020-05-21,41.58,41.38,42.52,18201029.48,42.2
2020-05-20,42.2,41.46,42.36,33461474.68,41.4
2020-05-18,41.4,41.14,41.8,21106741.36,40.8
2020-05-15,40.8,40.64,41.4,15399651.86,40.7
2020-05-14,40.7,40.1,42.6,44171009.76,42.42
2020-05-13,42.42,42.16,42.98,29967809.36,42.0
2020-05-12,42.0,40.9,42.0,27192152.8,40.74
2020-05-11,40.74,40.26,42.06,59619489.76,40.0
2020-05-08,40.0,40.0,40.82,15062263.3,40.1
2020-05-07,40.1,39.52,40.48,15138069.2,40.16
2020-05-06,40.16,40.16,41.0,15943807.1,40.82
2020-05-05,40.82,40.04,42.78,29407494.58,40.0
2020-05-04,40.0,39.7,41.48,18030414.14,41.6
2020-04-30,41.6,40.42,42.9,25633750.26,41.8
2020-04-29,41.8,41.22,42.48,22331480.5,42.12
2020-04-28,42.12,41.32,42.9,39728152.14,42.0
2020-04-27,42.0,40.14,43.34,85132215.68,39.4
2020-04-24,39.4,38.84,39.9,20073109.44,38.84
2020-04-22,38.84,38.58,39.74,13827107.08,39.36
2020-04-21,39.36,39.14,40.2,9841701.58,40.3
2020-04-20,40.3,39.5,40.7,17573072.74,39.04
2020-04-17,39.04,38.0,39.7,24265041.86,37.5
2020-04-16,37.5,35.94,38.2,21199558.62,37.4
2020-04-15,37.4,37.02,40.88,18950775.6,40.3
2020-04-14,40.3,39.66,42.16,27191567.54,39.6
2020-04-13,39.6,38.2,39.96,9354316.18,39.32
2020-04-10,39.32,38.12,40.4,8040795.86,39.5
2020-04-09,39.5,38.94,41.0,23373886.84,38.54
2020-04-08,38.54,36.78,38.54,19403875.8,36.78
2020-04-07,36.78,36.62,39.68,21131833.24,36.72
2020-04-06,36.72,34.3,37.36,21293516.36,33.98
2020-04-03,33.98,32.8,34.6,15461765.52,33.28
2020-04-02,33.28,32.24,33.98,15878100.54,32.6
2020-04-01,32.6,32.0,33.2,20645724.98,33.58
2020-03-31,33.58,32.72,34.84,21059162.26,34.0
2020-03-30,34.0,33.18,36.62,8645788.62,36.64
2020-03-27,36.64,35.68,39.0,17689496.84,36.94
2020-03-26,36.94,34.1,36.94,16609009.62,34.38
2020-03-25,34.38,32.6,36.3,28424529.66,33.0
2020-03-24,33.0,30.5,33.32,35700640.78,31.04
2020-03-23,31.04,28.9,32.0,10281642.4,32.0
2020-03-20,32.0,30.2,32.1,7307038.78,30.6
2020-03-19,30.6,30.6,33.4,7953421.16,34.0
2020-03-18,34.0,31.72,35.0,6887705.6,34.2
2020-03-17,34.2,34.02,38.22,6057690.88,37.8
2020-03-16,37.8,37.8,40.18,5094959.8,42.0
2020-03-13,42.0,41.4,44.0,19599635.52,43.0
2020-03-12,43.0,42.74,48.08,12301628.06,48.28
2020-03-11,48.28,46.62,50.95,17314523.48,49.8
2020-03-10,49.8,48.46,53.55,15566257.2,51.0
2020-03-09,51.0,50.0,53.9,12338303.05,54.1
2020-03-06,54.1,53.2,55.0,10009980.6,53.9
2020-03-05,53.9,52.8,54.4,3839119.1,53.0
2020-03-04,53.0,52.85,54.5,8436108.7,53.55
2020-03-03,53.55,53.2,55.4,10482876.2,53.6
2020-03-02,53.6,52.85,56.3,10634622.0,53.5
2020-02-28,53.5,48.86,54.1,15699181.38,54.15
2020-02-27,54.15,54.1,57.7,16589837.5,56.5
2020-02-26,56.5,54.6,57.05,18253990.35,56.05
2020-02-25,56.05,55.65,59.2,12200820.5,57.85
2020-02-24,57.85,56.95,59.75,15729697.15,59.7
