Date,adjclose,low,high,volume,open
2020-05-29,16.73,16.73,17.4,136876497.39,17.0
2020-05-28,17.0,16.4,17.49,335774997.4,16.28
2020-05-27,16.28,16.26,16.53,54798839.3,16.32
2020-05-22,16.32,16.09,16.51,63060504.82,16.33
2020-05-21,16.33,16.26,16.74,89992391.34,16.54
2020-05-20,16.54,16.11,16.89,115988117.12,16.35
2020-05-18,16.35,16.22,17.25,176881201.09,15.92
2020-05-15,15.92,15.47,16.1,116701364.11,15.51
2020-05-14,15.51,15.33,15.91,82547689.15,15.71
2020-05-13,15.71,15.6,16.04,93445978.61,15.77
2020-05-12,15.77,15.4,15.87,79005559.01,15.72
2020-05-11,15.72,15.49,16.2,125562334.72,15.37
2020-05-08,15.37,15.37,16.25,93881286.87,15.81
2020-05-07,15.81,14.75,16.1,152494485.61,15.35
2020-05-06,15.35,15.2,15.7,58194601.28,15.66
2020-05-05,15.66,15.29,16.08,115152448.61,15.55
2020-05-04,15.55,14.5,15.64,117780325.48,15.03
2020-04-30,15.03,14.61,16.25,157613137.52,15.16
2020-04-29,15.16,14.98,17.62,425993637.05,16.3
2020-04-28,16.3,15.2,16.3,347531001.42,14.82
2020-04-27,14.82,13.76,14.82,127208698.71,13.48
2020-04-24,13.48,12.92,13.92,202304672.54,12.9
2020-04-22,12.9,12.85,13.16,33464391.03,12.91
2020-04-21,12.91,12.69,13.3,43689236.31,12.87
2020-04-20,12.87,12.82,13.05,13825158.22,12.95
2020-04-17,12.95,12.89,13.35,22627673.87,13.1
2020-04-16,13.1,12.73,13.44,59214939.26,12.67
2020-04-15,12.67,12.51,13.18,16082193.71,13.11
2020-04-14,13.11,13.11,13.3,24975833.17,13.17
2020-04-13,13.17,13.17,13.49,16301318.35,13.3
2020-04-10,13.3,13.2,13.5,10681633.66,13.3
2020-04-09,13.3,13.16,13.8,31200799.99,13.19
2020-04-08,13.19,13.05,13.5,15080533.73,13.3
2020-04-07,13.3,13.24,14.1,38594581.58,13.36
2020-04-06,13.36,13.2,13.53,19290514.94,13.05
2020-04-03,13.05,12.93,13.53,16724618.55,13.05
2020-04-02,13.05,12.85,13.49,22412495.5,12.98
2020-04-01,12.98,12.86,13.82,35946651.43,13.1
2020-03-31,13.1,12.42,13.35,37651925.06,12.5
2020-03-30,12.5,12.4,13.64,39577195.19,13.77
2020-03-27,13.77,13.77,15.71,50689930.45,15.3
2020-03-26,15.3,14.85,15.97,43209929.78,14.81
2020-03-25,14.81,13.47,14.81,28729150.25,13.47
2020-03-24,13.47,12.97,13.47,7106077.61,12.25
2020-03-23,12.25,11.28,12.25,12373399.06,11.14
2020-03-20,11.14,10.42,11.19,10499674.4,10.19
2020-03-19,10.19,10.19,11.35,5392911.32,11.1
2020-03-18,11.1,10.37,11.65,8843206.1,10.87
2020-03-17,10.87,10.87,11.99,6437725.48,12.07
2020-03-16,12.07,12.07,13.3,5903280.58,13.41
2020-03-13,13.41,12.9,14.42,12198518.49,13.75
2020-03-12,13.75,13.69,17.63,39295233.59,16.97
2020-03-11,16.97,15.7,18.3,93626331.23,16.43
2020-03-10,16.43,16.2,18.24,14243022.46,17.7
2020-03-09,17.7,16.8,18.9,19679883.26,18.04
2020-03-06,18.04,16.57,18.17,20012332.49,17.82
2020-03-05,17.82,16.73,17.94,17696108.65,16.68
2020-03-04,16.68,16.36,17.2,12672012.62,16.35
2020-03-03,16.35,15.69,16.47,16045882.88,15.51
2020-03-02,15.51,15.13,15.7,9526640.66,14.89
2020-02-28,14.89,14.0,15.66,9390107.03,16.48
2020-02-27,16.48,16.01,17.45,7520877.49,17.46
2020-02-26,17.46,16.5,17.78,14957382.44,16.8
2020-02-25,16.8,16.7,17.3,6286058.09,16.84
2020-02-24,16.84,15.96,17.0,6018785.39,16.6
2020-02-21,16.6,15.88,16.65,5323478.03,16.25
2020-02-20,16.25,16.07,17.4,10854235.18,16.95
2020-02-19,16.95,16.53,17.04,2813483.01,16.9
2020-02-18,16.9,16.68,17.34,3083024.7,17.3
2020-02-17,17.3,17.22,17.69,4363604.36,17.55
2020-02-14,17.55,17.3,17.95,12142135.18,17.75
2020-02-13,17.75,17.4,18.2,14638782.7,17.79
2020-02-12,17.79,17.6,18.2,9542968.35,17.99
2020-02-11,17.99,17.16,18.03,12674526.44,17.77
2020-02-10,17.77,17.4,18.76,7607684.39,18.6
2020-02-07,18.6,18.26,18.93,8159341.16,18.46
2020-02-06,18.46,18.28,19.16,9634401.87,18.84
2020-02-05,18.84,17.85,18.92,19222793.7,17.78
2020-02-04,17.78,17.45,18.2,17827480.49,18.02
2020-02-03,18.02,17.38,18.39,6010123.27,17.42
2020-01-31,17.42,17.2,19.17,9537198.51,17.64
2020-01-30,17.64,17.35,17.82,3345746.47,17.78
2020-01-29,17.78,17.6,18.34,6607782.21,17.95
2020-01-28,17.95,17.39,18.68,10209467.04,17.29
2020-01-27,17.29,17.29,17.59,1763285.51,17.62
2020-01-24,17.62,17.51,18.22,5447559.52,18.01
2020-01-23,18.01,17.7,18.76,6709496.24,18.15
2020-01-22,18.15,17.2,18.29,24681812.26,17.17
2020-01-21,17.17,16.36,17.2,8489235.13,16.46
2020-01-20,16.46,16.36,16.85,5424398.18,16.64
2020-01-17,16.64,16.59,16.94,5444814.95,16.59
2020-01-16,16.59,16.45,16.79,12510242.79,16.49
2020-01-15,16.49,15.75,16.6,14056044.96,15.8
2020-01-14,15.8,15.8,16.14,9882666.72,15.98
2020-01-13,15.98,15.97,16.23,6015723.94,15.91
2020-01-10,15.91,15.8,16.2,1970359.54,15.83
2020-01-09,15.83,15.45,16.0,1912214.51,15.31
2020-01-08,15.31,14.6,15.53,1438069.8,15.46
2020-01-07,15.46,14.9,15.68,1716623.82,14.88
2020-01-06,14.88,14.85,15.57,1475040.31,15.57
2020-01-03,15.57,15.33,16.06,2601884.25,16.06
2020-01-02,16.06,15.96,16.33,1960866.16,16.0
2019-12-31,16.0,16.0,16.22,353613.51,16.2
2019-12-30,16.2,16.04,16.39,1108316.02,16.26
2019-12-27,16.26,16.05,16.35,1187334.97,16.05
2019-12-26,16.05,15.94,16.33,1132237.41,16.2
2019-12-25,16.2,16.13,16.34,525718.26,16.34
2019-12-24,16.34,16.3,16.62,3281562.07,16.35
2019-12-23,16.35,15.92,16.46,10034065.35,15.92
2019-12-20,15.92,15.85,16.26,5411030.18,15.97
2019-12-19,15.97,15.9,16.2,4849181.18,16.0
2019-12-18,16.0,15.57,16.43,9247521.86,15.5
2019-12-17,15.5,15.13,16.48,20848070.14,15.04
2019-12-16,15.04,14.59,15.17,3871197.79,14.85
2019-12-13,14.85,14.71,15.04,5801863.0,14.7
2019-12-12,14.7,14.17,14.7,2932919.32,14.28
2019-12-11,14.28,13.85,14.38,3003519.55,14.01
2019-12-10,14.01,13.95,14.6,6637130.14,14.48
2019-12-09,14.48,14.46,14.83,2724262.61,14.8
2019-12-06,14.8,14.68,15.02,2102423.23,14.84
2019-12-05,14.84,14.84,15.19,3282870.35,14.92
2019-12-04,14.92,14.89,15.35,5160770.97,15.28
2019-12-03,15.28,15.2,15.4,2106748.72,15.3
2019-12-02,15.3,15.24,15.53,2926583.11,15.47
2019-11-29,15.47,15.06,15.47,1941841.82,15.19
2019-11-28,15.19,15.13,15.54,2270796.46,15.47
2019-11-27,15.47,15.38,16.17,6241430.57,15.78
2019-11-26,15.78,14.91,15.78,2270648.84,14.98
2019-11-25,14.98,14.9,15.7,2683478.35,15.1
2019-11-22,15.1,14.85,15.41,2785679.21,15.16
2019-11-21,15.16,14.81,15.21,2028161.56,14.84
2019-11-20,14.84,14.74,15.05,2300916.05,14.8
2019-11-19,14.8,14.76,15.19,2054708.15,14.76
2019-11-18,14.76,14.73,14.9,1648993.93,14.77
2019-11-15,14.77,14.76,15.32,2499923.88,14.81
2019-11-14,14.81,14.69,14.95,1441989.97,14.9
2019-11-13,14.9,14.32,15.0,4147472.62,14.51
2019-11-12,14.51,14.41,14.77,2401970.82,14.72
2019-11-11,14.72,14.69,15.07,1662299.76,15.04
2019-11-08,15.04,15.01,15.7,1905939.82,15.48
2019-11-07,15.48,15.16,15.98,3157679.81,15.84
2019-11-06,15.84,15.15,15.9,3967346.19,15.2
2019-11-05,15.2,14.96,15.32,2651280.98,15.01
2019-11-04,15.01,14.5,15.35,4822426.05,14.57
2019-11-01,14.57,14.3,14.7,1864589.21,14.53
2019-10-31,14.53,14.15,14.6,2901028.53,14.58
2019-10-30,14.58,14.2,15.1,4050689.94,15.15
2019-10-28,15.15,15.04,15.25,253601.97,15.05
2019-10-25,15.05,14.81,15.12,690465.57,15.03
2019-10-24,15.03,14.84,15.24,2292673.33,14.85
2019-10-23,14.85,13.99,14.87,4684343.26,13.94
2019-10-22,13.94,13.41,14.39,7304088.94,13.45
2019-10-21,13.45,13.27,13.79,3173749.67,13.87
2019-10-18,13.87,13.16,13.94,3520085.76,12.78
2019-10-17,12.78,12.58,13.22,2080056.42,13.02
2019-10-16,13.02,12.23,13.02,1896642.88,12.78
2019-10-15,12.78,12.57,12.93,1459141.63,12.5
2019-10-14,12.5,12.43,13.6,2983179.09,13.64
2019-10-11,13.64,13.52,13.84,2462367.01,13.62
2019-10-10,13.62,13.14,14.77,8851262.35,14.24
2019-10-09,14.24,14.22,15.0,4352410.84,14.87
2019-10-08,14.87,14.17,14.94,4574703.57,14.56
2019-10-07,14.56,14.15,14.72,2800488.78,14.17
2019-10-04,14.17,14.17,14.92,7580286.85,14.38
2019-10-03,14.38,14.22,15.1,6651085.81,14.34
2019-10-02,14.34,13.76,14.9,4659727.01,14.64
2019-10-01,14.64,14.12,14.75,2970517.78,14.7
2019-09-30,14.7,14.56,14.97,4474409.69,14.92
2019-09-27,14.92,14.55,15.19,4099371.59,14.63
2019-09-26,14.63,14.63,15.26,5462145.09,14.8
2019-09-25,14.8,13.75,15.0,9535435.32,13.78
2019-09-24,13.78,13.4,13.96,3246346.86,13.44
2019-09-23,13.44,13.29,14.31,6018762.11,13.98
2019-09-20,13.98,13.9,14.4,6871667.72,14.0
2019-09-19,14.0,13.92,14.51,9554549.96,14.33
2019-09-18,14.33,14.01,15.2,4938460.74,14.2
2019-09-17,14.2,14.06,14.68,2953866.46,14.5
2019-09-16,14.5,14.34,15.13,3582522.49,14.76
2019-09-13,14.76,14.0,14.95,3778862.67,14.01
2019-09-12,14.01,13.1,14.6,9508777.06,13.29
2019-09-11,13.29,13.22,13.5,4194729.23,13.42
2019-09-10,13.42,13.2,13.75,3277067.22,13.4
2019-09-09,13.4,13.35,13.98,5835109.47,13.84
2019-09-06,13.84,13.7,14.3,1482482.76,14.15
2019-09-05,14.15,13.6,14.3,12923992.55,13.98
2019-09-04,13.98,13.36,14.0,2823196.51,13.48
2019-09-03,13.48,13.43,13.72,1455365.99,13.57
2019-09-02,13.57,13.53,14.07,1849744.29,13.87
2019-08-29,13.87,13.28,14.06,7548196.75,13.31
2019-08-28,13.31,13.21,13.69,2054372.96,13.59
2019-08-27,13.59,12.55,14.43,7361654.15,13.17
2019-08-26,13.17,12.93,14.64,7648265.38,13.59
2019-08-23,13.59,11.85,14.29,8953787.39,11.91
2019-08-22,11.91,11.67,11.91,736959.79,11.7
2019-08-21,11.7,11.4,11.99,1653080.79,11.87
2019-08-20,11.87,11.76,12.04,1318149.16,11.75
2019-08-19,11.75,11.72,12.22,855796.45,11.83
2019-08-16,11.83,11.75,12.61,1849537.75,12.4
2019-08-15,12.4,12.21,12.62,2904393.74,12.4
2019-08-09,12.4,12.27,12.68,2156863.18,12.36
2019-08-08,12.36,11.75,12.36,3914835.63,11.75
2019-08-07,11.75,11.7,12.45,1008899.32,12.04
2019-08-06,12.04,11.29,12.16,4407859.9,11.53
2019-08-05,11.53,11.53,12.09,1188021.38,11.87
2019-08-02,11.87,11.6,12.17,2165787.72,11.7
2019-08-01,11.7,11.7,12.23,1939961.05,12.0
2019-07-31,12.0,11.78,12.23,3031675.52,11.83
2019-07-30,11.83,11.33,11.89,4967056.7,11.29
2019-07-29,11.29,11.29,11.52,2853702.27,11.5
2019-07-26,11.5,11.42,11.72,1407224.87,11.63
2019-07-25,11.63,11.44,11.8,2850777.94,11.58
2019-07-24,11.58,10.98,11.6,4650218.84,11.15
2019-07-23,11.15,10.85,11.22,2096174.42,10.91
2019-07-22,10.91,10.88,11.19,909691.52,11.1
2019-07-19,11.1,10.9,11.35,2253719.12,11.0
2019-07-18,11.0,10.56,11.17,2924329.55,10.73
2019-07-17,10.73,10.3,10.81,2830556.0,10.36
2019-07-16,10.36,10.18,10.4,2869768.1,10.42
2019-07-12,10.42,10.2,10.83,3158673.36,10.76
2019-07-11,10.76,10.4,10.9,5160040.71,10.3
2019-07-10,10.3,10.1,10.49,5868844.81,10.08
2019-07-09,10.08,10.03,10.79,3552135.34,10.72
2019-07-08,10.72,10.72,11.44,5040355.38,11.3
2019-07-05,11.3,11.3,11.62,1951114.22,11.39
2019-07-04,11.39,11.21,11.79,7500629.41,11.68
2019-07-03,11.68,11.62,11.83,3221125.67,11.8
2019-07-02,11.8,11.63,11.9,3633707.53,11.71
2019-07-01,11.71,11.6,11.87,3054095.52,11.57
2019-06-28,11.57,11.57,11.89,4023345.0,11.9
2019-06-27,11.9,11.81,12.08,3457583.26,11.76
2019-06-26,11.76,11.5,12.17,11776576.06,11.96
2019-06-25,11.96,11.95,12.8,11901822.57,12.36
2019-06-24,12.36,12.11,12.99,3893244.62,12.35
2019-06-21,12.35,12.18,12.57,1702657.15,12.38
2019-06-20,12.38,12.25,12.51,932691.14,12.16
2019-06-19,12.16,12.06,12.63,1623806.97,12.22
2019-06-18,12.22,11.95,12.4,916878.12,11.94
2019-06-17,11.94,11.75,12.25,1302422.03,11.82
2019-06-14,11.82,11.65,12.0,558332.27,11.65
2019-06-13,11.65,11.65,12.44,805789.53,12.4
2019-06-12,12.4,12.34,12.8,2884531.79,12.7
2019-06-11,12.7,12.61,12.98,2165127.73,12.8
2019-06-10,12.8,12.63,12.89,2316644.51,12.64
2019-06-07,12.64,12.44,12.82,6087056.75,12.47
2019-06-03,12.47,12.06,12.66,2025439.88,12.27
2019-05-31,12.27,12.08,12.58,2484296.63,12.38
2019-05-30,12.38,12.17,12.5,4388023.05,12.17
2019-05-29,12.17,11.73,12.4,4811751.14,11.89
2019-05-28,11.89,11.1,11.89,3142784.33,11.34
2019-05-27,11.34,10.75,11.54,4775378.18,10.7
2019-05-24,10.7,10.39,10.76,1996146.6,10.36
2019-05-23,10.36,10.3,10.55,1732710.19,10.45
2019-05-22,10.45,10.24,10.84,5331749.91,10.27
2019-05-21,10.27,10.09,10.34,3421640.88,10.13
2019-05-20,10.13,10.04,10.19,1022029.62,10.11
2019-05-17,10.11,9.91,10.3,1801432.09,10.1
2019-05-16,10.1,10.02,10.34,2574421.87,10.1
2019-05-15,10.1,9.95,10.24,3328923.97,10.2
2019-05-14,10.2,9.95,10.35,6188996.51,10.18
2019-05-13,10.18,9.91,10.19,4950226.55,10.12
2019-05-10,10.12,10.06,10.25,1757640.88,10.18
2019-05-09,10.18,10.17,10.46,2040397.15,10.38
2019-05-08,10.38,10.35,10.78,1873764.5,10.73
2019-05-07,10.73,10.64,10.85,1799860.11,10.95
2019-05-06,10.95,10.8,11.37,1281934.22,11.39
2019-05-03,11.39,11.26,11.72,3153132.19,11.72
2019-05-02,11.72,11.63,12.1,1854849.78,11.92
2019-04-30,11.92,11.92,12.2,1169853.8,12.08
2019-04-29,12.08,11.98,12.34,1070966.96,12.18
2019-04-26,12.18,11.75,12.22,1967769.63,11.99
2019-04-25,11.99,11.9,12.37,2101924.88,12.18
2019-04-24,12.18,12.07,12.5,4798568.33,12.2
2019-04-22,12.2,12.15,12.46,862620.25,12.49
2019-04-19,12.49,12.46,13.05,1857029.34,12.46
2019-04-18,12.46,12.22,12.67,2939809.09,12.49
2019-04-17,12.49,11.91,12.54,5340111.05,11.83
2019-04-16,11.83,11.67,12.35,7343532.34,12.08
2019-04-15,12.08,12.08,12.67,6164835.67,12.39
2019-04-12,12.39,12.39,14.2,14841035.52,12.95
2019-04-11,12.95,12.6,13.1,13872432.39,12.66
2019-04-10,12.66,12.5,12.84,5406603.38,12.55
2019-04-09,12.55,12.47,12.95,6122847.22,12.81
2019-04-08,12.81,12.81,13.24,1337341.21,13.22
2019-04-05,13.22,12.88,13.3,2498616.0,12.98
2019-04-04,12.98,12.81,13.2,3189710.33,13.13
2019-04-03,13.13,12.89,13.42,5817289.75,13.05
2019-04-02,13.05,12.94,13.47,7964568.15,13.03
2019-04-01,13.03,12.49,13.26,3471524.6,12.6
2019-03-29,12.6,12.5,12.84,5695730.97,12.5
2019-03-28,12.5,12.1,12.64,5441011.93,12.28
2019-03-27,12.28,11.91,12.96,7213412.09,12.5
2019-03-26,12.5,12.49,12.85,3014921.16,12.65
2019-03-25,12.65,12.59,13.27,6933751.31,13.22
2019-03-22,13.22,12.94,13.45,9276367.27,13.3
2019-03-21,13.3,13.2,13.4,3461412.51,13.3
2019-03-20,13.3,13.09,13.54,7791301.53,13.14
2019-03-19,13.14,12.98,13.29,2545786.41,13.01
2019-03-18,13.01,12.95,13.58,4368317.48,13.56
2019-03-15,13.56,12.74,13.56,4418735.67,12.74
2019-03-14,12.74,12.6,12.77,1233334.33,12.7
2019-03-13,12.7,12.57,12.81,2882851.53,12.6
2019-03-12,12.6,12.59,13.57,8055996.99,13.1
2019-03-11,13.1,13.02,13.95,4859605.51,13.75
2019-03-08,13.75,12.68,14.4,6078798.68,13.66
2019-03-07,13.66,13.4,14.01,3065229.77,13.73
2019-03-06,13.73,13.55,14.17,2309118.6,13.9
2019-03-05,13.9,13.74,14.34,4051633.61,13.94
2019-03-04,13.94,13.85,14.92,4884042.72,14.67
2019-03-01,14.67,13.78,14.74,5384919.27,13.9
2019-02-28,13.9,13.36,14.04,6358311.27,13.34
2019-02-27,13.34,12.64,13.34,5158441.31,12.62
2019-02-26,12.62,12.53,12.97,6783135.23,12.92
