Date,adjclose,low,high,volume,open
2020-05-29,2.27,2.21,2.32,30216336.57,2.25
2020-05-28,2.25,2.24,2.36,36642537.35,2.33
2020-05-27,2.33,2.33,2.39,42109994.16,2.29
2020-05-22,2.29,2.19,2.32,67914662.4,2.23
2020-05-21,2.23,2.08,2.24,95598463.43,2.14
2020-05-20,2.14,2.09,2.17,85028999.77,2.09
2020-05-18,2.09,2.08,2.11,28738662.66,2.06
2020-05-15,2.06,2.05,2.13,56219415.6,2.06
2020-05-14,2.06,2.01,2.12,79697229.17,2.02
2020-05-13,2.02,2.01,2.06,27567652.11,2.05
2020-05-12,2.05,1.96,2.09,42051960.09,1.97
2020-05-11,1.97,1.91,1.99,26033447.71,1.92
2020-05-08,1.92,1.92,2.03,34526422.59,1.99
2020-05-07,1.99,1.96,2.02,17609513.3,2.0
2020-05-06,2.0,1.98,2.08,28607183.4,2.03
2020-05-05,2.03,2.01,2.07,30068773.02,2.01
2020-05-04,2.01,1.98,2.09,49754064.87,2.13
2020-04-30,2.13,2.0,2.19,60394703.36,2.04
2020-04-29,2.04,1.92,2.09,41950922.51,1.9
2020-04-28,1.9,1.88,1.95,31412925.13,1.9
2020-04-27,1.9,1.8,1.91,32695921.77,1.79
2020-04-24,1.79,1.79,1.84,13277057.18,1.82
2020-04-22,1.82,1.79,1.85,14418601.48,1.8
2020-04-21,1.8,1.78,1.83,10945520.91,1.82
2020-04-20,1.82,1.78,1.85,22137045.22,1.75
2020-04-17,1.75,1.71,1.78,18222283.44,1.7
2020-04-16,1.7,1.66,1.74,21929876.35,1.66
2020-04-15,1.66,1.62,1.8,26403495.98,1.79
2020-04-14,1.79,1.79,1.88,27954795.98,1.86
2020-04-13,1.86,1.72,1.9,16057732.64,1.78
2020-04-10,1.78,1.58,1.78,17710782.12,1.62
2020-04-09,1.62,1.49,1.62,13897927.8,1.48
2020-04-08,1.48,1.39,1.5,5716432.95,1.44
2020-04-07,1.44,1.44,1.54,8921476.38,1.43
2020-04-06,1.43,1.37,1.44,4459348.46,1.36
2020-04-03,1.36,1.35,1.4,3191714.09,1.4
2020-04-02,1.4,1.36,1.46,4097400.78,1.43
2020-04-01,1.43,1.33,1.45,5145358.24,1.39
2020-03-31,1.39,1.33,1.4,5505294.75,1.32
2020-03-30,1.32,1.24,1.35,2551760.31,1.32
2020-03-27,1.32,1.3,1.4,14062959.2,1.38
2020-03-26,1.38,1.28,1.4,16733817.41,1.3
2020-03-25,1.3,1.26,1.35,21344397.03,1.3
2020-03-24,1.3,1.22,1.3,14931876.71,1.19
2020-03-23,1.19,1.16,1.25,8043207.93,1.24
2020-03-20,1.24,1.21,1.3,10191831.04,1.23
2020-03-19,1.23,1.11,1.26,14998503.67,1.19
2020-03-18,1.19,1.15,1.24,11025618.23,1.19
2020-03-18,1.19,1.15,1.24,11025618.23,1.24
2020-03-17,1.24,1.23,1.32,14495889.49,1.24
2020-03-17,1.24,1.23,1.32,14495889.49,1.36
2020-03-16,1.36,1.36,1.44,6870048.97,1.36
2020-03-16,1.36,1.36,1.44,6870048.97,1.51
2020-03-13,1.51,1.41,1.58,16482027.34,1.51
2020-03-13,1.51,1.41,1.58,16482027.34,1.47
2020-03-12,1.47,1.41,1.58,17857705.17,1.47
2020-03-12,1.47,1.41,1.58,17857705.17,1.64
2020-03-11,1.64,1.61,1.74,20030699.03,1.64
2020-03-11,1.64,1.61,1.74,20030699.03,1.71
2020-03-10,1.71,1.71,1.84,24920398.15,1.71
2020-03-10,1.71,1.71,1.84,24920398.15,1.78
2020-03-09,1.78,1.74,1.92,23312732.75,1.78
2020-03-09,1.78,1.74,1.92,23312732.75,1.98
2020-03-06,1.98,1.92,2.06,15847643.84,1.98
2020-03-06,1.98,1.92,2.06,15847643.84,2.04
2020-03-05,2.04,2.02,2.07,15947904.05,2.04
2020-03-05,2.04,2.02,2.07,15947904.05,2.02
2020-03-04,2.02,2.02,2.14,35885739.99,2.02
2020-03-04,2.02,2.02,2.14,35885739.99,2.1
2020-03-03,2.1,2.06,2.11,19353641.25,2.1
2020-03-03,2.1,2.06,2.11,19353641.25,2.03
2020-03-02,2.03,1.98,2.1,20993305.04,2.03
2020-03-02,2.03,1.98,2.1,20993305.04,2.0
2020-02-28,2.0,1.72,2.05,16709965.02,2.0
2020-02-28,2.0,1.72,2.05,16709965.02,2.15
2020-02-27,2.15,2.13,2.28,42506098.91,2.15
2020-02-27,2.15,2.13,2.28,42506098.91,2.3
2020-02-26,2.3,2.27,2.32,28456979.44,2.3
2020-02-25,2.3,2.29,2.37,36454488.32,2.3
2020-02-25,2.3,2.29,2.37,36454488.32,2.31
2020-02-24,2.31,2.23,2.34,29062738.02,2.31
2020-02-24,2.31,2.23,2.34,29062738.02,2.36
2020-02-21,2.36,2.3,2.38,34150070.3,2.36
2020-02-21,2.36,2.3,2.38,34150070.3,2.35
2020-02-20,2.35,2.35,2.55,42447245.68,2.35
2020-02-20,2.35,2.35,2.55,42447245.68,2.55
2020-02-19,2.55,2.55,2.66,24234428.61,2.55
2020-02-19,2.55,2.55,2.66,24234428.61,2.63
2020-02-18,2.63,2.59,2.66,40978363.11,2.63
2020-02-18,2.63,2.59,2.66,40978363.11,2.65
2020-02-17,2.65,2.6,2.72,63830292.19,2.65
2020-02-17,2.65,2.6,2.72,63830292.19,2.64
2020-02-14,2.64,2.53,2.72,85368983.96,2.5
