Date,adjclose,low,high,volume,open
2020-05-29,133.5,133.4,135.7,8167676.4,135.9
2020-05-28,135.9,133.8,139.1,11841860.6,138.7
2020-05-27,138.7,138.3,140.1,7016677.4,138.5
2020-05-22,138.5,136.1,138.5,4924958.7,138.0
2020-05-21,138.0,134.6,139.0,9663609.1,139.2
2020-05-20,139.2,138.2,141.6,8550456.2,140.0
2020-05-18,140.0,138.2,140.2,14376105.8,136.0
2020-05-15,136.0,132.5,136.2,16301258.3,132.4
2020-05-14,132.4,129.2,132.9,9845446.6,131.5
2020-05-13,131.5,126.7,133.3,22736466.0,127.5
2020-05-12,127.5,122.1,128.0,13159071.6,123.0
2020-05-11,123.0,120.8,123.1,4682341.0,123.0
2020-05-08,123.0,119.7,125.6,15768250.5,125.0
2020-05-07,125.0,121.5,125.7,13510986.9,124.4
2020-05-06,124.4,124.1,127.4,8287272.3,127.0
2020-05-05,127.0,125.2,129.9,8807273.2,126.1
2020-05-04,126.1,123.5,128.3,21787163.4,124.6
2020-04-30,124.6,122.0,124.8,9709606.1,123.0
2020-04-29,123.0,123.0,124.8,9464406.6,123.2
2020-04-28,123.2,123.0,125.3,8427521.1,124.8
2020-04-27,124.8,123.8,126.2,9827695.9,123.5
2020-04-24,123.5,122.5,127.7,16459783.4,126.4
2020-04-22,126.4,121.2,126.4,8331029.1,122.0
2020-04-21,122.0,119.0,123.0,5746737.6,122.3
2020-04-20,122.3,118.0,122.6,12231605.9,117.5
2020-04-17,117.5,116.0,118.9,7537384.5,115.0
2020-04-16,115.0,113.1,116.6,6773677.0,114.5
2020-04-15,114.5,114.5,121.0,11081050.4,120.6
2020-04-14,120.6,118.4,120.6,11733615.7,118.5
2020-04-13,118.5,116.1,119.1,8166458.1,118.3
2020-04-10,118.3,116.6,119.1,8916880.3,117.6
2020-04-09,117.6,115.8,120.0,15701528.8,115.0
2020-04-08,115.0,111.9,115.8,10389374.8,113.1
2020-04-07,113.1,111.0,117.0,13919545.1,110.0
2020-04-06,110.0,106.1,110.0,10846731.9,105.6
2020-04-03,105.6,102.8,105.6,5719025.8,103.9
2020-04-02,103.9,101.0,106.9,15982698.0,104.5
2020-04-01,104.5,102.8,106.5,7552006.9,103.7
2020-03-31,103.7,102.9,107.5,10344271.9,103.3
2020-03-30,103.3,102.0,105.0,4763726.7,104.0
2020-03-27,104.0,103.3,110.5,5909283.4,108.6
2020-03-26,108.6,104.5,111.0,8408243.9,107.0
