Date,adjclose,low,high,volume,open
2020-05-29,60.05,57.2,60.05,331976829.1,58.8
2020-05-28,58.8,56.9,63.5,1017395574.3,59.1
2020-05-27,59.1,55.5,59.1,902118071.2,53.75
2020-05-22,53.75,52.4,54.1,218657154.7,53.15
2020-05-21,53.15,52.3,54.2,189365201.65,53.0
2020-05-20,53.0,52.9,55.25,372504758.55,55.05
2020-05-18,55.05,52.15,55.65,808155888.6,50.9
2020-05-15,50.9,48.08,51.35,323314881.65,48.04
2020-05-14,48.04,47.5,49.42,179598652.16,49.8
2020-05-13,49.8,49.74,50.55,129616526.47,50.4
2020-05-12,50.4,48.8,50.8,155271254.53,51.0
2020-05-11,51.0,51.0,53.2,227697387.4,51.25
2020-05-08,51.25,51.0,52.65,131362759.15,51.75
2020-05-07,51.75,50.35,53.25,243202906.85,52.15
2020-05-06,52.15,51.95,53.65,179923882.15,53.45
2020-05-05,53.45,52.7,56.25,398073104.25,55.5
2020-05-04,55.5,50.6,56.1,145050110.9,53.0
2020-04-30,53.0,50.05,53.3,120653177.2,51.0
2020-04-29,51.0,49.38,51.95,79742452.6,52.5
2020-04-28,52.5,50.35,54.5,199484666.95,51.1
2020-04-27,51.1,46.7,51.1,144019779.89,46.48
2020-04-24,46.48,46.3,48.7,101192512.7,48.68
2020-04-22,48.68,48.5,49.6,62072149.22,49.64
2020-04-21,49.64,49.0,50.6,72454821.69,51.5
2020-04-20,51.5,48.0,51.75,115275013.31,51.9
2020-04-17,51.9,46.0,52.5,1660600033.26,51.9
2020-04-17,51.9,46.0,52.5,1660600033.26,49.92
2020-04-16,49.92,49.92,57.8,1158339672.64,49.92
2020-04-16,49.92,49.92,57.8,1158339672.64,55.45
2020-04-15,55.45,55.45,66.15,2226207928.75,55.45
2020-04-15,55.45,55.45,66.15,2226207928.75,61.6
2020-04-14,61.6,58.2,61.6,695214748.55,61.6
2020-04-14,61.6,58.2,61.6,695214748.55,56.0
2020-04-13,56.0,49.18,56.0,911112224.77,56.0
2020-04-13,56.0,49.18,56.0,911112224.77,50.95
2020-04-10,50.95,44.72,51.25,941591068.4,50.95
2020-04-10,50.95,44.72,51.25,941591068.4,46.68
2020-04-09,46.68,42.92,46.68,707732001.84,46.68
2020-04-09,46.68,42.92,46.68,707732001.84,42.7
2020-04-08,42.7,38.98,43.46,1002652299.56,42.7
2020-04-08,42.7,38.98,43.46,1002652299.56,40.28
2020-04-07,40.28,38.24,40.28,574800689.4,40.28
2020-04-07,40.28,38.24,40.28,574800689.4,36.62
2020-04-06,36.62,34.1,36.62,324544927.24,36.62
2020-04-06,36.62,34.1,36.62,324544927.24,33.3
2020-04-03,33.3,32.8,34.34,231875564.64,33.3
2020-04-03,33.3,32.8,34.34,231875564.64,33.94
2020-04-02,33.94,32.9,37.02,315992964.7,33.94
2020-04-02,33.94,32.9,37.02,315992964.7,35.86
2020-04-01,35.86,33.3,37.2,461970012.9,35.86
2020-04-01,35.86,33.3,37.2,461970012.9,34.2
2020-03-31,34.2,30.86,34.2,436291329.12,34.2
2020-03-31,34.2,30.86,34.2,436291329.12,31.1
2020-03-30,31.1,31.1,33.6,491404936.92,31.1
2020-03-30,31.1,31.1,33.6,491404936.92,34.54
2020-03-27,34.54,31.4,34.54,376437090.36,34.54
2020-03-27,34.54,31.4,34.54,376437090.36,31.4
2020-03-26,31.4,29.4,31.4,110434682.02,31.4
2020-03-26,31.4,29.4,31.4,110434682.02,28.56
2020-03-25,28.56,27.0,28.56,168916010.82,28.56
2020-03-25,28.56,27.0,28.56,168916010.82,25.98
2020-03-24,25.98,24.2,25.98,185010936.7,25.98
2020-03-24,25.98,24.2,25.98,185010936.7,23.62
2020-03-23,23.62,23.56,25.5,275395953.84,23.62
2020-03-23,23.62,23.56,25.5,275395953.84,26.16
2020-03-20,26.16,25.56,27.28,216627951.58,26.16
2020-03-20,26.16,25.56,27.28,216627951.58,26.1
2020-03-19,26.1,26.1,29.0,183043065.08,26.1
2020-03-19,26.1,26.1,29.0,183043065.08,29.0
2020-03-18,29.0,29.0,31.84,166174407.8,31.64
2020-03-17,31.64,31.64,35.0,199182382.7,35.14
2020-03-16,35.14,35.14,36.74,58342671.82,39.04
2020-03-13,39.04,33.68,39.04,114952007.86,35.5
2020-03-12,35.5,35.1,38.5,84812696.6,40.02
2020-03-11,40.02,39.44,42.24,103723801.12,41.68
2020-03-10,41.68,41.68,48.36,134778530.74,45.04
2020-03-09,45.04,44.3,47.8,116630660.18,48.08
2020-03-06,48.08,47.04,50.0,222279517.62,50.0
2020-03-05,50.0,50.0,54.0,175951689.55,51.7
2020-03-04,51.7,51.7,56.05,142492329.25,56.05
2020-03-03,56.05,54.8,56.2,90270226.85,54.45
2020-03-02,54.45,54.0,56.8,81416046.7,54.0
2020-02-28,54.0,46.44,57.15,135791618.75,57.9
2020-02-27,57.9,57.9,62.7,214779288.0,63.7
2020-02-26,63.7,61.35,65.3,255011592.9,65.25
2020-02-25,65.25,64.9,67.75,148689397.2,66.4
2020-02-24,66.4,64.5,68.0,177399337.5,68.6
2020-02-21,68.6,66.25,68.9,119356993.15,67.6
2020-02-20,67.6,67.15,70.1,142463575.0,70.15
2020-02-19,70.15,69.6,71.15,130926878.7,70.55
2020-02-18,70.55,69.8,71.9,139769884.55,71.95
2020-02-17,71.95,69.6,72.95,209698938.45,69.8
2020-02-14,69.8,69.55,71.7,123440548.75,71.3
