Date,adjclose,low,high,volume,open
2020-05-29,10.2,10.2,10.63,302973727.21,10.48
2020-05-28,10.48,9.83,10.51,509440327.2,10.09
2020-05-27,10.09,10.09,10.32,195310905.2,10.02
2020-05-22,10.02,9.85,10.17,245246871.24,9.96
2020-05-21,9.96,9.95,10.39,212862804.02,10.21
2020-05-20,10.21,10.07,10.65,541959304.52,10.27
2020-05-18,10.27,10.2,11.13,1207506680.74,10.14
2020-05-15,10.14,9.37,10.14,391887420.46,9.22
2020-05-14,9.22,9.06,9.52,475702208.11,9.1
2020-05-13,9.1,8.91,9.23,248581330.66,8.89
2020-05-12,8.89,8.87,9.07,159232486.49,8.9
2020-05-11,8.9,8.9,9.34,263975213.93,9.31
2020-05-08,9.31,9.31,9.74,527747349.33,9.38
2020-05-07,9.38,8.89,9.43,656126446.12,8.97
2020-05-06,8.97,8.78,9.07,217271458.95,8.89
2020-05-05,8.89,8.55,9.07,424303144.36,8.47
2020-05-04,8.47,8.44,8.66,67997898.14,8.73
2020-04-30,8.73,8.53,8.96,117663653.24,8.89
2020-04-29,8.89,8.79,9.12,292507397.08,8.79
2020-04-28,8.79,8.78,9.11,172018350.77,9.03
2020-04-27,9.03,8.92,9.23,376750054.63,8.86
2020-04-24,8.86,8.67,9.13,493342510.67,8.72
2020-04-22,8.72,8.31,9.05,685802416.3,8.31
2020-04-21,8.31,8.27,8.55,125007029.34,8.47
2020-04-20,8.47,8.39,8.67,101711684.48,8.5
2020-04-17,8.5,8.34,8.77,260116322.0,8.5
2020-04-17,8.5,8.34,8.77,260116322.0,8.33
2020-04-16,8.33,8.15,8.67,234573019.15,8.33
2020-04-16,8.33,8.15,8.67,234573019.15,8.42
2020-04-15,8.42,8.34,8.93,195552683.06,8.42
2020-04-15,8.42,8.34,8.93,195552683.06,8.88
2020-04-14,8.88,8.74,9.21,351389165.51,8.88
2020-04-14,8.88,8.74,9.21,351389165.51,8.83
2020-04-13,8.83,8.71,9.16,204103747.84,8.83
2020-04-13,8.83,8.71,9.16,204103747.84,8.89
2020-04-10,8.89,8.85,9.2,233469929.49,8.89
2020-04-10,8.89,8.85,9.2,233469929.49,9.06
2020-04-09,9.06,8.94,9.34,285041611.91,9.06
2020-04-09,9.06,8.94,9.34,285041611.91,9.11
2020-04-08,9.11,8.6,9.38,648639050.18,9.11
2020-04-08,9.11,8.6,9.38,648639050.18,8.94
2020-04-07,8.94,8.7,9.89,723779509.08,8.94
2020-04-07,8.94,8.7,9.89,723779509.08,9.26
2020-04-06,9.26,8.52,9.26,552432564.76,9.26
2020-04-06,9.26,8.52,9.26,552432564.76,8.42
2020-04-03,8.42,7.65,8.42,670245677.13,8.42
2020-04-03,8.42,7.65,8.42,670245677.13,7.66
2020-04-02,7.66,7.24,8.2,509795384.21,7.66
2020-04-02,7.66,7.24,8.2,509795384.21,7.9
2020-04-01,7.9,7.9,9.53,742263102.74,7.9
2020-04-01,7.9,7.9,9.53,742263102.74,8.77
2020-03-31,8.77,8.25,8.77,250853771.29,8.77
2020-03-31,8.77,8.25,8.77,250853771.29,7.98
2020-03-30,7.98,7.27,7.98,336706822.31,7.98
2020-03-30,7.98,7.27,7.98,336706822.31,7.26
2020-03-27,7.26,6.64,7.26,219623199.9,7.26
2020-03-27,7.26,6.64,7.26,219623199.9,6.6
2020-03-26,6.6,6.2,6.6,78461963.18,6.6
2020-03-26,6.6,6.2,6.6,78461963.18,6.0
2020-03-25,6.0,5.7,6.0,185205341.53,6.0
2020-03-25,6.0,5.7,6.0,185205341.53,5.46
2020-03-24,5.46,5.14,5.46,56469448.67,5.46
2020-03-24,5.46,5.14,5.46,56469448.67,4.97
2020-03-23,4.97,4.87,5.17,60719749.55,4.97
2020-03-23,4.97,4.87,5.17,60719749.55,5.21
2020-03-20,5.21,5.13,5.32,61654854.89,5.21
2020-03-20,5.21,5.13,5.32,61654854.89,5.12
2020-03-19,5.12,5.07,5.34,92957407.04,5.12
2020-03-19,5.12,5.07,5.34,92957407.04,5.22
2020-03-18,5.22,5.0,5.51,105205841.32,5.22
2020-03-18,5.22,5.0,5.51,105205841.32,5.35
2020-03-17,5.35,5.23,5.89,117778408.59,5.35
2020-03-17,5.35,5.23,5.89,117778408.59,5.81
2020-03-16,5.81,5.81,6.05,76543479.93,5.81
2020-03-16,5.81,5.81,6.05,76543479.93,6.45
2020-03-13,6.45,5.65,6.55,103653587.98,6.45
2020-03-13,6.45,5.65,6.55,103653587.98,5.96
2020-03-12,5.96,5.92,7.3,115163362.13,5.96
2020-03-12,5.96,5.92,7.3,115163362.13,7.0
2020-03-11,7.0,6.75,7.08,66834672.64,7.0
2020-03-11,7.0,6.75,7.08,66834672.64,7.1
2020-03-10,7.1,7.06,8.0,77137125.48,7.1
2020-03-10,7.1,7.06,8.0,77137125.48,7.66
2020-03-09,7.66,7.32,8.13,76395759.58,7.66
2020-03-09,7.66,7.32,8.13,76395759.58,8.4
2020-03-06,8.4,8.31,8.88,49004927.6,8.4
2020-03-06,8.4,8.31,8.88,49004927.6,8.81
2020-03-05,8.81,8.8,9.05,48215434.72,8.81
2020-03-05,8.81,8.8,9.05,48215434.72,8.77
2020-03-04,8.77,8.76,9.18,83664979.98,8.77
2020-03-04,8.77,8.76,9.18,83664979.98,9.12
2020-03-03,9.12,8.91,9.23,102399458.87,9.12
2020-03-03,9.12,8.91,9.23,102399458.87,8.82
2020-03-02,8.82,8.72,9.15,64296436.23,8.82
2020-03-02,8.82,8.72,9.15,64296436.23,8.72
2020-02-28,8.72,7.4,8.88,85706104.34,8.72
2020-02-28,8.72,7.4,8.88,85706104.34,9.04
2020-02-27,9.04,9.03,9.86,158055067.09,9.04
2020-02-27,9.04,9.03,9.86,158055067.09,9.86
2020-02-26,9.86,9.72,10.29,228744093.22,9.86
2020-02-26,9.86,9.72,10.29,228744093.22,9.84
2020-02-25,9.84,9.7,10.07,109195295.22,9.84
2020-02-25,9.84,9.7,10.07,109195295.22,9.79
2020-02-24,9.79,9.5,9.95,122738846.08,9.79
2020-02-24,9.79,9.5,9.95,122738846.08,9.82
2020-02-21,9.82,9.45,9.92,164597789.33,9.82
2020-02-21,9.82,9.45,9.92,164597789.33,9.74
2020-02-20,9.74,9.58,10.4,240264626.28,9.74
