Company,Major index membership,Market capitalization,Income (ttm),Revenue (ttm),Book value per share (mrq),Cash per share (mrq),Dividend (annual),Dividend yield (annual),Full time employees,Stock has options trading on a market exchange,Stock available to sell short,Analysts' mean recommendation (1=Buy 5=Sell),Price-to-Earnings (ttm),Forward Price-to-Earnings (next fiscal year),Price-to-Earnings-to-Growth,Price-to-Sales (ttm),Price-to-Book (mrq),Price to cash per share (mrq),Price to Free Cash Flow (ttm),Quick Ratio (mrq),Current Ratio (mrq),Total Debt to Equity (mrq),Long Term Debt to Equity (mrq),Distance from 20-Day Simple Moving Average,Diluted EPS (ttm),EPS estimate for next year,EPS estimate for next quarter,EPS growth this year,EPS growth next year,Long term annual growth estimate (5 years),Annual EPS growth past 5 years,Annual sales growth past 5 years,Quarterly revenue growth (YoY),Quarterly earnings growth (YoY),Earnings date<br><br>BMO = Before Market Open<br>AMC = After Market Close,Distance from 50-Day Simple Moving Average,Insider ownership,Insider transactions (6-Month change in Insider Ownership),Institutional ownership,Institutional transactions (3-Month change in Institutional Ownership),Return on Assets (ttm),Return on Equity (ttm),Return on Investment (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Profit Margin (ttm),Dividend Payout Ratio (ttm),Distance from 200-Day Simple Moving Average,Shares outstanding,Shares float,Short interest share / ratio,Short interest,Analysts' mean target price,52-Week trading range,Distance from 52-Week High,Distance from 52-Week Low,Relative Strength Index,Relative volume,Average volume (3 month),Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Beta,Average True Range (14),"Volatility (Week, Month)",Previous close,Current stock price,Performance (today)
A,S&P 500,41.05B,1.32B,6.93B,18.95,-,0.90,0.64%,18300,Yes,Yes,1.90,31.77,22.34,2.32,5.92,7.44,-,50.87,1.50,2.10,0.53,0.49,-3.07%,4.43,6.31,1.26,6.10%,10.83%,13.67%,14.80%,8.90%,4.90%,26.90%,Feb 28 AMC,-5.97%,0.30%,-22.61%,90.70%,-3.31%,12.50%,25.00%,16.90%,54.50%,24.10%,19.10%,18.90%,3.23%,296.00M,294.19M,1.02% / 2.33,2.99M,164.29,112.52 - 160.26,-11.79%,25.64%,40.30,0.47,1.28M,"312,065",-0.21%,-8.50%,-6.59%,7.56%,9.32%,-5.53%,1.04,3.27,2.37% 2.09%,140.90,141.37,0.33%
AAL,S&P 500,10.65B,127.00M,48.97B,-8.91,13.97,-,-,129700,Yes,Yes,3.00,150.82,5.79,-,0.22,-,1.19,5.87,0.60,0.70,-,-,0.77%,0.11,2.87,0.01,106.30%,43.64%,-,-46.10%,2.80%,39.90%,183.40%,Jan 26 BMO,4.09%,0.10%,-12.99%,55.50%,1.49%,0.20%,-1.60%,5.20%,57.90%,3.30%,0.30%,0.00%,13.28%,650.95M,642.23M,11.27% / 2.88,72.37M,16.57,11.65 - 21.42,-23.64%,40.38%,53.77,0.61,25.16M,"7,890,314",1.47%,-3.56%,14.14%,17.76%,21.07%,28.59%,1.56,0.48,2.65% 2.73%,16.59,16.36,-1.41%
AAP,S&P 500,7.88B,501.90M,11.15B,45.06,4.52,6.00,4.54%,40000,Yes,Yes,2.70,16.00,11.11,2.73,0.71,2.93,29.26,-,0.20,1.10,0.51,0.44,-8.20%,8.26,11.90,2.69,-13.50%,6.27%,5.85%,13.10%,3.50%,3.20%,37.80%,Feb 28 BMO,-10.40%,0.20%,0.00%,98.37%,-3.50%,4.20%,18.10%,13.80%,44.50%,6.30%,4.50%,54.10%,-21.37%,59.44M,58.78M,5.79% / 3.06,3.41M,153.42,130.94 - 231.43,-42.90%,0.92%,28.70,0.79,1.11M,"454,142",-5.08%,-12.76%,-9.20%,-25.89%,-34.12%,-10.13%,1.15,3.70,2.08% 2.39%,132.21,132.14,-0.05%
AAPL,"DJIA, NDX, S&P 500",2336.71B,95.17B,387.54B,3.57,3.36,0.92,0.60%,164000,Yes,Yes,2.00,25.97,23.20,3.19,6.03,42.82,45.50,28.28,0.90,0.90,1.96,1.76,2.21%,5.89,6.59,1.43,8.90%,10.41%,8.13%,21.60%,11.50%,-5.50%,-10.30%,Feb 02 AMC,7.90%,0.07%,-4.73%,60.10%,-0.48%,27.50%,163.50%,58.30%,43.10%,29.40%,24.60%,15.40%,4.45%,15.89B,15.81B,0.66% / 1.42,104.34M,168.34,124.17 - 179.61,-14.31%,23.96%,60.06,0.59,73.23M,"22,342,699",5.49%,-0.48%,7.70%,-1.31%,-2.24%,18.46%,1.29,3.30,1.87% 1.86%,152.87,153.91,0.68%
ABBV,S&P 500,261.85B,11.78B,58.05B,9.74,5.27,5.92,3.96%,50000,Yes,Yes,2.40,22.57,13.48,-,4.51,15.36,28.37,18.43,0.80,1.00,3.67,3.43,-1.90%,6.63,11.10,2.63,2.70%,-0.27%,-2.50%,13.30%,15.50%,1.60%,-38.80%,Feb 09 BMO,-2.50%,0.12%,-10.36%,70.90%,0.10%,8.30%,73.40%,20.50%,71.50%,31.20%,20.30%,84.80%,0.15%,1.77B,1.77B,0.66% / 2.06,11.71M,163.22,134.09 - 175.91,-15.16%,11.31%,42.36,0.58,5.70M,"1,706,632",-3.32%,2.83%,-8.84%,7.60%,1.43%,-7.65%,0.55,2.80,1.91% 1.86%,149.60,149.25,-0.23%
ABC,S&P 500,30.47B,1.73B,241.81B,-0.87,-,1.94,1.28%,39000,Yes,Yes,2.10,18.44,12.06,2.50,0.13,-,-,18.30,0.50,0.90,-,-,-4.53%,8.24,12.59,3.30,8.90%,8.23%,7.38%,37.40%,9.30%,5.40%,9.30%,Feb 01 BMO,-6.75%,0.20%,-97.97%,72.40%,0.01%,3.00%,-,34.50%,3.50%,1.00%,0.70%,22.40%,-1.39%,204.03M,162.29M,1.86% / 2.13,3.01M,185.00,135.14 - 174.63,-13.93%,11.23%,31.63,0.67,1.42M,"492,848",-2.96%,-4.13%,-11.23%,1.67%,4.09%,-9.29%,0.52,3.04,1.85% 1.91%,151.86,150.31,-1.02%
ABT,S&P 500,169.74B,6.93B,43.65B,21.04,5.96,2.04,2.05%,115000,Yes,Yes,2.00,25.32,20.51,3.05,3.89,4.72,16.69,37.76,1.20,1.60,0.46,0.40,-4.20%,3.92,4.85,0.99,-0.60%,10.03%,8.30%,30.50%,9.80%,-12.00%,-47.20%,Jan 25 BMO,-8.00%,0.40%,-1.48%,76.20%,0.27%,9.40%,19.20%,13.00%,56.10%,19.20%,15.90%,35.70%,-6.42%,1.74B,1.73B,0.76% / 2.75,13.19M,123.50,93.25 - 124.36,-19.77%,7.00%,35.26,0.69,4.80M,"1,709,907",-2.78%,-10.90%,-3.93%,-4.70%,-14.06%,-9.12%,0.67,2.00,2.13% 1.99%,99.40,99.78,0.38%
ACN,S&P 500,171.05B,7.05B,62.38B,36.46,9.10,4.48,1.70%,721000,Yes,Yes,2.10,23.94,20.89,2.31,2.74,7.23,28.97,27.05,1.30,1.30,0.00,0.00,-2.98%,11.01,12.62,3.08,17.00%,9.80%,10.38%,14.50%,11.20%,5.20%,10.80%,Mar 23 BMO,-3.47%,0.10%,-12.51%,75.40%,1.19%,15.30%,32.40%,31.90%,32.00%,15.10%,11.30%,36.10%,-5.85%,658.39M,657.39M,0.81% / 2.44,5.30M,317.02,242.95 - 345.30,-23.05%,9.36%,41.39,0.52,2.17M,"585,642",0.16%,-7.69%,-6.91%,-7.35%,-11.91%,-0.43%,1.24,5.37,1.57% 1.70%,263.66,265.69,0.77%
ADBE,"NDX, S&P 500",153.47B,4.76B,17.61B,30.09,13.74,-,-,29239,Yes,Yes,2.20,34.26,19.75,2.53,8.72,11.49,25.18,20.75,1.10,1.10,0.29,0.26,-1.45%,10.10,17.51,3.76,0.70%,14.39%,13.56%,24.50%,19.20%,10.10%,-1.80%,Mar 15 AMC,-1.71%,0.34%,-3.18%,84.10%,-0.74%,17.90%,33.90%,26.70%,87.70%,34.60%,27.00%,0.00%,-3.02%,467.00M,457.38M,1.14% / 1.80,5.23M,387.81,274.73 - 473.49,-26.91%,25.97%,48.06,0.98,2.90M,"1,466,964",3.78%,-9.83%,4.51%,-8.86%,-19.80%,2.84%,1.28,9.68,2.63% 2.43%,345.84,346.09,0.07%
ADI,"NDX, S&P 500",93.54B,3.43B,12.58B,72.04,3.33,3.44,1.84%,24450,Yes,Yes,2.00,28.17,17.07,2.60,7.44,2.59,55.99,34.72,1.50,2.10,0.00,0.18,1.11%,6.62,10.93,2.75,51.60%,2.07%,10.82%,18.10%,18.00%,21.10%,256.00%,Feb 15 BMO,6.76%,0.36%,-3.81%,89.30%,0.22%,6.80%,9.40%,6.80%,65.60%,32.20%,27.30%,45.60%,15.81%,507.12M,504.56M,1.07% / 1.64,5.41M,216.81,133.48 - 196.41,-4.86%,40.00%,59.57,0.68,3.30M,"1,150,758",1.23%,3.23%,12.23%,24.00%,25.82%,13.92%,1.15,3.99,2.09% 2.04%,186.57,186.87,0.16%
