Date,adjclose,low,high,volume,open
2020-05-29,5.64,5.64,5.77,42905005.92,5.74
2020-05-28,5.74,5.67,5.78,53689955.64,5.74
2020-05-27,5.74,5.71,5.76,34412678.75,5.66
2020-05-22,5.66,5.62,5.71,34155205.32,5.63
2020-05-21,5.63,5.59,5.76,59398302.85,5.58
2020-05-20,5.58,5.5,5.62,49214372.46,5.48
2020-05-18,5.48,5.43,5.48,29339640.24,5.41
2020-05-15,5.41,5.39,5.44,17881800.54,5.39
2020-05-14,5.39,5.35,5.45,23044884.0,5.46
2020-05-13,5.46,5.43,5.49,24512361.15,5.44
2020-05-12,5.44,5.29,5.49,38259816.51,5.31
2020-05-11,5.31,5.31,5.41,25171585.72,5.36
2020-05-08,5.36,5.34,5.52,42820722.66,5.48
2020-05-07,5.48,5.47,5.57,34723190.41,5.54
2020-05-06,5.54,5.52,5.63,41167046.71,5.54
2020-05-05,5.54,5.51,5.63,31282929.11,5.59
2020-05-04,5.59,5.58,5.73,49422587.25,5.6
2020-04-30,5.6,5.56,5.7,63666736.76,5.53
2020-05-18,5.71,5.66,5.71,29339640.24,5.64
2020-05-15,5.64,5.62,5.67,17881800.54,5.62
2020-05-14,5.62,5.58,5.68,23044884.0,5.69
2020-05-13,5.69,5.66,5.72,24512361.15,5.67
2020-05-12,5.67,5.52,5.72,38259816.51,5.54
2020-05-11,5.54,5.54,5.64,25171585.72,5.59
2020-05-08,5.59,5.57,5.76,42820722.66,5.71
2020-05-07,5.71,5.7,5.81,34723190.41,5.78
2020-05-06,5.78,5.76,5.87,41167046.71,5.78
2020-05-05,5.78,5.75,5.87,31282929.11,5.83
2020-05-04,5.83,5.82,5.97,49422587.25,5.84
2020-04-30,5.84,5.8,5.94,63666736.76,5.77
2020-04-29,5.77,5.77,5.94,61679196.35,5.95
2020-04-28,5.95,5.95,6.12,109040014.53,6.25
2020-04-27,6.25,6.18,6.29,46401241.61,6.18
2020-04-24,6.18,6.09,6.22,78629206.55,6.08
2020-04-22,6.08,6.03,6.14,70300105.02,6.0
2020-04-21,6.0,5.82,6.09,111369653.53,5.88
