Date,adjclose,low,high,volume,open
2020-05-29,11.7,11.62,11.92,60164572.91,11.93
2020-05-28,11.93,11.75,12.37,279133314.61,12.21
2020-05-27,12.21,12.0,12.52,464284335.07,11.86
2020-05-22,11.86,11.55,11.89,118992480.84,11.77
2020-05-21,11.77,11.57,11.98,172515567.27,11.55
2020-05-20,11.55,11.36,11.55,103124079.58,11.34
2020-05-18,11.34,11.12,11.34,117726481.13,11.03
2020-05-15,11.03,10.91,11.21,137098511.14,10.81
2020-05-14,10.81,10.73,11.1,120630210.95,11.0
2020-05-13,11.0,10.92,11.33,136992820.85,11.0
2020-05-12,11.0,10.61,11.16,176890365.88,10.61
2020-05-11,10.61,10.58,11.11,107436202.07,10.8
2020-05-08,10.8,10.8,11.59,222769929.34,11.13
2020-05-07,11.13,10.23,11.32,350255655.05,10.32
2020-05-06,10.32,10.25,10.65,84376560.73,10.4
2020-05-05,10.4,10.22,10.75,77021042.03,10.61
2020-05-04,10.61,10.54,11.17,104526647.23,10.93
2020-04-30,10.93,10.66,11.66,192821668.13,11.55
2020-04-29,11.55,11.42,12.09,550066903.77,12.1
2020-04-28,12.1,11.8,12.38,420311264.22,12.0
2020-04-27,12.0,11.64,12.59,588679397.8,11.69
2020-04-24,11.69,10.91,11.69,433017191.03,10.63
2020-04-22,10.63,9.67,10.63,493831625.51,9.67
2020-04-21,9.67,9.65,9.98,73271221.37,9.82
2020-04-20,9.82,9.68,9.95,96444799.88,9.67
2020-04-17,9.67,9.47,9.9,54858692.68,9.7
2020-04-16,9.7,9.61,10.17,152785767.32,9.8
2020-04-15,9.8,8.92,9.98,210322400.59,9.36
2020-04-14,9.36,9.28,9.52,43291703.08,9.33
2020-04-13,9.33,9.09,9.45,45234819.34,9.06
2020-04-10,9.06,9.03,9.21,15886433.99,9.15
2020-04-09,9.15,9.06,9.34,37437586.99,9.1
2020-04-08,9.1,9.03,9.29,18586576.59,9.23
2020-04-07,9.23,9.12,9.57,31199084.25,9.45
2020-04-06,9.45,9.42,9.65,25218108.53,9.5
2020-04-03,9.5,9.2,9.62,17875562.48,9.41
2020-04-02,9.41,9.17,9.48,23344289.97,9.21
2020-04-01,9.21,9.1,9.47,26414150.15,9.32
2020-03-31,9.32,9.0,9.55,52659820.22,9.24
2020-03-30,9.24,8.85,9.4,44582622.83,8.8
2020-03-27,8.8,8.47,8.94,28782066.28,8.78
2020-03-26,8.78,8.46,9.05,57054956.54,8.66
2020-03-25,8.66,8.54,9.04,67458822.83,8.79
2020-03-24,8.79,8.46,8.9,86645357.44,8.3
2020-03-23,8.3,7.56,8.42,55304889.68,7.66
2020-03-20,7.66,7.29,7.75,35830246.12,7.09
2020-03-19,7.09,6.79,7.52,33203023.29,6.86
2020-03-18,6.86,6.34,7.05,22640915.42,6.75
2020-03-17,6.75,6.5,7.36,19560710.22,7.22
2020-03-16,7.22,7.0,7.77,16791565.56,7.75
2020-03-13,7.75,7.22,8.09,38102781.7,7.82
2020-03-12,7.82,7.31,9.73,93227282.18,8.96
2020-03-11,8.96,7.98,9.31,60534002.86,8.07
2020-03-10,8.07,8.04,8.68,6559770.39,8.34
2020-03-09,8.34,8.08,8.6,10731883.01,8.72
2020-03-06,8.72,8.6,9.01,11145185.88,9.06
2020-03-05,9.06,8.84,9.14,16146917.27,8.83
2020-03-04,8.83,8.48,9.05,23723944.92,8.7
2020-03-03,8.7,8.39,8.74,16630405.65,8.51
2020-03-02,8.51,8.41,8.76,7686110.52,8.5
2020-02-28,8.5,7.23,8.5,11581297.84,8.39
2020-02-27,8.39,8.35,8.68,8075342.6,8.7
2020-02-26,8.7,8.64,8.81,11078202.13,8.8
2020-02-25,8.8,8.78,9.06,9921604.41,8.86
2020-02-24,8.86,8.8,8.99,7622307.79,9.04
2020-02-21,9.04,8.88,9.11,9514012.22,9.03
2020-02-20,9.03,9.02,9.46,12834260.44,9.45
2020-02-19,9.45,9.36,9.57,8474048.02,9.52
2020-02-18,9.52,9.51,9.72,7309126.71,9.7
2020-02-17,9.7,9.68,9.85,10098195.17,9.78
2020-02-14,9.78,9.75,9.89,9082499.99,9.76
2020-02-13,9.76,9.68,9.81,9960323.15,9.73
2020-02-12,9.73,9.71,9.9,11522630.18,9.85
2020-02-11,9.85,9.68,10.02,20110847.38,9.91
2020-02-10,9.91,9.7,10.39,17371211.06,10.33
2020-02-07,10.33,10.33,10.48,11994417.83,10.4
2020-02-06,10.4,10.36,10.48,15736920.24,10.35
2020-02-05,10.35,10.33,10.46,13336569.91,10.35
2020-02-04,10.35,10.3,10.43,17087977.42,10.31
2020-02-03,10.31,10.31,10.8,15290354.4,10.8
2020-01-31,10.8,10.6,10.84,4285851.93,10.8
2020-01-30,10.8,10.55,11.15,8278057.95,11.12
2020-01-29,11.12,11.0,11.38,7383468.62,11.15
2020-01-28,11.15,11.1,11.3,9589306.29,11.11
2020-01-27,11.11,11.08,11.57,13610679.79,11.4
2020-01-24,11.4,11.09,11.58,15149864.04,11.09
2020-01-23,11.09,10.97,11.14,7909206.31,11.1
2020-01-22,11.1,11.08,11.28,11490722.23,11.1
2020-01-21,11.1,10.98,11.2,16326528.52,11.08
2020-01-20,11.08,10.92,11.11,8251575.72,11.03
2020-01-17,11.03,10.92,11.13,5754956.99,11.1
2020-01-16,11.1,10.96,11.33,8207044.6,11.11
2020-01-15,11.11,10.88,11.22,22986399.24,10.96
2020-01-14,10.96,10.75,11.05,13595253.11,10.75
2020-01-13,10.75,10.59,10.82,7225340.9,10.57
2020-01-10,10.57,10.39,10.66,7352586.05,10.48
2020-01-09,10.48,10.32,10.54,14946511.21,10.19
2020-01-08,10.19,9.64,10.24,7898517.87,10.14
2020-01-07,10.14,9.93,10.25,7745640.93,9.88
2020-01-06,9.88,9.86,10.22,7657508.02,10.26
2020-01-03,10.26,10.09,10.76,10935838.39,10.78
2020-01-02,10.78,10.69,10.83,9563897.52,10.76
2019-12-31,10.76,10.56,10.77,4025101.61,10.71
2019-12-30,10.71,10.59,10.8,4762061.72,10.65
2019-12-27,10.65,10.23,10.75,11147207.61,10.22
2019-12-26,10.22,10.14,10.47,5614383.34,10.23
2019-12-25,10.23,10.12,10.31,2162624.76,10.27
2019-12-24,10.27,10.24,10.39,6971985.53,10.22
2019-12-23,10.22,10.14,10.35,4289436.41,10.23
2019-12-20,10.23,10.18,10.66,13231595.57,10.35
2019-12-19,10.35,10.04,10.49,20933983.45,10.03
2019-12-18,10.03,9.85,10.06,7386705.38,9.96
2019-12-17,9.96,9.84,10.06,11809913.42,10.0
2019-12-16,10.0,9.69,10.03,16581215.04,9.62
2019-12-13,9.62,9.56,9.75,7063465.31,9.59
2019-12-12,9.59,9.28,9.78,32606957.09,9.25
2019-12-11,9.25,9.25,9.43,7418797.32,9.36
2019-12-10,9.36,9.32,9.62,12501806.85,9.54
2019-12-09,9.54,9.52,9.93,13386941.52,9.91
2019-12-06,9.91,9.91,10.05,4069214.14,10.0
2019-12-05,10.0,9.96,10.13,7087317.41,9.99
2019-12-04,9.99,9.92,10.09,7350591.68,9.98
2019-12-03,9.98,9.95,10.14,8161490.71,9.98
2019-12-02,9.98,9.95,10.07,7400437.64,9.9
2019-11-29,9.9,9.88,10.05,4569922.31,9.98
2019-11-28,9.98,9.91,10.05,5681899.55,9.88
2019-11-27,9.88,9.85,10.08,7091969.36,9.88
2019-11-26,9.88,9.83,10.15,10753381.82,10.1
2019-11-25,10.1,9.96,10.37,9655394.13,10.12
2019-11-22,10.12,9.83,10.12,12724418.04,9.83
2019-11-21,9.83,9.66,9.86,5456902.98,9.78
2019-11-20,9.78,9.75,10.04,15200447.3,9.81
2019-11-19,9.81,9.78,9.89,6492985.38,9.77
2019-11-18,9.77,9.71,9.93,5898763.2,9.77
2019-11-15,9.77,9.64,9.83,3469979.31,9.62
2019-11-14,9.62,9.6,9.81,3739002.52,9.81
2019-11-13,9.81,9.69,9.9,4071442.05,9.68
2019-11-12,9.68,9.66,10.12,8759077.01,9.76
2019-11-11,9.76,9.58,9.84,5445598.33,9.58
2019-11-08,9.58,9.52,9.76,7880940.96,9.68
2019-11-07,9.68,9.27,9.77,12629843.2,9.41
2019-11-06,9.41,9.4,9.56,6402532.31,9.38
2019-11-05,9.38,9.31,9.59,8461921.47,9.28
2019-11-04,9.28,9.02,9.61,5278754.21,9.41
2019-11-01,9.41,8.91,9.42,12977921.57,8.89
2019-10-31,8.89,8.87,9.24,8743640.85,9.15
2019-10-30,9.15,9.15,9.47,10290600.94,9.35
2019-10-28,9.35,9.3,9.62,2606094.47,9.55
2019-10-25,9.55,9.55,9.79,9903295.15,9.6
2019-10-24,9.6,9.51,9.76,10163910.18,9.51
2019-10-23,9.51,9.46,9.62,8589315.6,9.43
2019-10-22,9.43,9.35,9.54,6340473.31,9.4
2019-10-21,9.4,9.4,9.81,7926082.26,9.82
2019-10-18,9.82,9.62,9.88,9489356.58,9.41
2019-10-17,9.41,9.25,9.58,6600972.38,9.41
2019-10-16,9.41,9.11,9.52,6332608.95,9.48
2019-10-15,9.48,9.37,9.58,5648248.93,9.46
2019-10-14,9.46,9.4,10.03,7577123.92,10.03
2019-10-11,10.03,10.02,10.21,2023355.14,10.13
2019-10-10,10.13,9.69,10.4,8494113.81,10.4
2019-10-09,10.4,10.36,10.79,3063180.23,10.72
2019-10-08,10.72,10.55,10.83,2109458.74,10.83
2019-10-07,10.83,10.73,10.93,3172794.75,10.8
2019-10-04,10.8,10.73,11.01,4659235.85,10.97
2019-10-03,10.97,10.75,11.06,7659161.3,10.77
