Date,adjclose,low,high,volume,open
2020-05-29,9.1,8.77,9.44,105597719.07,8.98
2020-05-28,8.98,8.78,9.72,93221363.88,9.5
2020-05-27,9.5,9.4,10.24,223661541.61,9.33
2020-05-22,9.33,9.0,9.33,191842464.12,8.49
2020-05-21,8.49,8.29,8.53,68532148.41,8.3
2020-05-20,8.3,8.12,8.46,36828292.98,8.38
2020-05-18,8.38,8.34,8.73,70626141.22,8.47
2020-05-15,8.47,8.0,8.5,122033579.05,7.73
2020-05-14,7.73,7.61,8.13,52093064.21,7.61
2020-05-13,7.61,7.5,7.76,29230167.43,7.52
2020-05-12,7.52,7.27,7.56,27952693.62,7.31
2020-05-11,7.31,7.24,7.53,28929980.09,7.22
2020-05-08,7.22,7.2,7.65,31161262.0,7.46
2020-05-07,7.46,7.08,7.69,70108334.47,7.24
2020-05-06,7.24,7.22,7.42,20582199.79,7.37
2020-05-05,7.37,7.28,7.48,33074276.86,7.19
2020-05-04,7.19,7.1,7.47,37519733.36,7.62
2020-04-30,7.62,7.49,8.5,90629924.67,8.32
2020-04-29,8.32,7.7,8.54,187569725.23,7.77
2020-04-28,7.77,7.62,7.99,42849746.32,7.91
2020-04-27,7.91,7.8,8.17,70952880.33,7.86
2020-04-24,7.86,7.42,7.98,138560448.41,7.52
2020-04-22,7.52,7.43,7.83,87862286.4,7.42
2020-04-21,7.42,7.22,7.63,68274754.07,7.31
2020-04-20,7.31,7.05,7.5,67006415.44,7.05
2020-04-17,7.05,6.82,7.56,55347248.69,7.05
2020-04-17,7.05,6.82,7.56,55347248.69,7.41
2020-04-16,7.41,7.28,7.93,112720072.08,7.41
2020-04-16,7.41,7.28,7.93,112720072.08,7.3
2020-04-15,7.3,6.15,7.3,114237436.79,7.3
2020-04-15,7.3,6.15,7.3,114237436.79,6.64
2020-04-14,6.64,6.51,6.79,35169943.63,6.64
2020-04-14,6.64,6.51,6.79,35169943.63,6.51
2020-04-13,6.51,6.15,6.53,36692053.39,6.51
2020-04-13,6.51,6.15,6.53,36692053.39,6.17
2020-04-10,6.17,6.1,6.4,24432921.3,6.17
2020-04-10,6.17,6.1,6.4,24432921.3,6.12
2020-04-09,6.12,6.08,6.19,13043194.31,6.12
2020-04-09,6.12,6.08,6.19,13043194.31,6.08
2020-04-08,6.08,5.95,6.1,8507951.85,6.08
2020-04-08,6.08,5.95,6.1,8507951.85,6.04
2020-04-07,6.04,5.96,6.27,17825828.39,6.04
2020-04-07,6.04,5.96,6.27,17825828.39,6.16
2020-04-06,6.16,6.07,6.3,25681709.02,6.16
2020-04-06,6.16,6.07,6.3,25681709.02,6.01
2020-04-03,6.01,5.76,6.23,29639689.22,6.01
2020-04-03,6.01,5.76,6.23,29639689.22,5.83
2020-04-02,5.83,5.78,6.16,14179634.65,5.83
2020-04-02,5.83,5.78,6.16,14179634.65,6.06
2020-04-01,6.06,6.0,6.33,23969859.15,6.06
2020-04-01,6.06,6.0,6.33,23969859.15,6.34
2020-03-31,6.34,6.27,6.66,46123699.6,6.34
2020-03-31,6.34,6.27,6.66,46123699.6,6.2
2020-03-30,6.2,5.6,6.2,39133379.84,6.2
2020-03-30,6.2,5.6,6.2,39133379.84,5.64
2020-03-27,5.64,5.62,6.05,22079096.35,5.64
2020-03-27,5.64,5.62,6.05,22079096.35,5.99
2020-03-26,5.99,5.69,6.16,32404180.18,5.99
2020-03-26,5.99,5.69,6.16,32404180.18,5.9
2020-03-25,5.9,5.52,6.14,50215343.8,5.9
2020-03-25,5.9,5.52,6.14,50215343.8,5.64
2020-03-24,5.64,5.32,5.64,11484539.59,5.64
2020-03-24,5.64,5.32,5.64,11484539.59,5.13
2020-03-23,5.13,4.51,5.13,26496584.58,5.13
