Date,adjclose,low,high,volume,open
2020-05-29,20.3,19.65,20.62,152854137.66,20.4
2020-05-28,20.4,20.0,22.2,418792977.74,20.58
2020-05-27,20.58,19.43,20.58,353388060.07,18.71
2020-05-22,18.71,18.18,18.72,115751070.06,18.4
2020-05-21,18.4,18.27,18.79,89898449.6,18.48
2020-05-20,18.48,18.28,18.87,196027611.99,18.23
2020-05-18,18.23,17.3,18.47,233577133.14,17.05
2020-05-15,17.05,17.05,17.3,50136710.01,17.0
2020-05-14,17.0,16.94,17.29,61794253.84,17.2
2020-05-13,17.2,17.08,17.48,86445928.2,17.04
2020-05-12,17.04,16.81,17.1,69727087.61,17.08
2020-05-11,17.08,17.07,17.48,62736896.27,17.3
2020-05-08,17.3,17.25,18.26,168711716.26,17.59
2020-05-07,17.59,17.17,17.8,54236875.31,17.58
2020-05-06,17.58,17.58,17.88,53212732.58,17.8
2020-05-05,17.8,17.75,18.09,50711806.72,17.86
2020-05-04,17.86,17.74,18.08,64478404.36,18.2
2020-04-30,18.2,17.78,18.53,130791934.14,17.91
2020-05-18,18.23,17.3,18.47,233577133.14,17.05
2020-05-15,17.05,17.05,17.3,50136710.01,17.0
2020-05-14,17.0,16.94,17.29,61794253.84,17.2
2020-05-13,17.2,17.08,17.48,86445928.20,17.04
2020-05-12,17.04,16.81,17.1,69727087.61,17.08
2020-05-11,17.08,17.07,17.48,62736896.27,17.3
2020-05-08,17.3,17.25,18.26,168711716.26,17.59
2020-05-07,17.59,17.17,17.8,54236875.31,17.58
2020-05-06,17.58,17.58,17.88,53212732.58,17.8
2020-05-05,17.8,17.75,18.09,50711806.72,17.86
2020-05-04,17.86,17.74,18.08,64478404.36,18.2
2020-04-30,18.2,17.78,18.53,130791934.14,17.91
2020-04-29,17.91,17.57,18.19,87881100.10,18.06
2020-04-28,18.06,18.04,18.96,145567503.35,18.71
2020-04-27,18.71,18.21,19.15,194164700.24,18.07
2020-04-24,18.07,18.05,18.64,95328630.95,18.96
2020-04-22,18.96,18.85,19.55,80011033.18,19.15
2020-04-21,19.15,19.12,19.73,89069059.74,19.86
2020-04-20,19.86,19.64,20.26,68643139.90,20.1
2020-04-17,20.1,19.39,20.24,98487526.72,19.09
2020-04-16,19.09,18.7,20.88,149974590.82,20.12
2020-04-15,20.12,19.35,23.0,377244036.78,21.5
2020-04-14,21.5,20.2,21.5,211807084.74,19.55
2020-04-13,19.55,18.04,19.63,138165976.30,18.36
2020-04-10,18.36,17.82,18.55,90528054.83,17.81
2020-04-09,17.81,17.28,18.47,176864629.15,17.13
2020-04-08,17.13,16.86,17.31,91806163.43,16.98
2020-04-07,16.98,16.98,18.73,170074530.51,17.03
2020-04-06,17.03,16.46,17.13,50345554.07,16.12
2020-04-03,16.12,16.0,16.32,27132346.53,16.27
2020-04-02,16.27,16.11,17.11,34431283.76,16.6
2020-04-01,16.6,16.0,18.02,79658453.44,16.56
2020-03-31,16.56,15.91,17.09,73979223.58,15.6
2020-03-30,15.6,14.94,16.4,51525539.41,16.47
2020-03-27,16.47,16.47,19.15,99533796.23,17.61
2020-03-26,17.61,16.3,17.61,68328216.69,16.01
2020-03-25,16.01,14.99,16.01,39915616.13,14.56
2020-03-24,14.56,13.58,14.56,35670041.59,13.24
2020-03-23,13.24,13.08,13.66,26975578.47,14.13
2020-03-20,14.13,13.89,14.33,25683516.25,13.82
2020-03-19,13.82,13.81,14.64,41251386.77,14.68
2020-03-18,14.68,14.52,15.27,35934032.45,14.68
2020-03-18,14.68,14.52,15.27,35934032.45,15.14
2020-03-17,15.14,13.68,15.26,44642773.05,15.14
2020-03-17,15.14,13.68,15.26,44642773.05,15.0
2020-03-16,15.0,14.85,16.1,55283314.33,15.0
2020-03-16,15.0,14.85,16.1,55283314.33,15.91
2020-03-13,15.91,15.5,16.9,72950207.01,15.91
2020-03-13,15.91,15.5,16.9,72950207.01,15.49
2020-03-12,15.49,15.26,16.27,39235932.90,15.49
2020-03-12,15.49,15.26,16.27,39235932.90,16.58
2020-03-11,16.58,15.99,16.78,36297047.95,16.58
2020-03-11,16.58,15.99,16.78,36297047.95,16.66
2020-03-10,16.66,16.66,17.64,41292926.28,16.66
2020-03-10,16.66,16.66,17.64,41292926.28,17.05
2020-03-09,17.05,16.76,17.59,41785867.22,17.05
2020-03-09,17.05,16.76,17.59,41785867.22,17.91
2020-03-06,17.91,17.55,18.36,58872289.69,17.91
2020-03-06,17.91,17.55,18.36,58872289.69,18.39
2020-03-05,18.39,18.31,19.08,67780365.38,18.39
2020-03-05,18.39,18.31,19.08,67780365.38,18.73
2020-03-04,18.73,18.66,19.46,61240331.58,18.73
2020-03-04,18.73,18.66,19.46,61240331.58,19.36
2020-03-03,19.36,19.2,19.55,49757622.38,19.36
2020-03-03,19.36,19.2,19.55,49757622.38,18.93
2020-03-02,18.93,18.59,19.64,59254465.45,18.93
2020-03-02,18.93,18.59,19.64,59254465.45,18.95
2020-02-28,18.95,17.63,19.81,76941214.00,18.95
2020-02-28,18.95,17.63,19.81,76941214.00,20.59
2020-02-27,20.59,20.57,21.32,81752306.14,20.59
2020-02-27,20.59,20.57,21.32,81752306.14,21.56
2020-02-26,21.56,21.47,22.1,86505986.70,21.56
2020-02-26,21.56,21.47,22.1,86505986.70,21.97
2020-02-25,21.97,21.97,22.71,68973338.02,21.97
2020-02-25,21.97,21.97,22.71,68973338.02,22.42
2020-02-24,22.42,22.19,22.86,62673743.60,22.42
2020-02-24,22.42,22.19,22.86,62673743.60,23.16
2020-02-21,23.16,22.94,23.48,55768938.14,23.16
2020-02-21,23.16,22.94,23.48,55768938.14,23.27
2020-02-20,23.27,23.25,24.32,69683606.98,23.27
2020-02-20,23.27,23.25,24.32,69683606.98,24.3
2020-02-19,24.3,24.17,24.54,52358348.64,24.3
2020-02-19,24.3,24.17,24.54,52358348.64,24.24
2020-02-18,24.24,24.2,24.97,64245716.10,24.24
2020-02-18,24.24,24.2,24.97,64245716.10,24.97
2020-02-17,24.97,24.54,25.02,61866855.76,24.97
2020-02-17,24.97,24.54,25.02,61866855.76,24.48
2020-02-14,24.48,24.45,24.95,67238282.72,24.8
2020-02-13,24.8,24.78,25.27,67901925.42,25.1
2020-02-12,25.1,24.8,25.51,82901195.86,25.1
2020-02-11,25.1,24.76,25.51,91724063.74,24.95
2020-02-10,24.95,24.37,26.03,113908331.38,25.38
2020-02-07,25.38,25.38,25.94,60515039.12,25.77
2020-02-06,25.77,25.67,26.31,72755471.08,25.66
2020-02-05,25.66,25.54,26.07,69373199.92,25.75
2020-02-04,25.75,25.04,25.75,82977606.30,24.95
2020-02-03,24.95,24.89,25.49,51744259.54,25.36
2020-01-31,25.36,24.74,25.43,57871740.62,25.1
2020-01-30,25.1,24.74,25.19,46903148.96,25.02
2020-01-29,25.02,24.99,25.49,51398811.02,24.95
2020-01-28,24.95,24.86,25.66,67809155.62,25.38
2020-01-27,25.38,25.34,26.42,86199560.82,26.62
2020-01-24,26.62,26.61,27.24,46685496.16,27.0
2020-01-23,27.0,26.44,27.15,52814302.38,26.83
2020-01-22,26.83,26.75,27.15,38572542.58,27.0
2020-01-21,27.0,26.64,27.03,34194773.70,26.83
2020-01-20,26.83,26.77,27.22,32783110.28,26.88
2020-01-17,26.88,26.81,27.2,48208992.48,26.88
2020-01-16,26.88,26.81,27.87,115758804.90,27.65
2020-01-15,27.65,27.15,27.67,61183173.72,27.18
2020-01-14,27.18,27.16,27.52,60906777.24,27.48
2020-01-13,27.48,27.37,27.63,89022675.20,27.37
2020-01-10,27.37,27.13,27.41,71417329.00,27.22
2020-01-09,27.22,26.9,27.37,92220488.70,26.61
2020-01-08,26.61,26.08,26.92,35250993.18,27.03
2020-01-07,27.03,26.36,27.18,61927465.48,26.16
2020-01-06,26.16,25.97,26.75,30139372.40,26.96
2020-01-03,26.96,26.72,27.37,41199969.56,27.24
2020-01-02,27.24,27.07,27.37,29628679.60,27.16
2019-12-31,27.16,27.16,27.7,21334724.66,27.59
2019-12-30,27.59,27.0,27.7,42440682.42,27.33
2019-12-27,27.33,27.28,27.98,44012636.86,27.69
2019-12-26,27.69,27.22,28.39,132133912.72,27.24
2019-12-25,27.24,27.24,27.46,14658673.48,27.42
2019-12-24,27.42,27.26,27.44,29056684.06,27.2
2019-12-23,27.2,27.18,27.61,47543724.42,27.15
2019-12-20,27.15,26.68,27.31,70873397.90,26.59
2019-12-19,26.59,26.59,27.07,46434503.70,26.75
2019-12-18,26.75,25.64,26.81,84094490.24,25.9
2019-12-17,25.9,25.53,26.03,31824208.50,25.53
2019-12-16,25.53,25.15,25.67,28585625.84,25.38
2019-12-13,25.38,25.25,26.33,56975258.56,25.38
2019-12-13,25.38,25.25,26.33,56975258.56,25.81
2019-12-12,25.81,25.32,26.07,52552096.44,25.81
2019-12-12,25.81,25.32,26.07,52552096.44,25.36
2019-12-11,25.36,25.23,25.51,17014495.32,25.36
2019-12-11,25.36,25.23,25.51,17014495.32,25.32
2019-12-10,25.32,25.19,25.64,47750746.30,25.32
2019-12-10,25.32,25.19,25.64,47750746.30,25.47
2019-12-09,25.47,25.02,25.53,38000925.54,25.47
2019-12-09,25.47,25.02,25.53,38000925.54,25.56
2019-12-06,25.56,25.21,25.58,25531149.98,25.56
2019-12-06,25.56,25.21,25.58,25531149.98,25.32
2019-12-05,25.32,25.32,25.88,49659271.42,25.32
2019-12-05,25.32,25.32,25.88,49659271.42,25.79
2019-12-04,25.79,25.43,25.97,47865307.70,25.79
2019-12-04,25.79,25.43,25.97,47865307.70,25.64
2019-12-03,25.64,25.02,26.01,47248717.82,25.64
2019-12-03,25.64,25.02,26.01,47248717.82,25.23
2019-12-02,25.23,25.02,25.36,39298007.44,25.23
2019-12-02,25.23,25.02,25.36,39298007.44,25.04
2019-11-29,25.04,24.99,25.4,25207781.94,25.04
2019-11-29,25.04,24.99,25.4,25207781.94,25.19
2019-11-28,25.19,24.91,25.56,57260993.00,25.19
2019-11-28,25.19,24.91,25.56,57260993.00,25.43
2019-11-27,25.43,25.43,26.21,45904900.66,25.43
2019-11-27,25.43,25.43,26.21,45904900.66,25.9
2019-11-26,25.9,25.6,26.1,64532434.14,25.9
2019-11-26,25.9,25.6,26.1,64532434.14,25.95
2019-11-25,25.95,25.58,26.18,41394586.68,25.95
2019-11-25,25.95,25.58,26.18,41394586.68,25.75
2019-11-22,25.75,25.62,26.36,36917605.60,25.75
2019-11-22,25.75,25.62,26.36,36917605.60,26.27
2019-11-21,26.27,25.95,26.53,43549771.14,26.27
2019-11-21,26.27,25.95,26.53,43549771.14,26.07
2019-11-20,26.07,26.05,26.51,51370526.66,26.07
2019-11-20,26.07,26.05,26.51,51370526.66,26.51
2019-11-19,26.51,25.71,26.55,73493727.44,26.51
2019-11-19,26.51,25.71,26.55,73493727.44,25.79
2019-11-18,25.79,25.6,25.86,31800293.38,25.79
2019-11-18,25.79,25.6,25.86,31800293.38,25.6
2019-11-15,25.6,25.28,25.71,41516344.22,25.6
2019-11-15,25.6,25.28,25.71,41516344.22,25.34
2019-11-14,25.34,25.0,25.79,33199318.96,25.34
2019-11-14,25.34,25.0,25.79,33199318.96,25.69
2019-11-13,25.69,25.08,25.92,49578352.38,25.69
2019-11-13,25.69,25.08,25.92,49578352.38,25.66
2019-11-12,25.66,25.38,26.05,48375108.36,25.66
2019-11-12,25.66,25.38,26.05,48375108.36,25.88
2019-11-11,25.88,25.02,26.2,44292766.28,25.88
2019-11-11,25.88,25.02,26.2,44292766.28,25.54
2019-11-08,25.54,25.28,25.81,38596994.80,25.54
2019-11-08,25.54,25.28,25.81,38596994.80,25.66
2019-11-07,25.66,25.43,25.95,60987864.38,25.66
2019-11-07,25.66,25.43,25.95,60987864.38,25.49
2019-11-06,25.49,24.71,25.71,99087020.64,25.49
2019-11-06,25.49,24.71,25.71,99087020.64,24.89
2019-11-05,24.89,23.96,24.89,59668047.60,24.89
2019-11-05,24.89,23.96,24.89,59668047.60,24.2
2019-11-04,24.2,23.76,24.26,22984077.14,24.2
2019-11-04,24.2,23.76,24.26,22984077.14,23.74
2019-11-01,23.74,23.65,24.39,40394063.64,23.74
2019-11-01,23.74,23.65,24.39,40394063.64,24.28
2019-10-31,24.28,23.76,24.69,63388961.16,24.28
2019-10-31,24.28,23.76,24.69,63388961.16,23.65
2019-10-30,23.65,22.99,24.05,86251335.36,23.65
2019-10-30,23.65,22.99,24.05,86251335.36,23.42
2019-10-28,23.42,22.7,23.85,37875336.34,23.42
2019-10-28,23.42,22.7,23.85,37875336.34,22.66
2019-10-25,22.66,22.58,23.38,43844716.78,22.66
2019-10-25,22.66,22.58,23.38,43844716.78,23.22
2019-10-24,23.22,22.88,23.29,48011967.28,23.22
2019-10-24,23.22,22.88,23.29,48011967.28,22.81
2019-10-23,22.81,22.64,23.09,42818191.92,22.81
2019-10-23,22.81,22.64,23.09,42818191.92,22.66
2019-10-22,22.66,22.58,22.86,30233932.94,22.66
2019-10-22,22.66,22.58,22.86,30233932.94,22.58
2019-10-21,22.58,22.51,22.99,19603495.84,22.58
2019-10-21,22.58,22.51,22.99,19603495.84,22.66
2019-10-18,22.66,22.17,22.88,83012754.92,22.66
2019-10-18,22.66,22.17,22.88,83012754.92,21.91
2019-10-17,21.91,21.54,21.97,84647093.26,21.91
2019-10-17,21.91,21.54,21.97,84647093.26,21.86
2019-10-16,21.86,21.43,22.1,51413725.20,21.86
2019-10-16,21.86,21.43,22.1,51413725.20,22.08
2019-10-15,22.08,21.93,23.11,81363312.92,22.08
2019-10-15,22.08,21.93,23.11,81363312.92,22.47
2019-10-14,22.47,22.34,23.55,82054613.20,22.47
2019-10-14,22.47,22.34,23.55,82054613.20,23.12
2019-10-11,23.12,22.45,23.22,62394940.74,23.12
2019-10-11,23.12,22.45,23.22,62394940.74,22.64
2019-10-10,22.64,22.27,22.86,71790325.72,22.64
2019-10-10,22.64,22.27,22.86,71790325.72,22.29
2019-10-09,22.29,22.19,22.42,35364947.34,22.29
2019-10-09,22.29,22.19,22.42,35364947.34,22.23
2019-10-08,22.23,21.86,22.55,74236562.32,22.23
2019-10-08,22.23,21.86,22.55,74236562.32,22.12
2019-10-07,22.12,21.63,22.32,50894362.52,22.12
2019-10-07,22.12,21.63,22.32,50894362.52,22.16
2019-10-04,22.16,22.08,23.16,69942794.54,22.16
2019-10-04,22.16,22.08,23.16,69942794.54,22.81
2019-10-03,22.81,22.34,23.25,91670303.68,22.81
2019-10-03,22.81,22.34,23.25,91670303.68,22.68
2019-10-02,22.68,22.23,22.99,83116757.96,22.68
2019-10-02,22.68,22.23,22.99,83116757.96,22.23
2019-10-01,22.23,22.04,22.73,75771783.68,22.23
2019-10-01,22.23,22.04,22.73,75771783.68,21.97
2019-09-30,21.97,21.36,22.27,60047656.28,21.97
2019-09-30,21.97,21.36,22.27,60047656.28,21.28
2019-09-27,21.28,21.11,21.45,48060303.06,21.28
2019-09-27,21.28,21.11,21.45,48060303.06,21.11
2019-09-26,21.11,21.0,21.36,31439300.76,21.11
2019-09-26,21.11,21.0,21.36,31439300.76,21.13
2019-09-25,21.13,21.0,21.37,35095801.52,21.13
2019-09-25,21.13,21.0,21.37,35095801.52,21.36
2019-09-24,21.36,21.36,21.8,26169106.80,21.36
2019-09-24,21.36,21.36,21.8,26169106.80,21.45
2019-09-23,21.45,21.32,21.93,19759501.98,21.45
2019-09-23,21.45,21.32,21.93,19759501.98,21.76
2019-09-20,21.76,21.73,21.97,37408765.34,21.76
