Date,adjclose,low,high,volume,open
2020-05-29,14.16,13.76,14.16,184323399.04,13.9
2020-05-28,13.9,13.77,13.99,124396211.31,13.9
2020-05-27,13.9,13.88,14.35,203366681.1,14.15
2020-05-22,14.15,13.97,14.4,191975785.38,14.07
2020-05-21,14.07,13.9,14.28,210637547.78,13.88
2020-05-20,13.88,13.77,13.95,223450322.65,13.8
2020-05-18,13.8,13.38,13.8,198630729.68,13.35
2020-05-15,13.35,13.35,13.62,75879595.07,13.44
2020-05-14,13.44,13.29,13.63,114158515.57,13.62
2020-05-13,13.62,13.56,13.8,100458425.83,13.66
2020-05-12,13.66,13.26,13.67,130344876.52,13.22
2020-05-11,13.22,13.22,13.58,101719806.49,13.4
2020-05-08,13.4,13.16,13.45,153451341.19,13.15
2020-05-07,13.15,13.15,13.35,90305443.13,13.27
2020-05-06,13.27,13.26,13.43,91142640.82,13.41
2020-05-05,13.41,13.3,13.61,117433559.02,13.46
2020-05-04,13.46,13.41,13.78,131914611.83,13.95
2020-04-30,13.95,13.49,13.95,206470012.12,13.89
2020-04-29,13.89,13.78,14.04,248549107.01,13.89
2020-04-28,13.89,13.76,14.14,265730150.47,13.85
2020-04-27,13.85,13.71,13.96,208052508.46,13.61
2020-04-24,13.61,13.5,13.75,326463107.13,13.58
2020-04-22,13.58,13.23,13.63,271590544.31,13.17
2020-04-21,13.17,13.08,13.27,141862370.9,13.31
2020-04-20,13.31,13.28,13.5,178197242.84,13.29
2020-04-17,13.29,13.11,13.42,192695930.91,13.0
2020-04-16,13.0,12.92,13.16,120791120.36,13.1
2020-04-15,13.1,12.92,13.34,160009338.61,13.26
2020-04-14,13.26,13.04,13.29,136547553.99,13.09
2020-04-13,13.09,12.8,13.26,91441333.33,13.06
2020-04-10,13.06,13.04,13.28,79493949.08,13.15
2020-04-09,13.15,13.07,13.44,181133548.19,13.15
2020-04-08,13.15,12.65,13.15,205613470.52,12.65
2020-04-07,12.65,12.64,12.95,206426724.9,12.69
2020-04-06,12.69,12.58,12.72,96874171.53,12.5
2020-04-03,12.5,12.43,12.79,151848895.6,12.52
2020-04-02,12.52,12.2,12.58,144153814.45,12.3
2020-04-01,12.3,12.09,12.3,135425035.52,12.32
2020-03-31,12.32,12.21,12.59,209150868.34,12.4
2020-03-30,12.4,12.29,12.68,127266296.92,12.52
2020-03-27,12.52,12.52,13.56,146731777.59,13.53
2020-03-26,13.53,13.1,13.53,131836670.08,13.1
2020-03-25,13.1,12.85,13.41,314651196.0,13.3
2020-03-24,13.3,13.24,13.95,204152983.09,13.39
2020-03-23,13.39,12.48,13.82,155797880.29,12.9
2020-03-20,12.9,12.21,12.98,150639179.62,12.08
2020-03-19,12.08,12.02,12.62,103830145.22,12.35
2020-03-18,12.35,12.26,12.8,96141683.69,12.56
2020-03-17,12.56,11.68,12.84,158435415.29,12.06
