Date,adjclose,low,high,volume,open
2020-05-29,12.6,12.32,12.73,1028866667.62,12.68
2020-05-28,12.68,12.31,13.3,2898912204.35,12.33
2020-05-27,12.33,11.56,12.33,1688618537.63,11.21
2020-05-22,11.21,11.06,11.24,587919729.01,11.12
2020-05-21,11.12,10.91,11.19,885095786.98,10.88
2020-05-20,10.88,10.82,10.99,718982625.68,10.8
2020-05-18,10.8,10.72,10.95,1017432376.49,10.58
2020-05-15,10.58,10.57,10.71,345323691.86,10.54
2020-05-14,10.54,10.5,10.65,350953095.56,10.62
2020-05-13,10.62,10.6,10.81,613258934.26,10.64
2020-05-12,10.64,10.54,10.71,354855513.91,10.62
2020-05-11,10.62,10.58,10.72,272645508.72,10.6
2020-05-08,10.6,10.56,10.73,356342046.35,10.6
2020-05-07,10.6,10.49,10.93,645387251.86,10.56
2020-05-06,10.56,10.48,10.59,338322326.14,10.5
2020-05-05,10.5,10.5,10.67,438315474.4,10.53
2020-05-04,10.53,10.45,10.59,413236989.77,10.69
2020-04-30,10.69,10.44,10.79,793116420.78,10.62
2020-04-29,10.62,10.46,10.67,623597415.77,10.65
2020-04-28,10.65,10.64,10.89,757013203.8,10.82
2020-04-27,10.82,10.41,10.87,1340122249.46,10.27
2020-04-24,10.27,10.19,10.4,428860817.23,10.37
2020-04-22,10.37,10.37,10.52,447232577.1,10.43
2020-04-21,10.43,10.4,10.58,573147784.59,10.64
2020-04-20,10.64,10.47,10.67,688471512.31,10.52
2020-04-17,10.52,10.37,10.59,908410020.62,10.52
2020-04-17,10.52,10.37,10.59,908410020.62,10.16
2020-04-16,10.16,10.08,10.59,1083840015.98,10.16
2020-04-16,10.16,10.08,10.59,1083840015.98,10.36
2020-04-15,10.36,10.15,11.28,2309433406.48,10.36
2020-04-15,10.36,10.15,11.28,2309433406.48,10.9
2020-04-14,10.9,10.43,11.01,2106389765.08,10.9
2020-04-14,10.9,10.43,11.01,2106389765.08,10.19
2020-04-13,10.19,9.67,10.31,1782488559.44,10.19
2020-04-13,10.19,9.67,10.31,1782488559.44,9.8
2020-04-10,9.8,9.66,9.91,747585968.73,9.8
2020-04-10,9.8,9.66,9.91,747585968.73,9.74
2020-04-09,9.74,9.57,9.81,990690117.57,9.74
2020-04-09,9.74,9.57,9.81,990690117.57,9.6
2020-04-08,9.6,9.41,9.68,813983950.39,9.6
2020-04-08,9.6,9.41,9.68,813983950.39,9.53
2020-04-07,9.53,9.29,9.96,1613712275.34,9.53
2020-04-07,9.53,9.29,9.96,1613712275.34,9.17
2020-04-06,9.17,9.06,9.23,602520413.77,9.17
2020-04-06,9.17,9.06,9.23,602520413.77,8.93
2020-04-03,8.93,8.92,9.03,302373193.65,8.93
2020-04-03,8.93,8.92,9.03,302373193.65,9.0
2020-04-02,9.0,8.89,9.15,410716347.66,9.0
2020-04-02,9.0,8.89,9.15,410716347.66,8.99
2020-04-01,8.99,8.82,9.3,783371134.88,8.99
2020-04-01,8.99,8.82,9.3,783371134.88,9.07
2020-03-31,9.07,8.85,9.13,749037299.77,9.07
2020-03-31,9.07,8.85,9.13,749037299.77,8.72
2020-03-30,8.72,8.35,8.86,753407479.51,8.72
2020-03-30,8.72,8.35,8.86,753407479.51,8.86
2020-03-27,8.86,8.79,9.56,1575064229.51,8.86
2020-03-27,8.86,8.79,9.56,1575064229.51,9.25
2020-03-26,9.25,8.67,9.31,1489413512.33,9.25
2020-03-26,9.25,8.67,9.31,1489413512.33,8.77
2020-03-25,8.77,8.4,8.89,1317778715.09,8.77
2020-03-25,8.77,8.4,8.89,1317778715.09,8.29
2020-03-24,8.29,7.97,8.37,909231123.17,8.29
2020-03-24,8.29,7.97,8.37,909231123.17,7.71
2020-03-23,7.71,7.47,7.95,492975904.33,7.71
2020-03-23,7.71,7.47,7.95,492975904.33,7.98
2020-03-20,7.98,7.94,8.26,566607999.26,7.98
2020-03-20,7.98,7.94,8.26,566607999.26,7.94
2020-03-19,7.94,7.8,8.05,743932281.84,7.94
2020-03-19,7.94,7.8,8.05,743932281.84,7.9
2020-03-18,7.9,7.61,8.22,1054692642.57,7.98
2020-03-17,7.98,7.41,8.24,1088191708.57,8.23
2020-03-16,8.23,8.23,8.77,729075537.27,9.14
2020-03-13,9.14,8.14,9.32,1207869153.59,8.48
2020-03-12,8.48,8.44,9.25,704221968.61,9.61
2020-03-11,9.61,9.39,10.13,968039020.36,9.97
2020-03-10,9.97,9.95,10.94,1133371312.13,10.38
2020-03-09,10.38,10.29,10.96,1059163564.48,11.14
2020-03-06,11.14,11.1,11.84,1131990022.19,11.71
2020-03-05,11.71,11.56,12.0,957340204.19,11.75
2020-03-04,11.75,11.74,12.15,1122045223.41,12.22
2020-03-03,12.22,11.94,12.22,1205977082.89,11.8
2020-03-02,11.8,11.71,12.2,1251458348.51,11.75
2020-02-28,11.75,10.26,12.1,1736217320.0,12.15
2020-02-27,12.15,12.15,12.97,2817646672.74,13.24
2020-02-26,13.24,13.04,13.43,2568426279.63,13.48
2020-02-25,13.48,13.46,14.06,3474250640.99,13.86
2020-02-24,13.86,13.62,14.03,2489007284.88,14.52
2020-02-21,14.52,14.17,14.52,1886574292.93,14.37
2020-02-20,14.37,14.33,14.89,1743845326.16,14.9
2020-02-19,14.9,14.82,15.11,1318017428.38,15.03
2020-02-18,15.03,14.86,15.25,1903132522.14,15.29
2020-02-17,15.29,15.0,15.33,1951045411.09,14.89
2020-02-14,14.89,14.87,15.12,1631465274.15,14.99
2020-02-13,14.99,14.72,15.15,2632965715.92,14.82
2020-02-12,14.82,14.27,14.92,3146181484.32,14.3
2020-02-11,14.3,13.94,14.32,2159335880.9,14.02
2020-02-10,14.02,13.9,14.57,2173757251.04,14.47
2020-02-07,14.47,14.45,14.81,1177876020.1,14.74
2020-02-06,14.74,14.62,14.92,2525153976.31,14.61
2020-02-05,14.61,14.36,14.85,2949427540.73,14.39
2020-02-04,14.39,14.03,14.39,1415872231.28,13.84
2020-02-03,13.84,13.61,13.95,1707432682.79,13.68
2020-01-31,13.68,13.68,13.93,1412080734.53,13.83
2020-01-30,13.83,13.58,13.97,2048752161.22,14.08
2020-01-29,14.08,14.08,14.32,1345056370.69,14.17
2020-01-28,14.17,14.08,14.32,1863117194.68,14.1
2020-01-27,14.1,14.05,14.35,1692011633.23,14.54
2020-01-24,14.54,14.27,14.65,2010371000.33,14.24
2020-01-23,14.24,14.24,14.72,2175053569.14,14.72
2020-01-22,14.72,14.72,15.06,1672490785.25,14.88
2020-01-21,14.88,14.73,14.92,1788017973.31,15.08
2020-01-20,15.08,15.04,15.25,1468637243.49,15.03
2020-01-17,15.03,14.9,15.22,2087036619.24,15.05
2020-01-16,15.05,14.77,15.26,3360682699.68,14.7
2020-01-15,14.7,14.61,14.89,2063892128.09,14.8
2020-01-14,14.8,14.71,14.94,2510406980.16,14.84
2020-01-13,14.84,14.47,14.86,2473672530.79,14.4
2020-01-10,14.4,14.17,14.44,2311964644.64,14.25
2020-01-09,14.25,13.92,14.28,2537765127.44,13.5
2020-01-08,13.5,13.03,13.62,2700201133.95,13.55
2020-01-07,13.55,13.52,13.86,2226157083.31,13.53
2020-01-06,13.53,13.5,14.08,1934372868.62,14.26
2020-01-03,14.26,14.09,14.73,2263145825.16,14.84
2020-01-02,14.84,14.48,14.84,1627933804.2,14.46
2019-12-31,14.46,14.37,14.54,1273119505.58,14.31
2019-12-30,14.31,14.08,14.32,1270594708.54,13.95
2019-12-27,13.95,13.92,14.04,575805794.24,13.96
2019-12-26,13.96,13.86,14.08,636460027.82,13.97
2019-12-25,13.97,13.95,14.07,366719967.14,13.99
2019-12-24,13.99,13.83,14.05,959785652.38,13.78
2019-12-23,13.78,13.69,13.81,567510249.24,13.76
2019-12-20,13.76,13.66,13.86,1064732611.62,13.76
2019-12-19,13.76,13.72,13.84,761480779.29,13.74
2019-12-18,13.74,13.69,13.86,1066975980.01,13.91
2019-12-17,13.91,13.85,14.11,1512433660.84,14.01
2019-12-16,14.01,13.78,14.04,1351150190.5,13.82
2019-12-13,13.82,13.76,14.2,1837509873.78,14.06
2019-12-12,14.06,13.67,14.06,1812383169.5,13.59
2019-12-11,13.59,13.59,13.74,772741202.8,13.71
2019-12-10,13.71,13.65,13.9,1301913696.33,13.8
2019-12-09,13.8,13.6,13.88,1227335373.42,13.72
2019-12-06,13.72,13.64,13.82,929233371.97,13.77
2019-12-05,13.77,13.71,13.87,1061854162.13,13.76
2019-12-04,13.76,13.61,13.78,1187853211.92,13.61
