Date,adjclose,low,high,volume,open
2020-05-29,14.01,13.94,14.34,175804043.38,14.02
2020-05-28,14.02,13.83,14.16,142859770.63,14.02
2020-05-27,14.02,14.02,14.27,146777729.89,13.93
2020-05-22,13.93,13.75,14.0,91676540.3,13.94
2020-05-21,13.94,13.58,14.35,292432787.72,13.53
2020-05-20,13.53,13.14,13.53,133680672.85,13.12
2020-05-18,13.12,13.05,13.2,66792025.05,12.99
2020-05-15,12.99,12.97,13.1,48440067.63,12.91
2020-05-14,12.91,12.83,13.13,61544966.45,13.1
2020-05-13,13.1,13.1,13.32,76128348.48,13.21
2020-05-12,13.21,13.06,13.29,73550191.99,13.04
2020-05-11,13.04,12.8,13.16,72781961.47,12.94
2020-05-08,12.94,12.92,13.37,91232746.08,13.23
2020-05-07,13.23,13.18,13.53,92510208.72,13.51
2020-05-06,13.51,13.5,13.72,133479029.98,14.04
2020-05-05,14.04,13.97,14.41,99873753.38,14.15
2020-05-04,14.15,13.98,14.4,143593432.5,14.25
2020-04-30,14.25,13.91,14.29,119995651.49,14.16
2020-04-29,14.16,14.09,14.29,89274086.68,14.08
2020-04-28,14.08,14.08,14.5,107646915.14,14.37
2020-04-27,14.37,14.3,14.57,138377684.03,13.92
2020-04-24,13.92,13.38,14.15,252835093.55,13.33
2020-04-22,13.33,13.33,13.5,103093658.38,13.36
2020-04-21,13.36,13.29,13.57,103737421.48,13.6
2020-04-20,13.6,13.51,13.71,122470119.26,13.64
2020-04-17,13.64,13.44,13.66,127134449.82,13.64
2020-04-17,13.64,13.44,13.66,127134449.82,13.29
2020-04-16,13.29,13.17,13.43,99185766.59,13.29
2020-04-16,13.29,13.17,13.43,99185766.59,13.25
2020-04-15,13.25,13.1,13.7,120223756.07,13.25
2020-04-15,13.25,13.1,13.7,120223756.07,13.65
2020-04-14,13.65,13.54,13.79,166550926.9,13.65
2020-04-14,13.65,13.54,13.79,166550926.9,13.46
2020-04-13,13.46,13.18,13.71,152037662.99,13.46
2020-04-13,13.46,13.18,13.71,152037662.99,13.32
2020-04-10,13.32,13.1,13.65,142857451.39,13.32
2020-04-10,13.32,13.1,13.65,142857451.39,13.12
2020-04-09,13.12,12.95,13.38,129178909.73,13.12
2020-04-08,13.12,12.88,13.26,70924756.44,13.12
2020-04-08,13.12,12.88,13.26,70924756.44,13.07
2020-04-07,13.07,13.07,13.88,137890930.08,13.07
2020-04-07,13.07,13.07,13.88,137890930.08,13.54
2020-04-06,13.54,13.16,13.62,76625364.18,13.54
2020-04-06,13.54,13.16,13.62,76625364.18,12.95
2020-04-03,12.95,12.86,13.11,45075145.08,12.95
2020-04-03,12.95,12.86,13.11,45075145.08,12.89
2020-04-02,12.89,12.51,12.98,86432225.45,12.89
2020-04-02,12.89,12.51,12.98,86432225.45,12.55
2020-04-01,12.55,11.98,12.87,147187219.25,12.55
2020-04-01,12.55,11.98,12.87,147187219.25,12.2
2020-03-31,12.2,11.86,12.29,97699908.78,12.2
2020-03-31,12.2,11.86,12.29,97699908.78,11.74
2020-03-30,11.74,11.67,11.92,47147680.92,11.74
2020-03-30,11.74,11.67,11.92,47147680.92,11.82
2020-03-27,11.82,11.81,12.65,90221866.86,11.82
2020-03-27,11.82,11.81,12.65,90221866.86,12.23
2020-03-26,12.23,11.83,12.37,66112078.75,12.23
2020-03-26,12.23,11.83,12.37,66112078.75,11.96
2020-03-25,11.96,11.83,12.31,77614223.97,11.96
2020-03-25,11.96,11.83,12.31,77614223.97,11.91
2020-03-24,11.91,11.56,11.96,65329173.59,11.91
2020-03-24,11.91,11.56,11.96,65329173.59,11.19
2020-03-23,11.19,11.1,11.62,35396315.56,11.19
2020-03-23,11.19,11.1,11.62,35396315.56,11.56
2020-03-20,11.56,11.56,11.79,42105831.8,11.56
2020-03-20,11.56,11.56,11.79,42105831.8,11.47
2020-03-19,11.47,11.47,11.83,38483684.42,11.47
2020-03-19,11.47,11.47,11.83,38483684.42,11.67
2020-03-18,11.67,11.32,11.92,48118306.38,11.76
2020-03-17,11.76,11.15,11.94,72718706.55,11.74
2020-03-16,11.74,11.19,12.05,43876894.64,12.39
2020-03-13,12.39,11.21,12.65,76586660.31,11.53
2020-03-12,11.53,11.28,11.89,86219083.67,12.27
2020-03-11,12.27,12.1,12.98,71484753.77,12.95
2020-03-10,12.95,12.95,14.04,56854186.63,13.44
2020-03-09,13.44,12.95,14.26,64783477.37,14.64
2020-03-06,14.64,14.64,15.1,46281416.92,15.11
2020-03-05,15.11,14.94,15.3,57084280.96,14.9
2020-03-04,14.9,14.9,15.22,69136785.03,15.2
2020-03-03,15.2,14.91,15.2,78551209.98,14.8
2020-03-02,14.8,14.64,14.9,81511358.12,14.26
2020-02-28,14.26,12.25,14.81,95924634.0,15.1
2020-02-27,15.1,15.09,16.08,160570570.56,16.17
2020-02-26,16.17,15.94,16.23,114448180.25,16.07
2020-02-25,16.07,15.9,16.28,134157868.74,16.08
2020-02-24,16.08,15.93,16.2,105577184.83,16.37
2020-02-21,16.37,16.06,16.5,280111851.02,16.91
2020-02-20,16.91,16.85,17.84,228237628.09,17.79
2020-02-19,17.79,17.75,18.0,146464326.86,17.85
2020-02-18,17.85,17.72,18.17,159830505.73,18.1
2020-02-17,18.1,18.1,18.44,139218511.43,18.2
2020-02-14,18.2,18.05,18.48,229321848.53,18.12
2020-02-13,18.12,17.78,18.28,184273476.5,18.01
2020-02-12,18.01,17.49,18.02,211136633.63,17.61
2020-02-11,17.61,17.22,17.74,182553219.85,17.57
2020-02-10,17.57,17.2,18.44,318779685.57,18.38
2020-02-07,18.38,18.33,18.68,162607769.96,18.56
2020-02-06,18.56,18.5,19.04,182138563.04,18.61
2020-02-05,18.61,18.6,18.89,155852802.83,18.73
2020-02-04,18.73,18.44,18.73,205796386.02,18.38
2020-02-03,18.38,18.37,18.58,89859701.14,18.48
2020-01-31,18.48,18.43,18.66,128492906.54,18.53
2020-01-30,18.53,18.48,18.75,121697610.55,18.82
2020-01-29,18.82,18.82,19.18,106003567.65,19.06
2020-01-28,19.06,18.72,19.13,176169134.07,18.66
2020-01-27,18.66,18.62,18.98,116635439.67,19.11
2020-01-24,19.11,18.98,19.47,153518291.95,19.18
2020-01-23,19.18,19.18,19.69,218276402.47,19.53
2020-01-22,19.53,19.15,19.59,168801785.41,19.21
2020-01-21,19.21,18.9,19.34,112689068.53,19.17
2020-01-20,19.17,19.14,19.38,132613670.32,19.12
2020-01-17,19.12,19.07,19.53,125462075.13,19.36
2020-01-16,19.36,19.22,19.72,245700998.06,19.4
2020-01-15,19.4,19.38,19.78,204849774.02,19.67
2020-01-14,19.67,19.11,19.78,326883189.92,19.32
2020-01-13,19.32,19.26,19.72,219338598.08,19.19
2020-01-10,19.19,18.49,19.51,529692005.34,18.66
2020-01-09,18.66,18.2,18.66,209329731.81,17.9
2020-01-08,17.9,17.45,17.95,118296696.34,17.87
2020-01-07,17.87,17.72,18.01,120574506.84,17.48
2020-01-06,17.48,17.38,17.88,141429502.21,18.07
2020-01-03,18.07,17.89,18.73,238182242.94,18.84
2020-01-02,18.84,18.65,18.9,185253073.97,18.55
2019-12-31,18.55,18.55,19.01,140888186.47,18.87
2019-12-30,18.87,18.52,18.98,254936283.53,18.44
2019-12-27,18.44,18.03,18.64,340523721.97,18.24
2019-12-26,18.24,18.16,18.54,128565336.57,18.42
2019-12-25,18.42,18.24,18.45,149099896.96,18.26
2019-12-24,18.26,17.83,18.34,283920992.12,17.9
2019-12-23,17.9,17.52,18.01,174660219.81,17.52
2019-12-20,17.52,17.48,17.69,87454360.37,17.46
2019-12-19,17.46,17.39,17.64,80469328.64,17.45
2019-12-18,17.45,17.42,17.79,106952821.76,17.81
2019-12-17,17.81,17.75,18.13,139157626.27,17.95
2019-12-16,17.95,17.51,18.1,219470789.93,17.38
2019-12-13,17.38,17.32,17.73,139232989.93,17.57
2019-12-12,17.57,17.28,17.6,104284763.42,17.21
2019-12-11,17.21,17.13,17.41,82149826.89,17.34
2019-12-10,17.34,17.31,17.71,106403492.2,17.53
2019-12-09,17.53,17.34,17.75,123390984.22,17.5
2019-12-06,17.5,17.45,17.93,141976412.64,17.87
2019-12-05,17.87,17.74,18.17,171733873.16,18.05
2019-12-04,18.05,17.89,18.09,98296883.07,17.93
