Date,adjclose,low,high,volume,open
2020-05-29,5.93,5.93,6.04,12163048.58,5.96
2020-05-28,5.96,5.96,6.14,15370962.65,6.07
2020-05-27,6.07,6.07,6.21,22761388.22,6.02
2020-05-22,6.02,6.02,6.15,14258706.43,6.08
2020-05-21,6.08,6.06,6.2,15069734.54,6.1
2020-05-20,6.1,6.09,6.27,29272448.89,6.1
2020-05-18,6.1,6.05,6.22,49735056.08,6.11
2020-05-15,6.11,5.75,6.29,201689613.79,5.72
2020-05-14,5.72,5.67,5.9,23816113.9,5.79
2020-05-13,5.79,5.77,6.0,43610465.69,5.77
2020-05-12,5.77,5.74,5.9,23785839.71,5.81
2020-05-11,5.81,5.64,5.94,62353445.75,5.53
2020-05-08,5.53,5.49,5.61,17937246.65,5.46
2020-05-07,5.46,5.4,5.54,10534291.02,5.46
2020-05-06,5.46,5.4,5.54,9685662.91,5.42
2020-05-05,5.42,5.38,5.51,8300722.58,5.38
2020-05-04,5.38,5.38,5.59,11023295.97,5.63
2020-04-30,5.63,5.47,5.85,15496274.8,5.72
2020-04-29,5.72,5.62,5.77,20619087.88,5.63
2020-04-28,5.63,5.48,5.74,24484045.5,5.5
2020-04-27,5.5,5.39,5.59,25374550.47,5.29
2020-04-24,5.29,5.2,5.39,17916527.64,5.19
2020-04-22,5.19,5.14,5.33,20730836.82,5.1
2020-04-21,5.1,5.1,5.18,7619859.16,5.22
2020-04-20,5.22,5.17,5.32,11852345.46,5.2
2020-04-17,5.2,5.16,5.29,16375723.97,5.2
2020-04-17,5.2,5.16,5.29,16375723.97,5.17
2020-04-16,5.17,4.96,5.23,19839172.99,5.17
2020-04-16,5.17,4.96,5.23,19839172.99,5.06
2020-04-15,5.06,4.95,5.36,26884240.45,5.06
2020-04-15,5.06,4.95,5.36,26884240.45,5.34
2020-04-14,5.34,5.16,5.38,39039942.02,5.34
2020-04-14,5.34,5.16,5.38,39039942.02,5.12
2020-04-13,5.12,4.93,5.26,25401781.67,5.12
2020-04-13,5.12,4.93,5.26,25401781.67,5.1
2020-04-10,5.1,4.88,5.17,25169165.33,5.1
2020-04-10,5.1,4.88,5.17,25169165.33,4.92
2020-04-09,4.92,4.81,4.96,9768436.42,4.92
2020-04-09,4.92,4.81,4.96,9768436.42,4.84
2020-04-08,4.84,4.69,4.85,10772338.18,4.84
2020-04-08,4.84,4.69,4.85,10772338.18,4.78
2020-04-07,4.78,4.77,5.2,30667538.04,4.78
2020-04-07,4.78,4.77,5.2,30667538.04,4.99
2020-04-06,4.99,4.59,4.99,36520737.37,4.99
2020-04-06,4.99,4.59,4.99,36520737.37,4.54
2020-04-03,4.54,4.36,4.75,28201941.2,4.54
2020-04-03,4.54,4.36,4.75,28201941.2,4.38
2020-04-02,4.38,4.3,4.48,12166911.38,4.38
2020-04-02,4.38,4.3,4.48,12166911.38,4.31
2020-04-01,4.31,4.15,4.49,18164506.17,4.31
2020-04-01,4.31,4.15,4.49,18164506.17,4.34
2020-03-31,4.34,4.2,4.38,16995745.33,4.34
2020-03-31,4.34,4.2,4.38,16995745.33,4.21
2020-03-30,4.21,4.1,4.38,34593427.66,4.21
2020-03-30,4.21,4.1,4.38,34593427.66,4.14
2020-03-27,4.14,4.05,4.32,29835012.93,4.14
2020-03-27,4.14,4.05,4.32,29835012.93,4.11
2020-03-26,4.11,3.88,4.16,15595497.96,4.11
2020-03-26,4.11,3.88,4.16,15595497.96,3.93
2020-03-25,3.93,3.88,4.06,10994823.95,3.93
2020-03-25,3.93,3.88,4.06,10994823.95,3.91
2020-03-24,3.91,3.77,3.94,7552960.78,3.91
2020-03-24,3.91,3.77,3.94,7552960.78,3.67
2020-03-23,3.67,3.66,3.84,3995886.56,3.67
2020-03-23,3.67,3.66,3.84,3995886.56,3.87
2020-03-20,3.87,3.8,3.99,5084822.17,3.87
2020-03-20,3.87,3.8,3.99,5084822.17,3.76
2020-03-19,3.76,3.62,3.82,3497029.01,3.76
2020-03-18,3.76,3.54,3.88,2965203.93,3.75
2020-03-17,3.75,3.51,3.9,3906315.67,3.84
2020-03-16,3.84,3.77,4.05,3854901.82,4.18
2020-03-13,4.18,3.77,4.27,9512824.41,3.94
2020-03-12,3.94,3.94,4.55,8861675.2,4.7
2020-03-11,4.7,4.44,4.98,9273736.47,4.99
2020-03-10,4.99,4.95,5.57,10057821.85,5.35
2020-03-09,5.35,5.07,5.81,7560907.84,5.92
2020-03-06,5.92,5.9,6.26,11223889.87,6.27
2020-03-05,6.27,6.21,6.38,6804745.46,6.24
2020-03-04,6.24,6.24,6.47,11432324.77,6.39
2020-03-03,6.39,6.23,6.42,13706239.23,6.18
2020-03-02,6.18,6.0,6.35,9645735.99,6.06
2020-02-28,6.06,5.2,6.24,12253647.1,6.5
2020-02-27,6.5,6.5,6.98,20946048.55,6.86
