Date,adjclose,low,high,volume,open
2020-05-29,61.1,61.1,62.15,9266856.3,61.65
2020-05-28,61.65,61.0,62.45,14838471.8,61.6
2020-05-27,61.6,60.65,61.85,15881139.3,60.9
2020-05-22,60.9,60.7,61.8,9378829.35,61.7
2020-05-21,61.7,61.05,63.2,15097553.45,61.3
2020-05-20,61.3,61.05,62.0,12106722.3,61.6
2020-05-18,61.6,61.25,63.0,20359129.95,61.9
2020-05-15,61.9,61.4,63.15,23767553.05,61.5
2020-05-14,61.5,56.9,64.4,29618107.25,59.1
2020-05-13,59.1,58.5,62.0,32755679.25,58.4
2020-05-12,58.4,56.85,58.4,12559963.65,56.8
2020-05-11,56.8,55.95,57.0,6888985.65,56.25
2020-05-08,56.25,55.8,57.7,13617153.5,55.8
2020-05-07,55.8,53.4,56.8,23804989.95,54.0
2020-05-06,54.0,53.4,56.0,26189400.35,53.6
2020-05-05,53.6,53.3,56.05,14172477.7,55.15
2020-05-04,55.15,53.35,56.0,10598319.7,57.15
2020-04-30,57.15,55.1,58.1,19462006.2,57.8
2020-05-18,61.6,61.25,63.0,20359129.95,61.9
2020-05-15,61.9,61.4,63.15,23767553.05,61.5
2020-05-14,61.5,56.9,64.4,29618107.25,59.1
2020-05-13,59.1,58.5,62.0,32755679.25,58.4
2020-05-12,58.4,56.85,58.4,12559963.65,56.8
2020-05-11,56.8,55.95,57.0,6888985.65,56.25
2020-05-08,56.25,55.8,57.7,13617153.50,55.8
2020-05-07,55.8,53.4,56.8,23804989.95,54.0
2020-05-06,54.0,53.4,56.0,26189400.35,53.6
2020-05-05,53.6,53.3,56.05,14172477.70,55.15
2020-05-04,55.15,53.35,56.0,10598319.70,57.15
2020-04-30,57.15,55.1,58.1,19462006.20,57.8
2020-04-29,57.8,55.95,58.8,23701583.90,56.15
2020-04-28,56.15,56.05,57.9,13219919.30,57.2
2020-04-27,57.2,56.35,59.2,58895926.45,54.45
2020-04-24,54.45,54.0,56.2,26282642.75,53.5
2020-04-22,53.5,52.55,54.75,14992058.45,52.4
2020-04-21,52.4,50.4,52.9,7082776.80,51.4
2020-04-20,51.4,50.4,52.35,10832048.35,50.35
2020-04-17,50.35,50.0,51.0,4366266.95,49.7
2020-04-16,49.7,48.74,50.5,6511947.06,50.0
2020-04-15,50.0,47.3,51.55,11847533.32,51.55
2020-04-14,51.55,50.2,52.2,12178303.65,49.7
2020-04-13,49.7,47.24,50.1,6980457.74,48.0
2020-04-10,48.0,47.66,49.48,5246351.46,47.66
2020-04-09,47.66,46.3,49.68,20088943.04,45.78
2020-04-08,45.78,42.8,45.94,8729609.76,43.4
2020-04-07,43.4,43.12,45.5,10251235.58,43.02
2020-04-06,43.02,42.74,43.8,5340120.72,42.0
2020-04-03,42.0,41.56,44.3,7371039.54,42.64
2020-04-02,42.64,40.54,42.9,8338231.28,41.0
2020-04-01,41.0,38.8,41.46,6722697.54,39.76
2020-03-31,39.76,39.1,40.0,3091935.74,39.02
2020-03-30,39.02,38.46,39.56,1623769.34,39.56
2020-03-27,39.56,39.02,42.0,4007086.84,40.2
2020-03-26,40.2,38.5,40.56,4413806.76,38.88
2020-03-25,38.88,38.02,40.24,5341678.58,39.3
2020-03-24,39.3,38.1,40.4,7194989.94,37.9
2020-03-23,37.9,37.4,40.1,2928143.38,40.4
2020-03-20,40.4,40.0,42.0,3450943.12,39.83
2020-03-19,39.83,38.68,41.05,3180726.06,41.16
2020-03-18,41.16,40.59,42.98,3826870.88,42.1
2020-03-17,42.1,40.21,42.79,3192470.86,43.04
2020-03-16,43.04,42.02,44.89,4217920.04,46.32
2020-03-13,46.32,43.19,46.57,6814335.66,44.66
2020-03-12,44.66,43.17,46.19,8402616.08,47.66
2020-03-11,47.66,45.37,48.47,8957257.70,48.99
2020-03-10,48.99,48.8,53.29,14593756.70,52.58
2020-03-09,52.58,48.71,55.35,11755797.55,56.35
2020-03-06,56.35,55.39,56.73,4778615.75,56.21
2020-03-05,56.21,55.92,58.26,7316205.25,56.73
2020-03-04,56.73,56.54,57.78,5521671.45,57.07
2020-03-03,57.07,56.92,58.35,4852419.10,57.11
2020-03-02,57.11,56.92,59.31,7302189.45,56.64
2020-02-28,56.64,53.05,57.78,6449228.85,58.07
2020-02-27,58.07,57.3,58.93,7206189.10,58.07
2020-02-26,58.07,58.02,59.64,8747138.00,59.6
2020-02-25,59.6,58.21,60.93,17020168.15,58.74
2020-02-24,58.74,56.87,58.88,4372122.65,58.64
2020-02-21,58.64,56.35,58.88,8075304.55,57.11
2020-02-20,57.11,55.92,58.5,10649541.55,58.26
2020-02-19,58.26,57.3,58.88,7509245.20,58.21
2020-02-18,58.21,57.3,59.6,17265070.25,58.16
2020-02-17,58.16,57.21,59.6,14949959.05,57.3
2020-02-14,57.3,56.83,57.59,6195594.45,56.78
2020-02-13,56.78,56.44,57.69,8718239.30,56.44
2020-02-12,56.44,56.16,58.02,10051426.70,57.4
