Date,adjclose,low,high,volume,open
2020-05-29,85.7,84.85,86.15,299672642.05,85.5
2020-05-28,85.5,84.45,86.8,590401176.0,83.9
2020-05-27,83.9,81.15,84.65,868709803.5,80.15
2020-05-22,80.15,76.85,80.5,632296596.6,79.1
2020-05-21,79.1,78.8,80.95,369561385.8,80.7
2020-05-20,80.7,80.5,81.95,255915366.55,81.35
2020-05-18,81.35,81.35,82.65,248980636.15,81.9
2020-05-15,81.9,81.9,83.45,135031995.75,82.5
2020-05-14,82.5,82.5,84.55,156364229.8,84.4
2020-05-13,84.4,84.4,85.15,133135250.5,85.05
2020-05-12,85.05,84.8,85.6,130886442.5,84.8
2020-05-11,84.8,84.75,85.55,89042974.0,84.95
2020-05-08,84.95,84.8,85.7,110819543.6,84.55
2020-05-07,84.55,83.8,85.85,180068850.4,85.0
2020-05-06,85.0,84.95,87.1,243564605.9,86.7
2020-05-05,86.7,86.35,88.15,258062425.3,86.4
2020-05-04,86.4,86.3,88.5,242949178.45,90.8
2020-04-30,90.8,88.9,92.1,398724727.2,88.9
2020-04-29,88.9,86.25,89.5,309204809.45,86.2
2020-04-28,86.2,85.45,87.15,212484218.85,85.75
2020-04-27,85.75,85.55,86.65,198007572.85,85.6
2020-04-24,85.6,85.3,87.85,210904197.15,85.35
2020-04-22,85.35,83.7,87.1,311590120.1,84.35
2020-04-21,84.35,83.75,85.0,211880757.75,86.75
2020-04-20,86.75,86.15,87.5,163971637.75,87.2
2020-04-17,87.2,86.25,88.1,159459834.7,87.2
2020-04-17,87.2,86.25,88.1,159459834.7,84.7
2020-04-16,84.7,83.45,86.8,271396544.9,84.7
2020-04-16,84.7,83.45,86.8,271396544.9,86.8
2020-04-15,86.8,86.7,91.7,299491320.8,86.8
2020-04-15,86.8,86.7,91.7,299491320.8,91.2
2020-04-14,91.2,90.45,91.85,246591136.0,91.2
2020-04-14,91.2,90.45,91.85,246591136.0,90.1
2020-04-13,90.1,90.1,92.9,277660295.65,90.1
2020-04-13,90.1,90.1,92.9,277660295.65,92.9
2020-04-10,92.9,91.55,94.9,183495917.9,92.9
2020-04-10,92.9,91.55,94.9,183495917.9,94.9
2020-04-09,94.9,92.05,96.15,564954891.55,94.9
2020-04-09,94.9,92.05,96.15,564954891.55,90.9
2020-04-08,90.9,88.85,92.2,321266802.8,90.9
