Date,adjclose,low,high,volume,open
2020-05-29,4.65,4.63,4.71,287578915.31,4.66
2020-05-28,4.66,4.59,4.68,332423870.72,4.59
2020-05-27,4.59,4.57,4.64,323799353.57,4.53
2020-05-22,4.53,4.51,4.56,120855324.42,4.57
2020-05-21,4.57,4.56,4.67,168682873.45,4.65
2020-05-20,4.65,4.64,4.7,207899871.89,4.66
2020-05-18,4.66,4.59,4.72,382282909.51,4.59
2020-05-15,4.59,4.53,4.59,190233223.27,4.51
2020-05-14,4.51,4.47,4.59,171341655.3,4.59
2020-05-13,4.59,4.59,4.66,287006052.8,4.65
2020-05-12,4.65,4.59,4.66,358760175.46,4.57
2020-05-11,4.57,4.53,4.68,296909042.11,4.64
2020-05-08,4.64,4.53,4.66,593433945.88,4.5
2020-05-07,4.5,4.46,4.54,191836252.59,4.48
2020-05-06,4.48,4.47,4.52,168034675.59,4.5
2020-05-05,4.5,4.47,4.56,174241244.72,4.46
2020-05-04,4.46,4.43,4.49,122383506.31,4.53
2020-04-30,4.53,4.49,4.64,255423581.7,4.59
2020-04-29,4.59,4.53,4.61,215514970.42,4.56
2020-04-28,4.56,4.55,4.66,266467642.16,4.59
2020-04-27,4.59,4.5,4.59,294616580.09,4.45
2020-04-24,4.45,4.4,4.48,152199142.57,4.43
2020-04-22,4.43,4.41,4.51,274144288.05,4.45
2020-04-21,4.45,4.42,4.51,124144938.6,4.53
2020-04-20,4.53,4.49,4.58,225470116.68,4.52
2020-04-17,4.52,4.48,4.57,323855216.95,4.41
2020-04-16,4.41,4.38,4.51,243484715.07,4.47
2020-04-15,4.47,4.44,4.67,273393986.06,4.66
2020-04-14,4.66,4.64,4.74,327786872.61,4.64
2020-04-13,4.64,4.54,4.71,320155983.26,4.68
2020-04-10,4.68,4.57,4.75,512132387.16,4.63
2020-04-09,4.63,4.47,4.65,506242624.42,4.44
2020-04-08,4.44,4.42,4.53,179100273.02,4.5
2020-04-07,4.5,4.5,4.69,295834451.45,4.58
2020-04-06,4.58,4.5,4.6,129349467.07,4.46
2020-04-03,4.46,4.45,4.51,80432280.2,4.5
2020-04-02,4.5,4.46,4.61,121023733.62,4.53
2020-04-01,4.53,4.5,4.64,178835640.4,4.64
2020-03-31,4.64,4.52,4.66,156651221.95,4.51
2020-03-30,4.51,4.42,4.59,110200648.22,4.49
2020-03-27,4.49,4.48,4.75,150995133.39,4.72
2020-03-26,4.72,4.52,4.75,217163579.7,4.62
2020-03-25,4.62,4.59,4.86,257452354.05,4.67
2020-03-24,4.67,4.46,4.69,216004498.0,4.34
2020-03-23,4.34,4.32,4.57,148084657.25,4.61
2020-03-20,4.61,4.61,4.82,169292690.37,4.58
2020-03-19,4.58,4.43,4.67,168941695.23,4.58
2020-03-18,4.58,4.48,4.81,171853285.77,4.65
2020-03-17,4.65,4.17,4.65,279645297.96,4.45
2020-03-16,4.45,4.42,4.75,147011114.35,4.91
2020-03-13,4.91,4.62,5.06,219924992.96,4.69
2020-03-12,4.69,4.62,4.98,160985053.98,5.12
2020-03-11,5.12,4.89,5.15,184564492.64,5.08
2020-03-10,5.08,4.91,5.37,235508802.98,5.15
2020-03-09,5.15,5.1,5.37,157668927.18,5.54
2020-03-06,5.54,5.5,5.77,183192291.28,5.78
2020-03-05,5.78,5.73,5.97,157855077.24,5.82
2020-03-04,5.82,5.82,6.08,243704584.53,5.9
2020-03-03,5.9,5.59,5.9,235860627.34,5.46
2020-03-02,5.46,5.36,5.56,102588710.53,5.3
2020-02-28,5.3,5.05,5.54,132371074.24,5.65
2020-02-27,5.65,5.65,5.94,153841418.1,5.97
2020-02-26,5.97,5.72,5.98,207223391.23,5.81
2020-02-25,5.81,5.74,5.9,153328142.55,5.82
2020-02-24,5.82,5.74,5.91,163079600.24,6.03
2020-02-21,6.03,5.69,6.11,263027337.38,5.99
2020-02-20,5.99,5.88,6.34,263096098.64,6.31
2020-02-19,6.31,6.26,6.38,122677248.52,6.33
2020-02-18,6.33,6.29,6.42,140983358.59,6.45
2020-02-17,6.45,6.45,6.66,203828990.73,6.55
2020-02-14,6.55,6.48,6.59,249688671.93,6.42
2020-02-13,6.42,6.21,6.44,283955484.98,6.27
2020-02-12,6.27,6.27,6.52,447045330.19,6.3
2020-02-11,6.3,6.14,6.47,278663324.01,6.34
2020-02-10,6.34,6.15,6.61,265884535.18,6.6
2020-02-07,6.6,6.55,6.81,140317893.73,6.74
2020-02-06,6.74,6.63,6.92,202054547.95,6.77
2020-02-05,6.77,6.76,6.92,268087482.57,6.79
2020-02-04,6.79,6.7,6.79,253742964.75,6.59
2020-02-03,6.59,6.54,6.65,129982692.71,6.6
2020-01-31,6.6,6.6,6.78,152706753.97,6.75
2020-01-30,6.75,6.56,6.76,130781457.32,6.66
2020-01-29,6.66,6.66,6.81,150560633.58,6.71
2020-01-28,6.71,6.56,6.73,176303557.03,6.58
2020-01-27,6.58,6.57,6.73,145208015.12,6.74
2020-01-24,6.74,6.52,6.82,232376737.15,6.64
2020-01-23,6.64,6.62,6.85,180464918.21,6.8
2020-01-22,6.8,6.77,7.01,236519633.13,6.86
2020-01-21,6.86,6.68,6.89,222685814.93,6.75
2020-01-20,6.75,6.51,6.76,276103479.16,6.5
2020-01-17,6.5,6.34,6.53,119245832.08,6.4
2020-01-16,6.4,6.3,6.57,254776032.78,6.26
2020-01-15,6.26,6.22,6.45,192074097.44,6.39
2020-01-14,6.39,6.05,6.42,361848062.67,6.1
2020-01-13,6.1,6.07,6.3,207233673.88,5.98
2020-01-10,5.98,5.74,6.05,256605949.87,5.69
2020-01-09,5.69,5.49,5.71,247931983.07,5.36
2020-01-08,5.36,5.13,5.41,186201570.0,5.24
2020-01-07,5.24,5.22,5.29,94711316.45,5.15
2020-01-06,5.15,5.15,5.34,143609375.77,5.37
2020-01-03,5.37,5.25,5.55,233396991.43,5.55
2020-01-02,5.55,5.45,5.57,191658297.34,5.51
2019-12-31,5.51,5.3,5.54,238474761.73,5.32
2019-12-30,5.32,5.13,5.36,266075796.56,5.12
2019-12-27,5.12,5.12,5.16,56170214.51,5.13
2019-12-26,5.13,5.13,5.19,81497390.82,5.15
2019-12-25,5.15,5.14,5.2,40588528.48,5.16
2019-12-24,5.16,5.1,5.21,201836233.77,5.07
2019-12-23,5.07,5.06,5.11,104531606.91,5.1
2019-12-20,5.1,5.06,5.12,76801589.58,5.09
2019-12-19,5.09,5.09,5.13,88342811.89,5.09
2019-12-18,5.09,5.08,5.13,111812177.57,5.12
2019-12-17,5.12,5.12,5.19,171112022.35,5.15
2019-12-16,5.15,5.12,5.2,156696454.73,5.18
2019-12-13,5.18,5.15,5.27,244225328.28,5.18
2019-12-13,5.18,5.15,5.27,244225328.28,5.15
2019-12-12,5.15,5.08,5.17,152038742.88,5.15
2019-12-12,5.15,5.08,5.17,152038742.88,5.04
2019-12-11,5.04,5.04,5.11,57954564.04,5.04
2019-12-11,5.04,5.04,5.11,57954564.04,5.08
2019-12-10,5.08,5.03,5.13,86304482.62,5.08
2019-12-10,5.08,5.03,5.13,86304482.62,5.12
2019-12-09,5.12,5.05,5.14,90066733.57,5.12
2019-12-09,5.12,5.05,5.14,90066733.57,5.1
2019-12-06,5.1,5.07,5.27,223140571.17,5.1
2019-12-06,5.1,5.07,5.27,223140571.17,5.24
2019-12-05,5.24,5.22,5.33,163263542.42,5.24
2019-12-05,5.24,5.22,5.33,163263542.42,5.2
2019-12-04,5.2,5.15,5.27,198178520.75,5.2
2019-12-04,5.2,5.15,5.27,198178520.75,5.09
2019-12-03,5.09,5.09,5.25,213827257.11,5.09
2019-12-03,5.09,5.09,5.25,213827257.11,5.18
2019-12-02,5.18,5.13,5.21,161648092.92,5.18
2019-12-02,5.18,5.13,5.21,161648092.92,5.13
2019-11-29,5.13,5.12,5.18,148673610.88,5.13
2019-11-28,5.13,5.08,5.13,81613813.45,5.13
2019-11-28,5.13,5.08,5.13,81613813.45,5.07
2019-11-27,5.07,5.05,5.2,172649911.98,5.07
2019-11-27,5.07,5.05,5.2,172649911.98,5.17
2019-11-26,5.17,4.95,5.17,265204596.35,5.17
2019-11-26,5.17,4.95,5.17,265204596.35,5.04
2019-11-25,5.04,4.99,5.17,284195946.03,5.04
2019-11-25,5.04,4.99,5.17,284195946.03,5.07
2019-11-22,5.07,5.02,5.14,192637254.88,5.07
2019-11-21,5.07,4.97,5.08,213276078.54,5.07
2019-11-21,5.07,4.97,5.08,213276078.54,4.98
2019-11-20,4.98,4.92,5.14,315998733.09,4.98
2019-11-20,4.98,4.92,5.14,315998733.09,4.97
2019-11-19,4.97,4.8,4.98,277663174.9,4.97
2019-11-19,4.97,4.8,4.98,277663174.9,4.82
2019-11-18,4.82,4.77,4.84,146671887.42,4.82
2019-11-18,4.82,4.77,4.84,146671887.42,4.73
2019-11-15,4.73,4.72,4.76,92501717.15,4.73
2019-11-15,4.73,4.72,4.76,92501717.15,4.69
2019-11-14,4.69,4.66,4.81,155281146.16,4.69
2019-11-14,4.69,4.66,4.81,155281146.16,4.82
2019-11-13,4.82,4.79,4.85,131278690.12,4.82
2019-11-13,4.82,4.79,4.85,131278690.12,4.8
2019-11-12,4.8,4.72,4.82,124338667.79,4.8
2019-11-12,4.8,4.72,4.82,124338667.79,4.72
2019-11-11,4.72,4.61,4.74,128862497.0,4.68
2019-11-08,4.68,4.63,4.73,138414280.26,4.64
2019-11-07,4.64,4.54,4.64,127656322.79,4.5
2019-11-06,4.5,4.44,4.54,89003696.98,4.47
2019-11-05,4.47,4.4,4.48,72110926.78,4.4
2019-11-04,4.4,4.36,4.44,85919206.37,4.32
2019-11-01,4.32,4.26,4.35,74425785.82,4.34
2019-10-31,4.34,4.33,4.49,106220340.81,4.44
2019-10-30,4.44,4.4,4.51,85783209.53,4.53
2019-10-28,4.53,4.52,4.55,19117527.19,4.55
2019-10-25,4.55,4.51,4.57,45319232.51,4.56
2019-10-24,4.56,4.54,4.65,158802239.15,4.54
2019-10-23,4.54,4.49,4.57,135103648.53,4.48
2019-10-22,4.48,4.44,4.52,72003901.28,4.46
2019-10-21,4.46,4.42,4.54,67595959.36,4.53
2019-10-18,4.53,4.44,4.53,86885601.96,4.24
2019-10-17,4.24,4.07,4.3,24158215.19,4.11
2019-10-16,4.11,4.02,4.15,70607344.97,4.24
2019-10-15,4.24,4.19,4.31,289722640.36,4.13
2019-10-14,4.13,4.13,4.42,460741427.44,4.49
2019-10-11,4.49,4.47,4.6,285504156.78,4.5
2019-10-10,4.5,4.34,4.52,308890167.09,4.5
2019-10-10,4.5,4.34,4.52,308890167.09,4.45
2019-10-09,4.45,4.41,4.64,304280754.68,4.45
2019-10-09,4.45,4.41,4.64,304280754.68,4.59
2019-10-08,4.59,4.51,4.74,480171292.13,4.59
2019-10-08,4.59,4.51,4.74,480171292.13,4.75
2019-10-07,4.75,4.75,4.98,332671513.59,4.75
2019-10-07,4.75,4.75,4.98,332671513.59,4.87
2019-10-04,4.87,4.8,4.9,235824069.79,4.87
2019-10-03,4.87,4.81,4.99,325169962.61,4.87
2019-10-03,4.87,4.81,4.99,325169962.61,4.89
2019-10-02,4.89,4.88,4.99,382133923.27,4.89
2019-10-02,4.89,4.88,4.99,382133923.27,4.93
2019-10-01,4.93,4.9,5.21,411778077.02,4.93
