Date,adjclose,low,high,volume,open
2020-05-29,7.43,7.33,7.54,15378434.03,7.35
2020-05-28,7.35,7.33,7.51,12609037.15,7.44
2020-05-27,7.44,7.4,7.55,18553541.01,7.36
2020-05-22,7.36,7.3,7.42,9368925.88,7.4
2020-05-21,7.4,7.26,7.7,22480742.72,7.63
2020-05-20,7.63,7.33,7.77,48713945.65,7.17
2020-05-18,7.17,6.94,7.23,63210241.4,6.88
2020-05-15,6.88,6.8,6.94,28601584.06,6.8
2020-05-14,6.8,6.51,6.82,20904844.47,6.81
2020-05-13,6.81,6.67,6.94,35973713.24,6.74
2020-05-12,6.74,6.46,6.75,22776989.8,6.5
2020-05-11,6.5,6.48,6.71,19354829.85,6.66
2020-05-08,6.66,6.55,6.86,20929280.39,6.71
2020-05-07,6.71,6.35,6.76,39841733.61,6.46
2020-05-06,6.46,6.42,6.58,13428550.46,6.5
2020-05-05,6.5,6.44,6.55,11825880.88,6.47
2020-05-04,6.47,6.35,6.55,12827099.7,6.62
2020-04-30,6.62,6.25,6.79,26690381.45,6.72
2020-04-29,6.72,6.65,6.76,31434155.48,6.64
2020-04-28,6.64,6.55,6.77,62618131.33,6.52
2020-04-27,6.52,6.44,6.6,34902910.23,6.38
2020-04-24,6.38,6.35,6.52,22338227.43,6.37
2020-04-22,6.37,6.32,6.63,49772276.98,6.46
2020-04-21,6.46,6.12,6.64,97629820.18,6.15
2020-04-20,6.15,5.95,6.15,29322063.52,5.95
2020-04-17,5.95,5.91,6.07,17511809.14,5.95
2020-04-17,5.95,5.91,6.07,17511809.14,5.85
2020-04-16,5.85,5.74,6.1,31209983.07,5.85
2020-04-16,5.85,5.74,6.1,31209983.07,5.74
2020-04-15,5.74,5.66,6.22,21323353.74,5.74
2020-04-15,5.74,5.66,6.22,21323353.74,6.18
2020-04-14,6.18,6.1,6.3,25990494.92,6.18
2020-04-14,6.18,6.1,6.3,25990494.92,6.07
2020-04-13,6.07,6.03,6.19,16760531.27,6.07
2020-04-13,6.07,6.03,6.19,16760531.27,6.12
2020-04-10,6.12,6.09,6.27,28529249.11,6.12
2020-04-10,6.12,6.09,6.27,28529249.11,6.18
2020-04-09,6.18,6.04,6.23,37071834.01,6.18
2020-04-09,6.18,6.04,6.23,37071834.01,6.03
2020-04-08,6.03,5.78,6.21,47285975.77,6.03
2020-04-08,6.03,5.78,6.21,47285975.77,5.79
2020-04-07,5.79,5.66,6.0,44463818.4,5.79
2020-04-07,5.79,5.66,6.0,44463818.4,5.63
2020-04-06,5.63,5.62,5.8,40998567.81,5.63
2020-04-06,5.63,5.62,5.8,40998567.81,5.53
2020-04-03,5.53,5.53,5.82,32411560.22,5.53
2020-04-03,5.53,5.53,5.82,32411560.22,5.62
2020-04-02,5.62,5.3,5.8,41820612.83,5.62
2020-04-02,5.62,5.3,5.8,41820612.83,5.38
2020-04-01,5.38,5.11,5.45,14779325.18,5.38
2020-04-01,5.38,5.11,5.45,14779325.18,5.24
2020-03-31,5.24,5.18,5.58,16222772.74,5.24
2020-03-31,5.24,5.18,5.58,16222772.74,5.14
2020-03-30,5.14,5.1,5.26,3808465.58,5.14
2020-03-30,5.14,5.1,5.26,3808465.58,5.22
2020-03-27,5.22,5.18,5.47,13275440.91,5.22
2020-03-27,5.22,5.18,5.47,13275440.91,5.42
2020-03-26,5.42,5.3,5.57,13747878.66,5.42
2020-03-26,5.42,5.3,5.57,13747878.66,5.37
2020-03-25,5.37,5.36,5.86,13068443.13,5.37
2020-03-25,5.37,5.36,5.86,13068443.13,5.52
2020-03-24,5.52,5.24,5.55,10199230.11,5.52
2020-03-24,5.52,5.24,5.55,10199230.11,5.15
2020-03-23,5.15,4.84,5.15,3278192.92,5.15
2020-03-23,5.15,4.84,5.15,3278192.92,5.1
2020-03-20,5.1,4.91,5.12,4255278.45,5.1
2020-03-20,5.1,4.91,5.12,4255278.45,4.93
2020-03-19,4.93,4.85,5.22,4873968.06,4.93
2020-03-19,4.93,4.85,5.22,4873968.06,5.09
2020-03-18,5.09,4.88,5.32,4572774.81,5.11
2020-03-17,5.11,4.64,5.15,4136936.29,5.08
2020-03-16,5.08,5.08,5.69,5560878.99,5.64
2020-03-13,5.64,5.39,5.96,9382837.46,5.61
2020-03-12,5.61,5.61,6.23,12788094.45,6.31
2020-03-11,6.31,6.13,6.99,14583971.65,6.8
2020-03-10,6.8,6.75,7.12,9171096.25,6.82
2020-03-09,6.82,6.7,7.18,11012976.23,7.4
2020-03-06,7.4,7.23,7.71,7721635.35,7.59
2020-03-05,7.59,7.56,7.84,5337555.63,7.68
2020-03-04,7.68,7.53,8.08,11627447.87,7.84
2020-03-03,7.84,7.73,7.85,7058228.64,7.63
2020-03-02,7.63,7.59,7.98,7270109.0,7.62
2020-02-28,7.62,6.78,7.62,8291058.05,7.77
2020-02-27,7.77,7.67,8.3,10324941.72,8.13
2020-02-26,8.13,8.09,8.29,10027268.88,8.29
2020-02-25,8.29,8.02,8.41,10620904.93,8.05
2020-02-24,8.05,7.96,8.26,14324498.24,8.37
2020-02-21,8.37,7.8,8.45,13223133.02,8.15
2020-02-20,8.15,8.06,8.64,15291609.39,8.61
2020-02-19,8.61,8.46,8.85,13884986.45,8.71
2020-02-18,8.71,8.5,8.94,9433466.01,8.9
2020-02-17,8.9,8.88,9.07,5549386.02,9.0
2020-02-14,9.0,8.84,9.09,8289813.91,8.95
2020-02-13,8.95,8.8,9.05,7159567.73,8.87
2020-02-12,8.87,8.84,9.07,10034042.85,9.04
2020-02-11,9.04,8.75,9.25,18387610.91,9.06
2020-02-10,9.06,8.69,9.32,24971895.84,9.24
2020-02-07,9.24,9.09,9.83,32386267.89,9.08
2020-02-06,9.08,8.82,9.2,26552312.01,8.76
